iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880959,5.4921241e+15,3.9651129e+15,1.8445854e+21,0,5.4296344e+18,3.6571037e+18,4.32e+12,2.6574816e+16,1.4287449e+18,1.8536444e+18,6.2321135e+20,0,1226862,1699289.5,2926151.5,0,1.35e+21,169.94594,-4.4633452e-08,169.94594,0,0,1.8712053e+08,-2.1028105e+12,7.6297465e+09,-2.7143468e+10,-1.8285785e+10,-7.1438986e+09,-9.2671249e+09,3.5719493e+08,4.6335624e+08,9.2820203e+09,9.2820203e+09,2.4261156e+11,1.5163222e+10,1160076
4000,20,0,39649038,1.130887e+16,9.1355026e+15,1.8268676e+21,0,7.2559234e+18,3.5522649e+18,4.32e+12,2.7039608e+16,1.36081e+18,2.2866493e+18,6.3883298e+20,0,3324596.7,4115313.1,7439909.8,0,1.35e+21,411.57247,5.1898041e-09,411.57247,0,0,1.7506546e+08,-1.4836366e+12,7.4369392e+09,-3.6275195e+10,-1.7761582e+10,-6.8042157e+09,-1.143218e+10,3.4021078e+08,5.7160902e+08,1.091871e+10,1.091871e+10,2.382416e+11,1.48901e+10,1809975.4
6000,30,0,50364821,1.7473389e+16,1.5352921e+16,1.8142332e+21,0,8.9644882e+18,3.4504202e+18,4.32e+12,2.7301652e+16,1.296073e+18,2.7054661e+18,6.494957e+20,0,6423378.1,7310085.5,13733464,0,1.35e+21,731.08166,-2.6740622e-08,731.08166,0,0,1.6378786e+08,-1.0706011e+12,7.2008299e+09,-4.4818322e+10,-1.7252352e+10,-6.4805228e+09,-1.3526304e+10,3.2402614e+08,6.7631519e+08,1.2452663e+10,1.2452663e+10,2.3227712e+11,1.451732e+10,2642973.9
8000,40,0,61886242,2.4007311e+16,2.2569563e+16,1.805019e+21,0,1.0550375e+19,3.3511301e+18,4.32e+12,2.7431783e+16,1.2343855e+18,3.1075823e+18,6.568705e+20,0,10671602,11350626,22022228,0,1.35e+21,1135.1761,-1.5752448e-09,1135.1761,0,0,1.5323758e+08,-7.8995291e+11,6.9454642e+09,-5.2748064e+10,-1.6755896e+10,-6.1720782e+09,-1.5536928e+10,3.0860391e+08,7.7684642e+08,1.3878029e+10,1.3878029e+10,2.2550885e+11,1.4094303e+10,3670055.4
10000,50,0,74083807,3.0927214e+16,3.0731671e+16,1.7981489e+21,0,1.2013979e+19,3.2541572e+18,4.32e+12,2.7474472e+16,1.1756061e+18,3.4917089e+18,6.6203498e+20,0,16204115,16305999,32510114,0,1.35e+21,1630.763,1.3230942e-07,1630.763,0,0,1.4336773e+08,-5.957548e+11,6.6848412e+09,-6.0066386e+10,-1.6271026e+10,-5.8781738e+09,-1.7457607e+10,2.9390869e+08,8.7288037e+08,1.5194259e+10,1.5194259e+10,2.1841342e+11,1.3650838e+10,4899156.2
12000,60,0,86840578,3.8245115e+16,3.9782075e+16,1.7929147e+21,0,1.3358786e+19,3.1593809e+18,4.32e+12,2.7458179e+16,1.1195994e+18,3.8573174e+18,6.6569464e+20,0,23142073,22246228,45388300,0,1.35e+21,2224.8453,-1.7274488e-08,2224.8453,0,0,1.3413441e+08,-4.5892223e+11,6.4270986e+09,-6.6790711e+10,-1.5797139e+10,-5.5981337e+09,-1.9285696e+10,2.7990669e+08,9.642848e+08,1.6403898e+10,1.6403898e+10,2.1127834e+11,1.3204896e+10,6335592.2
14000,70,0,1.0005165e+08,4.596887e+16,4.9661825e+16,1.7888429e+21,0,1.4590011e+19,3.0667472e+18,4.32e+12,2.7401471e+16,1.0662365e+18,4.2043552e+18,6.683179e+20,0,31593047,29241303,60834350,0,1.35e+21,2924.4227,0,2924.4227,0,9.765625e-08,1.2549658e+08,-3.6075162e+11,6.1769026e+09,-7.2947114e+10,-1.5333965e+10,-5.3313128e+09,-2.1020931e+10,2.6656564e+08,1.0510466e+09,1.7511247e+10,1.7511247e+10,2.0427567e+11,1.2767229e+10,7982446.3
16000,80,0,1.1362342e+08,5.4102521e+16,6.0311251e+16,1.7856123e+21,0,1.5713771e+19,2.9762392e+18,4.32e+12,2.7316712e+16,1.0153943e+18,4.5330692e+18,6.7021986e+20,0,41651279,37360292,79011572,0,1.35e+21,3736.4029,1.9683739e-08,3736.4029,0,0,1.1741582e+08,-2.8903465e+11,5.9368377e+09,-7.8566176e+10,-1.488142e+10,-5.0770953e+09,-2.2664547e+10,2.5385477e+08,1.1332273e+09,1.8521547e+10,1.8521547e+10,1.975062e+11,1.2344137e+10,9840915
18000,90,0,1.274727e+08,6.2646619e+16,7.1670682e+16,1.7830016e+21,0,1.6736576e+19,2.8878594e+18,4.32e+12,2.7212301e+16,9.669551e+17,4.8438935e+18,6.7161514e+20,0,53398013,46670545,1.0006856e+08,0,1.35e+21,4667.5213,8.2491169e-10,4667.5213,0,0,1.0985622e+08,-2.356881e+11,5.708227e+09,-8.3680442e+10,-1.4439515e+10,-4.8348937e+09,-2.4218712e+10,2.4174468e+08,1.2109356e+09,1.9440485e+10,1.9440485e+10,1.9102629e+11,1.1939143e+10,11910614
