iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880966,5.4889072e+15,3.9629372e+15,1.8445854e+21,0,5.4296344e+18,3.6571043e+18,4.32e+12,2.6575308e+16,1.4287449e+18,1.8536486e+18,6.2321135e+20,0,1724749.7,2388810.1,4113559.8,0,1.35e+21,238.9049,2.8842436e-08,238.9049,0,0,1.8712053e+08,-2.1028105e+12,7.6298877e+09,-2.7143468e+10,-1.8285788e+10,-7.1438986e+09,-9.267146e+09,3.5719493e+08,4.633573e+08,9.2820228e+09,9.2820228e+09,2.4261156e+11,1.5163222e+10,1160076.3
4000,20,0,39649073,1.1294122e+16,9.1244414e+15,1.8268676e+21,0,7.2559235e+18,3.5522678e+18,4.32e+12,2.7040896e+16,1.36081e+18,2.2866703e+18,6.3883298e+20,0,4670695.3,5781025.4,10451721,0,1.35e+21,578.16035,-4.5369461e-08,578.16035,0,0,1.7506546e+08,-1.4836366e+12,7.4372934e+09,-3.6275195e+10,-1.7761597e+10,-6.8042157e+09,-1.1432285e+10,3.4021078e+08,5.7161425e+08,1.0918722e+10,1.0918722e+10,2.382416e+11,1.48901e+10,1809977
6000,30,0,50364929,1.7435825e+16,1.5322605e+16,1.8142332e+21,0,8.9644884e+18,3.4504278e+18,4.32e+12,2.7304059e+16,1.296073e+18,2.7055216e+18,6.494957e+20,0,9017244.2,10260218,19277462,0,1.35e+21,1026.1244,0,1026.1244,0,9.765625e-08,1.6378786e+08,-1.070601e+12,7.2014647e+09,-4.4818323e+10,-1.725239e+10,-6.4805228e+09,-1.3526581e+10,3.2402614e+08,6.7632906e+08,1.2452696e+10,1.2452696e+10,2.3227712e+11,1.451732e+10,2642979.6
8000,40,0,61886492,2.3932454e+16,2.2505397e+16,1.805019e+21,0,1.0550376e+19,3.3511452e+18,4.32e+12,2.7435672e+16,1.2343855e+18,3.107696e+18,6.568705e+20,0,14967937,15915941,30883878,0,1.35e+21,1591.7533,-3.3439164e-08,1591.7533,0,0,1.5323758e+08,-7.8995282e+11,6.9464487e+09,-5.2748068e+10,-1.6755971e+10,-6.1720782e+09,-1.5537497e+10,3.0860391e+08,7.7687484e+08,1.3878096e+10,1.3878096e+10,2.2550885e+11,1.4094303e+10,3670070.3
10000,50,0,74084301,3.079717e+16,3.0614336e+16,1.7981489e+21,0,1.2013981e+19,3.2541832e+18,4.32e+12,2.7480244e+16,1.1756061e+18,3.4919108e+18,6.6203499e+20,0,22705590,22839482,45545072,0,1.35e+21,2284.1766,1.1061729e-07,2284.1766,0,0,1.4336773e+08,-5.9575461e+11,6.6862453e+09,-6.0066394e+10,-1.6271156e+10,-5.8781739e+09,-1.7458616e+10,2.9390869e+08,8.7293082e+08,1.5194379e+10,1.5194379e+10,2.1841342e+11,1.3650839e+10,4899188.9
12000,60,0,86841456,3.8038357e+16,3.9587097e+16,1.7929147e+21,0,1.3358789e+19,3.1594216e+18,4.32e+12,2.7466266e+16,1.1195994e+18,3.857644e+18,6.6569466e+20,0,32391965,31122252,63514217,0,1.35e+21,3112.5364,3.8312464e-08,3112.5364,0,0,1.3413441e+08,-4.589219e+11,6.4289914e+09,-6.6790726e+10,-1.5797342e+10,-5.5981338e+09,-1.9287329e+10,2.7990669e+08,9.6436645e+08,1.6404091e+10,1.6404091e+10,2.1127834e+11,1.3204896e+10,6335656.2
14000,70,0,1.000531e+08,4.5660033e+16,4.9359225e+16,1.7888429e+21,0,1.4590016e+19,3.0668071e+18,4.32e+12,2.7412338e+16,1.0662365e+18,4.2048502e+18,6.6831793e+20,0,44167826,40854320,85022146,0,1.35e+21,4085.8406,0,4085.8406,0,9.765625e-08,1.2549658e+08,-3.6075108e+11,6.1793517e+09,-7.2947141e+10,-1.5334264e+10,-5.3313129e+09,-2.1023406e+10,2.6656565e+08,1.0511703e+09,1.7511537e+10,1.7511537e+10,2.0427568e+11,1.276723e+10,7982562
16000,80,0,1.1362568e+08,5.3662208e+16,5.986527e+16,1.7856124e+21,0,1.571378e+19,2.9763231e+18,4.32e+12,2.7330845e+16,1.0153943e+18,4.5337834e+18,6.7021991e+20,0,58153228,52123096,1.1027632e+08,0,1.35e+21,5212.8309,-2.2947461e-08,5212.8309,0,0,1.1741582e+08,-2.8903383e+11,5.9399088e+09,-7.8566218e+10,-1.4881839e+10,-5.0770955e+09,-2.2668117e+10,2.5385478e+08,1.1334059e+09,1.8521965e+10,1.8521965e+10,1.9750621e+11,1.2344138e+10,9841110.9
18000,90,0,1.2747607e+08,6.2041234e+16,7.1039575e+16,1.7830016e+21,0,1.6736589e+19,2.8879725e+18,4.32e+12,2.723021e+16,9.6695515e+17,4.8448848e+18,6.7161522e+20,0,74447962,65012159,1.3946012e+08,0,1.35e+21,6501.8661,0,6501.8661,0,9.765625e-08,1.0985622e+08,-2.3568692e+11,5.7119833e+09,-8.3680506e+10,-1.4440081e+10,-4.8348939e+09,-2.4223668e+10,2.417447e+08,1.2111834e+09,1.9441063e+10,1.9441063e+10,1.9102631e+11,1.1939144e+10,11910929
