iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29881009,5.4663719e+15,3.9476939e+15,1.8445854e+21,0,5.4296345e+18,3.6571086e+18,4.32e+12,2.6578753e+16,1.4287449e+18,1.8536782e+18,6.2321135e+20,0,5208048.7,7211368.1,12419417,0,1.35e+21,721.20894,9.8341388e-09,721.20894,0,0,1.8712053e+08,-2.1028104e+12,7.6308759e+09,-2.7143469e+10,-1.828581e+10,-7.1438986e+09,-9.2672937e+09,3.5719493e+08,4.6336469e+08,9.2820406e+09,9.2820406e+09,2.4261156e+11,1.5163223e+10,1160078
4000,20,0,39649323,1.1191193e+16,9.0472208e+15,1.8268676e+21,0,7.255924e+18,3.5522884e+18,4.32e+12,2.7049858e+16,1.36081e+18,2.2868165e+18,6.3883298e+20,0,14038260,17364078,31402338,0,1.35e+21,1736.5814,2.5456075e-08,1736.5814,0,0,1.7506546e+08,-1.4836365e+12,7.4397575e+09,-3.6275198e+10,-1.77617e+10,-6.8042157e+09,-1.1433016e+10,3.4021079e+08,5.716508e+08,1.091881e+10,1.091881e+10,2.382416e+11,1.48901e+10,1809988.4
6000,30,0,50365683,1.7174815e+16,1.5111838e+16,1.8142332e+21,0,8.9644904e+18,3.4504805e+18,4.32e+12,2.7320701e+16,1.296073e+18,2.7059074e+18,6.4949572e+20,0,26957618,30635804,57593423,0,1.35e+21,3063.8868,-3.2275238e-08,3063.8868,0,0,1.6378786e+08,-1.0706008e+12,7.2058528e+09,-4.4818333e+10,-1.7252654e+10,-6.4805229e+09,-1.3528509e+10,3.2402615e+08,6.7642546e+08,1.2452926e+10,1.2452926e+10,2.3227713e+11,1.451732e+10,2643019.1
8000,40,0,61888221,2.3414927e+16,2.2061389e+16,1.805019e+21,0,1.0550381e+19,3.3512495e+18,4.32e+12,2.7462366e+16,1.2343856e+18,3.1084825e+18,6.5687053e+20,0,44476568,47202088,91678656,0,1.35e+21,4720.6809,-1.495755e-08,4720.6809,0,0,1.5323758e+08,-7.8995216e+11,6.9532059e+09,-5.2748094e+10,-1.6756492e+10,-6.1720785e+09,-1.5541428e+10,3.0860392e+08,7.7707138e+08,1.3878563e+10,1.3878563e+10,2.2550886e+11,1.4094304e+10,3670172.8
10000,50,0,74087693,2.990317e+16,2.9806662e+16,1.798149e+21,0,1.2013992e+19,3.2543618e+18,4.32e+12,2.7519533e+16,1.1756062e+18,3.4932992e+18,6.6203506e+20,0,67010770,67222735,1.342335e+08,0,1.35e+21,6722.9457,7.7782715e-08,6722.9457,0,0,1.4336773e+08,-5.9575331e+11,6.6958031e+09,-6.006645e+10,-1.6272048e+10,-5.8781743e+09,-1.7465557e+10,2.9390871e+08,8.7327783e+08,1.5195199e+10,1.5195199e+10,2.1841344e+11,1.365084e+10,4899413.2
12000,60,0,86847454,3.662584e+16,3.8252758e+16,1.7929147e+21,0,1.335881e+19,3.1597002e+18,4.32e+12,2.7520821e+16,1.1195996e+18,3.8598768e+18,6.6569479e+20,0,94878951,90836526,1.8571548e+08,0,1.35e+21,9084.561,1.5590558e-08,9084.561,0,0,1.3413441e+08,-4.5891962e+11,6.441759e+09,-6.6790831e+10,-1.5798735e+10,-5.5981345e+09,-1.9298491e+10,2.7990672e+08,9.6492453e+08,1.6405406e+10,1.6405406e+10,2.1127838e+11,1.3204899e+10,6336093.8
14000,70,0,1.0006294e+08,4.3564517e+16,4.7301558e+16,1.788843e+21,0,1.4590052e+19,3.067214e+18,4.32e+12,2.748491e+16,1.0662367e+18,4.208211e+18,6.6831814e+20,0,1.2830299e+08,1.1815674e+08,2.4645973e+08,0,1.35e+21,11816.855,0,11816.855,0,1.953125e-07,1.2549658e+08,-3.6074741e+11,6.1957089e+09,-7.2947321e+10,-1.5336298e+10,-5.3313139e+09,-2.1040207e+10,2.6656569e+08,1.0520103e+09,1.751351e+10,1.751351e+10,2.0427574e+11,1.2767234e+10,7983347
16000,80,0,1.1364093e+08,5.0696688e+16,5.6853615e+16,1.7856125e+21,0,1.5713837e+19,2.9768888e+18,4.32e+12,2.7424219e+16,1.0153946e+18,4.538596e+18,6.7022025e+20,0,1.6740976e+08,1.4926749e+08,3.1667724e+08,0,1.35e+21,14928.242,-3.0589945e-08,14928.242,0,0,1.1741582e+08,-2.8902828e+11,5.9601997e+09,-7.8566506e+10,-1.4884667e+10,-5.0770968e+09,-2.2692176e+10,2.5385484e+08,1.1346088e+09,1.852478e+10,1.852478e+10,1.9750631e+11,1.2344145e+10,9842431.5
18000,90,0,1.2749865e+08,5.7996367e+16,6.6809665e+16,1.7830018e+21,0,1.6736676e+19,2.8887291e+18,4.32e+12,2.7347156e+16,9.6695551e+17,4.8515116e+18,6.7161573e+20,0,2.1223437e+08,1.8422098e+08,3.9645534e+08,0,1.35e+21,18423.94,-1.071021e-08,18423.94,0,0,1.0985622e+08,-2.3567892e+11,5.7365119e+09,-8.3680944e+10,-1.4443863e+10,-4.8348957e+09,-2.4256797e+10,2.4174479e+08,1.2128398e+09,1.9444928e+10,1.9444928e+10,1.9102645e+11,1.1939153e+10,11913039
