iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880949,5.4978424e+15,3.9689802e+15,1.8445854e+21,0,5.4296344e+18,3.6571026e+18,4.32e+12,2.6573941e+16,1.4287449e+18,1.8536369e+18,6.2321135e+20,0,341427.09,472931.44,814358.53,0,1.35e+21,47.297874,-2.4829326e-08,47.297874,0,0,1.8712053e+08,-2.1028105e+12,7.6294953e+09,-2.7143468e+10,-1.828578e+10,-7.1438986e+09,-9.2670874e+09,3.5719493e+08,4.6335437e+08,9.2820158e+09,9.2820158e+09,2.4261156e+11,1.5163222e+10,1160075.6
4000,20,0,39648974,1.1335121e+16,9.1551884e+15,1.8268676e+21,0,7.2559233e+18,3.5522596e+18,4.32e+12,2.7037313e+16,1.36081e+18,2.286612e+18,6.3883298e+20,0,926302.12,1146802.5,2073104.7,0,1.35e+21,114.69172,3.7361218e-08,114.69172,0,0,1.7506546e+08,-1.4836366e+12,7.4363082e+09,-3.6275194e+10,-1.7761556e+10,-6.8042156e+09,-1.1431994e+10,3.4021078e+08,5.715997e+08,1.0918687e+10,1.0918687e+10,2.382416e+11,1.48901e+10,1809972.5
6000,30,0,50364628,1.7540352e+16,1.5406952e+16,1.8142332e+21,0,8.9644877e+18,3.4504066e+18,4.32e+12,2.7297353e+16,1.296073e+18,2.7053672e+18,6.494957e+20,0,1792123.8,2040151.3,3832275.2,0,1.35e+21,204.03554,-3.1827028e-08,204.03554,0,0,1.6378786e+08,-1.0706011e+12,7.1996965e+09,-4.4818319e+10,-1.7252285e+10,-6.4805228e+09,-1.3525809e+10,3.2402614e+08,6.7629047e+08,1.2452604e+10,1.2452604e+10,2.3227712e+11,1.451732e+10,2642963.7
8000,40,0,61885795,2.4140987e+16,2.2684109e+16,1.805019e+21,0,1.0550374e+19,3.3511032e+18,4.32e+12,2.742482e+16,1.2343855e+18,3.1073793e+18,6.5687049e+20,0,2981995.4,3173292,6155287.4,0,1.35e+21,317.36094,-1.7889022e-08,317.36094,0,0,1.5323758e+08,-7.8995308e+11,6.9437015e+09,-5.2748058e+10,-1.6755761e+10,-6.1720781e+09,-1.5535914e+10,3.0860391e+08,7.7679569e+08,1.3877908e+10,1.3877908e+10,2.2550884e+11,1.4094303e+10,3670029
10000,50,0,74082925,3.1159897e+16,3.094152e+16,1.7981489e+21,0,1.2013976e+19,3.2541108e+18,4.32e+12,2.746411e+16,1.1756061e+18,3.4913478e+18,6.6203496e+20,0,4535858.6,4567529,9103387.6,0,1.35e+21,456.79858,8.7135447e-08,456.79858,0,0,1.4336773e+08,-5.9575514e+11,6.6823204e+09,-6.0066372e+10,-1.6270794e+10,-5.8781737e+09,-1.7455802e+10,2.9390869e+08,8.7279011e+08,1.5194046e+10,1.5194046e+10,2.1841341e+11,1.3650838e+10,4899097.9
12000,60,0,86839006,3.8615868e+16,4.0131497e+16,1.7929147e+21,0,1.335878e+19,3.1593079e+18,4.32e+12,2.7443612e+16,1.1195994e+18,3.8567317e+18,6.6569461e+20,0,6490510.6,6244890.9,12735401,0,1.35e+21,624.55154,-7.061999e-09,624.55154,0,0,1.3413441e+08,-4.5892283e+11,6.4236896e+09,-6.6790684e+10,-1.5796774e+10,-5.5981336e+09,-1.9282769e+10,2.7990668e+08,9.6413843e+08,1.6403553e+10,1.6403553e+10,2.1127832e+11,1.3204895e+10,6335477.4
14000,70,0,1.0004905e+08,4.6524002e+16,5.0205332e+16,1.7888429e+21,0,1.4590002e+19,3.0666396e+18,4.32e+12,2.7381832e+16,1.0662365e+18,4.2034656e+18,6.6831784e+20,0,8879680.3,8227891.4,17107572,0,1.35e+21,822.87143,4.842218e-08,822.87143,0,0,1.2549658e+08,-3.6075258e+11,6.1724761e+09,-7.2947067e+10,-1.5333427e+10,-5.3313125e+09,-2.1016484e+10,2.6656563e+08,1.0508242e+09,1.7510725e+10,1.7510725e+10,2.0427565e+11,1.2767228e+10,7982238.6
16000,80,0,1.1361934e+08,5.4896049e+16,6.1114252e+16,1.7856123e+21,0,1.5713756e+19,2.9760882e+18,4.32e+12,2.7291071e+16,1.0153942e+18,4.5317824e+18,6.7021977e+20,0,11734136,10539316,22273451,0,1.35e+21,1054.037,-1.1253633e-08,1054.037,0,0,1.1741582e+08,-2.8903612e+11,5.9312657e+09,-7.85661e+10,-1.4880665e+10,-5.077095e+09,-2.2658114e+10,2.5385475e+08,1.1329057e+09,1.8520795e+10,1.8520795e+10,1.9750617e+11,1.2344136e+10,9840562.1
18000,90,0,1.274666e+08,6.3740721e+16,7.2810027e+16,1.7830015e+21,0,1.6736552e+19,2.8876552e+18,4.32e+12,2.7179676e+16,9.66955e+17,4.8421022e+18,6.7161501e+20,0,15081804,13202030,28283835,0,1.35e+21,1320.335,0,1320.335,0,9.765625e-08,1.0985622e+08,-2.3569023e+11,5.701384e+09,-8.3680326e+10,-1.4438495e+10,-4.8348932e+09,-2.4209757e+10,2.4174466e+08,1.2104879e+09,1.9439441e+10,1.9439441e+10,1.9102625e+11,1.1939141e+10,11910044
