iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.4996361e+15,3.9701932e+15,1.8445854e+21,0,5.4296344e+18,3.6571023e+18,4.32e+12,2.6573666e+16,1.4287449e+18,1.8536345e+18,6.2321135e+20,0,63581.534,88072.467,151654,0,1.35e+21,8.8081275,1.2705722e-07,8.8081273,0,0,1.8712053e+08,-2.1028105e+12,7.6294165e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670756e+09,3.5719493e+08,4.6335378e+08,9.2820144e+09,9.2820144e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648954,1.1343364e+16,9.1613695e+15,1.8268676e+21,0,7.2559233e+18,3.5522579e+18,4.32e+12,2.7036591e+16,1.36081e+18,2.2866003e+18,6.3883298e+20,0,172562.36,213650.86,386213.23,0,1.35e+21,21.367223,-2.6617105e-08,21.367223,0,0,1.7506546e+08,-1.4836366e+12,7.4361099e+09,-3.6275194e+10,-1.7761548e+10,-6.8042156e+09,-1.1431936e+10,3.4021078e+08,5.7159678e+08,1.091868e+10,1.091868e+10,2.382416e+11,1.48901e+10,1809971.6
6000,30,0,50364567,1.7561407e+16,1.5423937e+16,1.8142332e+21,0,8.9644875e+18,3.4504024e+18,4.32e+12,2.7296e+16,1.296073e+18,2.7053361e+18,6.494957e+20,0,334000.28,380262.64,714262.92,0,1.35e+21,38.030067,5.4304437e-09,38.030067,0,0,1.6378786e+08,-1.0706012e+12,7.1993396e+09,-4.4818319e+10,-1.7252263e+10,-6.4805227e+09,-1.3525654e+10,3.2402614e+08,6.762827e+08,1.2452586e+10,1.2452586e+10,2.3227712e+11,1.451732e+10,2642960.6
8000,40,0,61885655,2.418308e+16,2.2720169e+16,1.805019e+21,0,1.0550373e+19,3.3510947e+18,4.32e+12,2.7422623e+16,1.2343855e+18,3.1073154e+18,6.5687049e+20,0,556028.52,591789,1147817.5,0,1.35e+21,59.184818,2.2600098e-08,59.184818,0,0,1.5323758e+08,-7.8995313e+11,6.9431453e+09,-5.2748056e+10,-1.6755719e+10,-6.1720781e+09,-1.5535594e+10,3.0860391e+08,7.7677971e+08,1.3877871e+10,1.3877871e+10,2.2550884e+11,1.4094303e+10,3670020.6
10000,50,0,74082647,3.1233286e+16,3.1007683e+16,1.7981489e+21,0,1.2013975e+19,3.2540962e+18,4.32e+12,2.7460832e+16,1.175606e+18,3.4912339e+18,6.6203496e+20,0,846228.1,852321.09,1698549.2,0,1.35e+21,85.240633,6.5326489e-08,85.240633,0,0,1.4336773e+08,-5.9575524e+11,6.681523e+09,-6.0066367e+10,-1.6270721e+10,-5.8781737e+09,-1.7455233e+10,2.9390868e+08,8.7276165e+08,1.5193979e+10,1.5193979e+10,2.1841341e+11,1.3650838e+10,4899079.5
12000,60,0,86838509,3.8733022e+16,4.0241855e+16,1.7929147e+21,0,1.3358779e+19,3.1592848e+18,4.32e+12,2.7438992e+16,1.1195994e+18,3.8565467e+18,6.656946e+20,0,1211634.8,1166113.1,2377747.9,0,1.35e+21,116.62297,0,116.62297,0,9.765625e-08,1.3413441e+08,-4.5892301e+11,6.4226085e+09,-6.6790675e+10,-1.5796659e+10,-5.5981335e+09,-1.9281844e+10,2.7990668e+08,9.6409218e+08,1.6403445e+10,1.6403445e+10,2.1127832e+11,1.3204895e+10,6335441.2
14000,70,0,1.0004822e+08,4.6699771e+16,5.0377311e+16,1.7888429e+21,0,1.4589999e+19,3.0666055e+18,4.32e+12,2.7375585e+16,1.0662365e+18,4.2031839e+18,6.6831782e+20,0,1658756.7,1537540.1,3196296.8,0,1.35e+21,153.76939,0,153.76939,0,9.765625e-08,1.2549658e+08,-3.6075289e+11,6.1710681e+09,-7.2947052e+10,-1.5333257e+10,-5.3313125e+09,-2.1015076e+10,2.6656562e+08,1.0507538e+09,1.7510559e+10,1.7510559e+10,2.0427565e+11,1.2767228e+10,7982172.8
16000,80,0,1.1361805e+08,5.5147851e+16,6.1368863e+16,1.7856123e+21,0,1.5713751e+19,2.9760402e+18,4.32e+12,2.7282889e+16,1.0153942e+18,4.5313741e+18,6.7021974e+20,0,2193597.3,1971061.2,4164658.5,0,1.35e+21,197.12584,-1.9534042e-08,197.12584,0,0,1.1741582e+08,-2.8903658e+11,5.9294878e+09,-7.8566076e+10,-1.4880425e+10,-5.0770948e+09,-2.2656073e+10,2.5385474e+08,1.1328036e+09,1.8520556e+10,1.8520556e+10,1.9750616e+11,1.2344135e+10,9840450.1
18000,90,0,1.2746466e+08,6.4088725e+16,7.317209e+16,1.7830015e+21,0,1.6736545e+19,2.8875903e+18,4.32e+12,2.7169229e+16,9.6695497e+17,4.8415325e+18,6.7161496e+20,0,2821680.1,2471186.8,5292866.9,0,1.35e+21,247.14339,4.5118384e-08,247.14339,0,0,1.0985622e+08,-2.3569091e+11,5.6991929e+09,-8.3680289e+10,-1.443817e+10,-4.834893e+09,-2.4206909e+10,2.4174465e+08,1.2103455e+09,1.9439109e+10,1.9439109e+10,1.9102624e+11,1.193914e+10,11909862
