iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,6.57e+10,42.7,3.51,1.1e+21,0,2.38e+17,1.16e+20,5.23e+17,1.22e+16,43.2,43,8.55e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6526592e-310,4.6526592e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,4.683455e+08,2.1057593e+16,5.3337581e+15,1.1926603e+21,0,4.6379579e+18,1.0526804e+20,4.32e+12,1.107877e+17,4.7507255e+17,2.0951906e+18,7.6650134e+20,0,199408.99,787556.11,986965.1,0,1.35e+21,78.763487,1.3400449e-07,78.763487,0,0,1.8712053e+08,7.6226818e+12,3.1809014e+10,-4.6359849e+10,-1.0527315e+12,-4.7509538e+09,-2.0941874e+10,2.3754769e+08,1.0470937e+09,1.8928634e+11,1.8928634e+11,2.9841182e+11,1.8650739e+10,18182696
4000,20,0,5.2441347e+08,4.4315651e+16,2.0754458e+16,1.256527e+21,0,8.1985355e+18,9.553731e+19,4.32e+12,1.0422559e+17,4.315659e+17,3.9393678e+18,7.0697385e+20,0,912843.31,1949342.4,2862185.7,0,1.35e+21,194.95374,4.3204409e-08,194.95374,0,0,1.7506546e+08,5.3128284e+12,2.8667095e+10,-8.1969333e+10,-9.5541943e+11,-4.3158662e+09,-3.9385224e+10,2.1579331e+08,1.9692612e+09,1.8050769e+11,1.8050769e+11,2.6366528e+11,1.647908e+10,23939433
6000,30,0,5.7341852e+08,6.9496986e+16,4.4697329e+16,1.3014847e+21,0,1.1095559e+19,8.6705024e+19,4.32e+12,9.8512213e+16,3.9208707e+17,5.4918256e+18,6.6639672e+20,0,2260298.1,3514471.5,5774769.5,0,1.35e+21,351.48229,-1.1850545e-08,351.48229,0,0,1.6378786e+08,3.7819063e+12,2.5983464e+10,-1.1094253e+11,-8.6709229e+11,-3.9210587e+09,-5.491115e+10,1.9605293e+08,2.7455575e+09,1.7185498e+11,1.7185498e+11,2.3832898e+11,1.4895561e+10,30091047
8000,40,0,6.1595322e+08,9.634767e+16,7.5807603e+16,1.3338113e+21,0,1.3456046e+19,7.8689491e+19,4.32e+12,9.3410639e+16,3.5626017e+17,6.7940106e+18,6.3840758e+20,0,4332577.9,5506395.5,9838973.4,0,1.35e+21,550.69462,-4.5721777e-08,550.69462,0,0,1.5323758e+08,2.7501532e+12,2.3651326e+10,-1.3454983e+11,-7.8693307e+11,-3.5627723e+09,-6.7934161e+10,1.7813861e+08,3.3967081e+09,1.634443e+11,1.634443e+11,2.1917538e+11,1.3698462e+10,36528030
10000,50,0,6.5259647e+08,1.2463497e+17,1.1291608e+17,1.35756e+21,0,1.5375031e+19,7.1415965e+19,4.32e+12,8.8771869e+16,3.2374461e+17,7.8798373e+18,6.1890077e+20,0,7196654.3,7943234.7,15139889,0,1.35e+21,794.40291,6.4557526e-08,794.40291,0,0,1.4336773e+08,2.0434495e+12,2.1599716e+10,-1.5374169e+11,-7.1419428e+11,-3.2376009e+09,-7.8793435e+10,1.6188005e+08,3.9396718e+09,1.5534206e+11,1.5534206e+11,2.0418626e+11,1.2761641e+10,43156152
12000,60,0,6.8389834e+08,1.5414627e+17,1.5500725e+17,1.3753894e+21,0,1.6925887e+19,6.4816251e+19,4.32e+12,8.4499843e+16,2.9423175e+17,8.7777105e+18,6.0518596e+20,0,10899531,10838398,21737928,0,1.35e+21,1083.9481,0,1083.9481,0,9.765625e-08,1.3413441e+08,1.5516617e+12,1.9779231e+10,-1.6925193e+11,-6.4819393e+11,-2.942458e+09,-8.7773044e+10,1.471229e+08,4.3886522e+09,1.4758377e+11,1.4758377e+11,1.9207634e+11,1.2004771e+10,49894889
14000,70,0,7.1037361e+08,1.8468794e+17,2.0119558e+17,1.3890691e+21,0,1.8166826e+19,5.8828242e+19,4.32e+12,8.0530878e+16,2.674419e+17,9.5118414e+18,5.9547452e+20,0,15471475,14201157,29672632,0,1.35e+21,1420.2577,0,1420.2577,0,9.765625e-08,1.2549658e+08,1.2040526e+12,1.8153863e+10,-1.8166275e+11,-5.8831093e+11,-2.6745466e+09,-9.5115117e+10,1.3372733e+08,4.7557558e+09,1.4018554e+11,1.4018554e+11,1.8201217e+11,1.1375761e+10,56675918
16000,80,0,7.3249985e+08,2.1608419e+17,2.5070718e+17,1.3997942e+21,0,1.9145105e+19,5.3395444e+19,4.32e+12,7.6821401e+16,2.4312157e+17,1.0103134e+19,5.8856099e+20,0,20928766,18037178,38965944,0,1.35e+21,1803.8982,0,1803.8982,0,9.765625e-08,1.1741582e+08,9.5452215e+11,1.6696228e+10,-1.9144674e+11,-5.339803e+11,-2.4313315e+09,-1.0102871e+11,1.2156658e+08,5.0514356e+09,1.331513e+11,1.331513e+11,1.7344332e+11,1.0840208e+10,63441753
18000,90,0,7.5071785e+08,2.4817591e+17,3.0286511e+17,1.4083828e+21,0,1.9899802e+19,4.8466508e+19,4.32e+12,7.3340519e+16,2.2104104e+17,1.0569807e+19,5.8362244e+20,0,27276041,22349002,49625043,0,1.35e+21,2235.1237,-1.1934844e-08,2235.1237,0,0,1.0985622e+08,7.7260752e+11,1.53847e+10,-1.9899475e+11,-4.8468855e+11,-2.2105156e+09,-1.0569602e+11,1.1052578e+08,5.2848009e+09,1.2647728e+11,1.2647728e+11,1.6599942e+11,1.0374964e+10,70144514
