iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.09e+10,17.6,38.6,1.97e+21,0,5.26e+19,4.08e+15,7.44e+13,2.1e+12,3.88,71.3,4.9e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6794423e-310,4.6794423e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,2.0610271e+08,7.9092935e+15,1.9302015e+15,1.8195464e+21,0,4.8832811e+19,1.1728441e+17,4.32e+12,4.391453e+16,1.8874248e+15,7.752823e+17,2.0227862e+20,0,72161.057,295804.36,367965.41,0,1.35e+21,29.583394,5.4732396e-08,29.583394,0,0,1.8712053e+08,-1.2265477e+13,1.2607849e+10,-4.8834503e+11,-1.1722723e+09,-18865926,-7.7488191e+09,943296.28,3.8744096e+08,8.3955871e+10,8.3955871e+10,7.8722408e+10,4.9201505e+09,8001577.5
4000,20,0,2.3129876e+08,1.7079909e+16,7.8663211e+15,1.7177735e+21,0,4.5749212e+19,2.2611109e+17,4.32e+12,4.5620533e+16,3.4113666e+15,1.5559187e+18,3.0622919e+20,0,345977.17,751296.27,1097273.4,0,1.35e+21,75.13714,1.6402126e-08,75.13714,0,0,1.7506546e+08,-8.3644848e+12,1.2547343e+10,-4.5750621e+11,-2.2605966e+09,-34106718,-1.5555403e+10,1705335.9,7.7777014e+08,7.964136e+10,7.964136e+10,1.1418801e+11,7.1367508e+09,10558770
6000,30,0,2.5502471e+08,2.7420775e+16,1.7603079e+16,1.6478966e+21,0,4.3143259e+19,3.2249707e+17,4.32e+12,4.6270099e+16,4.6777881e+15,2.2837308e+18,3.7786753e+20,0,890154,1386656.5,2276810.5,0,1.35e+21,138.67952,2.4453385e-08,138.67952,0,0,1.6378786e+08,-5.7860947e+12,1.2203778e+10,-4.3144467e+11,-3.2245217e+09,-46772137,-2.2833823e+10,2338606.9,1.1416911e+09,7.6067419e+10,7.6067419e+10,1.3512587e+11,8.4453666e+09,13382826
8000,40,0,2.7736328e+08,3.8846375e+16,3.0844798e+16,1.5992567e+21,0,4.0881809e+19,4.0564538e+17,4.32e+12,4.6259067e+16,5.7186282e+15,2.9477697e+18,4.2799754e+20,0,1762824.1,2220098.1,3982922.2,0,1.35e+21,222.03201,1.8147745e-08,222.03201,0,0,1.5323758e+08,-4.0551782e+12,1.1712401e+10,-4.088287e+11,-4.056071e+09,-57181592,-2.9474545e+10,2859079.6,1.4737273e+09,7.2995924e+10,7.2995924e+10,1.4692843e+11,9.183027e+09,16448545
10000,50,0,2.9835364e+08,5.1276275e+16,4.72593e+16,1.5649729e+21,0,3.8877058e+19,4.7582273e+17,4.32e+12,4.5832982e+16,6.5622958e+15,3.5440875e+18,4.6359186e+20,0,3012010,3267907.1,6279917.1,0,1.35e+21,326.82339,5.4847021e-08,326.82339,0,0,1.4336773e+08,-2.8759984e+12,1.1151741e+10,-3.8878007e+11,-4.7579076e+09,-65619189,-3.5438064e+10,3280959.5,1.7719032e+09,7.0274307e+10,7.0274307e+10,1.5294016e+11,9.5587599e+09,19730102
12000,60,0,3.1801997e+08,6.4634539e+16,6.6505147e+16,1.5405335e+21,0,3.7069926e+19,5.3384492e+17,4.32e+12,4.5146685e+16,7.2340381e+15,4.0728373e+18,4.8922047e+20,0,4676339.1,4544568.9,9220908,0,1.35e+21,454.50234,-4.6744901e-08,454.50234,0,0,1.3413441e+08,-2.061478e+12,1.0567507e+10,-3.7070787e+11,-5.3381878e+09,-72337414,-4.0725894e+10,3616870.7,2.0362947e+09,6.7803662e+10,6.7803662e+10,1.5526582e+11,9.7041138e+09,23201652
14000,70,0,3.3638517e+08,7.8849288e+16,8.8247504e+16,1.5229364e+21,0,3.5419828e+19,5.8078395e+17,4.32e+12,4.4299355e+16,7.7562714e+15,4.5365241e+18,5.0792268e+20,0,6785958.3,6062882.4,12848841,0,1.35e+21,606.34887,0,606.34887,0,9.765625e-08,1.2549658e+08,-1.4914455e+12,9.986151e+09,-3.5420619e+11,-5.8076305e+09,-77560442,-4.5363079e+10,3878022.1,2.2681539e+09,6.551921e+10,6.551921e+10,1.5524765e+11,9.7029783e+09,26837903
16000,80,0,3.5347687e+08,9.3852403e+16,1.1216711e+17,1.510156e+21,0,3.3898289e+19,6.1780148e+17,4.32e+12,4.3355468e+16,8.1488788e+15,4.9389413e+18,5.2174802e+20,0,9363501.1,7834068.2,17197569,0,1.35e+21,783.48517,4.07465e-09,783.48517,0,0,1.1741582e+08,-1.0875734e+12,9.4226868e+09,-3.3899021e+11,-6.1778525e+09,-81487119,-4.9387547e+10,4074356,2.4693773e+09,6.3378129e+10,6.3378129e+10,1.5375166e+11,9.6094788e+09,30614603
18000,90,0,3.6932944e+08,1.0957933e+17,1.3796504e+17,1.5008072e+21,0,3.2484877e+19,6.460556e+17,4.32e+12,4.2357523e+16,8.4294781e+15,5.2845205e+18,5.3209673e+20,0,12425029,9867874.9,22292904,0,1.35e+21,986.88618,4.6874902e-08,986.88618,0,0,1.0985622e+08,-7.9809592e+11,8.8852739e+09,-3.2485559e+11,-6.4604348e+09,-84293631,-5.2843611e+10,4214681.6,2.6421805e+09,6.1351875e+10,6.1351875e+10,1.5134218e+11,9.4588861e+09,34508882
