iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,5.56e+13,32.6,4.4,1.47e+21,0,1.9e+10,9.88e+12,4.84e+12,5.58e+18,3.86,6.88,5.9e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6758806e-310,4.6758806e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,28174154,1.6844341e+15,2.6619861e+16,1.4752105e+21,0,1.9520345e+18,2.193717e+17,4.32e+12,2.4900336e+16,1.8244812e+15,5.3512347e+18,5.8279381e+20,0,995709.63,62994.205,1058703.8,0,1.35e+21,6.3000505,1.3291712e-07,6.3000504,0,0,1.8712053e+08,4.0307492e+11,7.1490215e+09,-1.9511249e+10,-2.1934693e+09,-18236458,-5.3512533e+10,911822.92,2.6756267e+09,8.7752252e+09,8.7752252e+09,2.268819e+11,1.4180119e+10,1093812.3
4000,20,0,41099643,3.971314e+15,5.3290608e+16,1.4783714e+21,0,3.6496485e+18,2.6555848e+17,4.32e+12,2.526357e+16,3.3544127e+15,5.3194926e+18,5.7789187e+20,0,2344421.2,174679.47,2519100.7,0,1.35e+21,17.469694,-1.0922189e-08,17.469694,0,0,1.7506546e+08,2.413764e+11,6.9484579e+09,-3.6488577e+10,-2.6553702e+09,-33537150,-5.3195059e+10,1676857.5,2.659753e+09,1.1711188e+10,1.1711188e+10,2.1551759e+11,1.3469849e+10,1876195.4
6000,30,0,55216349,6.899837e+15,7.9820935e+16,1.4802319e+21,0,5.1248632e+18,3.0543408e+17,4.32e+12,2.5577426e+16,4.6262534e+15,5.2972268e+18,5.7450916e+20,0,4037045.8,348908.6,4385954.4,0,1.35e+21,34.894349,3.928848e-08,34.894349,0,0,1.6378786e+08,1.384717e+11,6.7460495e+09,-5.1241765e+10,-3.0541562e+09,-46256765,-5.2972359e+10,2312838.2,2.648618e+09,1.4267075e+10,1.4267075e+10,2.0546181e+11,1.2841363e+10,2897565.5
8000,40,0,70212650,1.0501403e+16,1.0625237e+17,1.4812638e+21,0,6.4047276e+18,3.3957505e+17,4.32e+12,2.583373e+16,5.6719965e+15,5.2825041e+18,5.7214824e+20,0,6073185,600142.18,6673327.2,0,1.35e+21,60.02022,-4.5291863e-08,60.02022,0,0,1.5323758e+08,7.2850556e+10,6.5408333e+09,-6.4041325e+10,-3.3955933e+09,-56715252,-5.2825099e+10,2835762.6,2.641255e+09,1.6488049e+10,1.6488049e+10,1.9642428e+11,1.2276517e+10,4163838.6
10000,50,0,85824035,1.4796771e+16,1.3261698e+17,1.4817679e+21,0,7.5122025e+18,3.6850281e+17,4.32e+12,2.6030451e+16,6.5201e+15,5.2734845e+18,5.7048655e+20,0,8452931.2,942989.06,9395920.2,0,1.35e+21,94.308337,1.3959433e-07,94.308337,0,0,1.4336773e+08,3.1160279e+10,6.3334759e+09,-7.5116884e+10,-3.6848956e+09,-65197210,-5.2734878e+10,3259860.5,2.6367439e+09,1.841231e+10,1.841231e+10,1.8821131e+11,1.1763207e+10,5675536.5
12000,60,0,1.0182652e+08,1.9797673e+16,1.5893805e+17,1.4819382e+21,0,8.4671063e+18,3.9269932e+17,4.32e+12,2.6169021e+16,7.1958552e+15,5.2685009e+18,5.6931134e+20,0,11176602,1391969.8,12568571,0,1.35e+21,139.2109,-3.2662314e-08,139.2109,0,0,1.3413441e+08,4.9860468e+09,6.1253299e+09,-8.466664e+10,-3.9268833e+09,-71955566,-5.2685026e+10,3597778.3,2.6342513e+09,2.0072812e+10,2.0072812e+10,1.8068875e+11,1.1293047e+10,7428915.2
14000,70,0,1.1803129e+08,2.5508236e+16,1.8523096e+17,1.4819011e+21,0,9.2867522e+18,4.1261481e+17,4.32e+12,2.6252758e+16,7.7217187e+15,5.2660925e+18,5.6848001e+20,0,14244520,1961328.9,16205849,0,1.35e+21,196.1525,0,196.1525,0,9.765625e-08,1.2549658e+08,-1.1049386e+10,5.9179425e+09,-9.2863736e+10,-4.1260585e+09,-77214898,-5.2660933e+10,3860744.9,2.6330466e+09,2.1498389e+10,2.1498389e+10,1.7375997e+11,1.0859998e+10,9416920.2
16000,80,0,1.3428019e+08,3.1926225e+16,2.1150423e+17,1.4817392e+21,0,9.9863944e+18,4.2867121e+17,4.32e+12,2.6285948e+16,8.11761e+15,5.265011e+18,5.6789534e+20,0,17656842,2664888.6,20321731,0,1.35e+21,266.51551,0,266.51551,0,9.765625e-08,1.1741582e+08,-2.042606e+10,5.712807e+09,-9.9860722e+10,-4.2866408e+09,-81174415,-5.2650114e+10,4058720.7,2.6325057e+09,2.2714524e+10,2.2714524e+10,1.6735259e+11,1.0459537e+10,11629997
18000,90,0,1.5044185e+08,3.9044139e+16,2.3776055e+17,1.481507e+21,0,1.0579554e+19,4.4126378e+17,4.32e+12,2.6273296e+16,8.4011795e+15,5.2642132e+18,5.6749006e+20,0,21413424,3515937.9,24929362,0,1.35e+21,351.62895,2.6952193e-08,351.62895,0,0,1.0985622e+08,-2.5422002e+10,5.5112475e+09,-1.0579282e+11,-4.4125829e+09,-84010631,-5.2642137e+10,4200531.5,2.6321068e+09,2.3743903e+10,2.3743903e+10,1.6141037e+11,1.0088148e+10,14056773
20000,100,0,1.6640829e+08,4.6850159e+16,2.6399779e+17,1.4812403e+21,0,1.1078267e+19,4.5076174e+17,4.32e+12,2.6219597e+16,8.5880492e+15,5.262846e+18,5.6721685e+20,0,25513722,4527151.2,30040874,0,1.35e+21,452.7604,4.2229829e-08,452.7604,0,0,1.0278416e+08,-2.7543407e+10,5.3143749e+09,-1.1078039e+11,-4.507577e+09,-85879775,-5.262847e+10,4293988.8,2.6314235e+09,2.4606818e+10,2.4606818e+10,1.5588802e+11,9.7430014e+09,16684637
22000,110,0,1.8209193e+08,5.5328982e+16,2.9020982e+17,1.4809624e+21,0,1.1493277e+19,4.5750866e+17,4.32e+12,2.6129546e+16,8.6920287e+15,5.2602281e+18,5.6704193e+20,0,29956731,5710532.3,35667263,0,1.35e+21,571.11034,0,571.11034,0,9.765625e-08,96168198,-2.7794636e+10,5.1230806e+09,-1.1493088e+11,-4.5750592e+09,-86919953,-5.2602298e+10,4345997.6,2.6301149e+09,2.5321486e+10,2.5321486e+10,1.5074803e+11,9.4217517e+09,19500210
24000,120,0,1.9742295e+08,6.4462538e+16,3.1638741e+17,1.4806884e+21,0,1.1834192e+19,4.6182291e+17,4.32e+12,2.6007625e+16,8.725309e+15,5.2558302e+18,5.669408e+20,0,34740936,7077378.2,41818315,0,1.35e+21,707.80861,0,707.80861,0,9.765625e-08,89978920,-2.6849971e+10,4.9380493e+09,-1.1834038e+11,-4.6182131e+09,-87253082,-5.2558329e+10,4362654.1,2.6279165e+09,2.5904292e+10,2.5904292e+10,1.4595847e+11,9.1224042e+09,22489748
26000,130,0,2.1234695e+08,7.4230621e+16,3.4251887e+17,1.4804278e+21,0,1.2109617e+19,4.6399815e+17,4.32e+12,2.5858049e+16,8.6986369e+15,5.2492565e+18,5.6689546e+20,0,39864301,8638262,48502563,0,1.35e+21,863.9126,1.0120266e-07,863.9126,0,0,84188806,-2.5164265e+10,4.7597804e+09,-1.2109494e+11,-4.6399755e+09,-86986636,-5.2492604e+10,4349331.8,2.6246302e+09,2.6369997e+10,2.6369997e+10,1.4149164e+11,8.8432273e+09,25639462
