iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.24e+08,74.8,19.3,1.97e+21,0,3.41e+14,1.37e+13,1.76e+12,4.46e+17,81.5,27.8,1.04e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6373287e-310,4.6373287e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,6664360.4,4.2177269e+14,2.0361315e+15,1.8308688e+21,0,5.8294894e+17,7.1135713e+16,4.32e+12,9.2591855e+15,1.821694e+15,4.780344e+17,2.4243379e+20,0,76154.563,15770.742,91925.305,0,1.35e+21,1.577232,3.2191303e-08,1.5772319,0,0,1.8712053e+08,-1.1380727e+13,2.6577424e+09,-5.8256952e+09,-7.112598e+08,-18208585,-4.7796573e+09,910429.27,2.3898287e+08,1.5670796e+09,1.5670796e+09,9.4357136e+10,5.897321e+09,258732.15
4000,20,0,13727092,1.2960279e+15,4.8275176e+15,1.7361005e+21,0,1.4511364e+18,9.4459448e+16,4.32e+12,1.2998231e+16,3.3518907e+15,6.4705721e+17,3.361345e+20,0,212359.4,57000.189,269359.59,0,1.35e+21,5.700589,2.3565446e-08,5.700589,0,0,1.7506546e+08,-7.8231955e+12,3.5746115e+09,-1.4506606e+10,-9.4446297e+08,-33511929,-6.4695959e+09,1675596.5,3.234798e+08,3.2444769e+09,3.2444769e+09,1.2534238e+11,7.8338986e+09,626640.66
6000,30,0,22884587,2.6843919e+15,8.5871576e+15,1.6704421e+21,0,2.4463061e+18,1.2237738e+17,4.32e+12,1.5639625e+16,4.6239712e+15,8.5981674e+17,4.0054961e+20,0,434269.6,135733.43,570003.03,0,1.35e+21,13.5747,1.886592e-08,13.5747,0,0,1.6378786e+08,-5.4677428e+12,4.1246824e+09,-2.4457945e+10,-1.2236288e+09,-46233942,-8.5970334e+09,2311697.1,4.2985167e+08,5.1869779e+09,5.1869779e+09,1.4323873e+11,8.9524207e+09,1200905
8000,40,0,33800954,4.6381876e+15,1.3477946e+16,1.6242046e+21,0,3.4736892e+18,1.516711e+17,4.32e+12,1.7550234e+16,5.6699313e+15,1.0950828e+18,4.4548702e+20,0,770312.86,265052.15,1035365,0,1.35e+21,26.507866,1.3715383e-08,26.507866,0,0,1.5323758e+08,-3.8828145e+12,4.443351e+09,-3.473178e+10,-1.5165647e+09,-56694599,-1.094962e+10,2834730,5.4748101e+08,7.2078184e+09,7.2078184e+09,1.529335e+11,9.5583435e+09,2004506.5
10000,50,0,46142112,7.1979293e+15,1.9576896e+16,1.5911302e+21,0,4.4774134e+18,1.8043814e+17,4.32e+12,1.8960201e+16,6.5182309e+15,1.3391954e+18,4.7727537e+20,0,1247730.2,458700.03,1706430.2,0,1.35e+21,45.87459,6.0698198e-08,45.87459,0,0,1.4336773e+08,-2.7997766e+12,4.6130784e+09,-4.4769235e+10,-1.804241e+09,-65178518,-1.3390728e+10,3258925.9,6.695364e+08,9.195802e+09,9.195802e+09,1.5745507e+11,9.8409419e+09,3051374.1
12000,60,0,59597927,1.0394328e+16,2.690548e+16,1.5671137e+21,0,5.4256149e+18,2.0757863e+17,4.32e+12,2.0017045e+16,7.1941635e+15,1.5833117e+18,5.0006151e+20,0,1891883.9,730797.77,2622681.7,0,1.35e+21,73.087086,-1.5156445e-08,73.087086,0,0,1.3413441e+08,-2.0486796e+12,4.6852521e+09,-5.425158e+10,-2.0756558e+09,-71938648,-1.5831907e+10,3596932.4,7.9159533e+08,1.1086495e+10,1.1086495e+10,1.5870695e+11,9.9191847e+09,4348061.3
14000,70,0,73891184,1.4249287e+16,3.5449094e+16,1.5494214e+21,0,6.3013396e+18,2.3248891e+17,4.32e+12,2.0817483e+16,7.7201872e+15,1.8217081e+18,5.1660239e+20,0,2725927,1095597.2,3821524.2,0,1.35e+21,109.57068,0,109.57068,0,9.765625e-08,1.2549658e+08,-1.5203383e+12,4.6926402e+09,-6.3009214e+10,-2.3247707e+09,-77199583,-1.821591e+10,3859979.1,9.1079549e+08,1.2844623e+10,1.2844623e+10,1.5790095e+11,9.8688096e+09,5895279
16000,80,0,88779852,1.8776899e+16,4.5169766e+16,1.5362066e+21,0,7.0969048e+18,2.5487518e+17,4.32e+12,2.142645e+16,8.1162233e+15,2.0507164e+18,5.2875619e+20,0,3770676.9,1567274.6,5337951.5,0,1.35e+21,156.74314,-2.1714129e-08,156.74314,0,0,1.1741582e+08,-1.1435719e+12,4.6566205e+09,-7.0965276e+10,-2.5486464e+09,-81160547,-2.0506046e+10,4058027.4,1.0253023e+09,1.4453151e+10,1.4453151e+10,1.5581711e+11,9.7385694e+09,7689215.8
18000,90,0,1.0405605e+08,2.3984419e+16,5.6014589e+16,1.5262049e+21,0,7.810366e+18,2.74638e+17,4.32e+12,2.1888653e+16,8.3999236e+15,2.2680434e+18,5.377917e+20,0,5044606.6,2159761.6,7204368.2,0,1.35e+21,215.99776,2.182901e-09,215.99776,0,0,1.0985622e+08,-8.7132456e+11,4.5914528e+09,-7.8100296e+10,-2.7462877e+09,-83998071,-2.2679379e+10,4199903.6,1.133969e+09,1.590644e+10,1.590644e+10,1.5296215e+11,9.5601347e+09,9722641.7
