iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.08e+13,43.2,1.66,2.06e+21,0,3.57e+16,4.18e+15,2.09e+15,5.92e+16,31.4,76.6,5.09e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.636161e-310,4.636161e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3785557.3,2.3188212e+14,3.4592847e+14,1.8924611e+21,0,3.4085609e+17,2.0153976e+16,4.32e+12,6.3169337e+15,3.7113016e+15,1.11088e+17,1.7224932e+20,0,12935.466,8668.9065,21604.373,0,1.35e+21,0.86697735,4.1611659e-09,0.86697734,0,0,1.8712053e+08,-1.3699175e+13,1.812887e+09,-3.4058483e+09,-2.0145919e+08,-37105606,-1.1103041e+09,1855280.3,55515204,7.2224619e+08,7.2224619e+08,6.7029868e+10,4.1893667e+09,146967.64
4000,20,0,9764814.5,8.8799928e+14,1.2601751e+15,1.7784314e+21,0,1.038538e+18,4.1391114e+16,4.32e+12,1.0701291e+16,5.061674e+15,2.6567532e+17,2.8539999e+20,0,55423.595,39052.12,94475.715,0,1.35e+21,3.9056025,-2.4769472e-08,3.9056025,0,0,1.7506546e+08,-9.4087616e+12,2.9427878e+09,-1.0381276e+10,-4.1378469e+08,-50610617,-2.6558161e+09,2530530.9,1.327908e+08,2.0922708e+09,2.0922708e+09,1.0641866e+11,6.651166e+09,445762.99
6000,30,0,17983148,2.0338821e+15,3.1018211e+15,1.6995037e+21,0,1.932629e+18,6.9077755e+16,4.32e+12,1.3782918e+16,6.1710433e+15,4.7552473e+17,3.6319062e+20,0,156844.27,102837.31,259681.58,0,1.35e+21,10.28476,2.6210937e-08,10.28476,0,0,1.6378786e+08,-6.5689803e+12,3.6349247e+09,-1.932155e+10,-6.9063034e+08,-61705436,-4.7541068e+09,3085271.8,2.3770534e+08,3.8595728e+09,3.8595728e+09,1.2987608e+11,8.1172548e+09,943694.22
8000,40,0,28104703,3.7236469e+15,6.0802338e+15,1.6439856e+21,0,2.9043073e+18,9.9284095e+16,4.32e+12,1.6002512e+16,7.0697764e+15,7.1517678e+17,4.1746092e+20,0,347475.31,212785.29,560260.6,0,1.35e+21,21.280657,-9.6244648e-09,21.280657,0,0,1.5323758e+08,-4.6589564e+12,4.051449e+09,-2.9038154e+10,-9.9268801e+08,-70693750,-7.1505252e+09,3534687.5,3.5752626e+08,5.7912589e+09,5.7912589e+09,1.4331053e+11,8.9569081e+09,1666700.3
10000,50,0,39785954,6.0007374e+15,1.0301835e+16,1.604327e+21,0,3.8821241e+18,1.2966194e+17,4.32e+12,1.763589e+16,7.7848599e+15,9.6825495e+17,4.5585094e+20,0,656543.43,382401.02,1038944.5,0,1.35e+21,38.243927,5.8081e-08,38.243927,0,0,1.4336773e+08,-3.3544642e+12,4.2908358e+09,-3.8816416e+10,-1.2964697e+09,-77845442,-9.6812701e+09,3892272.1,4.840635e+08,7.7463066e+09,7.7463066e+09,1.5038595e+11,9.3991218e+09,2631042
12000,60,0,52703557,8.8987905e+15,1.580648e+16,1.5755751e+21,0,4.8239945e+18,1.5882766e+17,4.32e+12,1.8859281e+16,8.3402539e+15,1.2241499e+18,4.8336713e+20,0,1111395.2,625643.39,1737038.6,0,1.35e+21,62.570596,-1.8215303e-08,62.570596,0,0,1.3413441e+08,-2.4503913e+12,4.414239e+09,-4.823537e+10,-1.5881353e+09,-83400124,-1.2240226e+10,4170006.2,6.1201128e+08,9.6407404e+09,9.6407404e+09,1.5340784e+11,9.58799e+09,3845071.6
14000,70,0,66566201,1.2442531e+16,2.2590737e+16,1.5544325e+21,0,5.7061777e+18,1.8599438e+17,4.32e+12,1.9787722e+16,8.75721e+15,1.4759783e+18,5.0333818e+20,0,1737097.4,956671.34,2693768.8,0,1.35e+21,95.676702,0,95.676702,0,9.765625e-08,1.2549658e+08,-1.8149684e+12,4.4604967e+09,-5.7057539e+10,-1.8598137e+09,-87570329,-1.4758542e+10,4378516.4,7.379271e+08,1.1426331e+10,1.1426331e+10,1.5384621e+11,9.615388e+09,5310868.1
16000,80,0,81118256,1.6648702e+16,3.0623048e+16,1.5386724e+21,0,6.5164408e+18,2.1074863e+17,4.32e+12,2.0498022e+16,9.0545578e+15,1.7193036e+18,5.1800786e+20,0,2556278.1,1389628.4,3945906.5,0,1.35e+21,138.97673,0,138.97673,0,9.765625e-08,1.1741582e+08,-1.3622969e+12,4.4548323e+09,-6.5160547e+10,-2.1073689e+09,-90544361,-1.7191845e+10,4527218.1,8.5959227e+08,1.3077373e+10,1.3077373e+10,1.5264938e+11,9.5405862e+09,7025645.6
18000,90,0,96139331,2.1527005e+16,3.985376e+16,1.5267706e+21,0,7.2497632e+18,2.329122e+17,4.32e+12,2.1042692e+16,9.2489614e+15,1.9513214e+18,5.2890844e+20,0,3589104.8,1938464.5,5527569.2,0,1.35e+21,193.86583,0,193.86583,0,9.765625e-08,1.0985622e+08,-1.0355963e+12,4.4139912e+09,-7.249416e+10,-2.3290177e+09,-92488874,-1.9512085e+10,4624443.7,9.7560426e+08,1.4582375e+10,1.4582375e+10,1.5043527e+11,9.4022047e+09,8982930.9
