iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.01e+10,1.56,1.28,2.06e+21,0,3.08e+14,1.51e+10,1.24e+15,5.38e+18,7.3,7.68,6.11e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6801599e-310,4.6801599e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,15344411,6.6121613e+14,2.477881e+16,1.8927207e+21,0,3.5828303e+17,1.6851192e+17,4.32e+12,8.4444641e+15,2.9421532e+15,4.8235943e+18,1.7338553e+20,0,926860.36,24725.907,951586.27,0,1.35e+21,2.472838,-2.8735894e-08,2.472838,0,0,1.8712053e+08,-1.367357e+13,2.4237365e+09,-3.579872e+09,-1.6850823e+09,-29413738,-4.8237511e+10,1470686.9,2.4118756e+09,5.4804001e+09,5.4804001e+09,6.747217e+10,4.2170106e+09,595719.95
4000,20,0,22425310,1.8003087e+15,4.8207432e+16,1.7789422e+21,0,1.1011832e+18,1.8114039e+17,4.32e+12,1.2698426e+16,4.3657216e+15,4.568937e+18,2.8663474e+20,0,2120823.2,79182.377,2200005.6,0,1.35e+21,7.9190296,1.5943495e-08,7.9190296,0,0,1.7506546e+08,-9.3841831e+12,3.4920979e+09,-1.1007521e+10,-1.8113199e+09,-43650745,-4.5690385e+10,2182537.3,2.2845192e+09,6.5239363e+09,6.5239363e+09,1.0687912e+11,6.6799451e+09,1023713.6
6000,30,0,31541597,3.4694955e+15,7.0598775e+16,1.7002542e+21,0,2.0332699e+18,2.0048433e+17,4.32e+12,1.5657113e+16,5.5413211e+15,4.4060781e+18,3.6450766e+20,0,3570658.9,175436.4,3746095.3,0,1.35e+21,17.545395,0,17.545395,0,9.765625e-08,1.6378786e+08,-6.5456321e+12,4.1292623e+09,-2.0327786e+10,-2.0047371e+09,-55407899,-4.4061418e+10,2770395,2.2030709e+09,7.9876274e+09,7.9876274e+09,1.3034708e+11,8.1466924e+09,1655195.3
8000,40,0,42380509,5.7150808e+15,9.2334621e+16,1.6449631e+21,0,3.0365734e+18,2.2264771e+17,4.32e+12,1.776096e+16,6.4999817e+15,4.3062206e+18,4.1884769e+20,0,5277713.8,326598.37,5604312.2,0,1.35e+21,32.663104,-2.9510637e-08,32.663104,0,0,1.5323758e+08,-4.6369224e+12,4.4966861e+09,-3.0360671e+10,-2.2263635e+09,-64995519,-4.3062583e+10,3249775.9,2.1531292e+09,9.6369159e+09,9.6369159e+09,1.4378661e+11,8.9866631e+09,2513302
10000,50,0,54619365,8.5735726e+15,1.1367815e+17,1.6055182e+21,0,4.0404143e+18,2.4530657e+17,4.32e+12,1.9285487e+16,7.2692898e+15,4.2499629e+18,4.572974e+20,0,7245824.5,546373.1,7792197.6,0,1.35e+21,54.642774,6.8715416e-08,54.642774,0,0,1.4336773e+08,-3.3337581e+12,4.6922137e+09,-4.0399201e+10,-2.4529537e+09,-72689483,-4.2499825e+10,3634474.1,2.1249913e+09,1.1329255e+10,1.1329255e+10,1.5086315e+11,9.4289468e+09,3611974.2
12000,60,0,67953626,1.2072465e+16,1.348118e+17,1.5769668e+21,0,5.0033994e+18,2.6709354e+17,4.32e+12,2.0406605e+16,7.8737481e+15,4.2239522e+18,4.8486507e+20,0,9480075.6,848792.49,10328868,0,1.35e+21,84.887738,-7.3269746e-10,84.887738,0,0,1.3413441e+08,-2.4309858e+12,4.7764305e+09,-5.0029325e+10,-2.6708301e+09,-78734833,-4.2239593e+10,3936741.7,2.1119796e+09,1.2979268e+10,1.2979268e+10,1.5388325e+11,9.6177031e+09,4957664.6
14000,70,0,82108940,1.6231057e+16,1.5586183e+17,1.5560119e+21,0,5.9024078e+18,2.8723132e+17,4.32e+12,2.1239035e+16,8.3350994e+15,4.2188168e+18,5.048807e+20,0,11986034,1247982,13234016,0,1.35e+21,124.81068,0,124.81068,0,9.765625e-08,1.2549658e+08,-1.7968133e+12,4.7876651e+09,-5.9019766e+10,-2.8722174e+09,-83349012,-4.2188154e+10,4167450.6,2.1094077e+09,1.453743e+10,1.453743e+10,1.5431769e+11,9.6448554e+09,6550918.3
16000,80,0,96844957,2.1061314e+16,1.7691468e+17,1.5404274e+21,0,6.7257601e+18,3.0531053e+17,4.32e+12,2.1859265e+16,8.6726176e+15,4.2278629e+18,5.1958911e+20,0,14769268,1757962.8,16527231,0,1.35e+21,175.81387,0,175.81387,0,9.765625e-08,1.1741582e+08,-1.3453299e+12,4.7506852e+09,-6.7253683e+10,-3.0530204e+09,-86724769,-4.2278557e+10,4336238.4,2.1139279e+09,1.5976841e+10,1.5976841e+10,1.5311535e+11,9.5697093e+09,8387733.9
18000,90,0,1.1195504e+08,2.6568743e+16,1.9802811e+17,1.5286896e+21,0,7.4689291e+18,3.2115256e+17,4.32e+12,2.2319495e+16,8.9033689e+15,4.2462374e+18,5.3052333e+20,0,17835034,2392489.7,20227523,0,1.35e+21,239.2729,-4.3061306e-08,239.2729,0,0,1.0985622e+08,-1.0197495e+12,4.6818297e+09,-7.4685777e+10,-3.211452e+09,-89032776,-4.2462265e+10,4451638.8,2.1231132e+09,1.7284902e+10,1.7284902e+10,1.5089459e+11,9.4309119e+09,10460697
20000,100,0,1.2726408e+08,3.2753254e+16,2.1923887e+17,1.5197423e+21,0,8.1318176e+18,3.3472352e+17,4.32e+12,2.2656231e+16,9.0424467e+15,4.27038e+18,5.3874328e+20,0,21188080,3164921.1,24353001,0,1.35e+21,316.52376,-7.0218675e-09,316.52376,0,0,1.0278416e+08,-7.8203683e+11,4.5920911e+09,-8.1315058e+10,-3.3471729e+09,-90423977,-4.270367e+10,4521198.9,2.1351835e+09,1.8458018e+10,1.8458018e+10,1.4806163e+11,9.253852e+09,12759910
22000,110,0,1.4262543e+08,3.9609973e+16,2.4056821e+17,1.5128439e+21,0,8.7170165e+18,3.4607945e+17,4.32e+12,2.2895655e+16,9.1031821e+15,4.297658e+18,5.4499031e+20,0,24832523,4088119.8,28920643,0,1.35e+21,408.85286,3.7891084e-08,408.85286,0,0,96168198,-6.0639188e+11,4.4890004e+09,-8.7167427e+10,-3.4607431e+09,-91031692,-4.2976439e+10,4551584.6,2.148822e+09,1.9498199e+10,1.9498199e+10,1.4488487e+11,9.0553042e+09,15273746
24000,120,0,1.5791779e+08,4.7130006e+16,2.6202583e+17,1.5074679e+21,0,9.2286847e+18,3.5533093e+17,4.32e+12,2.3057042e+16,9.0973334e+15,4.326116e+18,5.4978871e+20,0,28771768,5174378.5,33946147,0,1.35e+21,517.4896,0,517.4896,0,9.765625e-08,89978920,-4.7510167e+11,4.3778005e+09,-9.2284464e+10,-3.5532681e+09,-90973511,-4.3261018e+10,4548675.6,2.1630509e+09,2.0410854e+10,2.0410854e+10,1.4154212e+11,8.8463827e+09,17989456
26000,130,0,1.7304205e+08,5.5301134e+16,2.8361281e+17,1.503236e+21,0,9.6718245e+18,3.6261997e+17,4.32e+12,2.3154943e+16,9.0352557e+15,4.3543035e+18,5.5351309e+20,0,33008475,6435369,39443844,0,1.35e+21,643.60126,9.5838686e-08,643.60126,0,0,84188806,-3.7586423e+11,4.2621906e+09,-9.6716192e+10,-3.6261679e+09,-90352992,-4.3542897e+10,4517649.6,2.1771448e+09,2.120336e+10,2.120336e+10,1.3815111e+11,8.6344446e+09,20893660
28000,140,0,1.879184e+08,6.4108435e+16,3.0532383e+17,1.4998733e+21,0,1.0051817e+19,3.681048e+17,4.32e+12,2.3200624e+16,8.9260533e+15,4.3811511e+18,5.5643382e+20,0,37544543,7882109.3,45426652,0,1.35e+21,788.28976,0,788.28976,0,1.953125e-07,78772115,-3.0004067e+11,4.1448071e+09,-1.0051642e+11,-3.6810249e+09,-89261183,-4.3811381e+10,4463059.1,2.1905691e+09,2.1884126e+10,2.1884126e+10,1.3478928e+11,8.4243303e+09,23972736
30000,150,0,2.0248375e+08,7.3534843e+16,3.2714881e+17,1.4971781e+21,0,1.0374122e+19,3.719499e+17,4.32e+12,2.3203005e+16,8.7777161e+15,4.4058818e+18,5.587478e+20,0,42381116,9524947,51906063,0,1.35e+21,952.58996,1.5396267e-08,952.58996,0,0,73704762,-2.4149972e+11,4.0275405e+09,-1.0373974e+11,-3.7194836e+09,-87777988,-4.4058701e+10,4388899.4,2.202935e+09,2.2461984e+10,2.2461984e+10,1.315069e+11,8.2191811e+09,27213125
32000,160,0,2.1668937e+08,8.3561644e+16,3.4907425e+17,1.4950007e+21,0,1.0644093e+19,3.7431935e+17,4.32e+12,2.3169302e+16,8.5972422e+15,4.4279451e+18,5.6059972e+20,0,47518605,11373556,58892161,0,1.35e+21,1137.4693,0,1137.4693,0,9.765625e-08,68964219,-1.9584529e+11,3.9117482e+09,-1.064397e+11,-3.743185e+09,-85973394,-4.4279348e+10,4298669.7,2.2139674e+09,2.2945796e+10,2.2945796e+10,1.2833576e+11,8.0209849e+09,30601578
34000,170,0,2.3049887e+08,9.4168898e+16,3.7108423e+17,1.4932291e+21,0,1.086686e+19,3.7537256e+17,4.32e+12,2.3105459e+16,8.3907474e+15,4.4469672e+18,5.620968e+20,0,52956723,13436942,66393664,0,1.35e+21,1343.8286,0,1343.8286,0,9.765625e-08,64529407,-1.5989429e+11,3.7984006e+09,-1.0866759e+11,-3.7537233e+09,-83908562,-4.4469585e+10,4195428.1,2.2234792e+09,2.3344206e+10,2.3344206e+10,1.2529508e+11,7.8309423e+09,34125339
