iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,6.72e+12,2.41,6.64,4.01e+20,0,1.69e+10,8.86e+18,1e+14,1.73e+18,2.46,8.95,1.66e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6571643e-310,4.6571643e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,76653316,4.5147115e+15,1.015126e+16,7.2133516e+20,0,4.9757881e+18,8.3419085e+18,4.32e+12,5.9607858e+16,1.9105896e+15,2.58807e+18,1.3342749e+21,0,379653.85,168846.51,548500.36,0,1.35e+21,16.886339,2.0356595e-08,16.886339,0,0,1.8712053e+08,2.6122795e+13,1.7115098e+10,-4.973706e+10,-8.34224e+10,-19097586,-2.5876033e+10,954879.3,1.2938017e+09,2.5097146e+10,2.5097146e+10,5.1948292e+11,3.2467683e+10,2975931.1
4000,20,0,1.0266118e+08,9.9647657e+15,2.5253363e+16,9.3818375e+20,0,8.5116886e+18,7.6972947e+18,4.32e+12,5.2579667e+16,3.4323268e+15,3.4038904e+18,1.113706e+21,0,1110876.8,438316.73,1549193.5,0,1.35e+21,43.836056,-1.8074132e-08,43.836056,0,0,1.7506546e+08,1.7833153e+13,1.4462326e+10,-8.5101977e+10,-7.6976073e+10,-34316331,-3.4035347e+10,1715816.5,1.7017674e+09,3.0789887e+10,3.0789887e+10,4.1537519e+11,2.5960949e+10,4686474.7
6000,30,0,1.2787909e+08,1.6346797e+16,4.3947717e+16,1.0872792e+21,0,1.1057809e+19,7.0929398e+18,4.32e+12,4.779372e+16,4.6967532e+15,4.0316454e+18,9.620212e+20,0,2222569.7,826641.51,3049211.2,0,1.35e+21,82.672418,4.3355001e-08,82.672418,0,0,1.6378786e+08,1.2358782e+13,1.2606195e+10,-1.105673e+11,-7.0932314e+10,-46961798,-4.031369e+10,2348089.9,2.0156845e+09,3.4689196e+10,3.4689196e+10,3.4406945e+11,2.1504341e+10,6710658.2
8000,40,0,1.5204667e+08,2.3648259e+16,6.5431804e+16,1.1913061e+21,0,1.2907963e+19,6.5310218e+18,4.32e+12,4.4421912e+16,5.7357878e+15,4.5232574e+18,8.5618959e+20,0,3739775.2,1351501,5091276.3,0,1.35e+21,135.16362,6.4819119e-09,135.16362,0,0,1.5323758e+08,8.6875995e+12,1.124758e+10,-1.2907176e+11,-6.5312921e+10,-57353197,-4.5230393e+10,2867659.9,2.2615196e+09,3.7347732e+10,3.7347732e+10,2.9395321e+11,1.8372076e+10,9016862.4
10000,50,0,1.7505015e+08,3.184628e+16,8.9115453e+16,1.2649018e+21,0,1.4257842e+19,6.0113028e+18,4.32e+12,4.1954649e+16,6.5778215e+15,4.913285e+18,7.8134485e+20,0,5679947.7,2029587.2,7709534.8,0,1.35e+21,202.97901,8.690273e-08,202.97901,0,0,1.4336773e+08,6.1897322e+12,1.0208289e+10,-1.4257268e+11,-6.0115524e+10,-65774453,-4.9131111e+10,3288722.7,2.4565555e+09,3.9130699e+10,3.9130699e+10,2.5778642e+11,1.6111651e+10,11576052
12000,60,0,1.9685291e+08,4.0910625e+16,1.1455137e+17,1.3176579e+21,0,1.524059e+19,5.5322411e+18,4.32e+12,4.0074003e+16,7.2480849e+15,5.2253038e+18,7.2774118e+20,0,8055054.5,2876472,10931527,0,1.35e+21,287.67597,-3.1026445e-08,287.67597,0,0,1.3413441e+08,4.4668074e+12,9.3802554e+09,-1.5240173e+11,-5.5324709e+10,-72477888,-5.2251643e+10,3623894.4,2.6125821e+09,4.0284286e+10,4.0284286e+10,2.3097841e+11,1.4436151e+10,14361716
14000,70,0,2.1745872e+08,5.0806055e+16,1.4139086e+17,1.3559514e+21,0,1.5948729e+19,5.09163e+18,4.32e+12,3.8579147e+16,7.7689796e+15,5.4758167e+18,6.888952e+20,0,10872872,3906547.3,14779419,0,1.35e+21,390.6938,0,390.6938,0,9.765625e-08,1.2549658e+08,3.2629877e+12,8.6967405e+09,-1.5948432e+11,-5.0918411e+10,-77687530,-5.4757047e+10,3884376.5,2.7378523e+09,4.0977764e+10,4.0977764e+10,2.1057066e+11,1.3160666e+10,17349564
16000,80,0,2.3689238e+08,6.1494135e+16,1.6935505e+17,1.3840811e+21,0,1.6447918e+19,4.6869674e+18,4.32e+12,3.7341815e+16,8.1603753e+15,5.6766895e+18,6.6043351e+20,0,14137826,5133010.2,19270837,0,1.35e+21,513.35235,0,513.35235,0,9.765625e-08,1.1741582e+08,2.4115738e+12,8.1157383e+09,-1.6447712e+11,-4.6871612e+10,-81602090,-5.6765999e+10,4080104.5,2.8383e+09,4.1329806e+10,4.1329806e+10,1.9462609e+11,1.2164131e+10,20517230
18000,90,0,2.5518959e+08,7.2934577e+16,1.9821592e+17,1.4049829e+21,0,1.6785717e+19,4.3156679e+18,4.32e+12,3.6279293e+16,8.4398777e+15,5.8366911e+18,6.3936684e+20,0,17851585,6567879.6,24419465,0,1.35e+21,656.85364,-3.6876145e-08,656.85364,0,0,1.0985622e+08,1.8024421e+12,7.6102661e+09,-1.6785583e+11,-4.3158457e+10,-84397632,-5.8366201e+10,4219881.6,2.9183101e+09,4.1425235e+10,4.1425235e+10,1.818567e+11,1.1366044e+10,23844044
