iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.89e+10,3.96,2.59,1.81e+21,0,1.47e+11,2.77e+14,6.07e+18,1.5e+12,28.7,1.99,2.5e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6582954e-310,4.6582954e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,21701970,2.9991e+16,5.9293076e+14,1.7150667e+21,0,1.0279527e+18,3.7203869e+16,4.32e+12,1.5490495e+16,5.4944441e+18,2.5237256e+17,3.4414751e+20,0,22165.836,1121718.6,1143884.4,0,1.35e+21,112.18308,-3.9918845e-08,112.18308,0,0,1.8712053e+08,-7.7689499e+12,4.446992e+09,-1.027399e+10,-3.7183493e+08,-5.4947179e+10,-2.5223028e+09,2.747359e+09,1.2611514e+08,7.2693911e+09,7.2693911e+09,1.3396116e+11,8.3725725e+09,842541.05
4000,20,0,31309177,5.7765528e+16,2.5995791e+15,1.6503447e+21,0,2.1719556e+18,7.8802811e+16,4.32e+12,1.8101039e+16,4.9732698e+18,5.4992027e+17,4.0787689e+20,0,114331.42,2541078.2,2655409.6,0,1.35e+21,254.13323,2.3815943e-08,254.13323,0,0,1.7506546e+08,-5.3457199e+12,4.9782201e+09,-2.1713734e+10,-7.8781859e+08,-4.9735176e+10,-5.4976676e+09,2.4867588e+09,2.7488338e+08,9.072384e+09,9.072384e+09,1.5210231e+11,9.5063947e+09,1429261.4
6000,30,0,42577740,8.3618025e+16,6.1399531e+15,1.6054557e+21,0,3.3323471e+18,1.201918e+17,4.32e+12,1.9939435e+16,4.5015804e+18,8.6087109e+17,4.5169535e+20,0,310478.15,4228735.1,4539213.3,0,1.35e+21,422.9158,8.0673317e-09,422.9158,0,0,1.6378786e+08,-3.7404767e+12,5.2588541e+09,-3.3317737e+10,-1.2017151e+09,-4.5018047e+10,-8.6071474e+09,2.2509023e+09,4.3035737e+08,1.09627e+10,1.09627e+10,1.61533e+11,1.0095812e+10,2234334.5
8000,40,0,55197959,1.0782247e+17,1.1246144e+16,1.5738058e+21,0,4.4519864e+18,1.594946e+17,4.32e+12,2.1258013e+16,4.0746742e+18,1.1718813e+18,4.8227315e+20,0,642720,6162408,6805128,0,1.35e+21,616.30243,7.9503479e-09,616.30243,0,0,1.5323758e+08,-2.6596413e+12,5.3821913e+09,-4.4514427e+10,-1.5947566e+09,-4.0748772e+10,-1.1717273e+10,2.0374386e+09,5.8586366e+08,1.2822836e+10,1.2822836e+10,1.6556458e+11,1.0347786e+10,3273418.5
10000,50,0,68873844,1.3062062e+17,1.789705e+16,1.5511358e+21,0,5.4994812e+18,1.9571053e+17,4.32e+12,2.2215899e+16,3.6882964e+18,1.4747033e+18,5.0391406e+20,0,1140625,8324971.8,9465596.8,0,1.35e+21,832.58044,7.3597334e-08,832.58044,0,0,1.4336773e+08,-1.9204592e+12,5.4052742e+09,-5.4989785e+10,-1.9569329e+09,-3.6884801e+10,-1.4745548e+10,1.84424e+09,7.3727742e+08,1.4585825e+10,1.4585825e+10,1.6624493e+11,1.0390308e+10,4554621.8
12000,60,0,83336683,1.5222518e+17,2.6038761e+16,1.5346508e+21,0,6.4591276e+18,2.2836491e+17,4.32e+12,2.2915817e+16,3.3385965e+18,1.7643135e+18,5.1943782e+20,0,1830898.3,10703624,12534522,0,1.35e+21,1070.4694,4.2447482e-08,1070.4694,0,0,1.3413441e+08,-1.4073049e+12,5.3638008e+09,-6.458671e+10,-2.2834951e+09,-3.3387627e+10,-1.7641725e+10,1.6693814e+09,8.8208627e+08,1.6215723e+10,1.6215723e+10,1.648576e+11,1.03036e+10,6079959.9
14000,70,0,98349814,1.7282282e+17,3.5597538e+16,1.5224889e+21,0,7.3247808e+18,2.5730081e+17,4.32e+12,2.3425746e+16,3.0220901e+18,2.0377597e+18,5.307188e+20,0,2737301,13289156,16026457,0,1.35e+21,1329.0485,0,1329.0485,0,9.765625e-08,1.2549658e+08,-1.045888e+12,5.2806299e+09,-7.3243717e+10,-2.5728727e+09,-3.0222406e+10,-2.0376273e+10,1.5111203e+09,1.0188137e+09,1.7695695e+10,1.7695695e+10,1.6221642e+11,1.0138526e+10,7846668.1
16000,80,0,1.1370897e+08,1.9257687e+17,4.6488219e+16,1.513392e+21,0,8.0960749e+18,2.8255258e+17,4.32e+12,2.3791866e+16,2.7356241e+18,2.2934378e+18,5.3902013e+20,0,3880699.6,16075327,19956026,0,1.35e+21,1607.6934,0,1607.6934,0,9.765625e-08,1.1741582e+08,-7.8777132e+11,5.170728e+09,-8.0957125e+10,-2.8254085e+09,-2.7357603e+10,-2.2933145e+10,1.3678802e+09,1.1466573e+09,1.9020652e+10,1.9020652e+10,1.5884227e+11,9.9276417e+09,9848325.1
18000,90,0,1.2924053e+08,2.1162987e+17,5.8619718e+16,1.5064981e+21,0,8.7760688e+18,3.0426798e+17,4.32e+12,2.4046426e+16,2.476345e+18,2.530631e+18,5.4520407e+20,0,5279185.1,19058319,24337504,0,1.35e+21,1906.0225,-4.3977025e-08,1906.0225,0,0,1.0985622e+08,-6.0092932e+11,5.0441005e+09,-8.7757508e+10,-3.0425797e+09,-2.4764682e+10,-2.5305171e+10,1.2382341e+09,1.2652585e+09,2.0192651e+10,2.0192651e+10,1.5507079e+11,9.6919245e+09,12075794
