iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,5.38e+10,33.3,80.9,1.9e+21,0,1.56e+15,9.93e+10,1.04e+18,1.07e+15,6.19,19.8,1.72e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6704335e-310,4.6704335e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,9286108.2,5.5311426e+15,3.8560519e+14,1.7810676e+21,0,7.7430606e+17,2.4975791e+16,4.32e+12,1.1377268e+16,9.4289572e+17,1.7068431e+17,2.9004682e+20,0,14414.7,206871.27,221285.97,0,1.35e+21,20.689196,3.2263618e-08,20.689196,0,0,1.8712053e+08,-9.7318318e+12,3.2659413e+09,-7.7385325e+09,-2.4960709e+08,-9.4294194e+09,-1.7057908e+09,4.7147097e+08,85289541,2.4158287e+09,2.4158287e+09,1.1289605e+11,7.0560033e+09,360516.92
4000,20,0,17132587,1.1061659e+16,1.8108636e+15,1.7000015e+21,0,1.7570716e+18,5.7682683e+16,4.32e+12,1.4648234e+16,8.5486875e+17,4.0445504e+17,3.6994326e+20,0,79640.824,486587.48,566228.3,0,1.35e+21,48.663614,-5.6562612e-09,48.663614,0,0,1.7506546e+08,-6.6948838e+12,4.0284822e+09,-1.7565524e+10,-5.7665423e+08,-8.5491063e+09,-4.0432878e+09,4.2745532e+08,2.0216439e+08,4.2804477e+09,4.2804477e+09,1.3795301e+11,8.6220631e+09,782101.22
6000,30,0,26954259,1.6694182e+16,4.4937689e+15,1.643789e+21,0,2.8181596e+18,9.2887632e+16,4.32e+12,1.6968025e+16,7.7510636e+17,6.6841304e+17,4.2486638e+20,0,227231,844240.68,1071471.7,0,1.35e+21,84.432511,3.1706961e-08,84.432511,0,0,1.6378786e+08,-4.6835185e+12,4.4750853e+09,-2.817624e+10,-9.28699e+08,-7.7514431e+09,-6.6827679e+09,3.8757216e+08,3.3413839e+08,6.3190897e+09,6.3190897e+09,1.5193653e+11,9.4960329e+09,1414467.5
8000,40,0,38417846,2.251772e+16,8.5389233e+15,1.604163e+21,0,3.8798231e+18,1.2795562e+17,4.32e+12,1.8651018e+16,7.0282949e+17,9.4485745e+17,4.6318148e+20,0,487993.86,1286931.7,1774925.5,0,1.35e+21,128.70604,-2.326891e-08,128.70604,0,0,1.5323758e+08,-3.3296019e+12,4.7220837e+09,-3.8793006e+10,-1.2793841e+09,-7.0286388e+09,-9.4471819e+09,3.5143194e+08,4.7235909e+08,8.3775093e+09,8.3775093e+09,1.5900912e+11,9.93807e+09,2278303.2
10000,50,0,51198298,2.8606667e+16,1.3979628e+16,1.5757841e+21,0,4.8971981e+18,1.6137092e+17,4.32e+12,1.989487e+16,6.3733271e+17,1.2225325e+18,4.9028615e+20,0,890946.45,1823172.5,2714118.9,0,1.35e+21,182.33548,8.0892704e-08,182.33548,0,0,1.4336773e+08,-2.4039729e+12,4.8405112e+09,-4.8967052e+10,-1.6135478e+09,-6.3736387e+09,-1.2223947e+10,3.1868194e+08,6.1119734e+08,1.0365473e+10,1.0365473e+10,1.6174815e+11,1.0109259e+10,3385739.4
12000,60,0,64996901,3.5022253e+16,2.0803702e+16,1.5551487e+21,0,5.8456314e+18,1.922982e+17,4.32e+12,2.0826663e+16,5.7797728e+17,1.4942781e+18,5.0971698e+20,0,1462783.7,2462507.6,3925291.4,0,1.35e+21,246.27539,-1.8714758e-08,246.27539,0,0,1.3413441e+08,-1.7616494e+12,4.874771e+09,-5.8451768e+10,-1.9228344e+09,-5.7800552e+09,-1.4941446e+10,2.8900276e+08,7.4707228e+08,1.2232225e+10,1.2232225e+10,1.6177187e+11,1.0110742e+10,4741952
14000,70,0,79548237,4.1813928e+16,2.8970017e+16,1.5399235e+21,0,6.7129441e+18,2.2032053e+17,4.32e+12,2.1530052e+16,5.2418482e+17,1.7555817e+18,5.2382501e+20,0,2227653.9,3215187.3,5442841.2,0,1.35e+21,321.55089,0,321.55089,0,9.765625e-08,1.2549658e+08,-1.3094828e+12,4.8532787e+09,-6.7125317e+10,-2.2030728e+09,-5.2421042e+09,-1.7554542e+10,2.6210521e+08,8.777271e+08,1.3951508e+10,1.3951508e+10,1.6010891e+11,1.0006807e+10,6346617.1
16000,80,0,94621497,4.902069e+16,3.8419274e+16,1.5285318e+21,0,7.4946456e+18,2.4527992e+17,4.32e+12,2.2061493e+16,4.7543158e+17,2.0036697e+18,5.3419471e+20,0,3207105.2,4091891,7298996.2,0,1.35e+21,409.23002,0,409.23002,0,9.765625e-08,1.1741582e+08,-9.8674314e+11,4.794644e+09,-7.4942762e+10,-2.4526821e+09,-4.7545478e+09,-2.0035492e+10,2.3772739e+08,1.0017746e+09,1.5512279e+10,1.5512279e+10,1.5742001e+11,9.8387504e+09,8195160.3
18000,90,0,1.1001904e+08,5.6672344e+16,4.9081126e+16,1.5198938e+21,0,8.1909393e+18,2.6717854e+17,4.32e+12,2.2460105e+16,4.3124329e+17,2.236927e+18,5.4190782e+20,0,4420130.2,5103496.6,9523626.8,0,1.35e+21,510.4007,3.1544914e-08,510.4007,0,0,1.0985622e+08,-7.5328034e+11,4.7113301e+09,-8.190612e+10,-2.6716834e+09,-4.3126432e+09,-2.2368143e+10,2.1563216e+08,1.1184071e+09,1.6912901e+10,1.6912901e+10,1.5413306e+11,9.6333162e+09,10279803
