iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9.83e+15,20.2,1.04,1.26e+21,0,8.01e+20,7.72e+17,7.05e+14,9.1e+12,3.31,2.14,1.07e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.644339e-310,4.644339e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3.0774328e+09,1.1638567e+17,2.6982011e+16,1.1649215e+21,0,7.3744825e+20,2.2417772e+18,4.32e+12,5.6123026e+17,2.4580442e+15,1.0527863e+19,1.5663801e+20,0,1008756.6,4352825.2,5361581.7,0,1.35e+21,435.32605,5.6122303e-08,435.32605,0,0,1.8712053e+08,-7.1828575e+12,1.6113819e+11,-7.3747859e+12,-2.2410835e+10,-24572405,-1.0522776e+11,1228620.2,5.2613881e+09,1.2675224e+12,1.2675224e+12,6.0955425e+10,3.809714e+09,1.1947595e+08
4000,20,0,3.369829e+09,2.4580314e+17,1.0502438e+17,1.1103289e+21,0,6.7942858e+20,3.4849872e+18,4.32e+12,5.2894981e+17,3.9276897e+15,1.9894237e+19,2.5846584e+20,0,4619284.6,10812296,15431581,0,1.35e+21,1081.3378,3.0950105e-08,1081.3378,0,0,1.7506546e+08,-3.974545e+12,1.4548699e+11,-6.7945632e+12,-3.484434e+10,-39270207,-1.9889942e+11,1963510.4,9.9449708e+09,1.1798984e+12,1.1798984e+12,9.6375379e+10,6.0234612e+09,1.5383242e+08
6000,30,0,3.6086977e+09,3.8593698e+17,2.263883e+17,1.0816532e+21,0,6.2634577e+20,4.4680275e+18,4.32e+12,4.9777004e+17,5.1449887e+15,2.7764983e+19,3.3114076e+20,0,11448221,19516880,30965101,0,1.35e+21,1951.8832,1.0136773e-08,1951.8832,0,0,1.6378786e+08,-1.911905e+12,1.3129168e+11,-6.2637117e+12,-4.4675944e+10,-51444377,-2.7761394e+11,2572218.8,1.3880697e+10,1.0988041e+12,1.0988041e+12,1.1841462e+11,7.4009139e+09,1.8937214e+08
8000,40,0,3.8001076e+09,5.347252e+17,3.8398856e+17,1.0696817e+21,0,5.7770409e+20,5.2292001e+18,4.32e+12,4.6793655e+17,6.1413897e+15,3.430602e+19,3.8417574e+20,0,21945828,30560266,52506095,0,1.35e+21,3056.3323,-1.5238584e-09,3056.3323,0,0,1.5323758e+08,-5.7960835e+11,1.184809e+11,-5.7772737e+12,-5.2288691e+10,-61409419,-3.4303055e+11,3070471,1.7151528e+10,1.0236193e+12,1.0236193e+12,1.3188338e+11,8.2427114e+09,2.2535874e+08
10000,50,0,3.9495068e+09,6.9033701e+17,5.7152844e+17,1.0685032e+21,0,5.3308024e+20,5.8023242e+18,4.32e+12,4.395659e+17,6.9448581e+15,3.9670793e+19,4.2372613e+20,0,36426123,43996608,80422730,0,1.35e+21,4400.1008,5.3128133e-08,4400.1008,0,0,1.4336773e+08,2.806175e+11,1.069546e+11,-5.3310161e+12,-5.8020795e+10,-69445004,-3.9668381e+11,3472250.2,1.983419e+10,9.5382782e+11,9.5382782e+11,1.3978722e+11,8.7367011e+09,2.6118057e+08
12000,60,0,4.0618007e+09,8.5115057e+17,7.8343743e+17,1.0742742e+21,0,4.9210593e+20,6.2169894e+18,4.32e+12,4.1269806e+17,7.5802396e+15,4.3999563e+19,4.5384087e+20,0,55088443,59846565,1.1493501e+08,0,1.35e+21,5985.255,-3.5352969e-08,5985.255,0,0,1.3413441e+08,8.3192793e+11,9.6602664e+10,-4.9212556e+12,-6.2168172e+10,-75799601,-4.3997636e+11,3789980.1,2.1998818e+10,8.88987e+11,8.88987e+11,1.4403628e+11,9.0022673e+09,2.9633512e+08
14000,70,0,4.141411e+09,1.0157328e+18,1.0148075e+18,1.0844669e+21,0,4.5445627e+20,6.4989153e+18,4.32e+12,3.8732733e+17,8.0695872e+15,4.7419524e+19,4.7722618e+20,0,78036442,78102623,1.5613907e+08,0,1.35e+21,7811.0434,-3.5096491e-08,7811.0434,0,0,1.2549658e+08,1.1789242e+12,8.7314876e+10,-4.5447431e+12,-6.4988036e+10,-80693757,-4.7418022e+11,4034687.8,2.3709011e+10,8.2870908e+11,8.2870908e+11,1.4586434e+11,9.116521e+09,3.3041524e+08
16000,80,0,4.1923243e+09,1.1828211e+18,1.2613308e+18,1.0974022e+21,0,4.1984172e+20,6.6703461e+18,4.32e+12,3.6342081e+17,8.4324556e+15,5.0045371e+19,4.957193e+20,0,1.0529468e+08,98733776,2.0402846e+08,0,1.35e+21,9874.365,2.0523657e-08,9874.365,0,0,1.1741582e+08,1.3895989e+12,7.8985912e+10,-4.1985832e+12,-6.6702847e+10,-84323027,-5.0044239e+11,4216151.4,2.502212e+10,7.7264866e+11,7.7264866e+11,1.460806e+11,9.1300377e+09,3.6309687e+08
18000,90,0,4.2181343e+09,1.3513064e+18,1.5192406e+18,1.1119561e+21,0,3.8800242e+20,6.750441e+18,4.32e+12,3.4092972e+17,8.6861648e+15,5.1980092e+19,5.1058682e+20,0,1.3682307e+08,1.2168963e+08,2.5851269e+08,0,1.35e+21,12170.18,-1.3273166e-08,12170.18,0,0,1.0985622e+08,1.5087175e+12,7.1517745e+10,-3.8801769e+12,-6.7504209e+10,-86860626,-5.1979281e+11,4343031.3,2.5989641e+10,7.2049436e+11,7.2049436e+11,1.4522352e+11,9.0764699e+09,3.9412807e+08
