iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.61e+09,2.62,4.11,1.45e+21,0,6.5e+12,3.41e+20,9.6e+12,1.06e+14,2.39,5.05,2.77e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6444235e-310,4.6444235e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.316581e+09,5.0087042e+16,1.1897153e+16,1.3926872e+21,0,6.3028848e+18,3.0923334e+20,4.32e+12,2.4986113e+17,1.8287892e+15,4.6701285e+18,3.5479482e+20,0,444787.76,1873253.7,2318041.5,0,1.35e+21,187.34411,1.0174165e-07,187.34411,0,0,1.8712053e+08,-4.4475107e+12,7.1738915e+10,-6.299935e+10,-3.0924845e+12,-18279541,-4.6678632e+10,913977.04,2.3339316e+09,5.4086845e+11,5.4086845e+11,1.3810859e+11,8.631787e+09,51113957
4000,20,0,1.4470453e+09,1.0601713e+17,4.656209e+16,1.3577686e+21,0,1.1804343e+19,2.8045556e+20,4.32e+12,2.368654e+17,3.3583137e+15,8.8553285e+18,4.0872726e+20,0,2047935.7,4663436.5,6711372.3,0,1.35e+21,466.39029,1.5634953e-08,466.39029,0,0,1.7506546e+08,-2.6666486e+12,6.514935e+10,-1.1801789e+11,-2.8046926e+12,-33576163,-8.8534024e+10,1678808.1,4.4267012e+09,5.0527471e+11,5.0527471e+11,1.5242083e+11,9.5263016e+09,66057502
6000,30,0,1.5556506e+09,1.6683763e+17,1.0064665e+17,1.3372908e+21,0,1.6537033e+19,2.5435644e+20,4.32e+12,2.2416239e+17,4.6297891e+15,1.2397412e+19,4.4692762e+20,0,5089590.3,8436989.3,13526580,0,1.35e+21,843.78331,4.7797698e-08,843.78331,0,0,1.6378786e+08,-1.5116467e+12,5.9124839e+10,-1.6534851e+11,-2.5436886e+12,-46292124,-1.239579e+11,2314606.2,6.1978949e+09,4.7231671e+11,4.7231671e+11,1.5982865e+11,9.9892904e+09,81635234
8000,40,0,1.6447842e+09,2.3169605e+17,1.7109698e+17,1.3262174e+21,0,2.0554275e+19,2.306864e+20,4.32e+12,2.1190328e+17,5.6752056e+15,1.5364757e+19,4.7456393e+20,0,9778575.1,13241726,23020301,0,1.35e+21,1324.3051,7.4960553e-09,1324.3051,0,0,1.5323758e+08,-7.563039e+11,5.3653475e+10,-2.0552435e+11,-2.3069767e+12,-56747345,-1.5363406e+11,2837367.2,7.681703e+09,4.417258e+11,4.417258e+11,1.6291827e+11,1.0182392e+10,97541053
10000,50,0,1.7165916e+09,2.9983171e+17,2.5518604e+17,1.3213103e+21,0,2.3918493e+19,2.0921941e+20,4.32e+12,2.0016839e+17,6.5230183e+15,1.782137e+19,4.9497739e+20,0,16264158,19108873,35373031,0,1.35e+21,1911.0784,1.2992223e-07,1911.0784,0,0,1.4336773e+08,-2.5990759e+11,4.8704574e+10,-2.3916963e+11,-2.0922962e+12,-65226394,-1.7820259e+11,3261319.7,8.9101295e+09,4.1328464e+11,4.1328464e+11,1.6329671e+11,1.0206044e+10,1.1351806e+08
12000,60,0,1.7730094e+09,3.7056709e+17,3.5049082e+17,1.320458e+21,0,2.6694566e+19,1.8975059e+20,4.32e+12,1.889957e+17,7.1985162e+15,1.982625e+19,5.103633e+20,0,24645204,26055485,50700688,0,1.35e+21,2605.809,1.7629645e-08,2605.809,0,0,1.3413441e+08,6.6477627e+10,4.4239209e+10,-2.6693314e+11,-1.8975986e+12,-71982176,-1.9825351e+11,3599108.8,9.9126757e+09,3.8681132e+11,3.8681132e+11,1.6197748e+11,1.0123593e+10,1.2935271e+08
14000,70,0,1.8157893e+09,4.4330008e+17,4.5486776e+17,1.3222668e+21,0,2.8946104e+19,1.720942e+20,4.32e+12,1.783976e+17,7.7241534e+15,2.1433238e+19,5.2218667e+20,0,34978287,34086579,69064866,0,1.35e+21,3408.9988,0,3408.9988,0,9.765625e-08,1.2549658e+08,2.7990997e+11,4.0215906e+10,-2.8945099e+11,-1.7210261e+12,-77239247,-2.1432526e+11,3861962.3,1.0716263e+10,3.6214933e+11,3.6214933e+11,1.5960839e+11,9.9755246e+09,1.4486957e+08
16000,80,0,1.8465171e+09,5.1749689e+17,5.6642778e+17,1.3258057e+21,0,3.073343e+19,1.5608176e+20,4.32e+12,1.6837104e+17,8.1198476e+15,2.2691125e+19,5.3144005e+20,0,47284803,43197031,90481834,0,1.35e+21,4320.1351,0,4320.1351,0,9.765625e-08,1.1741582e+08,4.1751473e+11,3.6593668e+10,-3.0732642e+11,-1.5608939e+12,-81196792,-2.2690576e+11,4059839.6,1.1345288e+10,3.3916121e+11,3.3916121e+11,1.5660834e+11,9.7880212e+09,1.599267e+08
18000,90,0,1.8666285e+09,5.9268558e+17,6.8351235e+17,1.3304474e+21,0,3.2112582e+19,1.4156046e+20,4.32e+12,1.5890358e+17,8.4032471e+15,2.3643901e+19,5.3880584e+20,0,61557183,53373236,1.1493042e+08,0,1.35e+21,5337.8574,1.1777047e-08,5337.8574,0,0,1.0985622e+08,5.0376799e+11,3.3333531e+10,-3.2111986e+11,-1.4156737e+12,-84031308,-2.3643494e+11,4201565.4,1.1821747e+10,3.1772421e+11,3.1772421e+11,1.5325078e+11,9.5781735e+09,1.744114e+08
