iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,6.96e+09,2.83,83.5,1.63e+21,0,4.07e+20,1.56e+17,1.18e+13,5.65e+16,47.7,1.07,3.41e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6571906e-310,4.6571906e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.5651807e+09,5.9255175e+16,1.3960635e+16,1.506766e+21,0,3.7492816e+20,9.3781974e+17,4.32e+12,2.888504e+17,1.8307801e+15,5.4340896e+18,1.8288447e+20,0,521937.39,2216142.3,2738079.7,0,1.35e+21,221.63639,1.4629194e-08,221.63639,0,0,1.8712053e+08,-9.7773754e+12,8.2933198e+10,-3.7494341e+12,-9.3745194e+09,-18299451,-5.4314726e+10,914972.54,2.7157363e+09,6.4415911e+11,6.4415911e+11,7.1172853e+10,4.4483033e+09,60765408
4000,20,0,1.7168737e+09,1.2534357e+17,5.4232706e+16,1.4280091e+21,0,3.458327e+20,1.6013627e+18,4.32e+12,2.7444758e+17,3.3601157e+15,1.0275754e+19,2.8513994e+20,0,2385315.6,5513561.6,7898877.2,0,1.35e+21,551.4113,3.4208597e-08,551.4113,0,0,1.7506546e+08,-6.2302685e+12,7.5486191e+10,-3.4584657e+12,-1.6010654e+10,-33594183,-1.0273523e+11,1679709.2,5.1367617e+09,6.0042402e+11,6.0042402e+11,1.063232e+11,6.6451999e+09,78375146
6000,30,0,1.8424523e+09,1.9712103e+17,1.1699721e+17,1.3781054e+21,0,3.1932458e+20,2.1334622e+18,4.32e+12,2.6001661e+17,4.6314207e+15,1.4381601e+19,3.5679414e+20,0,5916423.4,9968426.5,15884850,0,1.35e+21,996.94234,1.5927526e-09,996.94234,0,0,1.6378786e+08,-3.9131959e+12,6.8581688e+10,-3.1933724e+12,-2.1332259e+10,-46308441,-1.437972e+11,2315422,7.1898599e+09,5.6016493e+11,5.6016493e+11,1.2758929e+11,7.9743309e+09,96685606
8000,40,0,1.9448324e+09,2.7356645e+17,1.9874473e+17,1.3471516e+21,0,2.9509974e+20,2.5520125e+18,4.32e+12,2.4587959e+17,5.6766838e+15,1.7824515e+19,4.0796783e+20,0,11358708,15634679,26993387,0,1.35e+21,1563.6242,2.8676823e-08,1563.6242,0,0,1.5323758e+08,-2.3825035e+12,6.2256206e+10,-2.9511133e+12,-2.5518289e+10,-56762128,-1.7822947e+11,2838106.4,8.9114734e+09,5.2296456e+11,5.2296456e+11,1.400518e+11,8.7532376e+09,1.1533489e+08
10000,50,0,2.0266139e+09,3.5377083e+17,2.9632027e+17,1.3287715e+21,0,2.7291201e+20,2.873322e+18,4.32e+12,2.322194e+17,6.5243586e+15,2.0675114e+19,4.4520025e+20,0,18885830,22546529,41432359,0,1.35e+21,2254.8784,7.5498065e-08,2254.8784,0,0,1.4336773e+08,-1.3621605e+12,5.6503171e+10,-2.7292263e+12,-2.8731831e+10,-65239798,-2.0673825e+11,3261989.9,1.0336913e+10,4.8849922e+11,4.8849922e+11,1.4687222e+11,9.1795138e+09,1.3401981e+08
12000,60,0,2.0901316e+09,4.3692645e+17,4.06908e+17,1.3187999e+21,0,2.5255619e+20,3.1119664e+18,4.32e+12,2.1913548e+17,7.1997328e+15,2.2999905e+19,4.7278427e+20,0,28612251,30721385,59333636,0,1.35e+21,3072.4458,2.3077973e-08,3072.4458,0,0,1.3413441e+08,-6.776605e+11,5.1294204e+10,-2.5256594e+12,-3.1118655e+10,-71994343,-2.2998863e+11,3599717.2,1.1499432e+10,4.5650804e+11,4.5650804e+11,1.5004896e+11,9.3780601e+09,1.5248887e+08
14000,70,0,2.1374911e+09,5.2231707e+17,5.2800921e+17,1.3144792e+21,0,2.3385726e+20,3.2808089e+18,4.32e+12,2.0667672e+17,7.7252594e+15,2.4860429e+19,4.9358125e+20,0,40602699,40162429,80765129,0,1.35e+21,4016.6446,0,4016.6446,0,9.765625e-08,1.2549658e+08,-2.1700352e+11,4.6590848e+10,-2.3386623e+12,-3.2807399e+10,-77250306,-2.4859605e+11,3862515.3,1.2429802e+10,4.267738e+11,4.267738e+11,1.5086377e+11,9.4289857e+09,1.7053599e+08
16000,80,0,2.1705943e+09,6.0930909e+17,6.5741757e+17,1.3139613e+21,0,2.1666325e+20,3.3911013e+18,4.32e+12,1.9486109e+17,8.1208548e+15,2.6312977e+19,5.0952654e+20,0,54880539,50860891,1.0574143e+08,0,1.35e+21,5086.5978,-2.9497642e-08,5086.5978,0,0,1.1741582e+08,9.2723656e+10,4.2351025e+10,-2.1667149e+12,-3.3910591e+10,-81206864,-2.6312344e+11,4060343.2,1.3156172e+10,3.9911078e+11,3.9911078e+11,1.5014981e+11,9.3843634e+09,1.87995e+08
18000,90,0,2.1911606e+09,6.9734359e+17,7.9319355e+17,1.315994e+21,0,2.0084041e+20,3.4526218e+18,4.32e+12,1.836876e+17,8.4041666e+15,2.740863e+19,5.2194779e+20,0,71435087,62798048,1.3423314e+08,0,1.35e+21,6280.4329,-3.5203811e-08,6280.4329,0,0,1.0985622e+08,2.9962837e+11,3.8532549e+10,-2.00848e+12,-3.4526018e+10,-84040504,-2.7408163e+11,4202025.2,1.3704082e+10,3.7335675e+11,3.7335675e+11,1.4845524e+11,9.2784525e+09,2.0473457e+08
