iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.11e+09,1.44,81.7,1.93e+21,0,7.12e+16,1.32e+20,2.53e+15,2.16e+14,24.9,4.47,3.31e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6570371e-310,4.6570371e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,5.097835e+08,1.9354471e+16,4.5125394e+15,1.7736757e+21,0,2.4015869e+18,1.1969975e+20,4.32e+12,9.7601087e+16,4.1094493e+15,1.7843325e+18,1.6769898e+20,0,168704.82,723854.48,892559.29,0,1.35e+21,72.392687,3.1881015e-08,72.392687,0,0,1.8712053e+08,-1.2684708e+13,2.8022158e+10,-2.4003935e+10,-1.1970559e+12,-41087282,-1.7834456e+10,2054364.1,8.9172282e+08,2.0927835e+11,2.0927835e+11,6.5258809e+10,4.0786756e+09,19791454
4000,20,0,5.6288971e+08,4.1207671e+16,1.7923066e+16,1.6689467e+21,0,4.7794575e+18,1.0856751e+20,4.32e+12,9.5964583e+16,5.4219332e+15,3.4582237e+18,2.7947528e+20,0,788302.92,1812620.2,2600923.1,0,1.35e+21,181.28015,-3.8694253e-08,181.28015,0,0,1.7506546e+08,-8.5539958e+12,2.6394446e+10,-4.778285e+10,-1.085728e+12,-54213390,-3.4574369e+10,2710669.5,1.7287184e+09,1.9598656e+11,1.9598656e+11,1.0420928e+11,6.5130799e+09,25695870
6000,30,0,6.0905612e+08,6.5233362e+16,3.9254253e+16,1.5979583e+21,0,7.0556786e+18,9.8478423e+19,4.32e+12,9.3415945e+16,6.4970208e+15,4.9320284e+18,3.567605e+20,0,1985032.1,3298845.5,5283877.6,0,1.35e+21,329.91754,0,329.91754,0,9.765625e-08,1.6378786e+08,-5.8299666e+12,2.4638982e+10,-7.0545811e+10,-9.8483224e+11,-64965374,-4.9313408e+10,3248268.7,2.4656704e+09,1.8410521e+11,1.8410521e+11,1.2757651e+11,7.9735321e+09,31961186
8000,40,0,6.490015e+08,9.1137321e+16,6.7514246e+16,1.5493762e+21,0,9.151571e+18,8.9332673e+19,4.32e+12,9.0365601e+16,7.3647362e+15,6.2117187e+18,4.1106246e+20,0,3858568.9,5208599,9067167.8,0,1.35e+21,520.91199,-4.7415824e-08,520.91199,0,0,1.5323758e+08,-4.0068732e+12,2.2880143e+10,-9.1505755e+10,-8.9337026e+11,-73643496,-6.2111255e+10,3682174.8,3.1055628e+09,1.7333649e+11,1.7333649e+11,1.4111384e+11,8.819615e+09,38487900
10000,50,0,6.8333581e+08,1.1865448e+17,1.0175472e+17,1.5158871e+21,0,1.1030389e+19,8.1040807e+19,4.32e+12,8.7064297e+16,8.0517557e+15,7.3088361e+18,4.4980979e+20,0,6485254.9,7562063.9,14047319,0,1.35e+21,756.28202,6.7541123e-08,756.28202,0,0,1.4336773e+08,-2.7699484e+12,2.1184114e+10,-1.1029506e+11,-8.1044753e+11,-80514533,-7.3083309e+10,4025726.7,3.6541654e+09,1.634768e+11,1.634768e+11,1.4839282e+11,9.274551e+09,45188943
12000,60,0,7.1259637e+08,1.4754599e+17,1.4109114e+17,1.4926998e+21,0,1.2680251e+19,7.3522341e+19,4.32e+12,8.3666544e+16,8.5817586e+15,8.2375903e+18,4.7787293e+20,0,9920956.3,10374290,20295246,0,1.35e+21,1037.5328,0,1037.5328,0,9.765625e-08,1.3413441e+08,-1.9201023e+12,1.95841e+10,-1.2679483e+11,-7.352592e+11,-85815293,-8.2371654e+10,4290764.6,4.1185827e+09,1.5438264e+11,1.5438264e+11,1.5166399e+11,9.4789993e+09,51988599
14000,70,0,7.3726756e+08,1.7759664e+17,1.8471184e+17,1.4766294e+21,0,1.4103821e+19,6.6704671e+19,4.32e+12,8.026796e+16,8.9757426e+15,9.0131647e+18,4.9849249e+20,0,14203857,13655858,27859716,0,1.35e+21,1365.7224,0,1365.7224,0,9.765625e-08,1.2549658e+08,-1.3294696e+12,1.8094544e+10,-1.4103164e+11,-6.6707916e+11,-89755765,-9.0128127e+10,4487788.2,4.5064063e+09,1.4594954e+11,1.4594954e+11,1.5236499e+11,9.5228118e+09,58821605
16000,80,0,7.5779201e+08,2.0861259e+17,2.3188044e+17,1.4655297e+21,0,1.531201e+19,6.0522182e+19,4.32e+12,7.6927586e+16,9.2523075e+15,9.6507372e+18,5.1385503e+20,0,19357062,17413469,36770532,0,1.35e+21,1741.5211,3.1238415e-08,1741.5211,0,0,1.1741582e+08,-9.1472928e+11,1.6719273e+10,-1.5311457e+11,-6.0525124e+11,-92521957,-9.6504504e+10,4626097.9,4.8252252e+09,1.3809891e+11,1.3809891e+11,1.5142548e+11,9.4640926e+09,65632305
18000,90,0,7.7457701e+08,2.4041944e+17,2.8193453e+17,1.4579358e+21,0,1.6320113e+19,5.4915506e+19,4.32e+12,7.368145e+16,9.4279093e+15,1.0164926e+19,5.254557e+20,0,25390955,21650473,47041429,0,1.35e+21,2165.2638,3.3183369e-08,2165.2638,0,0,1.0985622e+08,-6.2083403e+11,1.5456197e+10,-1.6319656e+11,-5.4918175e+11,-94278442,-1.0164697e+11,4713922.1,5.0823486e+09,1.3076973e+11,1.3076973e+11,1.4945312e+11,9.3408198e+09,72373832
