iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,18900000,6.84,4.9,1.98e+21,0,7.69e+10,4.45e+17,9.29e+16,1.82e+12,11.3,3.68,8.66e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6844819e-310,4.6844819e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,7129126.6,8.663124e+14,2.4869957e+14,1.8363499e+21,0,5.377161e+17,4.1990091e+17,4.32e+12,8.9017636e+15,8.5883491e+16,1.1803318e+17,2.2961834e+20,0,9296.1413,32397.474,41693.615,0,1.35e+21,3.2400714,-1.8022809e-08,3.2400714,0,0,1.8712053e+08,-1.1749367e+13,2.5551079e+09,-5.3735436e+09,-4.1990913e+09,-8.5886859e+08,-1.1795008e+09,42943429,58975039,1.820993e+09,1.820993e+09,8.9367373e+10,5.5854608e+09,276775.88
4000,20,0,14076412,2.1397814e+15,1.3127135e+15,1.7385204e+21,0,1.3778286e+18,4.0920872e+17,4.32e+12,1.273046e+16,7.941396e+16,3.1544233e+17,3.2642319e+20,0,57729.984,94116.778,151846.76,0,1.35e+21,9.4126191,1.039411e-08,9.412619,0,0,1.7506546e+08,-8.0750452e+12,3.5009541e+09,-1.3773636e+10,-4.0921167e+09,-7.9417065e+08,-3.153308e+09,39708533,1.576654e+08,3.4121885e+09,3.4121885e+09,1.217202e+11,7.6075126e+09,642587.09
6000,30,0,23119864,3.8868839e+15,3.4847391e+15,1.6707556e+21,0,2.3559531e+18,4.0656771e+17,4.32e+12,1.5429795e+16,7.3447605e+16,5.5526309e+17,3.9297369e+20,0,176203.9,196546.41,372750.32,0,1.35e+21,19.656607,0,19.656607,0,9.765625e-08,1.6378786e+08,-5.6424276e+12,4.0693332e+09,-2.355448e+10,-4.0656769e+09,-7.345047e+08,-5.5513656e+09,36725235,2.7756828e+08,5.2925844e+09,5.2925844e+09,1.4052904e+11,8.7830651e+09,1213251.5
8000,40,0,33926559,6.162183e+15,6.9201772e+15,1.6230471e+21,0,3.3735032e+18,4.0835097e+17,4.32e+12,1.7378341e+16,6.7943975e+16,8.1591008e+17,4.3940168e+20,0,395476.37,352154.28,747630.65,0,1.35e+21,35.21895,1.9222909e-08,35.21895,0,0,1.5323758e+08,-4.005719e+12,4.3998254e+09,-3.3729956e+10,-4.0834939e+09,-6.7946617e+08,-8.1577709e+09,33973309,4.0788855e+08,7.2678239e+09,7.2678239e+09,1.5084413e+11,9.427758e+09,2011955.3
10000,50,0,46163550,9.0092255e+15,1.168732e+16,1.5889311e+21,0,4.3721375e+18,4.1231722e+17,4.32e+12,1.8813465e+16,6.2865975e+16,1.0835779e+18,4.7224493e+20,0,744843.73,574142.3,1318986,0,1.35e+21,57.419972,8.3456108e-08,57.419972,0,0,1.4336773e+08,-2.8874225e+12,4.5773735e+09,-4.3716492e+10,-4.1231495e+09,-6.2868413e+08,-1.0834439e+10,31434207,5.4172197e+08,9.2217359e+09,9.2217359e+09,1.5579531e+11,9.7372071e+09,3052791.8
12000,60,0,59520935,1.2461545e+16,1.779851e+16,1.5641673e+21,0,5.3183744e+18,4.1707846e+17,4.32e+12,1.9887205e+16,5.8179583e+16,1.3494009e+18,4.9578733e+20,0,1251465.2,876154.53,2127619.7,0,1.35e+21,87.624216,-3.05605e-08,87.624216,0,0,1.3413441e+08,-2.1119823e+12,4.6548591e+09,-5.3179179e+10,-4.1707604e+09,-5.8181834e+08,-1.3492695e+10,29090917,6.7463477e+08,1.1086568e+10,1.1086568e+10,1.5735031e+11,9.8343944e+09,4342444.2
14000,70,0,73721327,1.6543661e+16,2.5230077e+16,1.5459321e+21,0,6.1941875e+18,4.2178148e+17,4.32e+12,2.0699147e+16,5.3853588e+16,1.6077043e+18,5.1287702e+20,0,1940055.3,1272024.5,3212079.8,0,1.35e+21,127.21517,0,127.21517,0,9.765625e-08,1.2549658e+08,-1.5666124e+12,4.6659635e+09,-6.1937689e+10,-4.2177923e+09,-5.3855666e+08,-1.6075777e+10,26927833,8.0378884e+08,1.2824794e+10,1.2824794e+10,1.567622e+11,9.7976374e+09,5881727.3
16000,80,0,88522361,2.1272079e+16,3.3935321e+16,1.5323183e+21,0,6.9911767e+18,4.2591353e+17,4.32e+12,2.1316065e+16,4.9859346e+16,1.8549073e+18,5.2543367e+20,0,2832782.8,1775562.1,4608344.9,0,1.35e+21,177.57397,0,177.57397,0,9.765625e-08,1.1741582e+08,-1.1777858e+12,4.6326293e+09,-6.9907985e+10,-4.2591166e+09,-4.9861265e+08,-1.8547869e+10,24930632,9.2739346e+08,1.4417823e+10,1.4417823e+10,1.5483795e+11,9.6773718e+09,7666914.6
18000,90,0,1.0371578e+08,2.6656276e+16,4.3853092e+16,1.52202e+21,0,7.706913e+18,4.2918135e+17,4.32e+12,2.1783862e+16,4.6170569e+16,2.0888247e+18,5.3476808e+20,0,3949285.3,2400378.8,6349664.1,0,1.35e+21,240.06189,4.0789246e-08,240.06189,0,0,1.0985622e+08,-8.9689604e+11,4.5694707e+09,-7.7065754e+10,-4.2917997e+09,-4.6172341e+08,-2.0887113e+10,23086171,1.0443556e+09,1.5858923e+10,1.5858923e+10,1.5210211e+11,9.5063821e+09,9690848.3
20000,100,0,1.1912492e+08,3.2699644e+16,5.4913547e+16,1.5141314e+21,0,8.3426233e+18,4.3143442e+17,4.32e+12,2.2134923e+16,4.2763119e+16,2.3082128e+18,5.4178629e+20,0,5306751,3159747.6,8466498.6,0,1.35e+21,316.00636,0,316.00636,0,9.765625e-08,1.0278416e+08,-6.913818e+11,4.4864272e+09,-8.3423249e+10,-4.3143356e+09,-4.2764757e+08,-2.3081069e+10,21382378,1.1540534e+09,1.7148717e+10,1.7148717e+10,1.4889808e+11,9.3061302e+09,11943852
22000,110,0,1.3460163e+08,3.9400376e+16,6.7042069e+16,1.5080164e+21,0,8.9017118e+18,4.3261536e+17,4.32e+12,2.2392718e+16,3.9614832e+16,2.5124709e+18,5.4712187e+20,0,6920036.6,4066493.8,10986530,0,1.35e+21,406.69005,9.5337214e-09,406.69005,0,0,96168198,-5.3915179e+11,4.3903904e+09,-8.9014506e+10,-4.3261504e+09,-3.9616345e+08,-2.5123726e+10,19808173,1.2561863e+09,1.8292301e+10,1.8292301e+10,1.4545165e+11,9.0907279e+09,14414478
24000,120,0,1.5002301e+08,4.6752276e+16,8.0161949e+16,1.5032225e+21,0,9.3888125e+18,4.327274e+17,4.32e+12,2.2574722e+16,3.6705347e+16,2.7014405e+18,5.5122273e+20,0,8801804.9,5132913.7,13934719,0,1.35e+21,513.34271,8.1316784e-09,513.34271,0,0,89978920,-4.2503549e+11,4.286221e+09,-9.388586e+10,-4.3272761e+09,-3.6706745e+08,-2.7013499e+10,18353373,1.3506749e+09,1.9297387e+10,1.9297387e+10,1.4191139e+11,8.8694619e+09,17090110
