iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,30700000,32.5,9.34,2.07e+21,0,4.12e+11,1.91e+11,5.16e+12,3.52e+13,53.4,1.72,1.72e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6644026e-310,4.6644026e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3426952.2,2.0565947e+14,1.0375332e+14,1.900925e+21,0,2.9911572e+17,8.9581036e+15,4.32e+12,6.1879328e+15,1.8247707e+15,6.1511775e+16,1.7041907e+20,0,3877.0463,7688.1529,11565.199,0,1.35e+21,0.76889218,8.8430314e-08,0.76889209,0,0,1.8712053e+08,-1.3824699e+13,1.775843e+09,-2.9884609e+09,-89496718,-18239354,-6.1452994e+08,911967.69,30726497,5.8336588e+08,5.8336588e+08,6.6317109e+10,4.1448193e+09,133045.43
4000,20,0,9363523.8,8.3564889e+14,7.7656075e+14,1.7858511e+21,0,9.9555097e+17,3.0972794e+16,4.32e+12,1.0612165e+16,3.3546746e+15,2.187699e+17,2.8461177e+20,0,34147.729,36749.285,70897.014,0,1.35e+21,3.675296,6.1991248e-09,3.675296,0,0,1.7506546e+08,-9.4948544e+12,2.9182697e+09,-9.9514034e+09,-3.0959751e+08,-33539769,-2.1867473e+09,1676988.5,1.0933737e+08,1.9552974e+09,1.9552974e+09,1.0612454e+11,6.6327838e+09,427444.1
6000,30,0,17556479,1.9561496e+15,2.3912877e+15,1.7062017e+21,0,1.8912817e+18,5.946111e+16,4.32e+12,1.372211e+16,4.6264902e+15,4.3167514e+17,3.6311864e+20,0,120907.71,98906.264,219813.98,0,1.35e+21,9.8916156,-3.1527945e-08,9.8916156,0,0,1.6378786e+08,-6.6289922e+12,3.6188834e+09,-1.8908064e+10,-5.9445988e+08,-46259133,-4.3155951e+09,2312956.6,2.1577976e+08,3.7298052e+09,3.7298052e+09,1.2985023e+11,8.1156394e+09,921304.06
8000,40,0,27668281,3.621662e+15,5.158675e+15,1.6501769e+21,0,2.8662755e+18,9.0460148e+16,4.32e+12,1.5962475e+16,5.6722104e+15,6.7455329e+17,4.1788844e+20,0,294800,206956.56,501756.56,0,1.35e+21,20.697726,-4.1828585e-09,20.697726,0,0,1.5323758e+08,-4.7014417e+12,4.0413097e+09,-2.8657817e+10,-9.0444464e+08,-56717392,-6.744274e+09,2835869.6,3.372137e+08,5.6716786e+09,5.6716786e+09,1.4345723e+11,8.9660769e+09,1640819.1
10000,50,0,39353430,5.8759689e+15,9.185661e+15,1.6101569e+21,0,3.8483206e+18,1.2160273e+17,4.32e+12,1.7611569e+16,6.5202931e+15,9.3089391e+17,4.5663159e+20,0,585397.99,374449.05,959847.04,0,1.35e+21,37.44865,1.2409152e-07,37.44865,0,0,1.4336773e+08,-3.3849927e+12,4.2849164e+09,-3.8478359e+10,-1.2158739e+09,-65199141,-9.3076433e+09,3259957.1,4.6538217e+08,7.6384395e+09,7.6384395e+09,1.5064345e+11,9.4152154e+09,2602439.2
12000,60,0,52286594,8.7530005e+15,1.4512081e+16,1.5811436e+21,0,4.7948498e+18,1.5149476e+17,4.32e+12,1.8847198e+16,7.1960294e+15,1.1900044e+18,4.8440065e+20,0,1020370.9,615392.25,1635763.2,0,1.35e+21,61.54538,-8.6245819e-09,61.54538,0,0,1.3413441e+08,-2.4726446e+12,4.4114097e+09,-4.79439e+10,-1.5148028e+09,-71957307,-1.1898754e+10,3597865.4,5.949377e+08,9.545197e+09,9.545197e+09,1.5373583e+11,9.6084891e+09,3814651.4
14000,70,0,66174596,1.2277731e+16,2.1134154e+16,1.5598092e+21,0,5.6818185e+18,1.7934408e+17,4.32e+12,1.9785423e+16,7.7218754e+15,1.4449501e+18,5.0455498e+20,0,1625082.1,943999.05,2569081.2,0,1.35e+21,94.409346,0,94.409346,0,1.953125e-07,1.2549658e+08,-1.8314153e+12,4.4599774e+09,-5.6813923e+10,-1.7933075e+09,-77216465,-1.4448245e+10,3860823.3,7.2241225e+08,1.1343148e+10,1.1343148e+10,1.5421811e+11,9.6386319e+09,5279624.5
16000,80,0,80760116,1.6467109e+16,2.9019767e+16,1.5439065e+21,0,6.4968042e+18,2.0473514e+17,4.32e+12,2.050372e+16,8.1177506e+15,1.6912642e+18,5.1935905e+20,0,2422430.1,1374469.9,3796900,0,1.35e+21,137.46073,0,137.46073,0,9.765625e-08,1.1741582e+08,-1.3746158e+12,4.4560699e+09,-6.4964158e+10,-2.047231e+09,-81175822,-1.6911437e+10,4058791.1,8.4557184e+08,1.3006234e+10,1.3006234e+10,1.5304754e+11,9.5654714e+09,6994627.1
18000,90,0,95821268,2.1331004e+16,3.8118595e+16,1.5318972e+21,0,7.2346708e+18,2.2748959e+17,4.32e+12,2.1055052e+16,8.4013054e+15,1.9261251e+18,5.3035923e+20,0,3432827.6,1920813.5,5353641.1,0,1.35e+21,192.10056,-8.4115186e-09,192.10056,0,0,1.0985622e+08,-1.0449432e+12,4.4165833e+09,-7.2343214e+10,-2.2747888e+09,-84011890,-1.9260108e+10,4200594.5,9.6300541e+08,1.4522752e+10,1.4522752e+10,1.5084791e+11,9.4279942e+09,8953212.1
