iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9250000,10.6,95.4,1.33e+21,0,5.95e+19,3.04e+16,7.21e+14,1.53e+14,59.9,70,6.8e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6880293e-310,4.6880293e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,2.4607106e+08,1.0011063e+16,3.1187396e+15,1.3661976e+21,0,5.6904293e+19,2.0909987e+17,4.32e+12,6.6421007e+16,2.4725205e+15,1.2388647e+18,6.4490129e+20,0,116596.76,374410.51,491007.27,0,1.35e+21,37.444796,1.2431454e-07,37.444796,0,0,1.8712053e+08,2.9718311e+12,1.9070408e+10,-5.6905585e+11,-2.0901497e+09,-24717175,-1.2382624e+10,1235858.8,6.1913118e+08,9.8273518e+10,9.8273518e+10,2.5106465e+11,1.5691541e+10,9553279.2
4000,20,0,2.8002684e+08,2.1525056e+16,1.2286558e+16,1.3910498e+21,0,5.4346659e+19,3.6289957e+17,4.32e+12,6.3620465e+16,3.9407819e+15,2.357492e+18,6.2131677e+20,0,540397.18,946827.54,1487224.7,0,1.35e+21,94.692223,-2.5363249e-09,94.692223,0,0,1.7506546e+08,2.062808e+12,1.7498566e+10,-5.4347922e+11,-3.6283022e+09,-39401136,-2.3569736e+10,1970056.8,1.1784868e+09,9.5251146e+10,9.5251146e+10,2.3171516e+11,1.4482197e+10,12783203
6000,30,0,3.1113143e+08,3.441684e+16,2.6674932e+16,1.40847e+21,0,5.1863389e+19,4.8809426e+17,4.32e+12,6.1127494e+16,5.1568219e+15,3.3195165e+18,6.0526834e+20,0,1348919,1740447.9,3089366.9,0,1.35e+21,174.06219,0,174.06219,0,9.765625e-08,1.6378786e+08,1.4620432e+12,1.6122788e+10,-5.1864608e+11,-4.8803805e+09,-51562715,-3.3190711e+10,2578135.8,1.6595356e+09,9.2157514e+10,9.2157514e+10,2.1646406e+11,1.3529003e+10,16327116
8000,40,0,3.3952249e+08,4.8567015e+16,4.5550662e+16,1.4209415e+21,0,4.947452e+19,5.8905499e+17,4.32e+12,5.8852424e+16,6.1520752e+15,4.1447581e+18,5.9422934e+20,0,2603316.1,2775644.9,5378961,0,1.35e+21,277.59225,2.2477195e-08,277.59225,0,0,1.5323758e+08,1.058627e+12,1.4901168e+10,-4.9475688e+11,-5.8900993e+09,-61516280,-4.1443768e+10,3075814,2.0721884e+09,8.9052989e+10,8.9052989e+10,2.0400616e+11,1.2750385e+10,20134788
10000,50,0,3.653505e+08,6.3862377e+16,6.8270132e+16,1.4300659e+21,0,4.719023e+19,6.6941131e+17,4.32e+12,5.674011e+16,6.9544946e+15,4.8498064e+18,5.865686e+20,0,4351152.5,4070044.3,8421196.7,0,1.35e+21,407.04513,-7.8833864e-09,407.04513,0,0,1.4336773e+08,7.8355052e+11,1.3805744e+10,-4.7191345e+11,-6.6937575e+09,-69541373,-4.8494815e+10,3477068.7,2.4247407e+09,8.5976839e+10,8.5976839e+10,1.9351782e+11,1.2094864e+10,24160599
12000,60,0,3.887704e+08,8.0196036e+16,9.4265528e+16,1.436892e+21,0,4.5014662e+19,7.3222491e+17,4.32e+12,5.4756053e+16,7.5889143e+15,5.4488385e+18,5.8121661e+20,0,6628381.1,5638736,12267117,0,1.35e+21,563.92999,3.7092491e-08,563.92999,0,0,1.3413441e+08,5.9318188e+11,1.2816892e+10,-4.5015723e+11,-7.3219744e+09,-75886353,-5.4485634e+10,3794317.6,2.7242817e+09,8.2954809e+10,8.2954809e+10,1.8446781e+11,1.1529238e+10,28363362
14000,70,0,4.0993696e+08,9.7467452e+16,1.2303435e+17,1.4421167e+21,0,4.2948263e+19,7.8010617e+17,4.32e+12,5.2878272e+16,8.077377e+15,5.9541567e+18,5.7746181e+20,0,9461031.7,7494484.9,16955517,0,1.35e+21,749.52344,0,749.52344,0,9.765625e-08,1.2549658e+08,4.5951199e+11,1.1920132e+10,-4.2949269e+11,-7.8008557e+09,-80771659,-5.9539256e+10,4038583,2.9769628e+09,8.0003805e+10,8.0003805e+10,1.7650569e+11,1.1031606e+10,32706104
16000,80,0,4.290021e+08,1.1558238e+17,1.5413116e+17,1.4462092e+21,0,4.0989227e+19,8.1529624e+17,4.32e+12,5.1092448e+16,8.439428e+15,6.3765542e+18,5.7482414e+20,0,12866669,9647935.9,22514605,0,1.35e+21,964.89008,-3.9166707e-08,964.89008,0,0,1.1741582e+08,3.6430035e+11,1.1104272e+10,-4.099018e+11,-8.1528148e+09,-84392756,-6.3763621e+10,4219637.8,3.188181e+09,7.7134846e+10,7.7134846e+10,1.6939469e+11,1.0587168e+10,37155838
18000,90,0,4.4611346e+08,1.3445279e+17,1.8716079e+17,1.4494899e+21,0,3.9134406e+19,8.3972777e+17,4.32e+12,4.9389004e+16,8.6923792e+15,6.7255739e+18,5.7297552e+20,0,16855664,12107811,28963475,0,1.35e+21,1210.9022,1.4479838e-08,1210.9022,0,0,1.0985622e+08,2.9550524e+11,1.0360308e+10,-3.9135308e+11,-8.3971795e+09,-86922773,-6.7254162e+10,4346138.7,3.3627081e+09,7.4354948e+10,7.4354948e+10,1.6297076e+11,1.0185673e+10,41683319
