iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,193000,31.9,60.3,1.7e+21,0,1.16e+12,3.24e+15,7.02e+13,8.39e+12,3.42,1.66,3.7e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6460735e-310,4.6460735e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,11266978,8.4557521e+14,6.6219865e+14,1.6395447e+21,0,1.3037875e+18,4.384153e+16,4.32e+12,1.6527093e+16,1.8836241e+15,2.7930782e+17,4.2881369e+20,0,24755.645,31620.971,56376.616,0,1.35e+21,3.1624134,1.0961854e-09,3.1624134,0,0,1.8712053e+08,-4.9605292e+12,4.7447218e+09,-1.303131e+10,-4.3819998e+08,-18827918,-2.7915652e+09,941395.88,1.3957826e+08,2.556804e+09,2.556804e+09,1.6692719e+11,1.0432949e+10,437420.75
4000,20,0,20871895,2.193024e+15,2.8311424e+15,1.5981073e+21,0,2.6022014e+18,8.6658756e+16,4.32e+12,1.8504652e+16,3.4079273e+15,5.8742081e+17,4.6859652e+20,0,124517.14,96456.827,220973.97,0,1.35e+21,9.6466474,7.4482802e-09,9.6466474,0,0,1.7506546e+08,-3.4337745e+12,5.0892977e+09,-2.601564e+10,-8.6637642e+08,-34072323,-5.8726514e+09,1703616.2,2.9363257e+08,5.1310815e+09,5.1310815e+09,1.7475054e+11,1.0921909e+10,952800.3
6000,30,0,32207572,4.1006123e+15,6.5570877e+15,1.5691772e+21,0,3.8406567e+18,1.2778868e+17,4.32e+12,1.9952268e+16,4.6746752e+15,8.9840619e+17,4.9592943e+20,0,331574.16,207351.64,538925.8,0,1.35e+21,20.737237,-1.3510988e-08,20.737237,0,0,1.6378786e+08,-2.4202885e+12,5.2622788e+09,-3.840058e+10,-1.2776876e+09,-46741007,-8.9825158e+09,2337050.3,4.4912579e+08,7.6030849e+09,7.6030849e+09,1.7735485e+11,1.1084678e+10,1690143.4
8000,40,0,44936333,6.6137025e+15,1.1832096e+16,1.5486158e+21,0,4.9904513e+18,1.6607946e+17,4.32e+12,2.1032145e+16,5.7158101e+15,1.203591e+18,5.1498926e+20,0,676211.73,377955.1,1054166.8,0,1.35e+21,37.79929,-1.5819715e-08,37.79929,0,0,1.5323758e+08,-1.7360536e+12,5.3250269e+09,-4.9899012e+10,-1.6606114e+09,-57153410,-1.2034408e+10,2857670.5,6.0172042e+08,9.9138343e+09,9.9138343e+09,1.7679799e+11,1.1049874e+10,2664870.7
10000,50,0,58748547,9.7663727e+15,1.8613552e+16,1.5337479e+21,0,6.0383473e+18,2.0095096e+17,4.32e+12,2.1847821e+16,6.5597438e+15,1.4976004e+18,5.2847021e+20,0,1186295.6,622391.67,1808687.2,0,1.35e+21,62.245392,8.0902517e-08,62.245392,0,0,1.4336773e+08,-1.2664999e+12,5.3157299e+09,-6.0378498e+10,-2.0093443e+09,-65593668,-1.4974568e+10,3279683.4,7.4872841e+08,1.2034749e+10,1.2034749e+10,1.7434747e+11,1.0896717e+10,3885036.7
12000,60,0,73368940,1.358281e+16,2.683741e+16,1.5228166e+21,0,6.9803289e+18,2.321695e+17,4.32e+12,2.2467235e+16,7.231726e+15,1.7771701e+18,5.381368e+20,0,1887062.4,954987.3,2842049.7,0,1.35e+21,95.508281,7.1122201e-09,95.508281,0,0,1.3413441e+08,-9.3912519e+11,5.2588086e+09,-6.9798843e+10,-2.3215482e+09,-72314291,-1.7770343e+10,3615714.6,8.8851713e+08,1.3955519e+10,1.3955519e+10,1.7079309e+11,1.0674568e+10,5352747.4
14000,70,0,88557608,1.8078588e+16,3.6426732e+16,1.51465e+21,0,7.8178177e+18,2.5971229e+17,4.32e+12,2.2936305e+16,7.7541753e+15,2.04041e+18,5.451614e+20,0,2801071.6,1390042.3,4191113.8,0,1.35e+21,139.01813,0,139.01813,0,9.765625e-08,1.2549658e+08,-7.0733224e+11,5.1703021e+09,-7.8174244e+10,-2.5969942e+09,-77539481,-2.0402826e+10,3876974,1.0201413e+09,1.5676745e+10,1.5676745e+10,1.6663145e+11,1.0414466e+10,7065414.1
16000,80,0,1.0410848e+08,2.3261846e+16,4.72973e+16,1.5084548e+21,0,8.5553554e+18,2.836841e+17,4.32e+12,2.3287055e+16,8.1469772e+15,2.2863397e+18,5.5033355e+20,0,3948249.5,1941646.2,5889895.7,0,1.35e+21,194.18404,0,194.18404,0,9.765625e-08,1.1741582e+08,-5.4072718e+11,5.0610165e+09,-8.5550106e+10,-2.8367297e+09,-81468102,-2.2862212e+10,4073405.1,1.1431106e+09,1.7205412e+10,1.7205412e+10,1.621766e+11,1.0136038e+10,9016826.7
18000,90,0,1.1984659e+08,2.913437e+16,5.9361353e+16,1.5036866e+21,0,9.1991742e+18,3.0426521e+17,4.32e+12,2.3542548e+16,8.4277512e+15,2.5145891e+18,5.5419177e+20,0,5345986.7,2623530.7,7969517.4,0,1.35e+21,262.37931,-4.2222837e-08,262.37931,0,0,1.0985622e+08,-4.192035e+11,4.9384034e+09,-9.1988746e+10,-3.0425573e+09,-84276362,-2.5144794e+10,4213818.1,1.2572397e+09,1.8552083e+10,1.8552083e+10,1.5762744e+11,9.8517147e+09,11198056
