iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.31e+14,3.43,8.16,2.07e+21,0,5.5e+14,3.58e+17,1.28e+18,7.58e+16,35.1,65.3,1.27e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6363942e-310,4.6363942e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,7716171,6.4535751e+15,4.4241008e+14,1.900843e+21,0,3.1578552e+17,3.4397372e+17,4.32e+12,6.9545053e+15,1.160067e+18,1.3585255e+17,1.7017389e+20,0,16543.808,241372.58,257916.39,0,1.35e+21,24.139672,-2.3182444e-08,24.139672,0,0,1.8712053e+08,-1.382998e+13,1.9959385e+09,-3.1550836e+09,-3.4398094e+09,-1.1601241e+10,-1.3578982e+09,5.8006205e+08,67894908,2.35225e+09,2.35225e+09,6.6221627e+10,4.1388517e+09,299566.86
4000,20,0,14052065,1.2770587e+16,1.5069528e+15,1.7857376e+21,0,1.0261654e+18,3.3609428e+17,4.32e+12,1.1333278e+16,1.051373e+18,3.0018431e+17,2.8451123e+20,0,66278.993,561763.91,628042.9,0,1.35e+21,56.182009,-7.8983788e-09,56.182009,0,0,1.7506546e+08,-9.496203e+12,3.1166112e+09,-1.0257484e+10,-3.360955e+09,-1.0514247e+10,-3.00086e+09,5.2571234e+08,1.50043e+08,3.5990697e+09,3.5990697e+09,1.0608702e+11,6.630439e+09,641475.65
6000,30,0,22568410,1.9065072e+16,3.5451556e+15,1.7060878e+21,0,1.9337406e+18,3.3733637e+17,4.32e+12,1.4399435e+16,9.5291029e+17,5.1864028e+17,3.6312249e+20,0,179264.69,964144.12,1143408.8,0,1.35e+21,96.424055,0,96.424055,0,9.765625e-08,1.6378786e+08,-6.6279128e+12,3.7975345e+09,-1.9332599e+10,-3.3733425e+09,-9.5295713e+09,-5.1852222e+09,4.7647857e+08,2.5926111e+08,5.2579154e+09,5.2579154e+09,1.2985159e+11,8.1157245e+09,1184313.1
8000,40,0,32936444,2.5438115e+16,6.7605402e+15,1.6500818e+21,0,2.9186415e+18,3.4350425e+17,4.32e+12,1.6597998e+16,8.6371273e+17,7.6572637e+17,4.1796933e+20,0,386357.87,1453845.8,1840203.6,0,1.35e+21,145.39912,-9.7122097e-09,145.39912,0,0,1.5323758e+08,-4.6988844e+12,4.2022235e+09,-2.9181432e+10,-3.4350041e+09,-8.6375517e+09,-7.6559868e+09,4.3187758e+08,3.8279934e+08,7.0926802e+09,7.0926802e+09,1.4348499e+11,8.9678118e+09,1953238.2
10000,50,0,44818528,3.1975732e+16,1.1253684e+16,1.6100922e+21,0,3.9088384e+18,3.5201879e+17,4.32e+12,1.8207422e+16,7.8290553e+17,1.0250993e+18,4.5677053e+20,0,717210.64,2037901.8,2755112.4,0,1.35e+21,203.81056,1.1855303e-07,203.81056,0,0,1.4336773e+08,-3.3815635e+12,4.4298988e+09,-3.9083499e+10,-3.5201424e+09,-7.8294397e+09,-1.0249685e+10,3.9147198e+08,5.1248426e+08,8.9601359e+09,8.9601359e+09,1.5068928e+11,9.4180799e+09,2963845.6
12000,60,0,57896394,3.8750153e+16,1.7058856e+16,1.5811158e+21,0,4.8619485e+18,3.6129265e+17,4.32e+12,1.9405555e+16,7.0969668e+17,1.2862196e+18,4.845842e+20,0,1199459.2,2724639.7,3924098.9,0,1.35e+21,272.49122,0,272.49122,0,9.765625e-08,1.3413441e+08,-2.468733e+12,4.5421076e+09,-4.8614857e+10,-3.61288e+09,-7.0973151e+09,-1.2860898e+10,3.5486576e+08,6.4304491e+08,1.0774746e+10,1.0774746e+10,1.5379408e+11,9.6121297e+09,4223923.2
14000,70,0,71883216,4.5821086e+16,2.4167427e+16,1.5598218e+21,0,5.7541059e+18,3.7035733e+17,4.32e+12,2.0308436e+16,6.4336917e+17,1.542291e+18,5.0477342e+20,0,1858342.9,3523325.1,5381668,0,1.35e+21,352.36775,0,352.36775,0,9.765625e-08,1.2549658e+08,-1.8272726e+12,4.57788e+09,-5.7536775e+10,-3.7035295e+09,-6.4340072e+09,-1.542165e+10,3.2170036e+08,7.7108252e+08,1.2487139e+10,1.2487139e+10,1.5428487e+11,9.6428046e+09,5735076.8
16000,80,0,86527391,5.3236984e+16,3.2543098e+16,1.543961e+21,0,6.5730562e+18,3.7863621e+17,4.32e+12,2.0993489e+16,5.8327377e+17,1.7889714e+18,5.196052e+20,0,2716563.4,4443855.9,7160419.3,0,1.35e+21,444.43003,4.5072511e-08,444.43003,0,0,1.1741582e+08,-1.3704043e+12,4.5625166e+09,-6.5726661e+10,-3.7863232e+09,-5.8330236e+09,-1.7888509e+10,2.9165118e+08,8.9442545e+08,1.4070753e+10,1.4070753e+10,1.5312008e+11,9.5700047e+09,7494130.3
18000,90,0,1.0161217e+08,6.1036295e+16,4.2131939e+16,1.5319937e+21,0,7.3138179e+18,3.8580385e+17,4.32e+12,2.1513601e+16,5.2882269e+17,2.0235507e+18,5.3062768e+20,0,3794279.3,5496504.1,9290783.4,0,1.35e+21,549.70538,-2.3402549e-08,549.70538,0,0,1.0985622e+08,-1.0407668e+12,4.5127744e+09,-7.3134673e+10,-3.8580058e+09,-5.288486e+09,-2.0234368e+10,2.644243e+08,1.0117184e+09,1.5513426e+10,1.5513426e+10,1.5092426e+11,9.4327663e+09,9494294.3
