iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.27e+10,8.95,1.28,2.06e+21,0,2.84e+16,8.59e+12,1.45e+17,2.93e+16,2.33,3.92,5.51e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6626387e-310,4.6626387e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3986620,9.1954567e+14,2.2947319e+14,1.8925513e+21,0,3.3625081e+17,1.2974286e+16,4.32e+12,6.3647963e+15,1.3302776e+17,8.8361787e+16,1.7258521e+20,0,8579.418,34388.907,42968.325,0,1.35e+21,3.4392347,-1.7283738e-08,3.4392347,0,0,1.8712053e+08,-1.3691732e+13,1.8266294e+09,-3.3597836e+09,-1.2965802e+08,-1.3303348e+09,-8.8302581e+08,66516742,44151290,8.0347434e+08,8.0347434e+08,6.7160642e+10,4.1975401e+09,154773.55
4000,20,0,9989366.7,2.1995543e+15,1.0379898e+15,1.7785842e+21,0,1.0360581e+18,3.5017112e+16,4.32e+12,1.074521e+16,1.2207175e+17,2.459833e+17,2.8567917e+20,0,45648.689,96747.106,142395.8,0,1.35e+21,9.6756782,-4.0752818e-08,9.6756782,0,0,1.7506546e+08,-9.4035422e+12,2.9548676e+09,-1.0356467e+10,-3.5004088e+08,-1.2207699e+09,-2.4588816e+09,61038495,1.2294408e+08,2.1696733e+09,2.1696733e+09,1.0652278e+11,6.6576738e+09,456013.78
6000,30,0,18227691,3.911267e+15,2.7882482e+15,1.6997007e+21,0,1.9318565e+18,6.3418566e+16,4.32e+12,1.382361e+16,1.1204587e+17,4.5851046e+17,3.6343106e+20,0,140984.43,197781.08,338765.52,0,1.35e+21,19.780086,-1.744726e-08,19.780086,0,0,1.6378786e+08,-6.5652406e+12,3.6456577e+09,-1.9313818e+10,-6.3403508e+08,-1.1205067e+09,-4.5839516e+09,56025335,2.2919758e+08,3.9330585e+09,3.9330585e+09,1.2996207e+11,8.1226294e+09,956527.01
8000,40,0,28366054,6.1141981e+15,5.6879571e+15,1.6442148e+21,0,2.9049194e+18,9.4260021e+16,4.32e+12,1.6040471e+16,1.0286905e+17,7.0052909e+17,4.1767454e+20,0,325052.81,349414.04,674466.85,0,1.35e+21,34.944898,4.482532e-08,34.944898,0,0,1.5323758e+08,-4.6562188e+12,4.0610604e+09,-2.9044269e+10,-9.4244428e+08,-1.0287344e+09,-7.0040372e+09,51436718,3.5020186e+08,5.8608545e+09,5.8608545e+09,1.4338387e+11,8.9614921e+09,1682199.3
10000,50,0,40061245,8.8566788e+15,9.8420839e+15,1.6045798e+21,0,3.8838653e+18,1.2520272e+17,4.32e+12,1.7671471e+16,9.4467407e+16,9.5570022e+17,4.5604579e+20,0,627238.21,564422.86,1191661.1,0,1.35e+21,56.447931,1.4279031e-07,56.447931,0,0,1.4336773e+08,-3.3524172e+12,4.2994933e+09,-3.8833823e+10,-1.2518748e+09,-9.4471426e+08,-9.5557129e+09,47235713,4.7778564e+08,7.8121091e+09,7.8121091e+09,1.5045024e+11,9.4031397e+09,2649246.9
12000,60,0,52990223,1.2176771e+16,1.5289199e+16,1.5758458e+21,0,4.8266585e+18,1.548711e+17,4.32e+12,1.8892746e+16,8.677367e+16,1.2134464e+18,4.8354868e+20,0,1075018.7,856134.5,1931153.2,0,1.35e+21,85.622012,3.5935187e-08,85.622012,0,0,1.3413441e+08,-2.4488285e+12,4.4220725e+09,-4.8262007e+10,-1.5485673e+09,-8.6777351e+08,-1.2133181e+10,43388675,6.0665905e+08,9.7028883e+09,9.7028883e+09,1.5346546e+11,9.5915914e+09,3865985.8
14000,70,0,66861956,1.6103207e+16,2.2024734e+16,1.554717e+21,0,5.7095956e+18,1.8248533e+17,4.32e+12,1.9819277e+16,7.9726523e+16,1.4669115e+18,5.0351021e+20,0,1693569.7,1238160.3,2931730,0,1.35e+21,123.82841,0,123.82841,0,9.765625e-08,1.2549658e+08,-1.8137507e+12,4.4676101e+09,-5.7091715e+10,-1.8247212e+09,-7.9729895e+08,-1.4667866e+10,39864947,7.3339332e+08,1.1484985e+10,1.1484985e+10,1.5389879e+11,9.6186747e+09,5334464.3
16000,80,0,81421071,2.065636e+16,3.0016121e+16,1.5389678e+21,0,6.5204723e+18,2.0763809e+17,4.32e+12,2.0527832e+16,7.3270087e+16,1.7116831e+18,5.1817303e+20,0,2505608.9,1724170.1,4229779,0,1.35e+21,172.43426,4.0068215e-08,172.43426,0,0,1.1741582e+08,-1.3613294e+12,4.4613112e+09,-6.520086e+10,-2.0762616e+09,-7.3273177e+08,-1.7115634e+10,36636588,8.5578169e+08,1.3132705e+10,1.3132705e+10,1.5269805e+11,9.5436283e+09,7051872.4
18000,90,0,96447415,2.5849219e+16,3.9212805e+16,1.5270747e+21,0,7.2542907e+18,2.3015655e+17,4.32e+12,2.1070895e+16,6.7353431e+16,1.9449777e+18,5.2906861e+20,0,3531376.6,2327705,5859081.6,0,1.35e+21,232.79378,3.6974228e-08,232.79378,0,0,1.0985622e+08,-1.0348132e+12,4.4199074e+09,-7.2539433e+10,-2.3014596e+09,-6.7356262e+08,-1.9448643e+10,33678131,9.7243214e+08,1.4634561e+10,1.4634561e+10,1.5048083e+11,9.405052e+09,9011717.2
20000,100,0,1.117537e+08,3.1688335e+16,4.9552976e+16,1.5179813e+21,0,7.9105329e+18,2.5001564e+17,4.32e+12,2.1485257e+16,6.1930117e+16,2.1651136e+18,5.3725567e+20,0,4788694.5,3062026,7850720.5,0,1.35e+21,306.23322,-8.7053991e-09,306.23322,0,0,1.0278416e+08,-7.961877e+11,4.3547426e+09,-7.9102239e+10,-2.5000637e+09,-6.1932713e+08,-2.165007e+10,30966356,1.0825035e+09,1.5987984e+10,1.5987984e+10,1.476528e+11,9.2282998e+09,11204789
22000,110,0,1.2718238e+08,3.8174726e+16,6.0968144e+16,1.5109459e+21,0,8.4914157e+18,2.672825e+17,4.32e+12,2.1797382e+16,5.6957806e+16,2.3711624e+18,5.4347467e+20,0,6293067.7,3939995.1,10233063,0,1.35e+21,394.03891,2.1019275e-08,394.03891,0,0,96168198,-6.1966529e+11,4.2736614e+09,-8.4911435e+10,-2.672745e+09,-5.6960186e+08,-2.371063e+10,28480093,1.1855315e+09,1.7195933e+10,1.7195933e+10,1.4448194e+11,9.030121e+09,13619951
24000,120,0,1.4260233e+08,4.5304706e+16,7.3386299e+16,1.5054414e+21,0,9.000765e+18,2.8208059e+17,4.32e+12,2.2026815e+16,5.2397879e+16,2.5627169e+18,5.4824917e+20,0,8057811.7,4973984.9,13031797,0,1.35e+21,497.44823,2.5250984e-08,497.44823,0,0,89978920,-4.8753971e+11,4.1821864e+09,-9.0005274e+10,-2.8207378e+09,-5.2400062e+08,-2.5626248e+10,26200031,1.2813124e+09,1.8264696e+10,1.8264696e+10,1.4114577e+11,8.8216108e+09,16244771
26000,130,0,1.5790567e+08,5.3070648e+16,8.6734099e+16,1.5010891e+21,0,9.4432886e+18,2.9456606e+17,4.32e+12,2.2188373e+16,4.8215111e+16,2.739732e+18,5.5195324e+20,0,10094192,6175812.4,16270004,0,1.35e+21,617.643,1.1746681e-07,617.643,0,0,84188806,-3.8751219e+11,4.0842656e+09,-9.4430832e+10,-2.9456037e+09,-4.8217114e+08,-2.7396471e+10,24108557,1.3698236e+09,1.9202465e+10,1.9202465e+10,1.3776179e+11,8.610112e+09,19066044
28000,140,0,1.7300472e+08,6.1461675e+16,1.0093841e+17,1.4976137e+21,0,9.8241069e+18,3.049122e+17,4.32e+12,2.2293573e+16,4.4377364e+16,2.9024153e+18,5.5485676e+20,0,12411568,7556693.8,19968262,0,1.35e+21,755.74496,0,755.74496,0,9.765625e-08,78772115,-3.1094473e+11,3.9827567e+09,-9.823931e+10,-3.0490754e+09,-4.4379201e+08,-2.9023375e+10,22189601,1.4511687e+09,2.0018406e+10,2.0018406e+10,1.3440726e+11,8.4004538e+09,22070198
30000,150,0,1.8782937e+08,7.0464265e+16,1.1592739e+17,1.4948129e+21,0,1.0148451e+19,3.1329908e+17,4.32e+12,2.2351579e+16,4.0855308e+16,3.0511497e+18,5.5715624e+20,0,15017541,9127217.2,24144759,0,1.35e+21,912.813,-2.5029294e-09,912.813,0,0,73704762,-2.5170558e+11,3.8797468e+09,-1.0148302e+11,-3.1329534e+09,-4.0856995e+08,-3.0510787e+10,20428497,1.5255394e+09,2.0722054e+10,2.0722054e+10,1.3113231e+11,8.1957693e+09,25243627
32000,160,0,2.0232464e+08,8.0062802e+16,1.316312e+17,1.4925368e+21,0,1.042147e+19,3.1990664e+17,4.32e+12,2.2369839e+16,3.7622174e+16,3.1864388e+18,5.5899605e+20,0,17918099,10897329,28815428,0,1.35e+21,1089.8419,0,1089.8419,0,9.765625e-08,68964219,-2.0539721e+11,3.7767682e+09,-1.0421346e+11,-3.1990375e+09,-3.7623723e+08,-3.1863744e+10,18811862,1.5931872e+09,2.1322922e+10,2.1322922e+10,1.2796864e+11,7.9980399e+09,28572944
34000,170,0,2.1644856e+08,9.0240045e+16,1.4798259e+17,1.4906728e+21,0,1.0648119e+19,3.2491024e+17,4.32e+12,2.2354516e+16,3.4653526e+16,3.308867e+18,5.6048312e+20,0,21117752,12876333,33994085,0,1.35e+21,1287.7621,0,1287.7621,0,9.765625e-08,64529407,-1.6883463e+11,3.6749464e+09,-1.0648016e+11,-3.2490811e+09,-3.4654948e+08,-3.3088089e+10,17327474,1.6544045e+09,2.1830262e+10,2.1830262e+10,1.2493538e+11,7.8084611e+09,32045192
36000,180,0,2.3017028e+08,1.0097754e+17,1.6491718e+17,1.4891357e+21,0,1.0833082e+19,3.2847772e+17,4.32e+12,2.2310791e+16,3.1927048e+16,3.4190705e+18,5.6169727e+20,0,24619677,15072899,39692575,0,1.35e+21,1507.4406,-2.8131126e-08,1507.4406,0,0,60380610,-1.3968888e+11,3.5751046e+09,-1.0832999e+11,-3.2847626e+09,-3.1928355e+08,-3.4190184e+10,15964177,1.7095092e+09,2.2252907e+10,2.2252907e+10,1.2204306e+11,7.6276915e+09,35647987
38000,190,0,2.4346845e+08,1.12256e+17,1.8237372e+17,1.4878602e+21,0,1.0980741e+19,3.3076762e+17,4.32e+12,2.2243072e+16,2.9422362e+16,3.5177158e+18,5.6269853e+20,0,28425837,17495078,45920915,0,1.35e+21,1749.6828,-4.453409e-08,1749.6828,0,0,56499381,-1.1624124e+11,3.477838e+09,-1.0980675e+11,-3.3076677e+09,-2.9423562e+08,-3.5176693e+10,14711781,1.7588346e+09,2.259919e+10,2.259919e+10,1.1929637e+11,7.456023e+09,39369640
40000,200,0,2.5632976e+08,1.2405557e+17,2.002942e+17,1.4867962e+21,0,1.1095158e+19,3.319282e+17,4.32e+12,2.2155151e+16,2.7120852e+16,3.6054837e+18,5.6353238e+20,0,32537115,20150327,52687442,0,1.35e+21,2015.2342,4.8032462e-08,2015.2342,0,0,52868464,-9.7211887e+10,3.3835683e+09,-1.1095108e+11,-3.3192787e+09,-2.7121955e+08,-3.6054424e+10,13560977,1.8027212e+09,2.2876897e+10,2.2876897e+10,1.1669596e+11,7.2934978e+09,43199235
42000,210,0,2.6874771e+08,1.3635614e+17,2.1862391e+17,1.4859046e+21,0,1.1180074e+19,3.3209693e+17,4.32e+12,2.2050314e+16,2.5005508e+16,3.6830573e+18,5.6423349e+20,0,36953423,23045530,59998953,0,1.35e+21,2304.7835,0,2304.7835,0,9.765625e-08,49471716,-8.1639525e+10,3.2925841e+09,-1.1180038e+11,-3.3209707e+09,-2.5006522e+08,-3.683021e+10,12503261,1.8415105e+09,2.3093256e+10,2.3093256e+10,1.1423984e+11,7.13999e+09,47126681
44000,220,0,2.8072145e+08,1.4913753e+17,2.3731147e+17,1.4851544e+21,0,1.1238915e+19,3.3140044e+17,4.32e+12,2.1931425e+16,2.3060787e+16,3.7511132e+18,5.6482849e+20,0,41673814,26187036,67860851,0,1.35e+21,2618.9655,1.2916644e-08,2618.9655,0,0,46294034,-6.8795962e+10,3.2050714e+09,-1.1238891e+11,-3.3140099e+09,-2.3061719e+08,-3.7510814e+10,11530859,1.8755407e+09,2.3254933e+10,2.3254933e+10,1.119242e+11,6.9952622e+09,51142747
46000,230,0,2.9225489e+08,1.623797e+17,2.5630876e+17,1.4845215e+21,0,1.1274806e+19,3.2995468e+17,4.32e+12,2.1800992e+16,2.127248e+16,3.8103144e+18,5.6533793e+20,0,46696589,29580684,76277273,0,1.35e+21,2958.3643,0,2958.3643,0,9.765625e-08,43321291,-5.8125017e+10,3.1211368e+09,-1.1274793e+11,-3.2995558e+09,-2.1273337e+08,-3.8102869e+10,10636669,1.9051434e+09,2.3368055e+10,2.3368055e+10,1.0974409e+11,6.8590054e+09,55239073
48000,240,0,3.0335582e+08,1.7606288e+17,2.7557088e+17,1.4839862e+21,0,1.1290588e+19,3.2786527e+17,4.32e+12,2.1661215e+16,1.9627597e+16,3.8613055e+18,5.657778e+20,0,52019384,33231840,85251224,0,1.35e+21,3323.5163,0,3323.5163,0,9.765625e-08,40540269,-4.9198443e+10,3.0408255e+09,-1.1290584e+11,-3.2786646e+09,-1.9628386e+08,-3.861282e+10,9814192.8,1.930641e+09,2.3438231e+10,2.3438231e+10,1.0769387e+11,6.7308666e+09,59408169
