iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,671000,4.53,14.1,1.32e+21,0,1.82e+20,2.15e+10,5.88e+14,1.79e+14,1.93,2.5,5.64e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6420313e-310,4.6420313e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,7.1311587e+08,2.755206e+16,7.0283504e+15,1.3332264e+21,0,1.6931626e+20,4.0557848e+17,4.32e+12,1.4789544e+17,2.3521717e+15,2.7668914e+18,5.6010274e+20,0,262762.11,1030444.5,1293206.6,0,1.35e+21,103.05475,-4.7617448e-08,103.05475,0,0,1.8712053e+08,1.1893979e+12,4.2463038e+10,-1.6932236e+12,-4.0538644e+09,-23513627,-2.7655506e+10,1175681.4,1.3827753e+09,2.9116667e+11,2.9116667e+11,2.1804769e+11,1.3627981e+10,27685478
4000,20,0,7.8964688e+08,5.8507366e+16,2.7530586e+16,1.3440825e+21,0,1.5758379e+20,7.5193936e+17,4.32e+12,1.4025909e+17,3.8318872e+15,5.2439145e+18,5.5811222e+20,0,1210874.8,2573592.9,3784467.7,0,1.35e+21,257.38503,2.3073653e-08,257.38503,0,0,1.7506546e+08,9.9362214e+11,3.8577949e+10,-1.5758943e+12,-7.5178406e+09,-38312134,-5.242774e+10,1915606.7,2.621387e+09,2.7416434e+11,2.7416434e+11,2.0814053e+11,1.3008783e+10,36047317
6000,30,0,8.5496876e+08,9.2379375e+16,5.9529408e+16,1.3532862e+21,0,1.4673278e+20,1.030345e+18,4.32e+12,1.3305189e+17,5.0582922e+15,7.3440755e+18,5.5732281e+20,0,3010336.1,4671623,7681959.1,0,1.35e+21,467.20902,4.2072088e-08,467.20902,0,0,1.6378786e+08,8.5470407e+11,3.5093573e+10,-1.4673799e+12,-1.030221e+10,-50577369,-7.3431121e+10,2528868.5,3.6715561e+09,2.5818672e+11,2.5818672e+11,1.9931503e+11,1.2457189e+10,44865842
8000,40,0,9.1019838e+08,1.2872819e+17,1.0124639e+17,1.3612982e+21,0,1.3669689e+20,1.2508495e+18,4.32e+12,1.2624288e+17,6.0629257e+15,9.1110945e+18,5.5728845e+20,0,5786455.9,7356968.2,13143424,0,1.35e+21,735.7704,3.2071398e-08,735.7704,0,0,1.5323758e+08,7.5269764e+11,3.1964371e+10,-1.3670171e+12,-1.2507522e+10,-60624740,-9.1102876e+10,3031237,4.5551438e+09,2.4317972e+11,2.4317972e+11,1.9132239e+11,1.1957649e+10,53977725
10000,50,0,9.5636051e+08,1.6715725e+17,1.5110716e+17,1.3684208e+21,0,1.2741392e+20,1.4221492e+18,4.32e+12,1.1980736e+17,6.8738343e+15,1.0584007e+19,5.5772346e+20,0,9630737.4,10653247,20283984,0,1.35e+21,1065.4312,1.4616762e-07,1065.4312,0,0,1.4336773e+08,6.7516848e+11,2.9151214e+10,-1.2741839e+12,-1.4220746e+10,-68734730,-1.0583338e+11,3436736.5,5.2916691e+09,2.2908948e+11,2.2908948e+11,1.8400027e+11,1.1500017e+10,63244044
12000,60,0,9.9439376e+08,2.0730979e+17,2.0771992e+17,1.3748563e+21,0,1.1882597e+20,1.5517657e+18,4.32e+12,1.1372442e+17,7.5159374e+15,1.1797704e+19,5.5844269e+20,0,14606081,14576436,29182517,0,1.35e+21,1457.7894,-3.8387498e-08,1457.7894,0,0,1.3413441e+08,6.14232e+11,2.6619993e+10,-1.188301e+12,-1.5517102e+10,-75156547,-1.1797156e+11,3757827.4,5.8985781e+09,2.1586352e+11,2.1586352e+11,1.7723896e+11,1.1077435e+10,72547575
14000,70,0,1.0251567e+09,2.4886548e+17,2.6985634e+17,1.3807433e+21,0,1.1087938e+20,1.6462007e+18,4.32e+12,1.0797559e+17,8.0113547e+15,1.2783381e+19,5.5932496e+20,0,20751322,19135927,39887249,0,1.35e+21,1913.7841,0,1913.7841,0,9.765625e-08,1.2549658e+08,5.6480501e+11,2.4340704e+10,-1.108832e+12,-1.6461613e+10,-80111403,-1.2782941e+11,4005570.1,6.3914704e+09,2.0345133e+11,2.0345133e+11,1.7096142e+11,1.0685088e+10,81790335
16000,80,0,1.0494337e+09,2.915374e+17,3.364345e+17,1.3861793e+21,0,1.0352456e+20,1.7110685e+18,4.32e+12,1.0254404e+17,8.3797013e+15,1.3568934e+19,5.6029044e+20,0,28085185,24335466,52420651,0,1.35e+21,2433.79,0,2433.79,0,9.765625e-08,1.1741582e+08,5.2355652e+11,2.2286794e+10,-1.035281e+12,-1.7110426e+10,-83795459,-1.3568587e+11,4189772.9,6.7842934e+09,1.9180465e+11,1.9180465e+11,1.651113e+11,1.0319456e+10,90891368
18000,90,0,1.0679407e+09,3.3506915e+17,4.0650356e+17,1.391234e+21,0,9.6715755e+19,1.7512115e+18,4.32e+12,9.7414067e+16,8.6383519e+15,1.4179291e+19,5.6128637e+20,0,36609722,30173998,66783720,0,1.35e+21,3017.7016,-2.9173862e-08,3017.7016,0,0,1.0985622e+08,4.8826799e+11,2.0434681e+10,-9.671903e+11,-1.7511969e+10,-86382473,-1.4179026e+11,4319123.7,7.089513e+09,1.8087767e+11,1.8087767e+11,1.5964567e+11,9.9778546e+09,99784733
20000,100,0,1.0813304e+09,3.7923227e+17,4.7923003e+17,1.3959593e+21,0,9.0410825e+19,1.7707994e+18,4.32e+12,9.2570822e+16,8.8026791e+15,1.4636721e+19,5.6227791e+20,0,46313296,36646419,82959715,0,1.35e+21,3665.0084,-3.13903e-08,3665.0084,0,0,1.0278416e+08,4.5743739e+11,1.8763365e+10,-9.0413858e+11,-1.7707941e+10,-88026182,-1.4636527e+11,4401309.1,7.3182636e+09,1.7062697e+11,1.7062697e+11,1.5453049e+11,9.6581557e+09,1.0841771e+08
22000,110,0,1.0901974e+09,4.2382379e+17,5.5388537e+17,1.400394e+21,0,8.4570955e+19,1.7734167e+18,4.32e+12,8.8000172e+16,8.8862668e+15,1.4961096e+19,5.6324227e+20,0,57173167,43744241,1.0091741e+08,0,1.35e+21,4374.8616,0,4374.8616,0,9.765625e-08,96168198,4.3003065e+11,1.7254124e+10,-8.4573765e+11,-1.7734191e+10,-88862431,-1.4960964e+11,4443121.5,7.4804822e+09,1.6101157e+11,1.6101157e+11,1.4973774e+11,9.358609e+09,1.1674915e+08
