iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.22e+13,27.9,13.4,5e+20,0,9.61e+10,4.43e+17,5.11e+15,1.01e+12,14.4,32.7,1.57e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6499947e-310,4.6499947e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,38478717,3.0172455e+15,2.4969979e+15,7.9301451e+20,0,4.5849096e+18,5.4672575e+17,4.32e+12,5.053285e+16,6.4440404e+15,9.9485259e+17,1.2712466e+21,0,93353.285,0,93353.285,0,1.35e+21,11.285265,1.3820489e-07,11.285265,0,0,1.8712053e+08,2.3885461e+13,1.4509426e+10,-4.5829885e+10,-5.4668054e+09,-64434361,-9.9439695e+09,3221718,4.9719847e+08,9.6712358e+09,9.6712358e+09,4.949418e+11,3.0933863e+10,1493869
4000,20,0,60208044,6.7963255e+15,9.5848614e+15,9.9120888e+20,0,7.8523448e+18,6.2112382e+17,4.32e+12,4.4531293e+16,7.5343524e+15,1.7999171e+18,1.0689012e+21,0,421574.91,0,421574.91,0,1.35e+21,29.897453,4.0681908e-08,29.897453,0,0,1.7506546e+08,1.6290744e+13,1.2248573e+10,-7.8509645e+10,-6.2109363e+09,-75338637,-1.7995618e+10,3766931.9,8.9978089e+08,1.611924e+10,1.611924e+10,3.9866305e+11,2.491644e+10,2748492.4
6000,30,0,81931978,1.1369637e+16,2.0259421e+16,1.1273361e+21,0,1.0214674e+19,6.7063208e+17,4.32e+12,4.0552903e+16,8.4084099e+15,2.4352201e+18,9.2971636e+20,0,1024507.3,0,1024507.3,0,1.35e+21,57.500345,3.7530363e-08,57.500345,0,0,1.6378786e+08,1.1276433e+13,1.0696322e+10,-1.021367e+11,-6.7061213e+09,-84080221,-2.4349363e+10,4204011.1,1.2174681e+09,2.0824456e+10,2.0824456e+10,3.3251445e+11,2.0782153e+10,4299510.5
8000,40,0,1.0331484e+08,1.6752958e+16,3.3796875e+16,1.2221878e+21,0,1.1940567e+19,7.0293496e+17,4.32e+12,3.784057e+16,9.094225e+15,2.9475123e+18,8.3257883e+20,0,1931583.2,0,1931583.2,0,1.35e+21,95.752096,2.4929989e-08,95.752096,0,0,1.5323758e+08,7.9147897e+12,9.5811683e+09,-1.193983e+11,-7.029222e+09,-90939249,-2.9472813e+10,4546962.4,1.4736406e+09,2.4301236e+10,2.4301236e+10,2.8584617e+11,1.7865385e+10,6126906
10000,50,0,1.2416599e+08,2.2949177e+16,4.9664164e+16,1.2891792e+21,0,1.3208849e+19,7.2298505e+17,4.32e+12,3.5929072e+16,9.6166531e+15,3.3677458e+18,7.6385969e+20,0,3165341.7,0,3165341.7,0,1.35e+21,146.27024,9.2621747e-08,146.27024,0,0,1.4336773e+08,5.6284402e+12,8.7421367e+09,-1.3208307e+11,-7.2297749e+09,-96164289,-3.3675548e+10,4808214.4,1.6837774e+09,2.6891496e+10,2.6891496e+10,2.5201698e+11,1.5751061e+10,8211086.7
12000,60,0,1.4437511e+08,2.9951395e+16,6.745583e+16,1.3371e+21,0,1.4141095e+19,7.3406857e+17,4.32e+12,3.4528796e+16,9.9977259e+15,3.7169089e+18,7.1462404e+20,0,4743264.1,0,4743264.1,0,1.35e+21,210.61109,3.4414882e-08,210.61109,0,0,1.3413441e+08,4.0522222e+12,8.0822445e+09,-1.4140697e+11,-7.3406486e+09,-99975673,-3.7167495e+10,4998783.7,1.8583747e+09,2.8827505e+10,2.8827505e+10,2.268147e+11,1.4175919e+10,10533115
14000,70,0,1.6387756e+08,3.7745438e+16,8.6853897e+16,1.3717935e+21,0,1.4821721e+19,7.3843371e+17,4.32e+12,3.3457385e+16,1.0256951e+16,4.0096002e+18,6.789277e+20,0,6678886.9,0,6678886.9,0,1.35e+21,290.25683,0,290.25683,0,9.765625e-08,1.2549658e+08,2.9516321e+12,7.5421377e+09,-1.4821433e+11,-7.3843293e+09,-1.0256848e+08,-4.0094661e+10,5128424.2,2.004733e+09,3.0270509e+10,3.0270509e+10,2.0752361e+11,1.2970226e+10,13074685
16000,80,0,1.8263577e+08,4.6311815e+16,1.0760194e+17,1.3971984e+21,0,1.5310585e+19,7.3766755e+17,4.32e+12,3.2598911e+16,1.0411578e+16,4.2562497e+18,6.5276069e+20,0,8982515.2,0,8982515.2,0,1.35e+21,386.60798,0,386.60798,0,9.765625e-08,1.1741582e+08,2.173876e+12,7.0849088e+09,-1.531038e+11,-7.3766901e+09,-1.0411524e+08,-4.2561365e+10,5205762.1,2.1280683e+09,3.1334905e+10,3.1334905e+10,1.9236471e+11,1.2022794e+10,15818069
18000,90,0,2.0062909e+08,5.5627239e+16,1.2948804e+17,1.4160038e+21,0,1.5651013e+19,7.3292589e+17,4.32e+12,3.1879114e+16,1.0476844e+16,4.4645219e+18,6.3338195e+20,0,11661714,0,11661714,0,1.35e+21,500.97955,-5.5469513e-09,500.97955,0,0,1.0985622e+08,1.6180212e+12,6.6872238e+09,-1.5650874e+11,-7.329291e+09,-1.0476831e+08,-4.4644263e+10,5238415.5,2.2322132e+09,3.2103624e+10,3.2103624e+10,1.8015422e+11,1.1259639e+10,18746097
20000,100,0,2.1784836e+08,6.5665792e+16,1.5233342e+17,1.4300686e+21,0,1.5875006e+19,7.250759e+17,4.32e+12,3.1250181e+16,1.0466185e+16,4.6402129e+18,6.1889414e+20,0,14721672,0,14721672,0,1.35e+21,634.59981,-3.4204845e-08,634.59981,0,0,1.0278416e+08,1.2165178e+12,6.334061e+09,-1.5874918e+11,-7.2508048e+09,-1.0466207e+08,-4.6401324e+10,5233103.4,2.3200662e+09,3.2638067e+10,3.2638067e+10,1.7009216e+11,1.063076e+10,21842185
22000,110,0,2.342927e+08,7.6399829e+16,1.7598467e+17,1.4406928e+21,0,1.6006658e+19,7.1478613e+17,4.32e+12,3.0681256e+16,1.0391434e+16,4.787833e+18,6.0796822e+20,0,18165490,0,18165490,0,1.35e+21,788.611,1.0242388e-08,788.611,0,0,96168198,9.2359412e+11,6.0155514e+09,-1.6006612e+11,-7.1479179e+09,-1.0391485e+08,-4.7877656e+10,5195742.6,2.3938828e+09,3.2984636e+10,3.2984636e+10,1.6162952e+11,1.0101845e+10,25090386
24000,120,0,2.4996773e+08,8.7800684e+16,2.0030835e+17,1.4487955e+21,0,1.606445e+19,7.025844e+17,4.32e+12,3.0152447e+16,1.0262993e+16,4.9109895e+18,5.9966263e+20,0,21994426,0,21994426,0,1.35e+21,964.07137,0,964.07137,0,9.765625e-08,89978920,7.0786857e+11,5.7250573e+09,-1.6064437e+11,-7.025909e+09,-1.0263069e+08,-4.9109335e+10,5131534.3,2.4554667e+09,3.3179084e+10,3.3179084e+10,1.543836e+11,9.648975e+09,28475471
26000,130,0,2.6488434e+08,9.9839219e+16,2.2518721e+17,1.4550333e+21,0,1.6062797e+19,6.8889578e+17,4.32e+12,2.9651005e+16,1.008999e+16,5.0126415e+18,5.9330313e+20,0,26208109,0,26208109,0,1.35e+21,1161.9582,6.3439984e-08,1161.9582,0,0,84188806,5.4758366e+11,5.4579911e+09,-1.606281e+11,-6.8890294e+09,-1.0090086e+08,-5.0125956e+10,5045043,2.5062978e+09,3.3249464e+10,3.3249464e+10,1.4808343e+11,9.2552141e+09,31982996
