iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3420000,4.6,16.9,1.97e+21,0,4.42e+18,3.58e+13,4.27e+16,5.52e+12,65,66.8,9.62e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6800482e-310,4.6800482e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,22470734,1.2166159e+15,3.9511804e+14,1.8292387e+21,0,4.6245869e+18,2.567354e+16,4.32e+12,1.191288e+16,4.0458495e+16,1.7527662e+17,2.3654648e+20,0,14770.18,0,14770.18,0,1.35e+21,4.5502901,-2.3941079e-08,4.5502901,0,0,1.8712053e+08,-1.1510724e+13,3.419659e+09,-4.624387e+10,-2.5657724e+08,-4.0459591e+08,-1.7516627e+09,20229796,87583137,8.1099205e+09,8.1099205e+09,9.2064908e+10,5.7540568e+09,872386.98
4000,20,0,30933532,2.9285165e+15,1.8797994e+15,1.7334171e+21,0,5.1514047e+18,6.0220454e+16,4.32e+12,1.5505001e+16,3.8311826e+16,4.2220558e+17,3.3155692e+20,0,82672.192,0,82672.192,0,1.35e+21,12.882327,-4.2413568e-08,12.882327,0,0,1.7506546e+08,-7.9071556e+12,4.2640954e+09,-5.1510912e+10,-6.0202144e+08,-3.8312877e+08,-4.2207165e+09,19156438,2.1103582e+08,9.296564e+09,9.296564e+09,1.2363503e+11,7.7271893e+09,1412113.3
6000,30,0,41208134,5.188789e+15,4.6986995e+15,1.6670803e+21,0,5.8370824e+18,9.7627156e+16,4.32e+12,1.7997706e+16,3.625695e+16,7.0263531e+17,3.9688641e+20,0,237592.83,0,237592.83,0,1.35e+21,26.240869,2.1404787e-08,26.240869,0,0,1.6378786e+08,-5.5215888e+12,4.7466495e+09,-5.8367183e+10,-9.7608303e+08,-3.6257955e+08,-7.0249046e+09,18128977,3.5124523e+08,1.0790166e+10,1.0790166e+10,1.4192853e+11,8.8705328e+09,2162462.2
8000,40,0,52992566,8.0400626e+15,8.9659869e+15,1.6204107e+21,0,6.5829745e+18,1.3489085e+17,4.32e+12,1.976202e+16,3.4292563e+16,9.9631997e+17,4.424738e+20,0,512399.45,0,512399.45,0,1.35e+21,45.952163,-1.4817942e-09,45.952163,0,0,1.5323758e+08,-3.9167274e+12,5.003373e+09,-6.5825976e+10,-1.3487258e+09,-3.4293523e+08,-9.9617217e+09,17146761,4.9808608e+08,1.2398642e+10,1.2398642e+10,1.5189894e+11,9.4936835e+09,3142631.5
10000,50,0,65982729,1.1515426e+16,1.4714726e+16,1.5870683e+21,0,7.3300802e+18,1.7030735e+17,4.32e+12,2.1030453e+16,3.2416994e+16,1.2905508e+18,4.7473237e+20,0,937794.68,0,937794.68,0,1.35e+21,73.393864,1.2449345e-07,73.393864,0,0,1.4336773e+08,-2.8203653e+12,5.1168105e+09,-7.3297128e+10,-1.7029028e+09,-3.241791e+08,-1.290405e+10,16208955,6.4520249e+08,1.4006687e+10,1.4006687e+10,1.5661603e+11,9.7885021e+09,4363432.6
12000,60,0,79895205,1.563932e+16,2.1927002e+16,1.5628937e+21,0,8.0439367e+18,2.029554e+17,4.32e+12,2.1951815e+16,3.0628275e+16,1.5773789e+18,4.9786449e+20,0,1541766.3,0,1541766.3,0,1.35e+21,109.9699,0,109.9699,0,9.765625e-08,1.3413441e+08,-2.0602944e+12,5.1381362e+09,-8.0435917e+10,-2.0293986e+09,-3.0629148e+08,-1.5772382e+10,15314574,7.8861911e+08,1.5546578e+10,1.5546578e+10,1.5800961e+11,9.8756009e+09,5828881.4
14000,70,0,94476684,2.0428422e+16,3.0553086e+16,1.5451176e+21,0,8.7053802e+18,2.3239016e+17,4.32e+12,2.2623464e+16,2.8924196e+16,1.851908e+18,5.1466414e+20,0,2349383.8,0,2349383.8,0,1.35e+21,157.08887,0,157.08887,0,9.765625e-08,1.2549658e+08,-1.52588e+12,5.0997622e+09,-8.7050645e+10,-2.3237628e+09,-2.8925027e+08,-1.8517743e+10,14462514,9.2588717e+08,1.6980314e+10,1.6980314e+10,1.5730848e+11,9.83178e+09,7537657.2
16000,80,0,1.0950657e+08,2.5892556e+16,4.0523802e+16,1.5318693e+21,0,9.3048159e+18,2.5845779e+17,4.32e+12,2.3110581e+16,2.7302356e+16,2.1112261e+18,5.2701453e+20,0,3382783.9,0,3382783.9,0,1.35e+21,216.14601,0,216.14601,0,9.765625e-08,1.1741582e+08,-1.1449975e+12,5.0226508e+09,-9.3045324e+10,-2.584456e+09,-2.7303147e+08,-2.1111005e+10,13651574,1.0555503e+09,1.8288546e+10,1.8288546e+10,1.5530384e+11,9.7064897e+09,9484355.5
18000,90,0,1.2479622e+08,3.2035572e+16,5.1758627e+16,1.5218681e+21,0,9.8386213e+18,2.8118145e+17,4.32e+12,2.3457875e+16,2.5760212e+16,2.3537266e+18,5.362016e+20,0,4661260.4,0,4661260.4,0,1.35e+21,288.50864,1.9846368e-08,288.50864,0,0,1.0985622e+08,-8.6996851e+11,4.9206341e+09,-9.8383709e+10,-2.811709e+09,-2.5760964e+08,-2.3536097e+10,12880482,1.1768049e+09,1.9463623e+10,1.9463623e+10,1.5250987e+11,9.5318666e+09,11660533
