iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.29e+09,2.51,44.5,1.48e+21,0,1.47e+13,1.04e+15,2.18e+17,9.52e+18,4.09,1.88,5.83e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6509663e-310,4.6509663e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,36948683,3.0468048e+15,4.5429382e+16,1.4829374e+21,0,1.9697531e+18,2.2415499e+17,4.32e+12,2.6333262e+16,1.9908403e+17,8.9426231e+18,5.7839316e+20,0,1699293.2,0,1699293.2,0,1.35e+21,11.396036,1.0587087e-08,11.396036,0,0,1.8712053e+08,2.2103213e+11,7.5604307e+09,-1.9688336e+10,-2.241284e+09,-1.9909306e+09,-8.9428069e+10,99546528,4.4714034e+09,1.241284e+10,1.241284e+10,2.2516831e+11,1.407302e+10,1434468.1
4000,20,0,50654755,6.6353587e+15,8.9250042e+16,1.4846161e+21,0,3.6879583e+18,2.7366096e+17,4.32e+12,2.6652156e+16,1.8184179e+17,8.5959772e+18,5.7526474e+20,0,3926424.3,0,3926424.3,0,1.35e+21,29.18979,-1.2688268e-09,29.18979,0,0,1.7506546e+08,1.2243502e+11,7.3303826e+09,-3.687157e+10,-2.7363799e+09,-1.8185001e+09,-8.5961405e+10,90925007,4.2980703e+09,1.5072443e+10,1.5072443e+10,2.1453757e+11,1.3408598e+10,2312385.5
6000,30,0,65408123,1.0807821e+16,1.3142094e+17,1.485508e+21,0,5.1841068e+18,3.1625195e+17,4.32e+12,2.69094e+16,1.661279e+17,8.2878004e+18,5.731131e+20,0,6646837.3,0,6646837.3,0,1.35e+21,54.659679,-2.3579311e-08,54.659679,0,0,1.6378786e+08,6.0797281e+10,7.0973678e+09,-5.1834097e+10,-3.1623227e+09,-1.661354e+09,-8.2879457e+10,83067701,4.1439728e+09,1.7380768e+10,1.7380768e+10,2.0496235e+11,1.2810147e+10,3432395
8000,40,0,80914653,1.5599093e+16,1.7211972e+17,1.485909e+21,0,6.4838231e+18,3.5256091e+17,4.32e+12,2.710306e+16,1.5180437e+17,8.0132319e+18,5.7162084e+20,0,9838116.8,0,9838116.8,0,1.35e+21,89.157945,-4.6284484e-08,89.157945,0,0,1.5323758e+08,2.2491815e+10,6.8622242e+09,-6.4832185e+10,-3.5254423e+09,-1.518112e+09,-8.0133615e+10,75905602,4.0066808e+09,1.9377711e+10,1.9377711e+10,1.9624309e+11,1.2265193e+10,4798502.2
10000,50,0,96924813,2.1033449e+16,2.1150108e+17,1.4860069e+21,0,7.609318e+18,3.8317275e+17,4.32e+12,2.7234865e+16,1.3874581e+17,7.7678758e+18,5.7058176e+20,0,13481062,0,13481062,0,1.35e+21,134.06096,1.4263702e-07,134.06096,0,0,1.4336773e+08,-9.310146e+08,6.6265309e+09,-7.6087955e+10,-3.8315878e+09,-1.3875204e+09,-7.7679918e+10,69376020,3.8839959e+09,2.1097729e+10,2.1097729e+10,1.8824264e+11,1.1765165e+10,6409630.1
12000,60,0,1.1322774e+08,2.7126152e+16,2.4969909e+17,1.485922e+21,0,8.5800657e+18,4.0863296e+17,4.32e+12,2.730851e+16,1.2683832e+17,7.5478083e+18,5.698595e+20,0,17559092,0,17559092,0,1.35e+21,190.74562,1.5690887e-08,190.74562,0,0,1.3413441e+08,-1.4787675e+10,6.3920559e+09,-8.579616e+10,-4.0862143e+09,-1.2684401e+09,-7.5479126e+10,63422004,3.7739563e+09,2.2571022e+10,2.2571022e+10,1.8086267e+11,1.1303917e+10,8260709.2
14000,70,0,1.2964627e+08,3.3884876e+16,2.8682942e+17,1.4857316e+21,0,9.4132775e+18,4.2945165e+17,4.32e+12,2.7328668e+16,1.1597843e+17,7.3495601e+18,5.6936236e+20,0,22057741,0,22057741,0,1.35e+21,260.57066,0,260.57066,0,9.765625e-08,1.2549658e+08,-2.2467985e+10,6.1604834e+09,-9.4128927e+10,-4.2944232e+09,-1.1598362e+09,-7.3496543e+10,57991808,3.6748271e+09,2.3824325e+10,2.3824325e+10,1.7402962e+11,1.0876851e+10,10343601
16000,80,0,1.460327e+08,4.1310954e+16,3.2299151e+17,1.4854858e+21,0,1.0124249e+19,4.4610551e+17,4.32e+12,2.7300418e+16,1.0607209e+17,7.1700855e+18,5.6902755e+20,0,26964233,0,26964233,0,1.35e+21,344.86204,0,344.86204,0,9.765625e-08,1.1741582e+08,-2.6159079e+10,5.9332915e+09,-1.0123922e+11,-4.4609815e+09,-1.0607682e+09,-7.170171e+10,53038410,3.5850855e+09,2.4881469e+10,2.4881469e+10,1.6768621e+11,1.0480388e+10,12647880
18000,90,0,1.6226504e+08,4.9400468e+16,3.5827058e+17,1.4852169e+21,0,1.0726623e+19,4.590387e+17,4.32e+12,2.7228905e+16,9.7033838e+16,7.0067264e+18,5.688114e+20,0,32267127,0,32267127,0,1.35e+21,444.90198,2.7854298e-08,444.90198,0,0,1.0985622e+08,-2.7286699e+10,5.7117076e+09,-1.0726347e+11,-4.590331e+09,-9.7038153e+08,-7.0068045e+10,48519077,3.5034022e+09,2.5763797e+10,2.5763797e+10,1.6178617e+11,1.0111636e+10,15161491
20000,100,0,1.7824376e+08,5.8145203e+16,3.927394e+17,1.4849454e+21,0,1.1232601e+19,4.686636e+17,4.32e+12,2.7119144e+16,8.8785995e+16,6.8571746e+18,5.6868299e+20,0,37956027,0,37956027,0,1.35e+21,561.92084,-2.6252792e-08,561.92084,0,0,1.0278416e+08,-2.6788216e+10,5.4967066e+09,-1.123237e+11,-4.6865955e+09,-8.8789934e+08,-6.8572463e+10,44394967,3.4286232e+09,2.6490485e+10,2.6490485e+10,1.5629094e+11,9.768184e+09,17871299
