iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.18e+09,2.69,3.63,2.03e+21,0,7.11e+15,1.99e+19,4.71e+18,1.7e+17,63.4,3.37,1.16e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.63761e-310,4.63761e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,90440584,2.5903451e+16,1.5475795e+15,1.8664844e+21,0,6.8046956e+17,1.8079391e+19,4.32e+12,2.2117634e+16,4.2638068e+18,4.9669178e+17,1.763347e+20,0,57868.858,0,57868.858,0,1.35e+21,96.892803,1.3697561e-07,96.892803,0,0,1.8712053e+08,-1.3351797e+13,6.3495492e+09,-6.8003178e+09,-1.8080263e+11,-4.2640191e+10,-4.9649545e+09,2.1320095e+09,2.4824773e+08,3.641499e+10,3.641499e+10,6.8620673e+10,4.288792e+09,3511197.7
4000,20,0,1.045478e+08,5.0469649e+16,5.080279e+15,1.7555076e+21,0,1.6798811e+18,1.6422796e+19,4.32e+12,2.5429636e+16,3.8597458e+18,9.0480934e+17,2.8793503e+20,0,223452.69,0,223452.69,0,1.35e+21,222.03453,-1.3756477e-08,222.03453,0,0,1.7506546e+08,-9.1404268e+12,6.9938205e+09,-1.6793346e+10,-1.6423583e+11,-3.859938e+10,-9.0460029e+09,1.929969e+09,4.5230014e+08,3.5301271e+10,3.5301271e+10,1.0736429e+11,6.7102684e+09,4772598.8
6000,30,0,1.1931638e+08,7.3888417e+16,1.0704346e+16,1.6789753e+21,0,2.8197803e+18,1.4927988e+19,4.32e+12,2.7519603e+16,3.4940248e+18,1.3244513e+18,3.647389e+20,0,541306.86,0,541306.86,0,1.35e+21,373.70417,0,373.70417,0,9.765625e-08,1.6378786e+08,-6.3549344e+12,7.2581236e+09,-2.8191959e+10,-1.4928698e+11,-3.4941987e+10,-1.3242424e+10,1.7470993e+09,6.6212118e+08,3.4748939e+10,3.4748939e+10,1.3042993e+11,8.1518704e+09,6261316.6
8000,40,0,1.3459065e+08,9.6338796e+16,1.8423931e+16,1.6253955e+21,0,3.9898677e+18,1.3576761e+19,4.32e+12,2.8817984e+16,3.1630025e+18,1.7357517e+18,4.1838966e+20,0,1052958,0,1052958,0,1.35e+21,550.65986,-2.2719064e-08,550.65986,0,0,1.5323758e+08,-4.4831967e+12,7.2963209e+09,-3.9892873e+10,-1.3577403e+11,-3.1631599e+10,-1.7355503e+10,1.5815799e+09,8.6777517e+08,3.4517149e+10,3.4517149e+10,1.4362946e+11,8.9768411e+09,7981663.4
10000,50,0,1.5019059e+08,1.1797863e+17,2.8166121e+16,1.5873486e+21,0,5.1257056e+18,1.2353781e+19,4.32e+12,2.9593168e+16,2.8633837e+18,2.1272295e+18,4.5640122e+20,0,1795129.3,0,1795129.3,0,1.35e+21,751.99593,6.0489356e-09,751.99593,0,0,1.4336773e+08,-3.2064456e+12,7.2002743e+09,-5.1251531e+10,-1.2354363e+11,-2.8635262e+10,-2.1270399e+10,1.4317631e+09,1.06352e+09,3.4456215e+10,3.4456215e+10,1.5056754e+11,9.4104713e+09,9932092
12000,60,0,1.6594077e+08,1.3894644e+17,3.9814181e+16,1.5599687e+21,0,6.1910829e+18,1.1245858e+19,4.32e+12,3.0015698e+16,2.5921865e+18,2.4925818e+18,4.8369785e+20,0,2799542.9,0,2799542.9,0,1.35e+21,977.08633,-4.5424486e-08,977.08633,0,0,1.3413441e+08,-2.32303e+12,7.0256951e+09,-6.1905715e+10,-1.1246386e+11,-2.5923155e+10,-2.4924062e+10,1.2961577e+09,1.2462031e+09,3.4473313e+10,3.4473313e+10,1.5351283e+11,9.5945519e+09,12106472
14000,70,0,1.8168331e+08,1.5936323e+17,5.3228166e+16,1.5400173e+21,0,7.1672482e+18,1.0241474e+19,4.32e+12,3.0196035e+16,2.3467121e+18,2.8287249e+18,5.0355408e+20,0,4093063.1,0,4093063.1,0,1.35e+21,1225.535,0,1225.535,0,9.765625e-08,1.2549658e+08,-1.7034122e+12,6.8068408e+09,-7.1667841e+10,-1.0241952e+11,-2.3468289e+10,-2.8285644e+10,1.1734144e+09,1.4142822e+09,3.4511475e+10,3.4511475e+10,1.5391221e+11,9.6195134e+09,14495285
16000,80,0,1.9728273e+08,1.7933426e+17,6.8257768e+16,1.5253083e+21,0,8.0462468e+18,9.3304644e+18,4.32e+12,3.0207135e+16,2.1245184e+18,3.1345811e+18,5.181776e+20,0,5698004.9,0,5698004.9,0,1.35e+21,1497.1326,-2.5625241e-08,1497.1326,0,0,1.1741582e+08,-1.2631556e+12,6.5650179e+09,-8.045832e+10,-9.3308981e+10,-2.124624e+10,-3.1344357e+10,1.062312e+09,1.5672179e+09,3.4536548e+10,3.4536548e+10,1.526994e+11,9.5437126e+09,17086641
18000,90,0,2.1262667e+08,1.9895067e+17,8.4750317e+16,1.5143462e+21,0,8.8267515e+18,8.5037949e+18,4.32e+12,3.0098156e+16,1.923395e+18,3.4103167e+18,5.2907639e+20,0,7632514.1,0,7632514.1,0,1.35e+21,1791.8203,-1.5554406e-08,1791.8203,0,0,1.0985622e+08,-9.4645272e+11,6.3135859e+09,-8.8263855e+10,-8.5041886e+10,-1.9234907e+10,-3.4101863e+10,9.6174533e+08,1.7050931e+09,3.4528969e+10,3.4528969e+10,1.5048304e+11,9.4051901e+09,19867111
