iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.62e+09,1.15,9.54,2.07e+21,0,3.89e+13,1.27e+16,1.09e+14,1.28e+12,26.1,4.12,3.27e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6535953e-310,4.6535953e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3511439.8,2.1085729e+14,1.0647195e+14,1.9012548e+21,0,3.0379869e+17,2.0610875e+16,4.32e+12,6.2449273e+15,1.9187335e+15,6.2613898e+16,1.7163451e+20,0,3978.6836,0,3978.6836,0,1.35e+21,0.7883337,7.998152e-09,0.78833369,0,0,1.8712053e+08,-1.3797797e+13,1.7922079e+09,-3.0352714e+09,-2.0602944e+08,-19179029,-6.2554603e+08,958951.43,31277302,6.1227002e+08,6.1227002e+08,6.6790329e+10,4.1743956e+09,136325.51
4000,20,0,9472490.2,8.4701487e+14,7.8718357e+14,1.7864043e+21,0,1.0034529e+18,4.1658186e+16,4.32e+12,1.0661627e+16,3.4396954e+15,2.2077448e+17,2.8560066e+20,0,34614.956,0,34614.956,0,1.35e+21,3.7252962,1.4200773e-08,3.7252962,0,0,1.7506546e+08,-9.476476e+12,2.9318747e+09,-1.0030409e+10,-4.1645608e+08,-34390020,-2.2067891e+09,1719501,1.1033946e+08,1.9888791e+09,1.9888791e+09,1.0649337e+11,6.6558356e+09,432418.41
6000,30,0,17688534,1.974911e+15,2.4137999e+15,1.7069086e+21,0,1.9014346e+18,6.924924e+16,4.32e+12,1.3766366e+16,4.70342e+15,4.3437714e+17,3.6395176e+20,0,122046.14,0,122046.14,0,1.35e+21,9.9864991,-2.4755643e-08,9.9864991,0,0,1.6378786e+08,-6.6162437e+12,3.6305565e+09,-1.9009584e+10,-6.9234549e+08,-47028469,-4.342612e+09,2351423.5,2.171306e+08,3.7663439e+09,3.7663439e+09,1.301482e+11,8.1342626e+09,928233.85
8000,40,0,27821879,3.6494159e+15,5.1961823e+15,1.6509912e+21,0,2.8780086e+18,9.942071e+16,4.32e+12,1.600299e+16,5.7418193e+15,6.7780247e+17,4.1861288e+20,0,296943.64,0,296943.64,0,1.35e+21,20.856353,-4.6704294e-08,20.856353,0,0,1.5323758e+08,-4.6924699e+12,4.0515682e+09,-2.8775142e+10,-9.9405422e+08,-57413515,-6.7767633e+09,2870675.8,3.3883817e+08,5.7100101e+09,5.7100101e+09,1.4370595e+11,8.9816221e+09,1649927.9
10000,50,0,39527002,5.9148066e+15,9.2406139e+15,1.6110472e+21,0,3.8611598e+18,1.2980274e+17,4.32e+12,1.7649276e+16,6.5832776e+15,9.3457668e+17,4.5727918e+20,0,588900.41,0,588900.41,0,1.35e+21,37.696185,6.8567104e-08,37.696185,0,0,1.4336773e+08,-3.3785916e+12,4.2940913e+09,-3.8606745e+10,-1.2978775e+09,-65829018,-9.3444691e+09,3291450.9,4.6722346e+08,7.6777642e+09,7.6777642e+09,1.5085711e+11,9.4285692e+09,2613917.5
12000,60,0,52478616,8.8056418e+15,1.4586427e+16,1.5820885e+21,0,4.8084534e+18,1.5899739e+17,4.32e+12,1.8882694e+16,7.25302e+15,1.1940322e+18,4.8499321e+20,0,1025598.7,0,1025598.7,0,1.35e+21,61.915532,-1.4461115e-08,61.915532,0,0,1.3413441e+08,-2.4680176e+12,4.4197183e+09,-4.8079933e+10,-1.5898324e+09,-72527242,-1.1939031e+10,3626362.1,5.9695155e+08,9.5849582e+09,9.5849582e+09,1.539239e+11,9.6202437e+09,3828660.7
14000,70,0,66383615,1.2347661e+16,2.1229441e+16,1.5607938e+21,0,5.6959365e+18,1.8620822e+17,4.32e+12,1.9819088e+16,7.7734425e+15,1.449252e+18,5.0510766e+20,0,1632409.5,0,1632409.5,0,1.35e+21,94.947087,0,94.947087,0,9.765625e-08,1.2549658e+08,-1.8280287e+12,4.4675663e+09,-5.6955102e+10,-1.8619519e+09,-77732162,-1.4491263e+10,3886608.1,7.2456316e+08,1.1382954e+10,1.1382954e+10,1.5438704e+11,9.6491903e+09,5296300.7
16000,80,0,80984759,1.6558723e+16,2.913722e+16,1.5449203e+21,0,6.5112508e+18,2.1101521e+17,4.32e+12,2.0535793e+16,8.1644104e+15,1.6957818e+18,5.198825e+20,0,2432235,0,2432235,0,1.35e+21,138.22549,4.5914931e-08,138.22549,0,0,1.1741582e+08,-1.3721072e+12,4.4630406e+09,-6.5108622e+10,-2.1100345e+09,-81642442,-1.6956612e+10,4082122.1,8.4783059e+08,1.3045806e+10,1.3045806e+10,1.532018e+11,9.5751125e+09,7014083.4
18000,90,0,96060244,2.1449743e+16,3.8259168e+16,1.5329328e+21,0,7.2493058e+18,2.3323566e+17,4.32e+12,2.1085678e+16,8.4435248e+15,1.930809e+18,5.3086104e+20,0,3445487.7,0,3445487.7,0,1.35e+21,193.16988,4.6114479e-08,193.16988,0,0,1.0985622e+08,-1.0430633e+12,4.4230077e+09,-7.2489563e+10,-2.3322521e+09,-84434105,-1.9306947e+10,4221705.2,9.6534735e+08,1.456189e+10,1.456189e+10,1.5099064e+11,9.436915e+09,8975541.2
20000,100,0,1.1142134e+08,2.7025614e+16,4.8533306e+16,1.5237666e+21,0,7.9095317e+18,2.5283659e+17,4.32e+12,2.1505798e+16,8.626363e+15,2.1526318e+18,5.3911019e+20,0,4690148,0,4690148,0,1.35e+21,261.1699,2.1452877e-08,261.1699,0,0,1.0278416e+08,-8.0258901e+11,4.3589054e+09,-7.9092207e+10,-2.5282744e+09,-86262933,-2.1525244e+10,4313146.6,1.0762622e+09,1.5928575e+10,1.5928575e+10,1.4816247e+11,9.2601541e+09,11171466
22000,110,0,1.2690924e+08,3.3286074e+16,5.9890894e+16,1.5166743e+21,0,8.4941191e+18,2.6987876e+17,4.32e+12,2.1822802e+16,8.7266944e+15,2.3603078e+18,5.4537611e+20,0,6181867,0,6181867,0,1.35e+21,343.5749,-4.1316298e-08,343.5749,0,0,96168198,-6.2469749e+11,4.2786449e+09,-8.4938451e+10,-2.6987086e+09,-87266627,-2.3602076e+10,4363331.4,1.1801038e+09,1.7148805e+10,1.7148805e+10,1.4498743e+11,9.0617144e+09,13590700
24000,120,0,1.4239174e+08,4.0226516e+16,7.2259606e+16,1.5111249e+21,0,9.0068849e+18,2.8448037e+17,4.32e+12,2.205637e+16,8.7566734e+15,2.5534202e+18,5.5018643e+20,0,7934092.5,0,7934092.5,0,1.35e+21,441.68578,-1.7746174e-08,441.68578,0,0,89978920,-4.9154574e+11,4.1877975e+09,-9.0066457e+10,-2.8447365e+09,-87566741,-2.5533273e+10,4378337.1,1.2766637e+09,1.8228883e+10,1.8228883e+10,1.4164452e+11,8.8527822e+09,16220781
26000,130,0,1.5776001e+08,4.7838721e+16,8.5565749e+16,1.5067366e+21,0,9.4525387e+18,2.9679326e+17,4.32e+12,2.2221417e+16,8.7270138e+15,2.7319173e+18,5.5391809e+20,0,9958209.4,0,9958209.4,0,1.35e+21,556.74932,7.806716e-08,556.74932,0,0,84188806,-3.9073997e+11,4.0903478e+09,-9.4523318e+10,-2.9678764e+09,-87270419,-2.7318316e+10,4363521,1.3659158e+09,1.9177034e+10,1.9177034e+10,1.382522e+11,8.6407623e+09,19048457
28000,140,0,1.7292559e+08,5.6111522e+16,9.9735805e+16,1.503232e+21,0,9.8362094e+18,3.0698708e+17,4.32e+12,2.2329535e+16,8.6471443e+15,2.8960022e+18,5.5684306e+20,0,12263684,0,12263684,0,1.35e+21,689.95438,6.7262135e-08,689.95438,0,0,78772115,-3.1357549e+11,3.9891812e+09,-9.8360322e+10,-3.0698248e+09,-86471953,-2.8959237e+10,4323597.7,1.4479619e+09,2.0002467e+10,2.0002467e+10,1.3488842e+11,8.430526e+09,22060104
30000,150,0,1.8781767e+08,6.5031392e+16,1.1469752e+17,1.5004074e+21,0,1.0163141e+19,3.1523885e+17,4.32e+12,2.2389949e+16,8.5253484e+15,3.0460555e+18,5.5915937e+20,0,14858212,0,14858212,0,1.35e+21,842.42988,-2.3699386e-08,842.42988,0,0,73704762,-2.5387319e+11,3.8864068e+09,-1.0162991e+11,-3.1523518e+09,-85254186,-3.0459839e+10,4262709.3,1.5229919e+09,2.0714768e+10,2.0714768e+10,1.3160377e+11,8.2252354e+09,25242054
32000,160,0,2.0238069e+08,7.4582968e+16,1.3038067e+17,1.4981115e+21,0,1.0438498e+19,3.2172597e+17,4.32e+12,2.241015e+16,8.3688899e+15,3.1825791e+18,5.6101251e+20,0,17747862,0,17747862,0,1.35e+21,1015.2441,0,1015.2441,0,9.765625e-08,68964219,-2.072016e+11,3.7835739e+09,-1.0438373e+11,-3.2172313e+09,-83689757,-3.1825142e+10,4184487.9,1.5912571e+09,2.1323502e+10,2.1323502e+10,1.2843026e+11,8.026891e+09,28580859
34000,170,0,2.1657217e+08,8.47495e+16,1.4671755e+17,1.4962309e+21,0,1.0667251e+19,3.2662159e+17,4.32e+12,2.2396341e+16,8.184125e+15,3.3061572e+18,5.6251022e+20,0,20937216,0,20937216,0,1.35e+21,1209.4052,0,1209.4052,0,9.765625e-08,64529407,-1.7035112e+11,3.681822e+09,-1.0667148e+11,-3.2661951e+09,-81842235,-3.3060985e+10,4092111.8,1.6530493e+09,2.1837973e+10,2.1837973e+10,1.2538723e+11,7.8367019e+09,32063493
36000,180,0,2.3036087e+08,9.5513254e+16,1.6364338e+17,1.4946798e+21,0,1.0854102e+19,3.3009171e+17,4.32e+12,2.2353733e+16,7.976603e+15,3.417426e+18,5.6373295e+20,0,24429508,0,24429508,0,1.35e+21,1425.8623,2.1643245e-08,1425.8623,0,0,60380610,-1.4097484e+11,3.5819856e+09,-1.0854018e+11,-3.300903e+09,-79767116,-3.4173733e+10,3988355.8,1.7086867e+09,2.2267067e+10,2.2267067e+10,1.2248537e+11,7.6553354e+09,35677505
38000,190,0,2.4372506e+08,1.0685585e+17,1.8109649e+17,1.4933924e+21,0,1.1003449e+19,3.322933e+17,4.32e+12,2.2286761e+16,7.7511565e+15,3.5170529e+18,5.6474118e+20,0,28226750,0,28226750,0,1.35e+21,1665.5081,-3.0302317e-08,1665.5081,0,0,56499381,-1.1734075e+11,3.484669e+09,-1.1003383e+11,-3.3229249e+09,-77512730,-3.5170059e+10,3875636.5,1.7585029e+09,2.2619168e+10,2.2619168e+10,1.1972943e+11,7.4830891e+09,39411135
40000,200,0,2.5665116e+08,1.1875854e+17,1.9901844e+17,1.4923183e+21,0,1.111937e+19,3.3337326e+17,4.32e+12,2.219924e+16,7.5119821e+15,3.6057198e+18,5.6558075e+20,0,32329863,0,32329863,0,1.35e+21,1929.1808,1.9168283e-08,1929.1808,0,0,52868464,-9.8159164e+10,3.3903017e+09,-1.111932e+11,-3.3337297e+09,-75121045,-3.6056781e+10,3756052.3,1.802839e+09,2.2902108e+10,2.2902108e+10,1.1712014e+11,7.3200087e+09,43253399
