iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,8.98e+08,15.9,22,1.74e+21,0,2.63e+19,3.06e+20,5.11e+15,7.66e+13,17.9,12.3,1.08e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6594156e-310,4.6594156e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.2773804e+09,4.8381107e+16,1.1188694e+16,1.6001982e+21,0,2.9213969e+19,2.7752357e+20,4.32e+12,2.3611001e+17,6.4440412e+15,4.3936678e+18,1.6175558e+20,0,418300.85,0,418300.85,0,1.35e+21,180.96326,6.0457808e-09,180.96326,0,0,1.8712053e+08,-1.1185813e+13,6.7790481e+10,-2.921256e+11,-2.775371e+12,-64434368,-4.3915263e+10,3221718.4,2.1957631e+09,5.256525e+11,5.256525e+11,6.2945553e+10,3.9340971e+09,49592064
4000,20,0,1.4020025e+09,1.0243141e+17,4.3895529e+16,1.5092451e+21,0,3.1890071e+19,2.5172987e+20,4.32e+12,2.2535236e+17,7.5343558e+15,8.3663006e+18,2.7177832e+20,0,1930650.3,0,1930650.3,0,1.35e+21,450.61595,2.5935492e-08,450.61595,0,0,1.7506546e+08,-7.2848117e+12,6.1982537e+10,-3.1888813e+11,-2.5174215e+12,-75338672,-8.3644652e+10,3766933.6,4.1822326e+09,4.9012603e+11,4.9012603e+11,1.01339e+11,6.3336876e+09,64001304
6000,30,0,1.5057686e+09,1.6123956e+17,9.5103402e+16,1.4500702e+21,0,3.4227289e+19,2.2833713e+20,4.32e+12,2.1427074e+17,8.4084186e+15,1.1752251e+19,3.485247e+20,0,4809269.2,0,4809269.2,0,1.35e+21,815.47092,0,815.47092,0,9.765625e-08,1.6378786e+08,-4.7280686e+12,5.6515718e+10,-3.4226213e+11,-2.2834826e+12,-84080308,-1.1750696e+11,4204015.4,5.875348e+09,4.5754776e+11,4.5754776e+11,1.2463117e+11,7.7894479e+09,79017595
8000,40,0,1.5909958e+09,2.2399293e+17,1.6200166e+17,1.4118476e+21,0,3.6187093e+19,2.0712047e+20,4.32e+12,2.0323095e+17,9.0942421e+15,1.4605031e+19,4.0303365e+20,0,9258748.1,0,9258748.1,0,1.35e+21,1280.2761,4.2716692e-08,1280.2761,0,0,1.5323758e+08,-3.0312604e+12,5.1457587e+10,-3.6186209e+11,-2.0713057e+12,-90939419,-1.4603728e+11,4546971,7.3018642e+09,4.2752071e+11,4.2752071e+11,1.3835739e+11,8.6473371e+09,94351224
10000,50,0,1.6597392e+09,2.8996879e+17,2.4204472e+17,1.3876022e+21,0,3.7766717e+19,1.8787683e+20,4.32e+12,1.9244648e+17,9.6166822e+15,1.6978422e+19,4.4243548e+20,0,15426590,0,15426590,0,1.35e+21,1848.2135,9.4715006e-08,1848.2135,0,0,1.4336773e+08,-1.8930197e+12,4.6825644e+10,-3.7766019e+11,-1.8788599e+12,-96164580,-1.6977346e+11,4808229,8.4886732e+09,3.9974603e+11,3.9974603e+11,1.459598e+11,9.1224876e+09,1.0975842e+08
12000,60,0,1.7138404e+09,3.5852548e+17,3.3294814e+17,1.3727727e+21,0,3.8983274e+19,1.7042245e+20,4.32e+12,1.8203942e+17,9.9977713e+15,1.8924198e+19,4.7140897e+20,0,23411652,0,23411652,0,1.35e+21,2521.1325,0,2521.1325,0,9.765625e-08,1.3413441e+08,-1.1227918e+12,4.2610882e+10,-3.8982752e+11,-1.7043076e+12,-99976128,-1.8923323e+11,4998806.4,9.4616617e+09,3.7398963e+11,3.7398963e+11,1.4961229e+11,9.3507684e+09,1.2503595e+08
14000,70,0,1.7549595e+09,4.2909438e+17,4.3267607e+17,1.3643352e+21,0,3.9864305e+19,1.5459094e+20,4.32e+12,1.7207624e+17,1.0257017e+16,2.0490946e+19,4.9307085e+20,0,33271776,0,33271776,0,1.35e+21,3299.7555,0,3299.7555,0,9.765625e-08,1.2549658e+08,-5.9824854e+11,3.8790866e+10,-3.9863943e+11,-1.5459848e+12,-1.0256915e+08,-2.0490249e+11,5128457.4,1.0245125e+10,3.5006159e+11,3.5006159e+11,1.5070766e+11,9.4192288e+09,1.4001638e+08
16000,80,0,1.7845973e+09,5.011728e+17,5.3942453e+17,1.3602594e+21,0,4.0442119e+19,1.4023148e+20,4.32e+12,1.6258928e+17,1.041167e+16,2.1723539e+19,5.0952742e+20,0,45030574,0,45030574,0,1.35e+21,4183.8582,3.0792762e-08,4183.8582,0,0,1.1741582e+08,-2.3972737e+11,3.5337045e+10,-4.04419e+11,-1.4023831e+12,-1.0411617e+08,-2.1722999e+11,5205808.3,1.08615e+10,3.278031e+11,3.278031e+11,1.5015002e+11,9.3843763e+09,1.5456383e+08
18000,90,0,1.8041123e+09,5.7431748e+17,6.5160291e+17,1.359166e+21,0,4.0750444e+19,1.2720731e+20,4.32e+12,1.535897e+17,1.0476968e+16,2.2662975e+19,5.2222205e+20,0,58683388,0,58683388,0,1.35e+21,5172.4287,1.17534e-08,5172.4287,0,0,1.0985622e+08,5.3558773e+09,3.2218813e+10,-4.0750352e+11,-1.2721351e+12,-1.0476955e+08,-2.2662572e+11,5238477.5,1.1331286e+10,3.0707796e+11,3.0707796e+11,1.4853322e+11,9.2833264e+09,1.6857009e+08
