iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.31e+10,53.5,1.18,1.89e+21,0,2.16e+17,1.4e+13,2.01e+15,6.18e+17,18.5,8.25,1.75e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6721174e-310,4.6721174e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,9398606.9,6.0008723e+14,2.836021e+15,1.7725218e+21,0,9.7549164e+17,9.8222821e+16,4.32e+12,1.1451032e+16,3.6389111e+15,6.5988393e+17,2.9156399e+20,0,106072.26,0,106072.26,0,1.35e+21,2.2441964,4.3774359e-08,2.2441964,0,0,1.8712053e+08,-9.613267e+12,3.2871258e+09,-9.750462e+09,-9.8211296e+08,-36381665,-6.5980243e+09,1819083.3,3.2990121e+08,2.4548063e+09,2.4548063e+09,1.1348692e+11,7.0929325e+09,364884.49
4000,20,0,17260079,1.6711131e+15,6.5904941e+15,1.6924397e+21,0,1.9425151e+18,1.2410468e+17,4.32e+12,1.4685914e+16,4.9961726e+15,8.4813361e+17,3.7045732e+20,0,289915.49,0,289915.49,0,1.35e+21,7.3506673,4.059964e-08,7.3506673,0,0,1.7506546e+08,-6.6139888e+12,4.0388498e+09,-1.9420041e+10,-1.2409069e+09,-49955571,-8.4802916e+09,2497778.5,4.2401458e+08,4.3227346e+09,4.3227346e+09,1.3814488e+11,8.6340547e+09,787921.23
6000,30,0,27083523,3.2717406e+15,1.1383192e+16,1.6369033e+21,0,2.9867733e+18,1.5305079e+17,4.32e+12,1.6980578e+16,6.1117754e+15,1.0703294e+18,4.2469027e+20,0,575679.44,0,575679.44,0,1.35e+21,16.54523,4.7306045e-08,16.54523,0,0,1.6378786e+08,-4.6275019e+12,4.4783991e+09,-2.9862463e+10,-1.5303605e+09,-61112727,-1.0702131e+10,3055636.4,5.3510656e+08,6.3592882e+09,6.3592882e+09,1.5187365e+11,9.492103e+09,1421250.8
8000,40,0,38536945,5.4510072e+15,1.7336878e+16,1.5977486e+21,0,4.0315179e+18,1.8240071e+17,4.32e+12,1.8645557e+16,7.0161488e+15,1.3085812e+18,4.6252351e+20,0,990879.01,0,990879.01,0,1.35e+21,31.153705,1.6727764e-08,31.153705,0,0,1.5323758e+08,-3.2902705e+12,4.720703e+09,-4.0310037e+10,-1.8238622e+09,-70157448,-1.3084602e+10,3507872.4,6.5423008e+08,8.412465e+09,8.412465e+09,1.587833e+11,9.9239564e+09,2285366.2
10000,50,0,51296891,8.247301e+15,2.4501983e+16,1.5697026e+21,0,5.0324689e+18,2.1060525e+17,4.32e+12,1.9876112e+16,7.7363359e+15,1.5514039e+18,4.8928708e+20,0,1561649.8,0,1561649.8,0,1.35e+21,52.563121,7.0904655e-08,52.563121,0,0,1.4336773e+08,-2.3759954e+12,4.8359486e+09,-5.031984e+10,-2.105916e+09,-77360177,-1.5512827e+10,3868008.9,7.7564137e+08,1.0393446e+10,1.0393446e+10,1.6141859e+11,1.0088662e+10,3392259.3
12000,60,0,65066275,1.1689461e+16,3.2882291e+16,1.5493055e+21,0,5.9653023e+18,2.367925e+17,4.32e+12,2.0797808e+16,8.2963478e+15,1.7913937e+18,5.0847329e+20,0,2312174.4,0,2312174.4,0,1.35e+21,82.194398,-1.3467485e-09,82.194398,0,0,1.3413441e+08,-1.7415045e+12,4.8680179e+09,-5.9648553e+10,-2.3678e+09,-82961042,-1.7912753e+10,4148052.1,8.9563764e+08,1.2252373e+10,1.2252373e+10,1.6137718e+11,1.0086074e+10,4747013.3
14000,70,0,79581216,1.5797835e+16,4.2451438e+16,1.5342527e+21,0,6.8180103e+18,2.6050845e+17,4.32e+12,2.1493316e+16,8.7174824e+15,2.023794e+18,5.2240375e+20,0,3264416.4,0,3264416.4,0,1.35e+21,121.47908,0,121.47908,0,9.765625e-08,1.2549658e+08,-1.2948114e+12,4.8449984e+09,-6.8176049e+10,-2.6049725e+09,-87173033,-2.0236803e+10,4358651.7,1.0118401e+09,1.3963551e+10,1.3963551e+10,1.5967452e+11,9.9796575e+09,6349248.3
16000,80,0,94612291,2.0585314e+16,5.3163706e+16,1.5229873e+21,0,7.5861746e+18,2.8155907e+17,4.32e+12,2.2018447e+16,9.0186112e+15,2.2455952e+18,5.3264304e+20,0,4438029.6,0,4438029.6,0,1.35e+21,171.84003,-1.3092233e-08,171.84003,0,0,1.1741582e+08,-9.7594389e+11,4.7852893e+09,-7.5858118e+10,-2.8154922e+09,-90184877,-2.2454873e+10,4509243.9,1.1227437e+09,1.5516294e+10,1.5516294e+10,1.5696276e+11,9.8101728e+09,8194362.9
18000,90,0,1.0996307e+08,2.6058322e+16,6.4961197e+16,1.5144427e+21,0,8.2700108e+18,2.9991228e+17,4.32e+12,2.2411884e+16,9.216436e+15,2.4549589e+18,5.4025934e+20,0,5850367.2,0,5850367.2,0,1.35e+21,234.67578,-4.6176723e-08,234.67578,0,0,1.0985622e+08,-7.4525196e+11,4.7012155e+09,-8.2696896e+10,-2.9990377e+09,-92163604,-2.4548576e+10,4608180.2,1.2274288e+09,1.6909179e+10,1.6909179e+10,1.536642e+11,9.6040122e+09,10274574
