iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.32e+15,6.6,3.66,1.43e+21,0,2.4e+13,1.11e+19,4.15e+12,3.57e+13,38.3,1.05,6.31e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6511619e-310,4.6511619e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,59365022,2.906799e+15,1.4441978e+15,1.4472404e+21,0,2.1872139e+18,1.0128604e+19,4.32e+12,3.1541562e+16,1.8238568e+15,5.7948392e+17,6.1192986e+20,0,53992.433,0,53992.433,0,1.35e+21,10.872164,-7.6878504e-09,10.872164,0,0,1.8712053e+08,1.3883202e+12,9.0558669e+09,-2.1862049e+10,-1.0129065e+11,-18230215,-5.7919747e+09,911510.73,2.8959873e+08,2.1487929e+10,2.1487929e+10,2.3822639e+11,1.488915e+10,2304743.3
4000,20,0,75541999,6.5470123e+15,5.7492534e+15,1.4586173e+21,0,4.0550879e+18,9.2486695e+18,4.32e+12,3.1285051e+16,3.3538478e+15,1.1220518e+18,5.9901507e+20,0,252866.73,0,252866.73,0,1.35e+21,28.800719,-3.7176275e-08,28.800719,0,0,1.7506546e+08,9.2087619e+11,8.6046862e+09,-4.0542248e+10,-9.2490889e+10,-33531502,-1.121795e+10,1676575.1,5.608975e+08,2.3684524e+10,2.3684524e+10,2.2339642e+11,1.3962277e+10,3448486.2
6000,30,0,92309046,1.0941222e+16,1.263452e+16,1.4661928e+21,0,5.6544052e+18,8.4484143e+18,4.32e+12,3.1085477e+16,4.6257424e+15,1.6087375e+18,5.9014313e+20,0,638908.5,0,638908.5,0,1.35e+21,55.333729,-4.7529937e-08,55.333729,0,0,1.6378786e+08,6.1567654e+11,8.198869e+09,-5.6536657e+10,-8.4487958e+10,-46251655,-1.608507e+10,2312582.7,8.0425352e+08,2.550666e+10,2.550666e+10,2.1105379e+11,1.3190862e+10,4844063.6
8000,40,0,1.0941649e+08,1.6100049e+16,2.1836558e+16,1.4712724e+21,0,7.0244116e+18,7.720613e+18,4.32e+12,3.0902877e+16,5.6715344e+15,2.0455199e+18,5.8397095e+20,0,1247997.8,0,1247997.8,0,1.35e+21,92.020433,-2.6480805e-08,92.020433,0,0,1.5323758e+08,4.1403869e+11,7.8243464e+09,-7.0237784e+10,-7.7209599e+10,-56710631,-2.0453131e+10,2835531.6,1.0226565e+09,2.701449e+10,2.701449e+10,2.0048367e+11,1.2530229e+10,6488753.7
10000,50,0,1.2665973e+08,2.2025911e+16,3.3118398e+16,1.4746949e+21,0,8.1964916e+18,7.058627e+18,4.32e+12,3.0715184e+16,6.5196823e+15,2.4372363e+18,5.7963024e+20,0,2110767.1,0,2110767.1,0,1.35e+21,140.38574,1.1490522e-07,140.38574,0,0,1.4336773e+08,2.794754e+11,7.4733671e+09,-8.1959505e+10,-7.0589426e+10,-65193032,-2.437051e+10,3259651.6,1.2185255e+09,2.825471e+10,2.825471e+10,1.9122831e+11,1.1951769e+10,8375997.6
12000,60,0,1.438708e+08,2.8714471e+16,4.6264847e+16,1.4770072e+21,0,9.1964391e+18,6.4563945e+18,4.32e+12,3.0510882e+16,7.1954778e+15,2.7879544e+18,5.7655059e+20,0,3253143.2,0,3253143.2,0,1.35e+21,201.91343,-3.4102044e-08,201.91343,0,0,1.3413441e+08,1.8893966e+11,7.1416609e+09,-9.1959784e+10,-6.4566816e+10,-71951791,-2.7877887e+10,3597589.6,1.3938944e+09,2.9264757e+10,2.9264757e+10,1.8298661e+11,1.1436663e+10,10496322
14000,70,0,1.609123e+08,3.6155884e+16,6.1079284e+16,1.4785703e+21,0,1.0045917e+19,5.9083999e+18,4.32e+12,3.0284698e+16,7.7213779e+15,3.1012014e+18,5.7435153e+20,0,4696816.4,0,4696816.4,0,1.35e+21,278.0335,0,278.0335,0,9.765625e-08,1.2549658e+08,1.2765692e+11,6.826864e+09,-1.0045526e+11,-5.9086612e+10,-77211490,-3.1010536e+10,3860574.5,1.5505268e+09,3.0075455e+10,3.0075455e+10,1.7555482e+11,1.0972176e+10,12838107
16000,80,0,1.7767277e+08,4.4335885e+16,7.7381361e+16,1.4796252e+21,0,1.0763422e+19,5.4096355e+18,4.32e+12,3.0035045e+16,8.1173024e+15,3.3801068e+18,5.7277552e+20,0,6459659.8,0,6459659.8,0,1.35e+21,370.11313,0,370.11313,0,9.765625e-08,1.1741582e+08,8.6023514e+10,6.5276396e+09,-1.0763094e+11,-5.4098733e+10,-81171339,-3.3799754e+10,4058567,1.6899877e+09,3.0712732e+10,3.0712732e+10,1.6879085e+11,1.0549428e+10,15388224
18000,90,0,1.9406292e+08,5.3236713e+16,9.5005288e+16,1.4803348e+21,0,1.136495e+19,4.9555603e+18,4.32e+12,2.976248e+16,8.4009023e+15,3.6274949e+18,5.7164575e+20,0,8556110.6,0,8556110.6,0,1.35e+21,479.45049,2.2432573e-08,479.45049,0,0,1.0985622e+08,5.771557e+10,6.2431858e+09,-1.1364676e+11,-4.9557769e+10,-84007859,-3.6273786e+10,4200392.9,1.8136893e+09,3.1198761e+10,3.1198761e+10,1.6259245e+11,1.0162028e+10,18132577
20000,100,0,2.1001259e+08,6.2837909e+16,1.1379849e+17,1.4808096e+21,0,1.1864461e+19,4.5420594e+18,4.32e+12,2.9468768e+16,8.5877997e+15,3.8459447e+18,5.7083918e+20,0,10997519,0,10997519,0,1.35e+21,607.2709,0,607.2709,0,9.765625e-08,1.0278416e+08,3.8518482e+10,5.9729625e+09,-1.1864234e+11,-4.5422567e+10,-85877281,-3.8458423e+10,4293864,1.9229212e+09,3.1552743e+10,3.1552743e+10,1.5688361e+11,9.8052256e+09,21056546
22000,110,0,2.2546805e+08,7.3116997e+16,1.3362051e+17,1.4811259e+21,0,1.2274219e+19,4.1654048e+18,4.32e+12,2.915631e+16,8.6918046e+15,4.0378302e+18,5.7026908e+20,0,13792471,0,13792471,0,1.35e+21,754.72503,0,754.72503,0,9.765625e-08,96168198,2.5591998e+10,5.7165418e+09,-1.2274035e+11,-4.1655845e+10,-86917712,-4.0377405e+10,4345885.6,2.0188703e+09,3.1791464e+10,3.1791464e+10,1.5160601e+11,9.4753757e+09,24145355
24000,120,0,2.4038972e+08,8.4050071e+16,1.543421e+17,1.4813358e+21,0,1.2605057e+19,3.8222194e+18,4.32e+12,2.8827789e+16,8.7251081e+15,4.2053483e+18,5.6987352e+20,0,16947083,0,16947083,0,1.35e+21,922.88864,-6.5163022e-09,922.88864,0,0,89978920,1.7002456e+10,5.4735293e+09,-1.260491e+11,-3.8223832e+10,-87251073,-4.2052702e+10,4362553.6,2.1026351e+09,3.1929694e+10,3.1929694e+10,1.4671353e+11,9.1695953e+09,27384376
26000,130,0,2.5475019e+08,9.5612286e+16,1.7584439e+17,1.4814759e+21,0,1.2866572e+19,3.5094439e+18,4.32e+12,2.848596e+16,8.6984573e+15,4.3505387e+18,5.6960773e+20,0,20465281,0,20465281,0,1.35e+21,1112.7637,0,1112.7637,0,9.765625e-08,84188806,1.1421221e+10,5.2435246e+09,-1.2866457e+11,-3.5095932e+10,-86984840,-4.3504714e+10,4349242,2.1752357e+09,3.1980497e+10,3.1980497e+10,1.4216862e+11,8.8855385e+09,30759367
28000,140,0,2.6853243e+08,1.0777828e+17,1.9801817e+17,1.4815712e+21,0,1.306729e+19,3.2243061e+18,4.32e+12,2.8133514e+16,8.6213111e+15,4.4752992e+18,5.6943899e+20,0,24349049,0,24349049,0,1.35e+21,1325.2803,3.6031224e-08,1325.2803,0,0,78772115,7.9278348e+09,5.0261057e+09,-1.3067204e+11,-3.2244422e+10,-86213609,-4.4752417e+10,4310680.4,2.2376208e+09,3.1955468e+10,3.1955468e+10,1.3793996e+11,8.6212478e+09,34256660
30000,150,0,2.8172821e+08,1.2052253e+17,2.2076329e+17,1.4816392e+21,0,1.3214795e+19,2.9642934e+18,4.32e+12,2.7773009e+16,8.5019801e+15,4.581397e+18,5.6934312e+20,0,28598667,0,28598667,0,1.35e+21,1561.3,0,1561.3,0,9.765625e-08,73704762,5.8800435e+09,4.8208244e+09,-1.3214733e+11,-2.9644175e+10,-85020491,-4.5813484e+10,4251024.5,2.2906742e+09,3.1864914e+10,3.1864914e+10,1.3400087e+11,8.3750542e+09,37863310
32000,160,0,2.943368e+08,1.3381965e+17,2.4398794e+17,1.481692e+21,0,1.3315841e+19,2.727128e+18,4.32e+12,2.7406822e+16,8.3477527e+15,4.670478e+18,5.6930201e+20,0,33212919,0,33212919,0,1.35e+21,1821.6185,0,1821.6185,0,9.765625e-08,68964219,4.8270038e+09,4.6272085e+09,-1.3315801e+11,-2.7272412e+10,-83478374,-4.6704374e+10,4173918.7,2.3352187e+09,3.1718018e+10,3.1718018e+10,1.3032813e+11,8.1455083e+09,41567200
34000,170,0,3.0636366e+08,1.4764463e+17,2.6760822e+17,1.481738e+21,0,1.3376447e+19,2.5107444e+18,4.32e+12,2.7037131e+16,8.1650074e+15,4.7440748e+18,5.6930204e+20,0,38189295,0,38189295,0,1.35e+21,2106.9705,0,2106.9705,0,9.765625e-08,64529407,4.4507268e+09,4.4447673e+09,-1.3376426e+11,-2.5108477e+10,-81651050,-4.7440416e+10,4082552.5,2.3720208e+09,3.1522961e+10,3.1522961e+10,1.2690132e+11,7.9313326e+09,45357115
36000,180,0,3.1781945e+08,1.6197305e+17,2.9154751e+17,1.4817826e+21,0,1.3401974e+19,2.3132687e+18,4.32e+12,2.666591e+16,7.9593137e+15,4.8036136e+18,5.693328e+20,0,43524169,0,43524169,0,1.35e+21,2418.0335,-2.3919256e-08,2418.0335,0,0,60380610,4.5261751e+09,4.2729979e+09,-1.3401969e+11,-2.313363e+10,-79594215,-4.8035872e+10,3979710.7,2.4017936e+09,3.1287034e+10,3.1287034e+10,1.2370219e+11,7.7313872e+09,49222791
38000,190,0,3.2871907e+08,1.7678121e+17,3.1573602e+17,1.4818295e+21,0,1.3397199e+19,2.1330008e+18,4.32e+12,2.6294926e+16,7.7355225e+15,4.8504207e+18,5.6938631e+20,0,49212961,0,49212961,0,1.35e+21,2755.4321,-3.0568117e-09,2755.4321,0,0,56499381,4.893817e+09,4.1113915e+09,-1.3397208e+11,-2.1330869e+10,-77356382,-4.8504003e+10,3867819.1,2.4252001e+09,3.1016731e+10,3.1016731e+10,1.2071432e+11,7.5446449e+09,53154942
40000,200,0,3.3908082e+08,1.9204632e+17,3.4011031e+17,1.481881e+21,0,1.3366376e+19,1.9683972e+18,4.32e+12,2.5925751e+16,7.4978468e+15,4.8857276e+18,5.6945638e+20,0,55250286,0,55250286,0,1.35e+21,3119.7429,2.9922376e-09,3119.7429,0,0,52868464,5.4405836e+09,3.9594394e+09,-1.3366397e+11,-1.9684758e+10,-74979684,-4.8857127e+10,3748984.2,2.4428563e+09,3.0717834e+10,3.0717834e+10,1.1792278e+11,7.3701735e+09,57145263
42000,210,0,3.4892571e+08,2.0774654e+17,3.6461287e+17,1.4819386e+21,0,1.3313288e+19,1.8180567e+18,4.32e+12,2.5559767e+16,7.2499341e+15,4.9106769e+18,5.695382e+20,0,61630088,0,61630088,0,1.35e+21,3511.4992,0,3511.4992,0,9.765625e-08,49471716,6.0865471e+09,3.816638e+09,-1.3313319e+11,-1.8181286e+10,-72500601,-4.9106668e+10,3625030,2.4553334e+09,3.0395483e+10,3.0395483e+10,1.1531394e+11,7.207121e+09,61186421
44000,220,0,3.5827682e+08,2.2386109e+17,3.8919168e+17,1.4820029e+21,0,1.3241299e+19,1.6807067e+18,4.32e+12,2.5198182e+16,6.9949313e+15,4.9263268e+18,5.69628e+20,0,68345763,0,68345763,0,1.35e+21,3931.1948,-3.2050139e-08,3931.1948,0,0,46294034,6.77553e+09,3.6824929e+09,-1.3241339e+11,-1.6807723e+10,-69950601,-4.9263212e+10,3497530,2.4631606e+09,3.005424e+10,3.005424e+10,1.1287529e+11,7.0547057e+09,65272036
46000,230,0,3.6715876e+08,2.403703e+17,4.137998e+17,1.4820741e+21,0,1.3153396e+19,1.5551909e+18,4.32e+12,2.4842042e+16,6.735542e+15,4.9336565e+18,5.697228e+20,0,75390267,0,75390267,0,1.35e+21,4379.2893,0,4379.2893,0,9.765625e-08,43321291,7.46844e+09,3.5565227e+09,-1.3153443e+11,-1.5552509e+10,-67356724,-4.9336548e+10,3367836.2,2.4668274e+09,2.9698151e+10,2.9698151e+10,1.1059532e+11,6.9122074e+09,69396649
48000,240,0,3.7559722e+08,2.5725563e+17,4.3839503e+17,1.4821522e+21,0,1.3052225e+19,1.4404587e+18,4.32e+12,2.4492243e+16,6.4740788e+15,4.9335703e+18,5.6982028e+20,0,82756212,0,82756212,0,1.35e+21,4856.212,2.6348971e-08,4856.212,0,0,40540269,8.138507e+09,3.4382613e+09,-1.3052278e+11,-1.4405135e+10,-64742097,-4.9335721e+10,3237104.8,2.466786e+09,2.933079e+10,2.933079e+10,1.0846337e+11,6.7789605e+09,73555678
50000,250,0,3.8361853e+08,2.7449971e+17,4.6293957e+17,1.4822368e+21,0,1.2940131e+19,1.335555e+18,4.32e+12,2.4149542e+16,6.2125086e+15,4.9269022e+18,5.6991858e+20,0,90435958,0,90435958,0,1.35e+21,5362.3658,-4.233425e-08,5362.3658,0,0,37938603,8.7678618e+09,3.3272598e+09,-1.2940189e+11,-1.3356052e+10,-62126392,-4.926907e+10,3106319.6,2.4634535e+09,2.8955314e+10,2.8955314e+10,1.0646957e+11,6.6543484e+09,77745380
52000,260,0,3.9124936e+08,2.9208631e+17,4.8739964e+17,1.4823274e+21,0,1.2819184e+19,1.2396115e+18,4.32e+12,2.3814573e+16,5.9524947e+15,4.9144198e+18,5.7001625e+20,0,98421681,0,98421681,0,1.35e+21,5898.1316,0,5898.1316,0,9.765625e-08,35504727,9.345064e+09,3.2230884e+09,-1.2819247e+11,-1.2396574e+10,-59526240,-4.9144274e+10,2976312,2.4572137e+09,2.8574498e+10,2.8574498e+10,1.0460479e+11,6.5377992e+09,81962798
54000,270,0,3.9851641e+08,3.100004e+17,5.1174519e+17,1.4824235e+21,0,1.2691211e+19,1.1518385e+18,4.32e+12,2.3487858e+16,5.6954324e+15,4.896829e+18,5.7011216e+20,0,1.0670545e+08,0,1.0670545e+08,0,1.35e+21,6463.8718,1.2414603e-09,6463.8718,0,0,33227819,9.8633087e+09,3.1253365e+09,-1.2691277e+11,-1.1518805e+10,-56955600,-4.8968389e+10,2847780,2.4484195e+09,2.8190775e+10,2.8190775e+10,1.028605e+11,6.4287813e+09,86205710
