iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.42e+10,23.1,64.6,1.95e+21,0,3.21e+12,1.8e+17,5e+17,9.06e+14,1.31,5.9,1.17e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6675405e-310,4.6675405e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,7634759,2.8500686e+15,2.971739e+14,1.8152731e+21,0,6.2017008e+17,1.827958e+17,4.32e+12,9.7314451e+15,4.542603e+17,1.362603e+17,2.5100334e+20,0,11108.516,0,11108.516,0,1.35e+21,10.660454,4.8778904e-08,10.660454,0,0,1.8712053e+08,-1.1021029e+13,2.7933505e+09,-6.1977657e+09,-1.8279097e+09,-4.5428209e+09,-1.3616982e+09,2.2714104e+08,68084910,1.9252941e+09,1.9252941e+09,9.769395e+10,6.1058719e+09,296406.18
4000,20,0,14873482,5.9304154e+15,1.4847127e+15,1.7234952e+21,0,1.5097228e+18,1.9659967e+17,4.32e+12,1.33613e+16,4.1273425e+17,3.4567693e+17,3.417039e+20,0,65295.327,0,65295.327,0,1.35e+21,26.089178,-3.7869974e-08,26.089178,0,0,1.7506546e+08,-7.5768073e+12,3.6744828e+09,-1.5092392e+10,-1.9659113e+09,-4.1275402e+09,-3.4556061e+09,2.0637701e+08,1.727803e+08,3.6203105e+09,3.6203105e+09,1.2741987e+11,7.9637419e+09,678973.28
6000,30,0,24168314,9.323863e+15,3.8290452e+15,1.6599008e+21,0,2.5160381e+18,2.1562303e+17,4.32e+12,1.592599e+16,3.7504752e+17,5.93245e+17,4.0405653e+20,0,193615.7,0,193615.7,0,1.35e+21,47.15541,-7.7940214e-09,47.15541,0,0,1.6378786e+08,-5.2962701e+12,4.20022e+09,-2.5155228e+10,-2.1561281e+09,-3.7506547e+09,-5.931154e+09,1.8753273e+08,2.965577e+08,5.5627024e+09,5.5627024e+09,1.4449321e+11,9.0308259e+09,1268270.6
8000,40,0,35185915,1.310069e+16,7.4679563e+15,1.6151099e+21,0,3.5480182e+18,2.3667448e+17,4.32e+12,1.778091e+16,3.4084218e+17,8.5876442e+17,4.4755536e+20,0,426784.14,0,426784.14,0,1.35e+21,74.878976,-4.5603329e-08,74.878976,0,0,1.5323758e+08,-3.761657e+12,4.501762e+09,-3.5475059e+10,-2.366638e+09,-3.4085847e+09,-8.5862955e+09,1.7042924e+08,4.2931477e+08,7.5726021e+09,7.5726021e+09,1.5364378e+11,9.6027364e+09,2086639.2
10000,50,0,47595916,1.7318716e+16,1.2457749e+16,1.5830648e+21,0,4.5521562e+18,2.5784482e+17,4.32e+12,1.9149088e+16,3.0979387e+17,1.1293347e+18,4.7832655e+20,0,793948,0,793948,0,1.35e+21,110.38528,-2.5410799e-08,110.38528,0,0,1.4336773e+08,-2.7129202e+12,4.6590412e+09,-4.5516669e+10,-2.5783442e+09,-3.0980865e+09,-1.1291997e+10,1.5490433e+08,5.6459986e+08,9.5432102e+09,9.5432102e+09,1.5780201e+11,9.8626256e+09,3147514.1
12000,60,0,61092195,2.20245e+16,1.8802481e+16,1.5597911e+21,0,5.4981302e+18,2.7800915e+17,4.32e+12,2.017355e+16,2.8160862e+17,1.396692e+18,5.0038424e+20,0,1322062.5,0,1322062.5,0,1.35e+21,154.87273,1.3766424e-08,154.87273,0,0,1.3413441e+08,-1.985541e+12,4.7218884e+09,-5.4976749e+10,-2.7799944e+09,-2.8162204e+09,-1.3965601e+10,1.4081102e+08,6.9828005e+08,1.1412919e+10,1.1412919e+10,1.5880948e+11,9.9255926e+09,4457078
14000,70,0,75401440,2.7254499e+16,2.6472686e+16,1.5426422e+21,0,6.3700001e+18,2.965294e+17,4.32e+12,2.0948125e+16,2.5602004e+17,1.6555681e+18,5.1639711e+20,0,2035611.3,0,2035611.3,0,1.35e+21,209.58463,0,209.58463,0,9.765625e-08,1.2549658e+08,-1.4738226e+12,4.7220925e+09,-6.3695841e+10,-2.9652061e+09,-2.5603222e+09,-1.6554414e+10,1.2801611e+08,8.277207e+08,1.3148278e+10,1.3148278e+10,1.5783828e+11,9.8648924e+09,6015772.1
16000,80,0,90285227,3.3036218e+16,3.5417555e+16,1.5298302e+21,0,7.1607551e+18,3.1307309e+17,4.32e+12,2.1535861e+16,2.3278666e+17,1.9026621e+18,5.2816384e+20,0,2956520.6,0,2956520.6,0,1.35e+21,275.78549,3.5045446e-08,275.78549,0,0,1.1741582e+08,-1.1088577e+12,4.6804011e+09,-7.1603804e+10,-3.1306534e+09,-2.3279772e+09,-1.9025418e+10,1.1639886e+08,9.5127091e+08,1.473343e+10,1.473343e+10,1.556426e+11,9.7276625e+09,7819596.2
18000,90,0,1.0553891e+08,3.9389305e+16,4.5573007e+16,1.5201309e+21,0,7.8688969e+18,3.2750093e+17,4.32e+12,2.1980205e+16,2.1168963e+17,2.1359838e+18,5.3691253e+20,0,4104183.8,0,4104183.8,0,1.35e+21,354.74149,2.6920475e-08,354.74149,0,0,1.0985622e+08,-8.4509278e+11,4.6106592e+09,-7.8685632e+10,-3.2749425e+09,-2.1169968e+09,-2.1358708e+10,1.0584984e+08,1.0679354e+09,1.616349e+10,1.616349e+10,1.5271213e+11,9.544508e+09,9861195.4
