iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.18e+10,2.54,96.8,2.07e+21,0,2.63e+10,2.89e+10,2.06e+12,2.41e+13,23.7,27.6,4.16e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6746323e-310,4.6746323e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3482784.1,2.1011782e+14,1.0752865e+14,1.901444e+21,0,3.0611961e+17,9.1787167e+15,4.32e+12,6.2636732e+15,1.8219655e+15,6.3017265e+16,1.7233126e+20,0,4018.1915,0,4018.1915,0,1.35e+21,0.78556755,7.0567037e-08,0.78556748,0,0,1.8712053e+08,-1.3782377e+13,1.7975906e+09,-3.058471e+09,-91701873,-18211300,-6.2957802e+08,910565.02,31478901,5.9706937e+08,5.9706937e+08,6.7061604e+10,4.1913503e+09,135213.01
4000,20,0,9450646.5,8.4574632e+14,7.9099182e+14,1.7867214e+21,0,1.0073635e+18,3.1359075e+16,4.32e+12,1.0676932e+16,3.3521363e+15,2.2146039e+17,2.8616649e+20,0,34782.46,0,34782.46,0,1.35e+21,3.719715,2.7629074e-08,3.7197149,0,0,1.7506546e+08,-9.4659658e+12,2.9360845e+09,-1.0069509e+10,-3.1345962e+08,-33514386,-2.2136471e+09,1675719.3,1.1068235e+08,1.978585e+09,1.978585e+09,1.0670441e+11,6.6690254e+09,431421.25
6000,30,0,17674082,1.9733672e+15,2.4215614e+15,1.7073135e+21,0,1.9064226e+18,5.9966468e+16,4.32e+12,1.3779526e+16,4.6241935e+15,4.3526673e+17,3.6442749e+20,0,122438.64,0,122438.64,0,1.35e+21,9.97869,0,9.97869,0,9.765625e-08,1.6378786e+08,-6.608975e+12,3.6340276e+09,-1.9059459e+10,-5.9951295e+08,-46236165,-4.351507e+09,2311808.2,2.1757535e+08,3.7598108e+09,3.7598108e+09,1.3031835e+11,8.1448968e+09,927475.5
8000,40,0,27815154,3.647882e+15,5.2087772e+15,1.6514572e+21,0,2.8837269e+18,9.1051893e+16,4.32e+12,1.6014812e+16,5.6701323e+15,6.7884394e+17,4.190257e+20,0,297663.49,0,297663.49,0,1.35e+21,20.847584,-4.7161194e-08,20.847584,0,0,1.5323758e+08,-4.6873744e+12,4.0545615e+09,-2.8832321e+10,-9.1036172e+08,-56696610,-6.7871774e+09,2834830.5,3.3935887e+08,5.7064241e+09,5.7064241e+09,1.4384769e+11,8.9904804e+09,1649529.1
10000,50,0,39528186,5.91359e+15,9.2587099e+15,1.6115564e+21,0,3.8673697e+18,1.2225718e+17,4.32e+12,1.7660265e+16,6.5184128e+15,9.3573536e+17,4.5764746e+20,0,590053.77,0,590053.77,0,1.35e+21,37.688428,8.2639062e-08,37.688428,0,0,1.4336773e+08,-3.374974e+12,4.2967652e+09,-3.8668842e+10,-1.2224181e+09,-65180337,-9.3560554e+09,3259016.8,4.6780277e+08,7.6765317e+09,7.6765317e+09,1.5097861e+11,9.4361633e+09,2613995.7
12000,60,0,52487788,8.8050644e+15,1.4610548e+16,1.5826284e+21,0,4.8149885e+18,1.5219422e+17,4.32e+12,1.8893169e+16,7.1943279e+15,1.1952844e+18,4.8532954e+20,0,1027294.8,0,1027294.8,0,1.35e+21,61.911469,0,61.911469,0,9.765625e-08,1.3413441e+08,-2.4654189e+12,4.4221702e+09,-4.8145282e+10,-1.5217972e+09,-71940292,-1.1951553e+10,3597014.6,5.9757763e+08,9.5856353e+09,9.5856353e+09,1.5403065e+11,9.6269156e+09,3829329.8
14000,70,0,66400784,1.2348054e+16,2.1260011e+16,1.5613559e+21,0,5.7026788e+18,1.8007498e+17,4.32e+12,1.9829248e+16,7.7203359e+15,1.4505812e+18,5.054208e+20,0,1634760.3,0,1634760.3,0,1.35e+21,94.950103,0,94.950103,0,9.765625e-08,1.2549658e+08,-1.8261413e+12,4.4698568e+09,-5.7022523e+10,-1.8006164e+09,-77201070,-1.4504554e+10,3860053.5,7.252277e+08,1.13852e+10,1.13852e+10,1.5448276e+11,9.6551726e+09,5297670.6
16000,80,0,81009882,1.6560421e+16,2.9174592e+16,1.5454986e+21,0,6.5181158e+18,2.0548682e+17,4.32e+12,2.0545764e+16,8.1163577e+15,1.6971758e+18,5.2017862e+20,0,2435354.9,0,2435354.9,0,1.35e+21,138.23966,0,138.23966,0,9.765625e-08,1.1741582e+08,-1.3707223e+12,4.4652077e+09,-6.5177272e+10,-2.0547477e+09,-81161891,-1.6970552e+10,4058094.6,8.485276e+08,1.3049356e+10,1.3049356e+10,1.5328907e+11,9.5805666e+09,7016259.4
18000,90,0,96093235,2.1453082e+16,3.8303644e+16,1.533523e+21,0,7.2562325e+18,2.2825351e+17,4.32e+12,2.1095537e+16,8.400045e+15,1.932259e+18,5.3114453e+20,0,3449493.2,0,3449493.2,0,1.35e+21,193.19994,-4.7226621e-08,193.19994,0,0,1.0985622e+08,-1.0420375e+12,4.4250758e+09,-7.255883e+10,-2.282428e+09,-83999285,-1.9321447e+10,4199964.3,9.6607233e+08,1.4566531e+10,1.4566531e+10,1.5107127e+11,9.4419547e+09,8978623.9
