iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9990000,19.6,77.4,2.07e+21,0,2.82e+16,2.84e+15,2.46e+12,2.59e+15,10.1,15,1.7e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.654676e-310,4.654676e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3551595.3,2.1035523e+14,1.1493964e+14,1.900921e+21,0,3.2508045e+17,1.1890516e+16,4.32e+12,6.2099774e+15,1.8223275e+15,6.3944079e+16,1.7040531e+20,0,4295.4498,0,4295.4498,0,1.35e+21,0.78645596,1.0145118e-07,0.78645586,0,0,1.8712053e+08,-1.3825001e+13,1.7821724e+09,-3.2481189e+09,-1.1882199e+08,-18214920,-6.38852e+08,910746.02,31942600,6.3480131e+08,6.3480131e+08,6.6311751e+10,4.1444844e+09,137884.48
4000,20,0,9499655.3,8.4573905e+14,8.0041261e+14,1.7858448e+21,0,1.019476e+18,3.3683259e+16,4.32e+12,1.0632868e+16,3.3524639e+15,2.213773e+17,2.8460236e+20,0,35197.022,0,35197.022,0,1.35e+21,3.7196841,-4.2100253e-08,3.7196842,0,0,1.7506546e+08,-9.4950198e+12,2.9239642e+09,-1.0190664e+10,-3.3670323e+08,-33517661,-2.2128205e+09,1675883.1,1.1064102e+08,2.0030545e+09,2.0030545e+09,1.0612103e+11,6.6325645e+09,433658.5
6000,30,0,17701871,1.9724995e+15,2.4285805e+15,1.7061942e+21,0,1.9133395e+18,6.1964979e+16,4.32e+12,1.3741504e+16,4.6244898e+15,4.3441573e+17,3.6311234e+20,0,122793.81,0,122793.81,0,1.35e+21,9.9743036,0,9.9743036,0,9.765625e-08,1.6378786e+08,-6.62907e+12,3.6239986e+09,-1.9128651e+10,-6.1949956e+08,-46239128,-4.3430004e+09,2311956.4,2.1715002e+08,3.7741633e+09,3.7741633e+09,1.2984798e+11,8.1154985e+09,928933.77
8000,40,0,27820965,3.6454466e+15,5.2099846e+15,1.650169e+21,0,2.8866207e+18,9.2771825e+16,4.32e+12,1.5980595e+16,5.6704005e+15,6.7738982e+17,4.178844e+20,0,297732.71,0,297732.71,0,1.35e+21,20.833667,-3.8866069e-08,20.833667,0,0,1.5323758e+08,-4.7014631e+12,4.0458977e+09,-2.8861277e+10,-9.2756233e+08,-56699292,-6.7726388e+09,2834964.6,3.3863194e+08,5.7128898e+09,5.7128898e+09,1.4345584e+11,8.9659903e+09,1649873.7
10000,50,0,39511662,5.9088145e+15,9.2513855e+15,1.610149e+21,0,3.8670931e+18,1.2373572e+17,4.32e+12,1.7628449e+16,6.5186554e+15,9.3379333e+17,4.5662924e+20,0,589587.19,0,589587.19,0,1.35e+21,37.657995,8.0565933e-08,37.657995,0,0,1.4336773e+08,-3.3849778e+12,4.2890239e+09,-3.8666091e+10,-1.2372046e+09,-65182763,-9.3366374e+09,3259138.2,4.6683187e+08,7.6767332e+09,7.6767332e+09,1.5064267e+11,9.4151669e+09,2612903.1
12000,60,0,52448837,8.7971319e+15,1.4592461e+16,1.5811359e+21,0,4.8121765e+18,1.5346169e+17,4.32e+12,1.8862869e+16,7.1945475e+15,1.1929374e+18,4.8439958e+20,0,1026023.2,0,1026023.2,0,1.35e+21,61.855695,1.9814635e-08,61.855695,0,0,1.3413441e+08,-2.4726066e+12,4.4150779e+09,-4.8117174e+10,-1.5344729e+09,-71942488,-1.1928084e+10,3597124.4,5.9640422e+08,9.5807825e+09,9.5807825e+09,1.5373549e+11,9.6084678e+09,3826488.1
14000,70,0,66339492,1.233612e+16,2.1229288e+16,1.559802e+21,0,5.697815e+18,1.8115676e+17,4.32e+12,1.9799906e+16,7.7205346e+15,1.4478908e+18,5.045549e+20,0,1632398.1,0,1632398.1,0,1.35e+21,94.858335,0,94.858335,0,9.765625e-08,1.2549658e+08,-1.831363e+12,4.4632423e+09,-5.6973894e+10,-1.8114351e+09,-77203056,-1.4477652e+10,3860152.8,7.2388259e+08,1.1376217e+10,1.1376217e+10,1.5421809e+11,9.6386304e+09,5292780.5
16000,80,0,80926470,1.6543624e+16,2.912963e+16,1.5438998e+21,0,6.5115761e+18,2.0640456e+17,4.32e+12,2.0517028e+16,8.1165374e+15,1.6941893e+18,5.1935975e+20,0,2431601.7,0,2431601.7,0,1.35e+21,138.09945,2.841162e-08,138.09945,0,0,1.1741582e+08,-1.3745548e+12,4.4589624e+09,-6.5111883e+10,-2.0639259e+09,-81163689,-1.6940688e+10,4058184.4,8.470344e+08,1.3036963e+10,1.3036963e+10,1.5304775e+11,9.5654843e+09,7009035.1
18000,90,0,95988026,2.1430557e+16,3.824305e+16,1.5318911e+21,0,7.2483148e+18,2.2902597e+17,4.32e+12,2.106719e+16,8.4002076e+15,1.9290138e+18,5.3036055e+20,0,3444036.3,0,3444036.3,0,1.35e+21,192.99709,-4.4878533e-08,192.99709,0,0,1.0985622e+08,-1.0448774e+12,4.4191295e+09,-7.2479659e+10,-2.2901533e+09,-84000912,-1.9288996e+10,4200045.6,9.6444978e+08,1.4551303e+10,1.4551303e+10,1.5084828e+11,9.4280177e+09,8968793.5
