iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.83e+14,41.1,2.23,2.07e+21,0,1.09e+16,2.45e+12,1.17e+13,1.36e+17,38.9,55.3,4.57e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6628688e-310,4.6628688e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3857392.7,2.2421592e+14,6.549655e+14,1.9015323e+21,0,3.1858886e+17,2.5529742e+16,4.32e+12,6.342698e+15,1.8306886e+15,1.7224961e+17,1.7266152e+20,0,24495.015,0,24495.015,0,1.35e+21,0.83829868,4.3767899e-08,0.83829863,0,0,1.8712053e+08,-1.3775055e+13,1.8202802e+09,-3.1831567e+09,-2.5521917e+08,-18298536,-1.7219482e+09,914926.8,86097409,7.4984733e+08,7.4984733e+08,6.7190188e+10,4.1993867e+09,149756.53
4000,20,0,9864925,8.761417e+14,1.8617377e+15,1.7868716e+21,0,1.020971e+18,4.635718e+16,4.32e+12,1.0750087e+16,3.3600293e+15,3.2174347e+17,2.8644355e+20,0,81888.665,0,81888.665,0,1.35e+21,3.8534296,4.8757612e-08,3.8534296,0,0,1.7506546e+08,-9.4607729e+12,2.956206e+09,-1.0205579e+10,-4.6344716e+08,-33593320,-3.2165207e+09,1679666,1.6082603e+08,2.1224953e+09,2.1224953e+09,1.0680774e+11,6.6754837e+09,450333.03
6000,30,0,18121434,2.0214863e+15,3.9725183e+15,1.707508e+21,0,1.9208068e+18,7.3718031e+16,4.32e+12,1.3847621e+16,4.6313353e+15,5.2734874e+17,3.6466837e+20,0,200881.65,0,200881.65,0,1.35e+21,10.222053,-2.560178e-08,10.222053,0,0,1.6378786e+08,-6.605203e+12,3.6519884e+09,-1.9203298e+10,-7.3703456e+08,-46307587,-5.2723663e+09,2315379.3,2.6361832e+08,3.8951306e+09,3.8951306e+09,1.304045e+11,8.1502813e+09,950950.99
8000,40,0,28289654,3.7149086e+15,7.2004002e+15,1.6516843e+21,0,2.8986166e+18,1.0365654e+17,4.32e+12,1.6078435e+16,5.6765945e+15,7.6341498e+17,4.1924169e+20,0,411502.98,0,411502.98,0,1.35e+21,21.230687,-3.0004088e-09,21.230687,0,0,1.5323758e+08,-4.6845683e+12,4.0706708e+09,-2.8981217e+10,-1.0364137e+09,-56761235,-7.6329237e+09,2838061.8,3.8164618e+08,5.8335172e+09,5.8335172e+09,1.4392184e+11,8.9951152e+09,1677668.5
10000,50,0,40024546,6.0004904e+15,1.1654726e+16,1.611808e+21,0,3.8825575e+18,1.3380766e+17,4.32e+12,1.7719866e+16,6.52426e+15,1.0134296e+18,4.5784615e+20,0,742777.32,0,742777.32,0,1.35e+21,38.242317,1.3476726e-07,38.242316,0,0,1.4336773e+08,-3.3728368e+12,4.3112672e+09,-3.8820719e+10,-1.3379279e+09,-65238812,-1.0133031e+10,3261940.6,5.0665154e+08,7.7958057e+09,7.7958057e+09,1.5104417e+11,9.4402603e+09,2646820
12000,60,0,53001310,8.9126105e+15,1.737769e+16,1.5828989e+21,0,4.8303132e+18,1.6277654e+17,4.32e+12,1.8949105e+16,7.1996187e+15,1.2666834e+18,4.8551609e+20,0,1221885.2,0,1221885.2,0,1.35e+21,62.667727,-2.4731861e-09,62.667727,0,0,1.3413441e+08,-2.4637534e+12,4.4352636e+09,-4.8298529e+10,-1.6276251e+09,-71993203,-1.2665572e+10,3599660.1,6.332786e+08,9.6975148e+09,9.6975148e+09,1.5408986e+11,9.6306161e+09,3866794.6
14000,70,0,66927309,1.2476845e+16,2.4367767e+16,1.5616413e+21,0,5.7180139e+18,1.8976871e+17,4.32e+12,1.9881817e+16,7.7251232e+15,1.5162171e+18,5.0559877e+20,0,1873755.5,0,1873755.5,0,1.35e+21,95.940511,0,95.940511,0,9.765625e-08,1.2549658e+08,-1.8248146e+12,4.4817073e+09,-5.7175874e+10,-1.8975579e+09,-77248945,-1.5160941e+10,3862447.2,7.5804703e+08,1.1490111e+10,1.1490111e+10,1.5453716e+11,9.6585725e+09,5339678.4
16000,80,0,81545743,1.6710903e+16,3.2594971e+16,1.5457959e+21,0,6.5333612e+18,2.1436538e+17,4.32e+12,2.0595219e+16,8.1206894e+15,1.7575355e+18,5.2035047e+20,0,2720900.9,0,2720900.9,0,1.35e+21,139.4959,-2.2451161e-08,139.4959,0,0,1.1741582e+08,-1.3696436e+12,4.4759561e+09,-6.5329727e+10,-2.1435372e+09,-81205210,-1.7574174e+10,4060260.5,8.7870872e+08,1.3147716e+10,1.3147716e+10,1.5333971e+11,9.5837319e+09,7062670.2
18000,90,0,96635209,2.1625566e+16,4.2010962e+16,1.5338302e+21,0,7.271309e+18,2.363846e+17,4.32e+12,2.11421e+16,8.4039645e+15,1.9877876e+18,5.3131201e+20,0,3783391.4,0,3783391.4,0,1.35e+21,194.75337,-1.1268298e-08,194.75337,0,0,1.0985622e+08,-1.0411434e+12,4.4348434e+09,-7.2709596e+10,-2.3637424e+09,-84038482,-1.9876755e+10,4201924.1,9.9383777e+08,1.4658743e+10,1.4658743e+10,1.5111891e+11,9.4449318e+09,9029264.1
20000,100,0,1.1200734e+08,2.7225605e+16,5.2555831e+16,1.5246811e+21,0,7.9313204e+18,2.5579376e+17,4.32e+12,2.155946e+16,8.5905675e+15,2.2052348e+18,5.3954854e+20,0,5078906.4,0,5078906.4,0,1.35e+21,263.10266,-4.5703871e-08,263.10266,0,0,1.0278416e+08,-8.010685e+11,4.3697823e+09,-7.9310095e+10,-2.557847e+09,-85904960,-2.2051295e+10,4295248,1.1025647e+09,1.6020584e+10,1.6020584e+10,1.4828294e+11,9.2676837e+09,11230221
22000,110,0,1.2750368e+08,3.351065e+16,6.4162733e+16,1.5176025e+21,0,8.515611e+18,2.726538e+17,4.32e+12,2.1873912e+16,8.6943054e+15,2.4089013e+18,5.4580503e+20,0,6622832.5,0,6622832.5,0,1.35e+21,345.89305,-2.8815521e-08,345.89305,0,0,96168198,-6.2347423e+11,4.2886659e+09,-8.5153372e+10,-2.7264599e+09,-86942721,-2.408803e+10,4347136.1,1.2044015e+09,1.7236194e+10,1.7236194e+10,1.4510146e+11,9.0688412e+09,13654359
24000,120,0,1.4299232e+08,4.0475998e+16,7.6761082e+16,1.5120641e+21,0,9.0280173e+18,2.8708291e+17,4.32e+12,2.2105106e+16,8.7273667e+15,2.5983388e+18,5.5060824e+20,0,8428385.7,0,8428385.7,0,1.35e+21,444.42519,1.0589247e-08,444.42519,0,0,89978920,-4.9054665e+11,4.1970512e+09,-9.0277783e+10,-2.8707628e+09,-87273660,-2.5982477e+10,4363683,1.2991238e+09,1.8311879e+10,1.8311879e+10,1.4175311e+11,8.8595694e+09,16289197
26000,130,0,1.583647e+08,4.8113343e+16,9.0278772e+16,1.5076849e+21,0,9.4732643e+18,2.9923279e+17,4.32e+12,2.2267937e+16,8.7004961e+15,2.7734671e+18,5.543345e+20,0,10506747,0,10506747,0,1.35e+21,559.9455,8.9084551e-08,559.9455,0,0,84188806,-3.8991217e+11,4.098911e+09,-9.4730576e+10,-2.9922726e+09,-87005229,-2.7733831e+10,4350261.4,1.3866916e+09,1.9255864e+10,1.9255864e+10,1.3835613e+11,8.6472581e+09,19121469
28000,140,0,1.7353261e+08,5.6411443e+16,1.0464374e+17,1.5041879e+21,0,9.856493e+18,3.0927289e+17,4.32e+12,2.2373982e+16,8.6231502e+15,2.9344631e+18,5.5725535e+20,0,12867205,0,12867205,0,1.35e+21,693.64237,1.4254351e-07,693.64237,0,0,78772115,-3.1288026e+11,3.9971217e+09,-9.856316e+10,-3.0926836e+09,-86232000,-2.9343861e+10,4311600,1.4671931e+09,2.0077352e+10,2.0077352e+10,1.3498829e+11,8.4367681e+09,22137541
30000,150,0,1.8842547e+08,6.5356704e+16,1.1978506e+17,1.5013697e+21,0,1.0182957e+19,3.1737993e+17,4.32e+12,2.243245e+16,8.5036378e+15,3.0816832e+18,5.5956849e+20,0,15517298,0,15517298,0,1.35e+21,846.64417,2.9897137e-08,846.64417,0,0,73704762,-2.5328185e+11,3.8937843e+09,-1.0182807e+11,-3.1737633e+09,-85037068,-3.0816129e+10,4251853.4,1.5408065e+09,2.0785923e+10,2.0785923e+10,1.3170006e+11,8.2312535e+09,25323740
32000,160,0,2.0298791e+08,7.4933704e+16,1.3563372e+17,1.4990793e+21,0,1.045783e+19,3.2373099e+17,4.32e+12,2.2450826e+16,8.3492454e+15,3.2156074e+18,5.6141917e+20,0,18462959,0,18462959,0,1.35e+21,1020.0186,0,1020.0186,0,9.765625e-08,68964219,-2.0669272e+11,3.7904415e+09,-1.0457705e+11,-3.2372822e+09,-83493302,-3.2155437e+10,4174665.1,1.6077719e+09,2.1391134e+10,2.1391134e+10,1.2852335e+11,8.0327095e+09,28666614
34000,170,0,2.1717766e+08,8.5125643e+16,1.5212315e+17,1.4972034e+21,0,1.0686087e+19,3.2849888e+17,4.32e+12,2.2435302e+16,8.16635e+15,3.3367998e+18,5.6291497e+20,0,21708651,0,21708651,0,1.35e+21,1214.773,0,1214.773,0,9.765625e-08,64529407,-1.6990849e+11,3.6882271e+09,-1.0685984e+11,-3.2849687e+09,-81664476,-3.3367423e+10,4083223.8,1.6683711e+09,2.1902281e+10,2.1902281e+10,1.2547745e+11,7.8423407e+09,32153135
36000,180,0,2.3096361e+08,9.5914742e+16,1.6918956e+17,1.4956565e+21,0,1.0872437e+19,3.3184924e+17,4.32e+12,2.2391081e+16,7.9605196e+15,3.4458783e+18,5.6413619e+20,0,25257502,0,25257502,0,1.35e+21,1431.8561,1.4688567e-08,1431.8561,0,0,60380610,-1.4058607e+11,3.5879704e+09,-1.0872354e+11,-3.3184789e+09,-79606274,-3.4458267e+10,3980313.7,1.7229133e+09,2.2328241e+10,2.2328241e+10,1.2257298e+11,7.6608114e+09,35770855
38000,190,0,2.4432421e+08,1.0728258e+17,1.8677221e+17,1.4943728e+21,0,1.1021281e+19,3.3393865e+17,4.32e+12,2.2322593e+16,7.7366037e+15,3.5434936e+18,5.6514324e+20,0,29111436,0,29111436,0,1.35e+21,1672.1595,-1.7095772e-08,1672.1595,0,0,56499381,-1.1699629e+11,3.4902716e+09,-1.1021216e+11,-3.3393789e+09,-77367195,-3.5434475e+10,3868359.7,1.7717238e+09,2.2677386e+10,2.2677386e+10,1.1981466e+11,7.4884165e+09,39508020
40000,200,0,2.57246e+08,1.1921039e+17,2.0481354e+17,1.4933019e+21,0,1.1136702e+19,3.3491363e+17,4.32e+12,2.2233645e+16,7.4988143e+15,3.6303123e+18,5.6598186e+20,0,33271291,0,33271291,0,1.35e+21,1936.521,0,1936.521,0,9.765625e-08,52868464,-9.7851565e+10,3.3955561e+09,-1.1136652e+11,-3.349134e+09,-74989361,-3.6302715e+10,3749468,1.8151357e+09,2.2957543e+10,2.2957543e+10,1.172032e+11,7.3252001e+09,43353648
