iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.15e+14,38,1.46,2.05e+21,0,1.3e+12,2.3e+18,7.04e+17,7.3e+16,6.9,1.82,1.95e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6598656e-310,4.6598656e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,14305440,3.9813496e+15,5.1272814e+14,1.8863669e+21,0,3.8990221e+17,2.1055029e+18,4.32e+12,8.5846352e+15,6.388559e+17,1.6549282e+17,1.8289936e+20,0,19172.542,0,19172.542,0,1.35e+21,14.892066,2.900209e-08,14.892066,0,0,1.8712053e+08,-1.3378222e+13,2.4639935e+09,-3.8959458e+09,-2.1055958e+10,-6.3888692e+09,-1.6541527e+09,3.1944346e+08,82707637,5.0059108e+09,5.0059108e+09,7.1176507e+10,4.4485317e+09,555383.71
4000,20,0,21399807,8.117643e+15,1.79661e+15,1.7750229e+21,0,1.1506895e+18,1.9340694e+18,4.32e+12,1.2767545e+16,5.7976284e+17,3.5605133e+17,2.9351474e+20,0,79018.886,0,79018.886,0,1.35e+21,35.711638,1.7582089e-08,35.711638,0,0,1.7506546e+08,-9.1857169e+12,3.5111162e+09,-1.1502519e+10,-1.9341486e+10,-5.7979096e+09,-3.5594147e+09,2.8989548e+08,1.7797073e+08,6.1324266e+09,6.1324266e+09,1.0944533e+11,6.8403332e+09,976899.48
6000,30,0,30535717,1.249521e+16,4.1709292e+15,1.697979e+21,0,2.092131e+18,1.7867112e+18,4.32e+12,1.5681637e+16,5.2618086e+17,5.9496258e+17,3.6957118e+20,0,210909.49,0,210909.49,0,1.35e+21,63.195164,0,63.195164,0,9.765625e-08,1.6378786e+08,-6.4108727e+12,4.1357353e+09,-2.0916365e+10,-1.7867798e+10,-5.2620636e+09,-5.9483551e+09,2.6310318e+08,2.9741776e+08,7.6582976e+09,7.6582976e+09,1.3215821e+11,8.2598882e+09,1602410.2
8000,40,0,41397362,1.7188839e+16,7.8135284e+15,1.6438089e+21,0,3.0993935e+18,1.6579444e+18,4.32e+12,1.7757502e+16,4.7759294e+17,8.5796485e+17,4.2263953e+20,0,446538.86,0,446538.86,0,1.35e+21,98.246436,-1.9364094e-08,98.246436,0,0,1.5323758e+08,-4.5446466e+12,4.4958133e+09,-3.0988863e+10,-1.6580048e+10,-4.7761607e+09,-8.5783017e+09,2.3880803e+08,4.2891509e+08,9.3553888e+09,9.3553888e+09,1.4508857e+11,9.0680356e+09,2454998.2
10000,50,0,53660608,2.2260912e+16,1.2804546e+16,1.605134e+21,0,4.1038068e+18,1.5439829e+18,4.32e+12,1.9264584e+16,4.3353076e+17,1.1296121e+18,4.6018639e+20,0,816054.65,0,816054.65,0,1.35e+21,141.88706,1.3172851e-07,141.88706,0,0,1.4336773e+08,-3.2701786e+12,4.6871295e+09,-4.1033129e+10,-1.5440367e+10,-4.3355174e+09,-1.1294759e+10,2.1677587e+08,5.6473797e+08,1.108537e+10,1.108537e+10,1.5181639e+11,9.4885242e+09,3548571.7
12000,60,0,67020253,2.7762481e+16,1.9161684e+16,1.5771142e+21,0,5.0652763e+18,1.4421208e+18,4.32e+12,2.0374993e+16,3.9357012e+17,1.4000392e+18,4.8710454e+20,0,1347323.1,0,1347323.1,0,1.35e+21,195.22313,0,195.22313,0,9.765625e-08,1.3413441e+08,-2.3870162e+12,4.769032e+09,-5.0648106e+10,-1.4421691e+10,-3.9358914e+09,-1.3999055e+10,1.9679457e+08,6.9995275e+08,1.2765685e+10,1.2765685e+10,1.545941e+11,9.6621315e+09,4889568.9
14000,70,0,81201653,3.3734325e+16,2.6862706e+16,1.5565272e+21,0,5.9615264e+18,1.3503605e+18,4.32e+12,2.1201032e+16,3.5732673e+17,1.6629723e+18,5.0664717e+20,0,2065604.9,0,2065604.9,0,1.35e+21,259.41618,0,259.41618,0,9.765625e-08,1.2549658e+08,-1.766384e+12,4.7790989e+09,-5.9610968e+10,-1.3504042e+10,-3.5734399e+09,-1.6628434e+10,1.7867199e+08,8.314217e+08,1.434873e+10,1.434873e+10,1.5485768e+11,9.678605e+09,6478532
16000,80,0,95964329,4.0208043e+16,3.5860019e+16,1.5411969e+21,0,6.7814297e+18,1.267183e+18,4.32e+12,2.1817639e+16,3.2445252e+17,1.9144831e+18,5.2100715e+20,0,2993458.2,0,2993458.2,0,1.35e+21,335.65841,2.7188946e-08,335.65841,0,0,1.1741582e+08,-1.3243352e+12,4.7416388e+09,-6.7810398e+10,-1.2672226e+10,-3.2446817e+09,-1.9143606e+10,1.6223408e+08,9.5718032e+08,1.5808933e+10,1.5808933e+10,1.5353327e+11,9.5958296e+09,8311462.8
18000,90,0,1.1110158e+08,4.7207119e+16,4.6090263e+16,1.529634e+21,0,7.520819e+18,1.1914019e+18,4.32e+12,2.2276004e+16,2.9463213e+17,2.1521975e+18,5.31682e+20,0,4150768.2,0,4150768.2,0,1.35e+21,425.15212,5.879599e-09,425.15212,0,0,1.0985622e+08,-1.00538e+12,4.6727069e+09,-7.5204696e+10,-1.1914381e+10,-2.9464632e+09,-2.1520823e+10,1.4732316e+08,1.0760412e+09,1.7134635e+10,1.7134635e+10,1.5122418e+11,9.4515113e+09,10380952
20000,100,0,1.264382e+08,5.4747955e+16,5.7480706e+16,1.5208056e+21,0,8.1798305e+18,1.1220695e+18,4.32e+12,2.2611969e+16,2.6757987e+17,2.3747826e+18,5.3970701e+20,0,5554846.7,0,5554846.7,0,1.35e+21,529.093,2.1030132e-08,529.093,0,0,1.0278416e+08,-7.7234904e+11,4.58312e+09,-8.1795207e+10,-1.1221027e+10,-2.6759275e+09,-2.3746752e+10,1.3379638e+08,1.1873376e+09,1.8322914e+10,1.8322914e+10,1.4832652e+11,9.2704074e+09,12677105
22000,110,0,1.4182751e+08,6.2840844e+16,6.9953558e+16,1.5139866e+21,0,8.7612044e+18,1.0584136e+18,4.32e+12,2.2851279e+16,2.4303694e+17,2.5816105e+18,5.4580625e+20,0,7220568.7,0,7220568.7,0,1.35e+21,648.65683,0,648.65683,0,9.765625e-08,96168198,-6.0002811e+11,4.4802997e+09,-8.7609324e+10,-1.0584441e+10,-2.4304862e+09,-2.581511e+10,1.2152431e+08,1.2907555e+09,1.9376272e+10,1.9376272e+10,1.451018e+11,9.0688625e+09,15188297
24000,120,0,1.5714809e+08,7.149086e+16,8.3428906e+16,1.5086617e+21,0,9.2691921e+18,9.9979467e+17,4.32e+12,2.3012911e+16,2.2076882e+17,2.7725333e+18,5.5049171e+20,0,9160528.3,0,9160528.3,0,1.35e+21,784.98921,3.0880983e-08,784.98921,0,0,89978920,-4.7110495e+11,4.3694214e+09,-9.2689557e+10,-9.9982281e+09,-2.2077942e+09,-2.7724418e+10,1.1038971e+08,1.3862209e+09,2.0300484e+10,2.0300484e+10,1.4172312e+11,8.8576952e+09,17901774
26000,130,0,1.7230073e+08,8.0698683e+16,9.7826721e+16,1.5044608e+21,0,9.7088513e+18,9.4567528e+17,4.32e+12,2.3111222e+16,2.0056306e+17,2.9477311e+18,5.5412922e+20,0,11385203,0,11385203,0,1.35e+21,939.19791,8.231882e-08,939.19791,0,0,84188806,-3.7355456e+11,4.2541427e+09,-9.7086477e+10,-9.457013e+09,-2.0057268e+09,-2.9476473e+10,1.0028634e+08,1.4738237e+09,2.1103202e+10,2.1103202e+10,1.383049e+11,8.6440564e+09,20804150
