iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9.7e+13,5.79,54.7,1.72e+21,0,3.19e+20,4.01e+18,1.68e+16,7.84e+14,58.7,34.1,2.98e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6582124e-310,4.6582124e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.2424016e+09,4.7141373e+16,1.0926503e+16,1.5878772e+21,0,2.939945e+20,4.2572407e+18,4.32e+12,2.3049157e+17,1.7022093e+16,4.2902451e+18,1.8210489e+20,0,408498.65,0,408498.65,0,1.35e+21,176.32619,4.6462048e-08,176.32619,0,0,1.8712053e+08,-1.0566127e+13,6.6177354e+10,-2.9400637e+12,-4.2571227e+10,-1.7022018e+08,-4.2881545e+10,8511008.8,2.1440772e+09,5.1113785e+11,5.1113785e+11,7.0868843e+10,4.4293027e+09,48234073
4000,20,0,1.3639929e+09,9.9806097e+16,4.2857946e+16,1.5020106e+21,0,2.7139486e+20,4.4541772e+18,4.32e+12,2.1996654e+17,1.7105749e+16,8.1679591e+18,2.8642408e+20,0,1885014.5,0,1885014.5,0,1.35e+21,439.06667,2.3397945e-08,439.06667,0,0,1.7506546e+08,-6.8724033e+12,6.0501185e+10,-2.7140562e+12,-4.4540974e+10,-1.7105739e+08,-8.1661677e+10,8552869.5,4.0830838e+09,4.7673563e+11,4.7673563e+11,1.0680182e+11,6.6751135e+09,62266169
6000,30,0,1.4653325e+09,1.5710999e+17,9.284737e+16,1.4462315e+21,0,2.5085569e+20,4.5799263e+18,4.32e+12,2.0915126e+17,1.7068951e+16,1.1472818e+19,3.5921703e+20,0,4695184.4,0,4695184.4,0,1.35e+21,794.58555,1.2107648e-09,794.58555,0,0,1.6378786e+08,-4.4519189e+12,5.516541e+10,-2.5086549e+12,-4.5798795e+10,-1.7068997e+08,-1.14713e+11,8534498.3,5.7356499e+09,4.4517107e+11,4.4517107e+11,1.2845565e+11,8.028478e+09,76895647
8000,40,0,1.5486634e+09,2.1826441e+17,1.5815147e+17,1.410286e+21,0,2.3211448e+20,4.6448531e+18,4.32e+12,1.9839161e+17,1.6930596e+16,1.4257449e+19,4.1094021e+20,0,9038701.6,0,9038701.6,0,1.35e+21,1247.5336,-4.291519e-08,1247.5336,0,0,1.5323758e+08,-2.8459193e+12,5.0232274e+10,-2.3212343e+12,-4.6448342e+10,-1.6930688e+08,-1.4256178e+11,8465344,7.1280888e+09,4.1606551e+11,4.1606551e+11,1.4107219e+11,8.8170119e+09,91840776
10000,50,0,1.6159764e+09,2.8256773e+17,2.3628712e+17,1.3875677e+21,0,2.1496408e+20,4.6586767e+18,4.32e+12,1.8788923e+17,1.6707291e+16,1.6574542e+19,4.4834775e+20,0,15059632,0,15059632,0,1.35e+21,1801.0402,-4.0247414e-08,1801.0402,0,0,1.4336773e+08,-1.7689472e+12,4.571678e+10,-2.1497229e+12,-4.6586811e+10,-1.6707421e+08,-1.6573492e+11,8353710.5,8.286746e+09,3.8913334e+11,3.8913334e+11,1.4791062e+11,9.2444135e+09,1.0686439e+08
12000,60,0,1.6690567e+09,3.4939678e+17,3.2502673e+17,1.3737567e+21,0,1.9923561e+20,4.6302006e+18,4.32e+12,1.7775915e+17,1.6413603e+16,1.8474705e+19,4.7587171e+20,0,22854648,0,22854648,0,1.35e+21,2456.9399,0,2456.9399,0,9.765625e-08,1.3413441e+08,-1.0405087e+12,4.1608976e+10,-1.9924315e+12,-4.630224e+10,-1.6413765e+08,-1.8473852e+11,8206882.5,9.2369258e+09,3.6415048e+11,3.6415048e+11,1.5102888e+11,9.4393049e+09,1.2176868e+08
14000,70,0,1.709514e+09,4.181992e+17,4.2238552e+17,1.3659894e+21,0,1.8478764e+20,4.5672275e+18,4.32e+12,1.6806378e+17,1.6062286e+16,2.000537e+19,4.9646453e+20,0,32480457,0,32480457,0,1.35e+21,3215.9709,0,3215.9709,0,9.765625e-08,1.2549658e+08,-5.4473491e+11,3.788634e+10,-1.8479456e+12,-4.5672665e+10,-1.6062474e+08,-2.0004689e+11,8031237.1,1.0002345e+10,3.4093482e+11,3.4093482e+11,1.517451e+11,9.484069e+09,1.3639058e+08
16000,80,0,1.7388038e+09,4.8848643e+17,5.2660499e+17,1.3623429e+21,0,1.7149915e+20,4.4765721e+18,4.32e+12,1.5883312e+17,1.5664481e+16,2.1210302e+19,5.1212158e+20,0,43960412,0,43960412,0,1.35e+21,4077.9505,0,4077.9505,0,9.765625e-08,1.1741582e+08,-2.0617026e+11,3.4520681e+10,-1.7150553e+12,-4.4766233e+10,-1.566469e+08,-2.1209774e+11,7832344.9,1.0604887e+10,3.1933382e+11,3.1933382e+11,1.5091459e+11,9.4321621e+09,1.5059766e+08
18000,90,0,1.7582444e+09,5.5982759e+17,6.3613466e+17,1.3615112e+21,0,1.592649e+20,4.364121e+18,4.32e+12,1.5007719e+17,1.5229894e+16,2.2129466e+19,5.2421027e+20,0,57290315,0,57290315,0,1.35e+21,5041.9294,-1.7959792e-08,5041.9294,0,0,1.0985622e+08,2.4991764e+10,3.1481984e+10,-1.5927077e+12,-4.3641818e+10,-1.5230119e+08,-2.2129072e+11,7615059.6,1.1064536e+10,2.9921651e+11,2.9921651e+11,1.490988e+11,9.3186751e+09,1.6428436e+08
