iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,34200000,1.44,3.83,2.06e+21,0,1.4e+17,2.02e+14,9.73e+18,9.32e+16,5.02,3.25,2.84e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6449381e-310,4.6449381e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,25056370,4.729922e+16,6.6262313e+14,1.8920638e+21,0,5.1567725e+17,3.1025566e+16,4.32e+12,1.0120805e+16,8.8063064e+18,2.0923698e+17,1.7112125e+20,0,24777.98,0,24777.98,0,1.35e+21,176.92582,1.2595069e-07,176.92582,0,0,1.8712053e+08,-1.3723286e+13,2.9050401e+09,-5.1537316e+09,-3.1012592e+08,-8.8067458e+10,-2.0914626e+09,4.4033729e+09,1.0457313e+08,9.4939532e+09,9.4939532e+09,6.6590529e+10,4.1619081e+09,972769.78
4000,20,0,33019110,9.0731221e+16,2.2333344e+15,1.7779061e+21,0,1.274135e+18,6.1094246e+16,4.32e+12,1.4281919e+16,7.9699592e+18,4.247145e+17,2.8506388e+20,0,98228.896,0,98228.896,0,1.35e+21,399.16312,3.1959644e-08,399.16312,0,0,1.7506546e+08,-9.4119499e+12,3.9276357e+09,-1.2736966e+10,-6.1077662e+08,-7.9703568e+10,-4.2459293e+09,3.9851784e+09,2.1229646e+08,1.0244318e+10,1.0244318e+10,1.0629319e+11,6.6433241e+09,1507319.7
6000,30,0,42845809,1.3074017e+17,5.0124689e+15,1.6990157e+21,0,2.219564e+18,9.5799182e+16,4.32e+12,1.7147689e+16,7.2130903e+18,6.8547803e+17,3.6342627e+20,0,253466.9,0,253466.9,0,1.35e+21,661.24755,2.0052312e-08,661.24755,0,0,1.6378786e+08,-6.5593857e+12,4.5224163e+09,-2.2190666e+10,-9.5781359e+08,-7.2134502e+10,-6.8534083e+09,3.6067251e+09,3.4267042e+08,1.1439093e+10,1.1439093e+10,1.2996026e+11,8.1225165e+09,2248401.8
8000,40,0,54243927,1.6774566e+17,9.1621212e+15,1.6436353e+21,0,3.2337965e+18,1.3147587e+17,4.32e+12,1.9160631e+16,6.5281437e+18,9.6717761e+17,4.1811844e+20,0,523615.65,0,523615.65,0,1.35e+21,958.81981,2.5145482e-08,958.81981,0,0,1.5323758e+08,-4.6417047e+12,4.8510812e+09,-3.2332854e+10,-1.3145818e+09,-6.5284694e+10,-9.6703436e+09,3.2642347e+09,4.8351718e+08,1.2840793e+10,1.2840793e+10,1.435362e+11,8.9710126e+09,3216841.3
10000,50,0,66908704,2.021223e+17,1.474672e+16,1.6041733e+21,0,4.2461663e+18,1.6601066e+17,4.32e+12,2.0597436e+16,5.9082818e+18,1.2544653e+18,4.5682619e+20,0,939839.87,0,939839.87,0,1.35e+21,1288.3383,1.0964141e-07,1288.3383,0,0,1.4336773e+08,-3.332814e+12,5.0114358e+09,-4.2456684e+10,-1.659939e+09,-5.9085765e+10,-1.254322e+10,2.9542883e+09,6.2716101e+08,1.430458e+10,1.430458e+10,1.5070765e+11,9.4192283e+09,4424667.2
12000,60,0,80551597,2.3420387e+17,2.1768997e+16,1.5756509e+21,0,5.2154093e+18,1.9822532e+17,4.32e+12,2.1634641e+16,5.3473174e+18,1.5376731e+18,4.845862e+20,0,1530661.4,0,1530661.4,0,1.35e+21,1646.9602,2.510842e-08,1646.9602,0,0,1.3413441e+08,-2.426427e+12,5.0638846e+09,-5.2149399e+10,-1.9820991e+09,-5.3475841e+10,-1.5375336e+10,2.673792e+09,7.6876682e+08,1.5743216e+10,1.5743216e+10,1.5379472e+11,9.6121697e+09,5876769.6
14000,70,0,94912581,2.6428711e+17,3.019285e+16,1.5547537e+21,0,6.1185934e+18,2.2751162e+17,4.32e+12,2.2387263e+16,4.8396514e+18,1.8107719e+18,5.0474752e+20,0,2321687,0,2321687,0,1.35e+21,2032.4369,0,2032.4369,0,9.765625e-08,1.2549658e+08,-1.7900262e+12,5.0465096e+09,-6.1181606e+10,-2.2749776e+09,-4.8398928e+10,-1.8106385e+10,2.4199464e+09,9.0531927e+08,1.7105624e+10,1.7105624e+10,1.5427696e+11,9.6423099e+09,7572434.5
16000,80,0,1.0976416e+08,2.9263542e+17,3.9958079e+16,1.5392442e+21,0,6.9442536e+18,2.5361067e+17,4.32e+12,2.2931884e+16,4.3802175e+18,2.0700955e+18,5.1956789e+20,0,3335561.7,0,3335561.7,0,1.35e+21,2443.0221,0,2443.0221,0,9.765625e-08,1.1741582e+08,-1.3372312e+12,4.9838087e+09,-6.9438611e+10,-2.5359843e+09,-4.3804359e+10,-2.0699697e+10,2.190218e+09,1.0349849e+09,1.8363567e+10,1.8363567e+10,1.5310908e+11,9.5693176e+09,9506665.3
18000,90,0,1.2491125e+08,3.1948215e+17,5.0990026e+16,1.5275913e+21,0,7.688083e+18,2.7647743e+17,4.32e+12,2.3320676e+16,3.9644309e+18,2.3135313e+18,5.3058928e+20,0,4592043.1,0,4592043.1,0,1.35e+21,2877.3924,-1.1048542e-08,2877.3924,0,0,1.0985622e+08,-1.0109478e+12,4.8918506e+09,-7.6877316e+10,-2.764668e+09,-3.9646286e+10,-2.3134138e+10,1.9823143e+09,1.1567069e+09,1.9503277e+10,1.9503277e+10,1.5091334e+11,9.4320837e+09,11671281
