iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.78e+08,34,24,4.43e+20,0,4.58e+12,1.62e+21,2.83e+14,1.01e+16,10.7,5.82,1.04e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6675432e-310,4.6675432e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,6.214305e+09,2.3496805e+17,5.4200519e+16,4.206358e+20,0,2.5279595e+19,1.46894e+21,4.32e+12,1.127391e+18,2.0761866e+15,2.1195746e+19,1.3594254e+20,0,2026350.2,0,2026350.2,0,1.35e+21,878.86885,-3.0971478e-08,878.86885,0,0,1.8712053e+08,-6.332874e+11,3.2369282e+11,-2.5267956e+11,-1.4690118e+13,-20753639,-2.1185531e+11,1037681.9,1.0592766e+10,2.5604039e+12,2.5604039e+12,5.2901591e+10,3.3063495e+09,2.4125954e+08
4000,20,0,6.7989436e+09,4.959413e+17,2.1112503e+17,4.2586678e+20,0,4.6684626e+19,1.3320676e+21,4.32e+12,1.0577102e+18,3.5821788e+15,3.9956908e+19,2.2706989e+20,0,9285910,0,9285910,0,1.35e+21,2181.7468,-1.9299478e-08,2181.7468,0,0,1.7506546e+08,1.5027446e+12,2.9092249e+11,-4.6674826e+11,-1.3321327e+13,-35814926,-3.9948328e+11,1790746.3,1.9974164e+10,2.3819271e+12,2.3819271e+12,8.4668033e+10,5.2917521e+09,3.1037123e+08
6000,30,0,7.2731394e+09,7.7821781e+17,4.5460701e+17,4.4790275e+20,0,6.4605697e+19,1.2079253e+21,4.32e+12,9.9157233e+17,4.8323728e+15,5.5640514e+19,2.9511229e+20,0,22989018,0,22989018,0,1.35e+21,3935.8517,-7.4169293e-10,3935.8517,0,0,1.6378786e+08,2.7934362e+12,2.6153728e+11,-6.4597543e+11,-1.2079844e+13,-48318062,-5.563338e+11,2415903.1,2.781669e+10,2.2162457e+12,2.2162457e+12,1.0553022e+11,6.595639e+09,3.8166953e+08
8000,40,0,7.6494982e+09,1.0776218e+18,7.701203e+17,4.7997396e+20,0,7.9423395e+19,1.0953326e+21,4.32e+12,9.2902684e+17,5.858548e+15,6.8607542e+19,3.472973e+20,0,44014171,0,44014171,0,1.35e+21,6159.3715,5.7925718e-09,6159.3715,0,0,1.5323758e+08,3.5503188e+12,2.3522872e+11,-7.9416701e+11,-1.0953862e+13,-58580861,-6.8601682e+11,2929043,3.4300841e+10,2.062342e+12,2.062342e+12,1.1922258e+11,7.4514111e+09,4.5364013e+08
10000,50,0,7.9393798e+09,1.3904569e+18,1.1448358e+18,5.1778508e+20,0,9.1496636e+19,9.9321799e+20,4.32e+12,8.700297e+17,6.6889689e+15,7.9184573e+19,3.883226e+20,0,72965670,0,72965670,0,1.35e+21,8862.5588,1.3871249e-07,8862.5588,0,0,1.4336773e+08,3.9667939e+12,2.116948e+11,-9.1491229e+11,-9.9326659e+12,-66885983,-7.9179832e+11,3344299.2,3.9589916e+10,1.9193155e+12,1.9193155e+12,1.2810675e+11,8.0066717e+09,5.2503055e+08
12000,60,0,8.1530254e+09,1.7134597e+18,1.5674591e+18,5.585877e+20,0,1.0115704e+20,9.0060943e+20,4.32e+12,8.1448301e+17,7.3487521e+15,8.7665704e+19,4.2129766e+20,0,1.1021803e+08,0,1.1021803e+08,0,1.35e+21,12048.98,3.383866e-08,12048.98,0,0,1.3413441e+08,4.1647394e+12,1.906511e+11,-1.0115276e+12,-9.0065351e+12,-73484610,-8.7661942e+11,3674230.5,4.3830971e+10,1.7863565e+12,1.7863565e+12,1.3370715e+11,8.3566969e+09,5.9481691e+08
14000,70,0,8.2996666e+09,2.0437572e+18,2.0280779e+18,6.0061459e+20,0,1.08707e+20,8.1662467e+20,4.32e+12,7.6225859e+17,7.8601956e+15,9.4314857e+19,4.4831851e+20,0,1.5595477e+08,0,1.5595477e+08,0,1.35e+21,15716.614,0,15716.614,0,9.765625e-08,1.2549658e+08,4.2220201e+12,1.7183556e+11,-1.087037e+12,-8.1666464e+12,-78599736,-9.431195e+11,3929986.8,4.7155975e+10,1.66273e+12,1.66273e+12,1.3702791e+11,8.5642444e+09,6.621744e+08
16000,80,0,8.3876195e+09,2.3788283e+18,2.5180207e+18,6.4272904e+20,0,1.1441976e+20,7.4046305e+20,4.32e+12,7.132121e+17,8.2430758e+15,9.9368227e+19,4.708244e+20,0,2.1020205e+08,0,2.1020205e+08,0,1.35e+21,19858.815,-1.3380486e-08,19858.815,0,0,1.1741582e+08,4.1889995e+12,1.550098e+11,-1.1441733e+12,-7.404993e+12,-82429134,-9.9366063e+11,4121456.7,4.9683032e+10,1.5477639e+12,1.5477639e+12,1.3874374e+11,8.671484e+09,7.2645105e+08
18000,90,0,8.4243694e+09,2.7164689e+18,3.0297274e+18,6.8420425e+20,0,1.1854069e+20,6.7139798e+20,4.32e+12,6.671917e+17,8.5149133e+15,1.030367e+20,4.898224e+20,0,2.7285791e+08,0,2.7285791e+08,0,1.35e+21,24465.155,3.7358404e-08,24465.155,0,0,1.0985622e+08,4.0986073e+12,1.399588e+11,-1.1853899e+12,-6.7143085e+12,-85148025,-1.0303518e+12,4257401.2,5.151759e+10,1.4408402e+12,1.4408402e+12,1.3931694e+11,8.7073087e+09,7.8714432e+08
