iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9310000,21,4.81,1.56e+21,0,1.25e+10,1.04e+11,4.68e+14,1.63e+16,4.33,5.35,5.13e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6678334e-310,4.6678334e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,14339393,1.0970988e+15,9.4403591e+14,1.5414207e+21,0,1.6944969e+18,5.5271596e+16,4.32e+12,2.0556592e+16,2.2435856e+15,3.7693881e+17,5.2944648e+20,0,35293.851,0,35293.851,0,1.35e+21,4.1032036,1.4925313e-08,4.1032036,0,0,1.8712053e+08,-1.5431785e+12,5.901786e+09,-1.6936896e+10,-5.5244849e+08,-22427712,-3.7675209e+09,1121385.6,1.8837605e+08,3.3332337e+09,3.3332337e+09,2.0611011e+11,1.2881882e+10,556701.88
4000,20,0,25381265,2.7274865e+15,3.7569014e+15,1.5283716e+21,0,3.2279606e+18,1.064182e+17,4.32e+12,2.1591708e+16,3.7336331e+15,7.4274562e+17,5.4053997e+20,0,165237.23,0,165237.23,0,1.35e+21,11.997848,3.6758472e-09,11.997848,0,0,1.7506546e+08,-1.0971396e+12,5.9384688e+09,-3.2272343e+10,-1.0639383e+09,-37329544,-7.4256684e+09,1866477.2,3.7128342e+08,6.3761525e+09,6.3761525e+09,2.0158526e+11,1.2599079e+10,1158652.7
6000,30,0,37953409,4.9468586e+15,8.3617022e+15,1.5189942e+21,0,4.6011423e+18,1.5269878e+17,4.32e+12,2.239909e+16,4.9693852e+15,1.0911368e+18,5.4814232e+20,0,422835.57,0,422835.57,0,1.35e+21,25.017124,-2.4405672e-08,25.017124,0,0,1.6378786e+08,-7.9782046e+11,5.9077019e+09,-4.6004948e+10,-1.5267687e+09,-49688255,-1.0909673e+10,2484412.7,5.4548367e+08,9.1215312e+09,9.1215312e+09,1.9603063e+11,1.2251914e+10,1991665.4
8000,40,0,51717536,7.797709e+15,1.4666457e+16,1.5121038e+21,0,5.8205908e+18,1.9404807e+17,4.32e+12,2.3032032e+16,5.9824741e+15,1.4199849e+18,5.5343386e+20,0,838207.6,0,838207.6,0,1.35e+21,44.566689,4.1918383e-08,44.566688,0,0,1.5323758e+08,-5.9292874e+11,5.8314274e+09,-5.820018e+10,-1.9402861e+09,-59820184,-1.4198256e+10,2991009.2,7.0991279e+08,1.1578396e+10,1.1578396e+10,1.8999836e+11,1.1874897e+10,3067018.1
10000,50,0,66377369,1.131115e+16,2.2571117e+16,1.5069317e+21,0,6.89584e+18,2.3057747e+17,4.32e+12,2.3526697e+16,6.8010309e+15,1.7282003e+18,5.5717477e+20,0,1438536.7,0,1438536.7,0,1.35e+21,72.091511,-1.5337491e-08,72.091511,0,0,1.4336773e+08,-4.498788e+11,5.7242522e+09,-6.8953366e+10,-2.3056037e+09,-68006659,-1.7280515e+10,3400333,8.6402573e+08,1.3762134e+10,1.3762134e+10,1.8381883e+11,1.1488677e+10,4389530.1
12000,60,0,81676522,1.5508516e+16,3.1971772e+16,1.5029703e+21,0,7.8377686e+18,2.6250308e+17,4.32e+12,2.3908671e+16,7.4500511e+15,2.0153752e+18,5.5986184e+20,0,2248101.1,0,2248101.1,0,1.35e+21,109.04969,1.9663233e-08,109.04969,0,0,1.3413441e+08,-3.4802462e+11,5.5962273e+09,-7.837329e+10,-2.6248823e+09,-74497652,-2.0152369e+10,3724882.6,1.0076185e+09,1.5691242e+10,1.5691242e+10,1.7768914e+11,1.1105571e+10,5958840.2
14000,70,0,97395286,2.0402788e+16,4.2763432e+16,1.4998791e+21,0,8.6576447e+18,2.9010094e+17,4.32e+12,2.4196837e+16,7.9517238e+15,2.2815582e+18,5.6182423e+20,0,3288360.8,0,3288360.8,0,1.35e+21,156.89126,0,156.89126,0,9.765625e-08,1.2549658e+08,-2.7407477e+11,5.4544715e+09,-8.6572634e+10,-2.9008818e+09,-79515064,-2.2814303e+10,3975753.2,1.1407152e+09,1.738541e+10,1.738541e+10,1.7172522e+11,1.0732826e+10,7770512.7
16000,80,0,1.1334704e+08,2.599987e+16,5.4841911e+16,1.4974254e+21,0,9.3665759e+18,3.1367849e+17,4.32e+12,2.4405696e+16,8.3257262e+15,2.5271073e+18,5.6328281e+20,0,4578079.2,0,4578079.2,0,1.35e+21,217.04134,0,217.04134,0,9.765625e-08,1.1741582e+08,-2.1934016e+11,5.3041482e+09,-9.3662473e+10,-3.1366765e+09,-83255681,-2.5269896e+10,4162784.1,1.2634948e+09,1.8864405e+10,1.8864405e+10,1.6599308e+11,1.0374567e+10,9816978.3
18000,90,0,1.2937469e+08,3.2299721e+16,6.8105114e+16,1.4954479e+21,0,9.9752003e+18,3.3355612e+17,4.32e+12,2.4546794e+16,8.5894898e+15,2.7525923e+18,5.643875e+20,0,6133465.7,0,6133465.7,0,1.35e+21,290.88703,1.4279465e-08,290.88703,0,0,1.0985622e+08,-1.7805535e+11,5.1490708e+09,-9.9749194e+10,-3.3354705e+09,-85893828,-2.7524845e+10,4294691.4,1.3762422e+09,2.0147413e+10,2.0147413e+10,1.6052773e+11,1.0032983e+10,12088329
