iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.81e+08,1.77,26.1,1.1e+21,0,1.85e+11,2.44e+19,2.08e+15,2.2e+15,74.8,9.4,9.51e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6571292e-310,4.6571292e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.1716941e+08,5.3999971e+15,2.366245e+15,1.2124127e+21,0,3.2657076e+18,2.2216216e+19,4.32e+12,4.9741551e+16,3.7022528e+15,9.429471e+17,8.3650742e+20,0,88464.329,0,88464.329,0,1.35e+21,20.197662,4.1759325e-08,20.197662,0,0,1.8712053e+08,9.1650231e+12,1.4281682e+10,-3.2642686e+10,-2.2217255e+11,-37015114,-9.4249679e+09,1850755.7,4.712484e+08,4.4217479e+10,4.4217479e+10,3.2566924e+11,2.0354328e+10,4548897.8
4000,20,0,1.412974e+08,1.1811074e+16,9.2582272e+15,1.2884797e+21,0,5.8281288e+18,2.0230748e+19,4.32e+12,4.6761471e+16,5.0534867e+15,1.769587e+18,7.5902693e+20,0,407204.18,0,407204.18,0,1.35e+21,51.958391,1.9886237e-08,51.958391,0,0,1.7506546e+08,6.2545159e+12,1.2861647e+10,-5.8269906e+10,-2.0231695e+11,-50528741,-1.7692078e+10,2526437,8.8460392e+08,4.5985313e+10,4.5985313e+10,2.8308055e+11,1.7692534e+10,6450215.1
6000,30,0,1.646389e+08,1.9208136e+16,1.9969456e+16,1.3407662e+21,0,7.8670026e+18,1.8422324e+19,4.32e+12,4.4556523e+16,6.1636358e+15,2.4689123e+18,7.0579543e+20,0,1009834.2,0,1009834.2,0,1.35e+21,97.143787,0,97.143787,0,9.765625e-08,1.6378786e+08,4.3338383e+12,1.1752108e+10,-7.8660918e+10,-1.8423186e+11,-61631357,-2.4685902e+10,3081567.9,1.2342951e+09,4.7042788e+10,4.7042788e+10,2.5242101e+11,1.5776313e+10,8639687.3
8000,40,0,1.8704957e+08,2.7559461e+16,3.392606e+16,1.3772467e+21,0,9.5047463e+18,1.6776491e+19,4.32e+12,4.2839118e+16,7.0630749e+15,3.0647851e+18,6.6870717e+20,0,1938949.9,0,1938949.9,0,1.35e+21,157.51905,6.439393e-09,157.51905,0,0,1.5323758e+08,3.0469691e+12,1.0846664e+10,-9.5040122e+10,-1.6777275e+11,-70626732,-3.0645099e+10,3531336.6,1.5322549e+09,4.7596183e+10,4.7596183e+10,2.2957885e+11,1.4348678e+10,11092648
10000,50,0,2.0845128e+08,3.6828629e+16,5.0655228e+16,1.4030655e+21,0,1.0827347e+19,1.5279384e+19,4.32e+12,4.1433357e+16,7.7787978e+15,3.5744939e+18,6.4252932e+20,0,3228483.1,0,3228483.1,0,1.35e+21,234.73594,1.2390277e-07,234.73594,0,0,1.4336773e+08,2.1723569e+12,1.008135e+10,-1.0826754e+11,-1.5280097e+11,-77784817,-3.5742583e+10,3889240.8,1.7871292e+09,4.7784582e+10,4.7784582e+10,2.1198258e+11,1.3248911e+10,13784866
12000,60,0,2.2880553e+08,4.6976036e+16,6.9758592e+16,1.4215919e+21,0,1.1897063e+19,1.3917978e+19,4.32e+12,4.023043e+16,8.3347708e+15,4.0110364e+18,6.2383087e+20,0,4905155,0,4905155,0,1.35e+21,330.32795,0,330.32795,0,9.765625e-08,1.3413441e+08,1.5698948e+12,9.4168073e+09,-1.1896583e+11,-1.3918627e+11,-83345291,-4.0108346e+10,4167264.5,2.0054173e+09,4.7704067e+10,4.7704067e+10,1.9799456e+11,1.237466e+10,16692871
14000,70,0,2.4809873e+08,5.7960125e+16,9.0894648e+16,1.4350648e+21,0,1.2760302e+19,1.2680189e+19,4.32e+12,3.9162395e+16,8.7522517e+15,4.3845288e+18,6.1032889e+20,0,6989573.8,0,6989573.8,0,1.35e+21,445.70931,0,445.70931,0,9.765625e-08,1.2549658e+08,1.1496201e+12,8.8281799e+09,-1.2759916e+11,-1.2680779e+11,-87520743,-4.3843564e+10,4376037.1,2.1921782e+09,4.7422634e+10,4.7422634e+10,1.8655302e+11,1.1659564e+10,19794124
16000,80,0,2.6633369e+08,6.9738358e+16,1.137668e+17,1.4449923e+21,0,1.3452617e+19,1.1554892e+19,4.32e+12,3.8186537e+16,9.0500751e+15,4.7030944e+18,6.0048302e+20,0,9497108,0,9497108,0,1.35e+21,582.17669,2.8668637e-08,582.17669,0,0,1.1741582e+08,8.5292744e+11,8.2993026e+09,-1.3452308e+11,-1.1555428e+11,-90499532,-4.7029477e+10,4524976.6,2.3514738e+09,4.698955e+10,4.698955e+10,1.7695699e+11,1.1059812e+10,23067139
18000,90,0,2.8352468e+08,8.2267969e+16,1.38115e+17,1.4524036e+21,0,1.4001921e+19,1.0531894e+19,4.32e+12,3.7275881e+16,9.24491e+15,4.9734344e+18,5.9324007e+20,0,12438609,0,12438609,0,1.35e+21,740.91269,-3.059597e-08,740.91269,0,0,1.0985622e+08,6.4111241e+11,7.8193047e+09,-1.4001678e+11,-1.0532381e+11,-92448358,-4.9733103e+10,4622417.9,2.4866552e+09,4.6441329e+10,4.6441329e+10,1.6873524e+11,1.0545952e+10,26491578
20000,100,0,2.9969426e+08,9.5506548e+16,1.6370965e+17,1.4580094e+21,0,1.4430617e+19,9.6018866e+18,4.32e+12,3.6413373e+16,9.3514904e+15,5.2012019e+18,5.8787084e+20,0,15821028,0,15821028,0,1.35e+21,922.99083,-1.1490329e-08,922.99083,0,0,1.0278416e+08,4.882801e+11,7.3805972e+09,-1.443043e+11,-9.6023298e+10,-93514569,-5.2010978e+10,4675728.4,2.6005489e+09,4.5805618e+10,4.5805618e+10,1.6156496e+11,1.009781e+10,30048322
22000,110,0,3.1487127e+08,1.0941249e+17,1.9034711e+17,1.4623061e+21,0,1.4757022e+19,8.7563852e+18,4.32e+12,3.5588256e+16,9.382822e+15,5.3912528e+18,5.838644e+20,0,19647953,0,19647953,0,1.35e+21,1129.3812,-1.3612862e-09,1129.3812,0,0,96168198,3.768912e+11,6.9776645e+09,-1.4756882e+11,-8.7567881e+10,-93828231,-5.3911665e+10,4691411.6,2.6955832e+09,4.5103761e+10,4.5103761e+10,1.5522072e+11,9.701295e+09,33719539
24000,120,0,3.2908933e+08,1.2394533e+17,2.1784623e+17,1.4656444e+21,0,1.4996349e+19,7.9876671e+18,4.32e+12,3.4793788e+16,9.3503688e+15,5.5478178e+18,5.8085866e+20,0,23920076,0,23920076,0,1.35e+21,1360.9572,5.8823844e-09,1360.9572,0,0,89978920,2.9492655e+11,6.6063285e+09,-1.4996249e+11,-7.9880335e+10,-93503992,-5.5477472e+10,4675199.6,2.7738736e+09,4.4352522e+10,4.4352522e+10,1.4954193e+11,9.3463709e+09,37488733
26000,130,0,3.4238576e+08,1.3906601e+17,2.4604553e+17,1.4682743e+21,0,1.5161396e+19,7.2887095e+18,4.32e+12,3.4025795e+16,9.2642197e+15,5.6746233e+18,5.7859424e+20,0,28635615,0,28635615,0,1.35e+21,1618.5016,-1.756257e-08,1618.5016,0,0,84188806,2.3405833e+11,6.2632957e+09,-1.516133e+11,-7.2890426e+10,-92642747,-5.6745668e+10,4632137.3,2.8372834e+09,4.3565273e+10,4.3565273e+10,1.4441178e+11,9.0257363e+09,41340770
28000,140,0,3.5480068e+08,1.5473709e+17,2.7480098e+17,1.470376e+21,0,1.5263043e+19,6.6531295e+18,4.32e+12,3.3281741e+16,9.1332379e+15,5.7749788e+18,5.7688341e+20,0,33790683,0,33790683,0,1.35e+21,1902.7146,0,1902.7146,0,1.953125e-07,78772115,1.8845566e+11,5.945874e+09,-1.5263007e+11,-6.6534324e+10,-91333133,-5.7749347e+10,4566656.6,2.8874674e+09,4.2752811e+10,4.2752811e+10,1.3974345e+11,8.7339657e+09,45261895
30000,150,0,3.663763e+08,1.7092283e+17,3.0398412e+17,1.4720802e+21,0,1.5310614e+19,6.0751283e+18,4.32e+12,3.2560124e+16,8.9651954e+15,5.8518412e+18,5.75589e+20,0,39379616,0,39379616,0,1.35e+21,2214.22,0,2214.22,0,9.765625e-08,73704762,1.5399525e+11,5.6517939e+09,-1.5310603e+11,-6.0754038e+10,-89652875,-5.8518081e+10,4482643.7,2.9259041e+09,4.1923946e+10,4.1923946e+10,1.3547103e+11,8.4669391e+09,49239724
32000,160,0,3.7715625e+08,1.8758937e+17,3.3348043e+17,1.473483e+21,0,1.5312152e+19,5.5494388e+18,4.32e+12,3.1860086e+16,8.7668928e+15,5.9078641e+18,5.7460985e+20,0,45395270,0,45395270,0,1.35e+21,2553.5725,0,2553.5725,0,9.765625e-08,68964219,1.277339e+11,5.3790938e+09,-1.5312161e+11,-5.5496893e+10,-87669984,-5.9078409e+10,4383499.2,2.9539204e+09,4.1085923e+10,4.1085923e+10,1.3154333e+11,8.2214581e+09,53263232
34000,170,0,3.8718508e+08,2.0470472e+17,3.6318798e+17,1.474655e+21,0,1.5274624e+19,5.0712777e+18,4.32e+12,3.1181164e+16,8.5442674e+15,5.9454365e+18,5.7387068e+20,0,51829278,0,51829278,0,1.35e+21,2921.265,1.4024408e-09,2921.265,0,0,64529407,1.0755202e+11,5.1260449e+09,-1.5274652e+11,-5.0715056e+10,-85443839,-5.945422e+10,4272192,2.972711e+09,4.0244735e+10,4.0244735e+10,1.2791978e+11,7.994986e+09,57322720
