iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9.02e+10,6.95,11.9,1.66e+21,0,1.4e+20,2.72e+20,4.64e+13,6.02e+12,16.6,3.31,1.02e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6588395e-310,4.6588395e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.582917e+09,5.9905344e+16,1.3847013e+16,1.5273087e+21,0,1.3332126e+20,2.4691147e+20,4.32e+12,2.9125322e+17,1.862089e+15,5.4326304e+18,1.59681e+20,0,517685.28,0,517685.28,0,1.35e+21,224.06825,-3.5247041e-08,224.06825,0,0,1.8712053e+08,-1.0545581e+13,8.362306e+10,-1.3332444e+12,-2.469234e+12,-18612555,-5.4299893e+10,930627.76,2.7149946e+09,6.5158158e+11,6.5158158e+11,6.2138208e+10,3.883638e+09,61453988
4000,20,0,1.7360025e+09,1.2674044e+17,5.423649e+16,1.4422017e+21,0,1.2722465e+20,2.2417341e+20,4.32e+12,2.768522e+17,3.3884451e+15,1.0320302e+19,2.6864253e+20,0,2385477,0,2385477,0,1.35e+21,557.55633,-1.9253434e-08,557.55633,0,0,1.7506546e+08,-6.7497406e+12,7.6147565e+10,-1.2722759e+12,-2.2418424e+12,-33877492,-1.0318049e+11,1693874.6,5.1590245e+09,6.0720547e+11,6.0720547e+11,1.0016968e+11,6.2606052e+09,79248377
6000,30,0,1.8626879e+09,1.9935913e+17,1.173381e+17,1.3879794e+21,0,1.2153997e+20,2.0353058e+20,4.32e+12,2.6236543e+17,4.6570542e+15,1.4467205e+19,3.4492464e+20,0,5933656.1,0,5933656.1,0,1.35e+21,1008.2614,0,1008.2614,0,9.765625e-08,1.6378786e+08,-4.2686623e+12,6.9201202e+10,-1.2154273e+12,-2.0354041e+12,-46564789,-1.4465304e+11,2328239.4,7.2326522e+09,5.663878e+11,5.663878e+11,1.2334373e+11,7.7089829e+09,97747504
8000,40,0,1.9659272e+09,2.7674046e+17,1.9961641e+17,1.3540559e+21,0,1.1616456e+20,1.8478887e+20,4.32e+12,2.4813951e+17,5.699878e+15,1.7945856e+19,3.9934171e+20,0,11408520,0,11408520,0,1.35e+21,1581.7657,-3.1689069e-09,1581.7657,0,0,1.5323758e+08,-2.6282204e+12,6.2828409e+10,-1.1616718e+12,-1.847978e+12,-56994082,-1.7944272e+11,2849704.1,8.9721358e+09,5.2869294e+11,5.2869294e+11,1.3708991e+11,8.5681192e+09,1.1658588e+08
10000,50,0,2.0483512e+09,3.5797752e+17,2.9788963e+17,1.3336147e+21,0,1.1103657e+20,1.6777285e+20,4.32e+12,2.3437226e+17,6.5453458e+15,2.0826906e+19,4.3888076e+20,0,18985845,0,18985845,0,1.35e+21,2281.6908,9.5609266e-08,2281.6908,0,0,1.4336773e+08,-1.5334201e+12,5.7026999e+10,-1.1103908e+12,-1.6778095e+12,-65449680,-2.0825603e+11,3272484,1.0412802e+10,4.9378459e+11,4.9378459e+11,1.4478702e+11,9.0491885e+09,1.354573e+08
12000,60,0,2.1123216e+09,4.4226622e+17,4.093158e+17,1.3222021e+21,0,1.0611888e+20,1.5232361e+20,4.32e+12,2.211723e+17,7.218723e+15,2.3177113e+19,4.6812824e+20,0,28781551,0,28781551,0,1.35e+21,3109.9943,2.9750481e-08,3109.9943,0,0,1.3413441e+08,-7.9776184e+11,5.1770973e+10,-1.0612129e+12,-1.5233097e+12,-72184255,-2.317606e+11,3609212.8,1.158803e+10,4.6139296e+11,4.6139296e+11,1.48571e+11,9.2856875e+09,1.5410778e+08
14000,70,0,2.1599669e+09,5.2889522e+17,5.3137171e+17,1.3168689e+21,0,1.0138939e+20,1.3829707e+20,4.32e+12,2.0859418e+17,7.7424428e+15,2.5058388e+19,4.9014087e+20,0,40861260,0,40861260,0,1.35e+21,4067.2301,0,4067.2301,0,9.765625e-08,1.2549658e+08,-3.0154361e+11,4.7023099e+10,-1.0139171e+12,-1.3830375e+12,-77422150,-2.5057555e+11,3871107.5,1.2528777e+10,4.3129431e+11,4.3129431e+11,1.4981204e+11,9.3632522e+09,1.7232918e+08
16000,80,0,2.1932095e+09,6.1723676e+17,6.6182843e+17,1.3156378e+21,0,9.6834999e+19,1.2556247e+20,4.32e+12,1.9665935e+17,8.1364035e+15,2.6527438e+19,5.0698585e+20,0,55248745,0,55248745,0,1.35e+21,5152.778,-3.6936399e-08,5152.778,0,0,1.1741582e+08,3.3165662e+10,4.2741859e+10,-9.6837234e+11,-1.2556854e+12,-81362360,-2.6526797e+11,4068118,1.3263399e+10,4.03298e+11,4.03298e+11,1.4940099e+11,9.3375617e+09,1.899537e+08
18000,90,0,2.2137874e+09,7.0673853e+17,7.9872597e+17,1.3171685e+21,0,9.2447968e+19,1.140011e+20,4.32e+12,1.8536893e+17,8.4182364e+15,2.7635772e+19,5.2008097e+20,0,71933328,0,71933328,0,1.35e+21,6365.0443,-3.6023266e-08,6365.0443,0,0,1.0985622e+08,2.5778777e+11,3.8885248e+10,-9.245012e+11,-1.1400661e+12,-84181208,-2.76353e+11,4209060.4,1.381765e+10,3.7723797e+11,3.7723797e+11,1.4792418e+11,9.2452613e+09,2.0684874e+08
