iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.48e+08,95.7,4.07,5.92e+20,0,3.76e+14,7.07e+13,5.24e+18,2.05e+17,63,71.6,1.47e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6369833e-310,4.6369833e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,46352027,2.8117574e+16,3.2446643e+15,8.5625533e+20,0,4.3520314e+18,1.6648854e+17,4.32e+12,4.9520879e+16,4.7433934e+18,1.1315728e+18,1.2007177e+21,0,121320.79,0,121320.79,0,1.35e+21,105.17494,-6.6631003e-09,105.17494,0,0,1.8712053e+08,2.1542858e+13,1.4218784e+10,-4.3501976e+10,-1.6642577e+09,-4.7436297e+10,-1.1311341e+10,2.3718148e+09,5.6556704e+08,1.3259285e+10,1.3259285e+10,4.6748033e+11,2.9217521e+10,1799536.5
4000,20,0,68007305,5.4659804e+16,1.0946783e+16,1.0350271e+21,0,7.4881114e+18,2.7514776e+17,4.32e+12,4.4056718e+16,4.2936927e+18,1.9099637e+18,1.0183456e+21,0,481492.91,0,481492.91,0,1.35e+21,240.46882,4.7643681e-08,240.46882,0,0,1.7506546e+08,1.4695891e+13,1.2117988e+10,-7.4867783e+10,-2.7510092e+09,-4.2939065e+10,-1.9096186e+10,2.1469532e+09,9.548093e+08,1.9088543e+10,1.9088543e+10,3.7980596e+11,2.3737873e+10,3104528
6000,30,0,89614537,7.9864966e+16,2.2131135e+16,1.1578419e+21,0,9.7832244e+18,3.5683131e+17,4.32e+12,4.0412993e+16,3.8866751e+18,2.5292489e+18,8.9291056e+20,0,1119175.4,0,1119175.4,0,1.35e+21,403.93203,-2.315727e-08,403.93203,0,0,1.6378786e+08,1.017516e+13,1.0659386e+10,-9.7822422e+10,-3.5679585e+09,-3.8868687e+10,-2.5289712e+10,1.9434343e+09,1.2644856e+09,2.3331413e+10,2.3331413e+10,3.1934957e+11,1.9959348e+10,4702665
8000,40,0,1.1085959e+08,1.0394851e+17,3.6116132e+16,1.2434437e+21,0,1.148226e+19,4.189306e+17,4.32e+12,3.7907818e+16,3.5182863e+18,3.0320922e+18,8.0537923e+20,0,2064151.9,0,2064151.9,0,1.35e+21,594.15646,3.4506684e-08,594.15646,0,0,1.5323758e+08,7.1443135e+12,9.5981745e+09,-1.148153e+11,-4.1890356e+09,-3.5184615e+10,-3.0318647e+10,1.7592307e+09,1.5159324e+09,2.6453547e+10,2.6453547e+10,2.7650691e+11,1.7281682e+10,6574334
10000,50,0,1.3156157e+08,1.2709452e+17,5.2394588e+16,1.3039261e+21,0,1.2748848e+19,4.6632956e+17,4.32e+12,3.6122378e+16,3.184857e+18,3.4468772e+18,7.4346528e+20,0,3339382,0,3339382,0,1.35e+21,810.10126,1.3124145e-07,810.10126,0,0,1.4336773e+08,5.0828531e+12,8.7891586e+09,-1.2748303e+11,-4.6630893e+09,-3.1850156e+10,-3.4466883e+10,1.5925078e+09,1.7233442e+09,2.8764959e+10,2.8764959e+10,2.4528765e+11,1.5330478e+10,8700155.9
12000,60,0,1.5161418e+08,1.4946047e+17,7.0576623e+16,1.3472133e+21,0,1.3694768e+19,5.0236916e+17,4.32e+12,3.4796117e+16,2.8830668e+18,3.7929703e+18,6.9911401e+20,0,4962724.5,0,4962724.5,0,1.35e+21,1051.0229,2.0197604e-08,1051.0229,0,0,1.3413441e+08,3.6615862e+12,8.1448097e+09,-1.3694361e+11,-5.0235355e+09,-2.8832104e+10,-3.7928119e+10,1.4416052e+09,1.896406e+09,3.0476636e+10,3.0476636e+10,2.2189145e+11,1.3868216e+10,11061253
14000,70,0,1.7095417e+08,1.7118121e+17,9.0353325e+16,1.3785732e+21,0,1.4398084e+19,5.2941755e+17,4.32e+12,3.3765115e+16,2.6099109e+18,4.0839442e+18,6.6696681e+20,0,6948002.5,0,6948002.5,0,1.35e+21,1316.4185,2.9846888e-08,1316.4185,0,0,1.2549658e+08,2.6691084e+12,7.6115035e+09,-1.4397783e+11,-5.2940596e+09,-2.6100408e+10,-4.0838107e+10,1.3050204e+09,2.0419054e+09,3.173538e+10,3.173538e+10,2.0386722e+11,1.2741701e+10,13639280
16000,80,0,1.8954428e+08,1.9237232e+17,1.1147322e+17,1.4015563e+21,0,1.4914524e+19,5.4921321e+17,4.32e+12,3.2925286e+16,2.3626699e+18,4.3295836e+18,6.4340875e+20,0,9305703.5,0,9305703.5,0,1.35e+21,1605.9791,-4.0748773e-08,1605.9791,0,0,1.1741582e+08,1.9676762e+12,7.1558398e+09,-1.4914305e+11,-5.4920489e+09,-2.3627874e+10,-4.3294708e+10,1.1813937e+09,2.1647354e+09,3.2645612e+10,3.2645612e+10,1.8960847e+11,1.1850529e+10,16416415
18000,90,0,2.0736392e+08,2.1313288e+17,1.3372679e+17,1.4185873e+21,0,1.5284735e+19,5.630753e+17,4.32e+12,3.2210066e+16,2.1388829e+18,4.5371508e+18,6.259688e+20,0,12043473,0,12043473,0,1.35e+21,1919.5516,-4.5959268e-08,1919.5516,0,0,1.0985622e+08,1.4662985e+12,6.7566465e+09,-1.5284581e+11,-5.6306967e+09,-2.1389893e+10,-4.5370556e+10,1.0694946e+09,2.2685278e+09,3.3283248e+10,3.3283248e+10,1.7804547e+11,1.1127842e+10,19375376
