iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,11300000,24.4,3.58,1.68e+21,0,6.75e+18,4.27e+10,6.6e+17,1.72e+17,2.76,3.79,3.79e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6864856e-310,4.6864856e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,39139547,5.0454695e+15,1.5984092e+15,1.6231515e+21,0,7.5466692e+18,7.5822338e+16,4.32e+12,2.1766724e+16,5.9904117e+17,5.145718e+17,4.346679e+20,0,59769.787,0,59769.787,0,1.35e+21,18.872229,-1.5822152e-08,18.872229,0,0,1.8712053e+08,-4.6603592e+12,6.2491206e+09,-7.5462584e+10,-7.5794882e+08,-5.9907019e+09,-5.1437986e+09,2.995351e+08,2.5718993e+08,1.4015268e+10,1.4015268e+10,1.6920672e+11,1.057542e+10,1519524.5
4000,20,0,51403768,1.0412001e+16,5.1452049e+15,1.5842589e+21,0,8.3696784e+18,1.2905619e+17,4.32e+12,2.3347101e+16,5.4373706e+17,8.9610306e+17,4.7234937e+20,0,226311.19,0,226311.19,0,1.35e+21,45.804885,-9.0831236e-09,45.804885,0,0,1.7506546e+08,-3.2190882e+12,6.4212189e+09,-8.3692706e+10,-1.2903053e+09,-5.4376339e+09,-8.9591439e+09,2.7188169e+08,4.4795719e+08,1.5814806e+10,1.5814806e+10,1.7615043e+11,1.1009402e+10,2346577.9
6000,30,0,64879866,1.6162829e+16,1.0582213e+16,1.5571713e+21,0,9.1649861e+18,1.780926e+17,4.32e+12,2.4440445e+16,4.9358347e+17,1.2663936e+18,4.9826194e+20,0,535136.85,0,535136.85,0,1.35e+21,81.744055,0,81.744055,0,9.765625e-08,1.6378786e+08,-2.2627115e+12,6.4460871e+09,-9.164601e+10,-1.7806927e+09,-4.9360735e+09,-1.2662125e+10,2.4680367e+08,6.3310626e+08,1.7554368e+10,1.7554368e+10,1.7818923e+11,1.1136827e+10,3404673.9
8000,40,0,79288422,2.2350407e+16,1.7835934e+16,1.537979e+21,0,9.9032795e+18,2.2222549e+17,4.32e+12,2.519957e+16,4.4809768e+17,1.618833e+18,5.1635225e+20,0,1019362.6,0,1019362.6,0,1.35e+21,127.74823,-7.0303088e-09,127.74823,0,0,1.5323758e+08,-1.617366e+12,6.3802192e+09,-9.9029275e+10,-2.222047e+09,-4.4811933e+09,-1.6186619e+10,2.2405967e+08,8.0933095e+08,1.9176167e+10,1.9176167e+10,1.7726605e+11,1.1079128e+10,4702061.3
10000,50,0,94373428,2.9015784e+16,2.6807527e+16,1.524155e+21,0,1.0570034e+19,2.6123918e+17,4.32e+12,2.5721851e+16,4.0684241e+17,1.9497676e+18,5.2916608e+20,0,1708554.1,0,1708554.1,0,1.35e+21,184.94129,9.4771906e-08,184.94129,0,0,1.4336773e+08,-1.1748047e+12,6.2583584e+09,-1.056972e+11,-2.6122095e+09,-4.0686205e+09,-1.9496079e+10,2.0343103e+08,9.7480394e+08,2.0651245e+10,2.0651245e+10,1.7457714e+11,1.0911071e+10,6240907.2
12000,60,0,1.0990846e+08,3.6190031e+16,3.7384578e+16,1.5140398e+21,0,1.1159599e+19,2.9520159e+17,4.32e+12,2.6071021e+16,3.6942156e+17,2.2573937e+18,5.3837087e+20,0,2628720.7,0,2628720.7,0,1.35e+21,254.48498,4.2059355e-08,254.48498,0,0,1.3413441e+08,-8.6652762e+11,6.1023715e+09,-1.1159324e+11,-2.9518584e+09,-3.6943937e+09,-2.2572459e+10,1.8471969e+08,1.1286229e+09,2.1968018e+10,2.1968018e+10,1.7086744e+11,1.0679215e+10,8018546.3
14000,70,0,1.2569786e+08,4.3895548e+16,4.9448508e+16,1.5065265e+21,0,1.1671612e+19,3.2434154e+17,4.32e+12,2.629e+16,3.3547627e+17,2.5410755e+18,5.450745e+20,0,3802438.4,0,3802438.4,0,1.35e+21,337.55619,0,337.55619,0,9.765625e-08,1.2549658e+08,-6.4851014e+11,5.9263259e+09,-1.1671375e+11,-3.2432812e+09,-3.3549243e+09,-2.5409396e+10,1.6774622e+08,1.2704698e+09,2.3125306e+10,2.3125306e+10,1.6660493e+11,1.0412808e+10,10028584
16000,80,0,1.4157541e+08,5.2147258e+16,6.2879258e+16,1.5008664e+21,0,1.2108792e+19,3.4897474e+17,4.32e+12,2.6408582e+16,3.0468145e+17,2.8009182e+18,5.500232e+20,0,5249038.5,0,5249038.5,0,1.35e+21,435.32832,-4.3359762e-08,435.32832,0,0,1.1741582e+08,-4.9203735e+11,5.7394522e+09,-1.2108592e+11,-3.4896349e+09,-3.0469611e+09,-2.8007942e+10,1.5234806e+08,1.4003971e+09,2.4128059e+10,2.4128059e+10,1.6208517e+11,1.0130323e+10,12261835
18000,90,0,1.5740203e+08,6.0953701e+16,7.7558282e+16,1.4965453e+21,0,1.247558e+19,3.6945879e+17,4.32e+12,2.6448096e+16,2.7674257e+17,3.0374967e+18,5.5372598e+20,0,6984828.2,0,6984828.2,0,1.35e+21,548.95659,3.1687705e-08,548.95659,0,0,1.0985622e+08,-3.7811401e+11,5.5479104e+09,-1.2475413e+11,-3.6944952e+09,-2.7675587e+09,-3.037384e+10,1.3837794e+08,1.518692e+09,2.4984699e+10,2.4984699e+10,1.5749497e+11,9.8434356e+09,14707108
20000,100,0,1.7306293e+08,7.0318021e+16,9.337043e+16,1.4932057e+21,0,1.2777292e+19,3.8616553e+17,4.32e+12,2.6424298e+16,2.5139278e+17,3.2516794e+18,5.5653428e+20,0,9023322.2,0,9023322.2,0,1.35e+21,679.56652,3.948378e-08,679.56652,0,0,1.0278416e+08,-2.9400394e+11,5.3558628e+09,-1.2777157e+11,-3.8615806e+09,-2.5140485e+09,-3.2515777e+10,1.2570242e+08,1.6257889e+09,2.5705468e+10,2.5705468e+10,1.5295177e+11,9.5594855e+09,17351852
22000,110,0,1.8846488e+08,8.0238846e+16,1.1020513e+17,1.4905954e+21,0,1.3019599e+19,3.9946418e+17,4.32e+12,2.6349182e+16,2.2839029e+17,3.4445135e+18,5.5869347e+20,0,11375477,0,11375477,0,1.35e+21,828.24532,0,828.24532,0,9.765625e-08,96168198,-2.3105641e+11,5.1661425e+09,-1.3019492e+11,-3.9945832e+09,-2.2840124e+09,-3.4444223e+10,1.1420062e+08,1.7222111e+09,2.6301397e+10,2.6301397e+10,1.4852832e+11,9.2830202e+09,20182689
24000,120,0,2.0353347e+08,9.0711084e+16,1.2795709e+17,1.4885343e+21,0,1.3208199e+19,4.0971115e+17,4.32e+12,2.6232138e+16,2.0751602e+17,3.6171483e+18,5.6037673e+20,0,14049918,0,14049918,0,1.35e+21,996.03573,-3.2041044e-08,996.03573,0,0,89978920,-1.833221e+11,4.9806771e+09,-1.3208117e+11,-4.0970673e+09,-2.0752596e+09,-3.6170668e+10,1.0376298e+08,1.8085334e+09,2.6783663e+10,2.6783663e+10,1.4426835e+11,9.0167721e+09,23185838
26000,130,0,2.1821067e+08,1.0172662e+17,1.4652669e+17,1.4868924e+21,0,1.3348626e+19,4.1724403e+17,4.32e+12,2.6080701e+16,1.8857146e+17,3.7707833e+18,5.6170748e+20,0,17053159,0,17053159,0,1.35e+21,1183.9319,1.2093255e-07,1183.9319,0,0,84188806,-1.4666021e+11,4.8007651e+09,-1.3348567e+11,-4.1724089e+09,-1.8858048e+09,-3.770711e+10,94290241,1.8853555e+09,2.7163201e+10,2.7163201e+10,1.4019662e+11,8.7622885e+09,26347466
28000,140,0,2.3245259e+08,1.1327492e+17,1.6582017e+17,1.4855742e+21,0,1.3446138e+19,4.2237839e+17,4.32e+12,2.5901051e+16,1.7137673e+17,3.9066335e+18,5.6277451e+20,0,20389814,0,20389814,0,1.35e+21,1392.8768,1.4281386e-07,1392.8768,0,0,78772115,-1.181551e+11,4.6272597e+09,-1.3446099e+11,-4.2237637e+09,-1.7138492e+09,-3.9065699e+10,85692459,1.9532849e+09,2.7450465e+10,2.7450465e+10,1.3632544e+11,8.52034e+09,29653959
30000,150,0,2.4622751e+08,1.2534357e+17,1.8574968e+17,1.4845092e+21,0,1.3505652e+19,4.2540625e+17,4.32e+12,2.5698341e+16,1.5576881e+17,4.0259059e+18,5.6364227e+20,0,24062790,0,24062790,0,1.35e+21,1623.7616,3.3721108e-08,1623.7616,0,0,73704762,-9.5730571e+10,4.4606939e+09,-1.350563e+11,-4.2540522e+09,-1.5577624e+09,-4.0258502e+10,77888119,2.0129251e+09,2.7655306e+10,2.7655306e+10,1.3265901e+11,8.2911883e+09,33092137
32000,160,0,2.5951407e+08,1.3791875e+17,2.0623315e+17,1.4836444e+21,0,1.3531718e+19,4.2659572e+17,4.32e+12,2.5476935e+16,1.4159995e+17,4.1297824e+18,5.6435794e+20,0,28073476,0,28073476,0,1.35e+21,1877.4252,0,1877.4252,0,9.765625e-08,68964219,-7.7892016e+10,4.301368e+09,-1.3531713e+11,-4.2659554e+09,-1.416067e+09,-4.1297341e+10,70803351,2.064867e+09,2.7786898e+10,2.7786898e+10,1.2919623e+11,8.0747642e+09,36649421
34000,170,0,2.7229971e+08,1.5098562e+17,2.2719426e+17,1.4829398e+21,0,1.3528517e+19,4.2619139e+17,4.32e+12,2.5240561e+16,1.2873628e+17,4.2194092e+18,5.6495629e+20,0,32421911,0,32421911,0,1.35e+21,2154.656,0,2154.656,0,9.765625e-08,64529407,-6.3551948e+10,4.1494117e+09,-1.3528525e+11,-4.2619195e+09,-1.2874241e+09,-4.2193678e+10,64371205,2.1096839e+09,2.7853724e+10,2.7853724e+10,1.2593257e+11,7.8707853e+09,40313951
