iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.54e+11,2.86,14.8,1.67e+21,0,4.6e+11,3.79e+20,2.28e+13,2.56e+12,57.3,31.4,1.73e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6578365e-310,4.6578365e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.4567385e+09,5.5151067e+16,1.2770478e+16,1.5397149e+21,0,6.1794346e+18,3.4366715e+20,4.32e+12,2.6885631e+17,1.8407337e+15,5.0118175e+18,1.7139003e+20,0,477437.75,0,477437.75,0,1.35e+21,206.28546,9.0889188e-08,206.28546,0,0,1.8712053e+08,-1.0373961e+13,7.7192532e+10,-6.1764916e+10,-3.4368395e+12,-18398992,-5.0093794e+10,919949.6,2.5046897e+09,5.995234e+11,5.995234e+11,6.6697255e+10,4.1685784e+09,56555329
4000,20,0,1.5981807e+09,1.1671296e+17,5.0042541e+16,1.4558159e+21,0,1.1740859e+19,3.1166336e+20,4.32e+12,2.5584136e+17,3.3691218e+15,9.5267465e+18,2.7713097e+20,0,2201014.6,0,2201014.6,0,1.35e+21,513.44341,-7.2209332e-09,513.44341,0,0,1.7506546e+08,-6.6725433e+12,7.0368544e+10,-1.1738245e+11,-3.1167859e+12,-33684249,-9.5246643e+10,1684212.5,4.7623321e+09,5.5886025e+11,5.5886025e+11,1.0333584e+11,6.4584898e+09,72956823
6000,30,0,1.7154878e+09,1.836361e+17,1.0830713e+17,1.4020435e+21,0,1.6629788e+19,2.8264245e+20,4.32e+12,2.4268096e+17,4.6395693e+15,1.3362197e+19,3.5108831e+20,0,5476969.2,0,5476969.2,0,1.35e+21,928.74189,0,928.74189,0,9.765625e-08,1.6378786e+08,-4.2513225e+12,6.4009221e+10,-1.6627513e+11,-2.8265626e+12,-46389930,-1.3360438e+11,2319496.5,6.680219e+09,5.2147924e+11,5.2147924e+11,1.2554839e+11,7.8467743e+09,90022945
8000,40,0,1.8113512e+09,2.5498513e+17,1.8431858e+17,1.3680894e+21,0,2.0847004e+19,2.5632526e+20,4.32e+12,2.2971573e+17,5.6840561e+15,1.658365e+19,4.0378706e+20,0,10534213,0,10534213,0,1.35e+21,1457.4185,-3.5920948e-08,1457.4185,0,0,1.5323758e+08,-2.6487594e+12,5.8163523e+10,-2.0845059e+11,-2.5633779e+12,-56835854,-1.6582182e+11,2841792.7,8.2910908e+09,4.8696931e+11,4.8696931e+11,1.3861629e+11,8.6635183e+09,1.0741902e+08
10000,50,0,1.8881662e+09,3.2992875e+17,2.7515156e+17,1.3473147e+21,0,2.4423527e+19,2.3245943e+20,4.32e+12,2.1714135e+17,6.5310281e+15,1.9255318e+19,4.420268e+20,0,17536644,0,17536644,0,1.35e+21,2102.9122,5.8714704e-08,2102.9122,0,0,1.4336773e+08,-1.5776825e+12,5.2834388e+10,-2.4421892e+11,-2.3247078e+12,-65306496,-1.9254109e+11,3265324.8,9.6270545e+09,4.5501516e+11,4.5501516e+11,1.4582512e+11,9.1140701e+09,1.2486428e+08
12000,60,0,1.9480821e+09,4.0772953e+17,3.7819028e+17,1.3353808e+21,0,2.7405869e+19,2.1081648e+20,4.32e+12,2.0506658e+17,7.2057659e+15,2.1438118e+19,4.7027045e+20,0,26592917,0,26592917,0,1.35e+21,2867.1335,-2.9368039e-08,2867.1335,0,0,1.3413441e+08,-8.5653064e+11,4.8001005e+10,-2.7404517e+11,-2.1082678e+12,-72054677,-2.1437139e+11,3602733.8,1.0718569e+10,4.2536534e+11,4.2536534e+11,1.4925104e+11,9.3281899e+09,1.4212542e+08
14000,70,0,1.993037e+09,4.8773465e+17,4.9111007e+17,1.3294136e+21,0,2.9847357e+19,1.9118946e+20,4.32e+12,1.9354744e+17,7.7307161e+15,2.3188688e+19,4.9149202e+20,0,37765227,0,37765227,0,1.35e+21,3750.7028,0,3750.7028,0,1.953125e-07,1.2549658e+08,-3.6876472e+11,4.3631117e+10,-2.9846262e+11,-1.9119881e+12,-77304876,-2.3187911e+11,3865243.8,1.1593956e+10,3.9781247e+11,3.9781247e+11,1.5022513e+11,9.3890707e+09,1.5901097e+08
16000,80,0,2.0247818e+09,5.6936766e+17,6.1185579e+17,1.3274853e+21,0,3.1803064e+19,1.7339075e+20,4.32e+12,1.8260761e+17,8.1257893e+15,2.4559004e+19,5.0770233e+20,0,51077074,0,51077074,0,1.35e+21,4753.1594,0,4753.1594,0,9.765625e-08,1.1741582e+08,-3.8506679e+10,3.9687845e+10,-3.1802198e+11,-1.7339923e+12,-81256212,-2.4558406e+11,4062810.6,1.2279203e+10,3.7218063e+11,3.7218063e+11,1.4961221e+11,9.3507631e+09,1.7536619e+08
18000,90,0,2.0449e+09,6.5212095e+17,7.386189e+17,1.3282885e+21,0,3.3326886e+19,1.5725024e+20,4.32e+12,1.7225089e+17,8.4086281e+15,2.5596342e+19,5.2028019e+20,0,66520072,0,66520072,0,1.35e+21,5873.1453,3.8209691e-08,5873.1453,0,0,1.0985622e+08,1.8431627e+11,3.6133433e+10,-3.3326223e+11,-1.5725792e+12,-84085120,-2.5595899e+11,4204256,1.279795e+10,3.4831714e+11,3.4831714e+11,1.4798091e+11,9.248807e+09,1.9106848e+08
