iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,9910000,44.1,19.4,9.06e+20,0,1.31e+13,9.74e+20,1.96e+16,5.76e+17,56.4,1.61,1.89e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6452026e-310,4.6452026e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3.7428797e+09,1.4181167e+17,3.5175957e+16,8.790695e+20,0,1.581992e+19,8.8326497e+20,4.32e+12,6.8564855e+17,1.955576e+16,1.3330749e+19,2.7723021e+20,0,1315136.4,0,1315136.4,0,1.35e+21,530.42883,8.7282842e-08,530.42883,0,0,1.8712053e+08,-1.4913928e+12,1.9686101e+11,-1.5812621e+11,-8.8330815e+12,-1.9555811e+08,-1.3324559e+11,9777905.5,6.6622793e+09,1.5411822e+12,1.5411822e+12,1.0791087e+11,6.7444295e+09,1.4531077e+08
4000,20,0,4.0986879e+09,2.9946494e+17,1.3270764e+17,8.7290141e+20,0,2.9268534e+19,8.0098587e+20,4.32e+12,6.4428734e+17,1.9398305e+16,2.4709019e+19,3.4063867e+20,0,5836925.3,0,5836925.3,0,1.35e+21,1317.4069,3.8106009e-08,1317.4069,0,0,1.7506546e+08,1.2821075e+11,1.7721066e+11,-2.9262365e+11,-8.0102504e+12,-1.939841e+08,-2.4703811e+11,9699205,1.2351905e+10,1.4349756e+12,1.4349756e+12,1.2702644e+11,7.9391522e+09,1.8710478e+08
6000,30,0,4.3887065e+09,4.7015303e+17,2.8277332e+17,8.7958834e+20,0,4.0572737e+19,7.2635963e+20,4.32e+12,6.0492244e+17,1.9143349e+16,3.4236374e+19,3.8746698e+20,0,14299611,0,14299611,0,1.35e+21,2377.8074,0,2377.8074,0,9.765625e-08,1.6378786e+08,1.1275779e+12,1.5955432e+11,-4.0567583e+11,-7.2639515e+12,-1.9143498e+08,-3.4232036e+11,9571748.9,1.7116018e+10,1.3363753e+12,1.3363753e+12,1.3856231e+11,8.6601442e+09,2.3030433e+08
8000,40,0,4.6203829e+09,6.5138251e+17,4.7663103e+17,8.9415672e+20,0,4.995888e+19,6.5867612e+20,4.32e+12,5.6762073e+17,1.8807603e+16,4.2127741e+19,4.2296873e+20,0,27240625,0,27240625,0,1.35e+21,3723.1112,8.1399776e-09,3723.1112,0,0,1.5323758e+08,1.7340898e+12,1.4372092e+11,-4.995463e+11,-6.5870833e+12,-1.8807789e+08,-4.212417e+11,9403894.4,2.1062085e+10,1.2447629e+12,1.2447629e+12,1.4520386e+11,9.075241e+09,2.7400374e+08
10000,50,0,4.80043e+09,8.4094376e+17,7.0655061e+17,9.1343944e+20,0,5.7643292e+19,5.9729114e+20,4.32e+12,5.3237989e+17,1.8405701e+16,4.8578135e+19,4.5055383e+20,0,45031779,0,45031779,0,1.35e+21,5360.0448,1.3073895e-07,5360.0448,0,0,1.4336773e+08,2.0889851e+12,1.2953807e+11,-5.7639841e+11,-5.9732036e+12,-1.8405916e+08,-4.857524e+11,9202958.2,2.428762e+10,1.1595963e+12,1.1595963e+12,1.4863966e+11,9.2899785e+09,3.1745205e+08
12000,60,0,4.934903e+09,1.0368836e+18,9.6571919e+17,9.3539946e+20,0,6.3827569e+19,5.416202e+20,4.32e+12,4.991574e+17,1.7950424e+16,5.3763549e+19,4.7247501e+20,0,67905912,0,67905912,0,1.35e+21,7291.3214,-1.9776962e-08,7291.3214,0,0,1.3413441e+08,2.2813416e+12,1.1684078e+11,-6.382482e+11,-5.416467e+12,-1.7950663e+08,-5.3761246e+11,8975331.5,2.6880623e+10,1.0803918e+12,1.0803918e+12,1.4995147e+11,9.3719668e+09,3.6003368e+08
14000,70,0,5.0292641e+09,1.2374802e+18,1.2481515e+18,9.5871726e+20,0,6.8696616e+19,4.911329e+20,4.32e+12,4.6788759e+17,1.7452909e+16,5.7842171e+19,4.9024688e+20,0,95980172,0,95980172,0,1.35e+21,9516.2928,0,9516.2928,0,9.765625e-08,1.2549658e+08,2.3681347e+12,1.0547557e+11,-6.8694481e+11,-4.9115694e+12,-1.7453167e+08,-5.7840384e+11,8726583.3,2.8920192e+10,1.0067124e+12,1.0067124e+12,1.4984491e+11,9.3653067e+09,4.0125105e+08
16000,80,0,5.0884381e+09,1.4412206e+18,1.5486065e+18,9.8253496e+20,0,7.2418237e+19,4.4534794e+20,4.32e+12,4.3849197e+17,1.6922833e+16,6.0955749e+19,5.0490588e+20,0,1.2927629e+08,0,1.2927629e+08,0,1.35e+21,12031.522,-8.8712113e-09,12031.522,0,0,1.1741582e+08,2.3862763e+12,9.5301939e+10,-7.2416637e+11,-4.4536974e+12,-1.6923105e+08,-6.0954412e+11,8461552.5,3.0477206e+10,9.381596e+11,9.381596e+11,1.4878825e+11,9.2992658e+09,4.4070922e+08
18000,90,0,5.1168622e+09,1.64678e+18,1.8625103e+18,1.0062954e+21,0,7.5143578e+19,4.0382853e+20,4.32e+12,4.1088548e+17,1.636858e+16,6.3230978e+19,5.1717407e+20,0,1.6773811e+08,0,1.6773811e+08,0,1.35e+21,14831.282,3.1008312e-08,14831.282,0,0,1.0985622e+08,2.3599561e+12,8.6192604e+10,-7.5142441e+11,-4.0384829e+12,-1.6368862e+08,-6.323003e+11,8184431,3.1615015e+10,8.7436832e+11,8.7436832e+11,1.4709742e+11,9.1935889e+09,4.7810214e+08
20000,100,0,5.1185303e+09,1.853003e+18,2.185886e+18,1.0296396e+21,0,7.7008025e+19,3.661783e+20,4.32e+12,3.8498035e+17,1.5797385e+16,6.4780844e+19,5.2756375e+20,0,2.1124681e+08,0,2.1124681e+08,0,1.35e+21,17907.999,1.7713319e-08,17907.999,0,0,1.0278416e+08,2.3051859e+12,7.8032996e+10,-7.7007287e+11,-3.6619622e+12,-1.5797674e+08,-6.4780233e+11,7898837,3.2390116e+10,8.1500219e+11,8.1500219e+11,1.4498883e+11,9.0618019e+09,5.132005e+08
22000,110,0,5.097033e+09,2.0588865e+18,2.5152895e+18,1.05234e+21,0,7.8132323e+19,3.3203757e+20,4.32e+12,3.6068853e+17,1.5215471e+16,6.5705905e+19,5.3644531e+20,0,2.5963383e+08,0,2.5963383e+08,0,1.35e+21,21252.629,2.8088834e-08,21252.629,0,0,96168198,2.2326523e+12,7.0720436e+10,-7.8131928e+11,-3.3205382e+12,-1.5215764e+08,-6.5705584e+11,7607881.8,3.2852792e+10,7.5975053e+11,7.5975053e+11,1.4261281e+11,8.9133007e+09,5.4584086e+08
24000,120,0,5.0555948e+09,2.2635645e+18,2.8477515e+18,1.0742573e+21,0,7.8623774e+19,3.0107998e+20,4.32e+12,3.3792321e+17,1.4628162e+16,6.6095486e+19,5.4409178e+20,0,3.1269214e+08,0,3.1269214e+08,0,1.35e+21,24854.991,0,24854.991,0,9.765625e-08,89978920,2.1495337e+12,6.4163161e+10,-7.862367e+11,-3.0109471e+12,-1.4628457e+08,-6.6095412e+11,7314228.3,3.3047706e+10,7.0832579e+11,7.0832579e+11,1.4007508e+11,8.7546926e+09,5.759161e+08
26000,130,0,4.9971065e+09,2.4662935e+18,3.1807248e+18,1.0953113e+21,0,7.8577439e+19,2.7300937e+20,4.32e+12,3.1659976e+17,1.4039994e+16,6.6028776e+19,5.5070848e+20,0,3.7018566e+08,0,3.7018566e+08,0,1.35e+21,28704.052,1.3406316e-07,28704.052,0,0,84188806,2.0606712e+12,5.8279328e+10,-7.8577582e+11,-2.7302273e+12,-1.4040287e+08,-6.6028912e+11,7020143.6,3.3014456e+10,6.6046134e+11,6.6046134e+11,1.3745075e+11,8.5906719e+09,6.033669e+08
28000,140,0,4.9241565e+09,2.6664402e+18,3.5120373e+18,1.1154621e+21,0,7.80773e+19,2.4755707e+20,4.32e+12,2.9663637e+17,1.3454802e+16,6.5575846e+19,5.5645294e+20,0,4.3185737e+08,0,4.3185737e+08,0,1.35e+21,32788.177,0,32788.177,0,9.765625e-08,78772115,1.9693328e+12,5.299604e+10,-7.807765e+11,-2.4756919e+12,-1.3455093e+08,-6.5576158e+11,6727546.7,3.2788079e+10,6.1590976e+11,6.1590976e+11,1.3479358e+11,8.4245989e+09,6.2817425e+08
30000,150,0,4.839058e+09,2.8634698e+18,3.839849e+18,1.1346966e+21,0,7.7197354e+19,2.244793e+20,4.32e+12,2.7795436e+17,1.2875812e+16,6.479857e+19,5.6144856e+20,0,4.974361e+08,0,4.974361e+08,0,1.35e+21,37095.34,2.7415808e-08,37095.34,0,0,73704762,1.8777189e+12,4.8248424e+10,-7.7197878e+11,-2.2449028e+12,-1.2876099e+08,-6.479903e+11,6438049.5,3.2399515e+10,5.7444119e+11,5.7444119e+11,1.3214225e+11,8.2588904e+09,6.5035288e+08
32000,160,0,4.7438749e+09,3.0569352e+18,4.1626134e+18,1.15302e+21,0,7.6002633e+19,2.035549e+20,4.32e+12,2.6047837e+17,1.2305708e+16,6.3751468e+19,5.6579392e+20,0,5.6664221e+08,0,5.6664221e+08,0,1.35e+21,41613.3,-4.1749445e-08,41613.3,0,0,68964219,1.7872989e+12,4.3978784e+10,-7.6003299e+11,-2.0356485e+12,-1.230599e+08,-6.3752051e+11,6152995.1,3.1876025e+10,5.35842e+11,5.35842e+11,1.2952457e+11,8.0952858e+09,6.6994545e+08
34000,170,0,4.6404449e+09,3.2464677e+18,4.4790433e+18,1.1704494e+21,0,7.4550133e+19,1.8458323e+20,4.32e+12,2.4413651e+17,1.1746704e+16,6.2482472e+19,5.6956932e+20,0,6.3919238e+08,0,6.3919238e+08,0,1.35e+21,46329.76,0,46329.76,0,9.765625e-08,64529407,1.6990386e+12,4.0135828e+10,-7.4550915e+11,-1.8459226e+12,-1.1746981e+08,-6.2483155e+11,5873490.4,3.1241577e+10,4.9991355e+11,4.9991355e+11,1.2696051e+11,7.9350319e+09,6.8701749e+08
