iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4610000,1.08,43.8,1.33e+21,0,1.89e+20,4.83e+19,8.2e+16,1.68e+17,16.1,2.66,4.99e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.663189e-310,4.663189e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,9.2431296e+08,3.5865407e+16,9.4448719e+15,1.3289832e+21,0,1.7632696e+20,4.4229303e+19,4.32e+12,1.8443908e+17,7.6020295e+16,3.5839791e+18,5.1312275e+20,0,353119.05,0,353119.05,0,1.35e+21,134.14988,3.7353658e-08,134.14988,0,0,1.8712053e+08,6.8855981e+10,5.2955299e+10,-1.7633306e+12,-4.423125e+11,-7.602317e+08,-3.5823138e+10,38011585,1.7911569e+09,3.7843474e+11,3.7843474e+11,1.9975557e+11,1.2484723e+10,35884836
4000,20,0,1.0200019e+09,7.5972662e+16,3.5659243e+16,1.3308985e+21,0,1.6459389e+20,4.0500039e+19,4.32e+12,1.7469979e+17,7.0489395e+16,6.6584404e+18,5.2354605e+20,0,1568411.4,0,1568411.4,0,1.35e+21,334.21859,1.1750103e-09,334.21859,0,0,1.7506546e+08,2.9526943e+11,4.8050826e+10,-1.6459953e+12,-4.0501823e+11,-7.0492055e+08,-6.6570262e+10,35246027,3.3285131e+09,3.5506344e+11,3.5506344e+11,1.9524763e+11,1.2202977e+10,46563006
6000,30,0,1.1007176e+09,1.1968142e+17,7.6131326e+16,1.3345896e+21,0,1.5371954e+20,3.7081371e+19,4.32e+12,1.6541647e+17,6.537235e+16,9.2593426e+18,5.3147898e+20,0,3849893.4,0,3849893.4,0,1.35e+21,605.28989,1.2835244e-09,605.28989,0,0,1.6378786e+08,4.3104088e+11,4.3630054e+10,-1.5372477e+12,-3.7083007e+11,-6.5374811e+08,-9.2581513e+10,32687405,4.6290757e+09,3.3323057e+11,3.3323057e+11,1.9007121e+11,1.1879451e+10,57761903
8000,40,0,1.1680199e+09,1.6641747e+17,1.2862264e+17,1.3393302e+21,0,1.4363306e+20,3.3948135e+19,4.32e+12,1.5659475e+17,6.0637207e+16,1.1440506e+19,5.3769283e+20,0,7351088.5,0,7351088.5,0,1.35e+21,951.19165,9.9452109e-09,951.19165,0,0,1.5323758e+08,5.0951174e+11,3.9649433e+10,-1.4363792e+12,-3.3949635e+11,-6.0639485e+08,-1.1439512e+11,30319742,5.719756e+09,3.1282398e+11,3.1282398e+11,1.8459412e+11,1.1537132e+10,69267378
10000,50,0,1.2233277e+09,2.1566679e+17,1.911476e+17,1.344659e+21,0,1.3427161e+20,3.1077151e+19,4.32e+12,1.4822986e+17,5.6254565e+16,1.3250627e+19,5.4268881e+20,0,12182716,0,12182716,0,1.35e+21,1374.6239,6.9660246e-08,1374.6239,0,0,1.4336773e+08,5.5139482e+11,3.6066952e+10,-1.3427612e+12,-3.1078525e+11,-5.6256673e+08,-1.3249807e+11,28128337,6.6249034e+09,2.9374366e+11,2.9374366e+11,1.790395e+11,1.1189969e+10,80898561
12000,60,0,1.2679324e+09,2.6697021e+17,2.6194939e+17,1.3502804e+21,0,1.2557878e+20,2.8447057e+19,4.32e+12,1.4031097e+17,5.2197362e+16,1.4733612e+19,5.4679865e+20,0,18419317,0,18419317,0,1.35e+21,1877.3194,0,1877.3194,0,9.765625e-08,1.3413441e+08,5.6975478e+11,3.2843276e+10,-1.2558297e+12,-2.8448316e+11,-5.2199314e+08,-1.4732946e+11,26099657,7.366473e+09,2.7589907e+11,2.7589907e+11,1.735429e+11,1.0846431e+10,92504019
14000,70,0,1.303009e+09,3.1991849e+17,3.3947756e+17,1.3560039e+21,0,1.1750352e+20,2.6038167e+19,4.32e+12,1.3282367e+17,4.8440683e+16,1.5928949e+19,5.5024598e+20,0,26105060,0,26105060,0,1.35e+21,2460.1863,0,2460.1863,0,9.765625e-08,1.2549658e+08,5.7294832e+11,2.9942198e+10,-1.1750741e+12,-2.6039319e+11,-4.8442491e+08,-1.5928417e+11,24221245,7.9642083e+09,2.5920745e+11,2.5920745e+11,1.6818602e+11,1.0511626e+10,1.039583e+08
16000,80,0,1.3296263e+09,3.7414784e+17,4.2236738e+17,1.361707e+21,0,1.0999934e+20,2.3832337e+19,4.32e+12,1.2575161e+17,4.4961585e+16,1.6872068e+19,5.5318442e+20,0,35258801,0,35258801,0,1.35e+21,3123.4347,0,3123.4347,0,9.765625e-08,1.1741582e+08,5.6638887e+11,2.733074e+10,-1.1000296e+12,-2.3833392e+11,-4.4963259e+08,-1.6871654e+11,22481629,8.4358268e+09,2.4359258e+11,2.4359258e+11,1.6301697e+11,1.0188561e+10,1.1515882e+08
18000,90,0,1.3487555e+09,4.2933578e+17,5.0942087e+17,1.3673111e+21,0,1.0302376e+20,2.1812852e+19,4.32e+12,1.1907735e+17,4.1738934e+16,1.7594707e+19,5.5572156e+20,0,45878497,0,45878497,0,1.35e+21,3866.6892,-1.4041234e-08,3866.6892,0,0,1.0985622e+08,5.536229e+11,2.4979058e+10,-1.0302712e+12,-2.1813818e+11,-4.1740484e+08,-1.7594396e+11,20870242,8.7971981e+09,2.2898393e+11,2.2898393e+11,1.5806269e+11,9.878918e+09,1.2602311e+08
20000,100,0,1.3612786e+09,4.8519733e+17,5.9958962e+17,1.3727666e+21,0,9.6537793e+19,1.9964319e+19,4.32e+12,1.1278307e+17,3.8753258e+16,1.8125249e+19,5.5793431e+20,0,57945019,0,57945019,0,1.35e+21,4689.0883,-4.1489329e-08,4689.0883,0,0,1.0278416e+08,5.3699618e+11,2.2860265e+10,-9.6540919e+11,-1.9965203e+11,-3.8754695e+08,-1.8125028e+11,19377347,9.0625139e+09,2.15316e+11,2.15316e+11,1.5333659e+11,9.5835369e+09,1.3648622e+08
22000,110,0,1.367996e+09,5.414816e+17,6.9195906e+17,1.3780433e+21,0,9.0505609e+19,1.8272566e+19,4.32e+12,1.0685088e+17,3.5986614e+16,1.8489033e+19,5.5987879e+20,0,71425464,0,71425464,0,1.35e+21,5589.3718,0,5589.3718,0,9.765625e-08,96168198,5.1807235e+11,2.0950204e+10,-9.0508517e+11,-1.8273375e+11,-3.5987946e+08,-1.8488889e+11,17993973,9.2444446e+09,2.0252785e+11,2.0252785e+11,1.4884345e+11,9.3027155e+09,1.4649859e+08
24000,120,0,1.3696329e+09,5.9796856e+17,7.8573432e+17,1.3831238e+21,0,8.4894213e+19,1.6724553e+19,4.32e+12,1.012631e+17,3.3422461e+16,1.8708649e+19,5.6159689e+20,0,86275993,0,86275993,0,1.35e+21,6565.9582,3.8231519e-08,6565.9582,0,0,89978920,4.9789931e+11,1.9227216e+10,-8.4896919e+11,-1.6725293e+11,-3.3423696e+08,-1.8708572e+11,16711848,9.3542859e+09,1.9056265e+11,1.9056265e+11,1.4458246e+11,9.036404e+09,1.5602391e+08
26000,130,0,1.3668457e+09,6.5446615e+17,8.8022734e+17,1.3879994e+21,0,7.9673178e+19,1.5308285e+19,4.32e+12,9.6002397e+16,3.1045549e+16,1.8804203e+19,5.6312058e+20,0,1.0244428e+08,0,1.0244428e+08,0,1.35e+21,7617.0123,6.9653652e-08,7617.0123,0,0,84188806,4.7718121e+11,1.7671907e+10,-7.9675696e+11,-1.5308963e+11,-3.1046693e+08,-1.8804183e+11,15523346,9.4020915e+09,1.7936739e+11,1.7936739e+11,1.4054928e+11,8.78433e+09,1.650374e+08
28000,140,0,1.360228e+09,7.1080761e+17,9.7484524e+17,1.3926671e+21,0,7.4814417e+19,1.4012737e+19,4.32e+12,9.1051944e+16,2.8841811e+16,1.8793563e+19,5.6447482e+20,0,1.1987158e+08,0,1.1987158e+08,0,1.35e+21,8740.5045,-3.1503077e-08,8740.5045,0,0,78772115,4.5639066e+11,1.6266928e+10,-7.481676e+11,-1.4013356e+11,-2.8842872e+08,-1.8793592e+11,14421436,9.3967962e+09,1.6889251e+11,1.6889251e+11,1.3673728e+11,8.54608e+09,1.7352418e+08
30000,150,0,1.3503157e+09,7.6684902e+17,1.0690799e+18,1.3971279e+21,0,7.0291976e+19,1.2827772e+19,4.32e+12,8.6395435e+16,2.6798275e+16,1.8692582e+19,5.6567958e+20,0,1.3849454e+08,0,1.3849454e+08,0,1.35e+21,9934.2621,0,9934.2621,0,9.765625e-08,73704762,4.3584296e+11,1.4996768e+10,-7.0294157e+11,-1.2828338e+11,-2.6799258e+08,-1.8692653e+11,13399629,9.3463264e+09,1.5909172e+11,1.5909172e+11,1.3313847e+11,8.3211545e+09,1.8147782e+08
32000,160,0,1.3375919e+09,8.2246711e+17,1.1624984e+18,1.4013854e+21,0,6.608186e+19,1.1744083e+19,4.32e+12,8.2017155e+16,2.4902968e+16,1.8515299e+19,5.6675116e+20,0,1.5824666e+08,0,1.5824666e+08,0,1.35e+21,11196.015,0,11196.015,0,9.765625e-08,68964219,4.157457e+11,1.3847565e+10,-6.6083891e+11,-1.1744601e+11,-2.490388e+08,-1.8515404e+11,12451940,9.2577021e+09,1.4992173e+11,1.4992173e+11,1.2974406e+11,8.1090036e+09,1.8889908e+08
34000,170,0,1.3224915e+09,8.7755716e+17,1.2547347e+18,1.4054447e+21,0,6.2161867e+19,1.0753121e+19,4.32e+12,7.7902002e+16,2.3144842e+16,1.8274123e+19,5.6770319e+20,0,1.7905958e+08,0,1.7905958e+08,0,1.35e+21,12523.432,0,12523.432,0,9.765625e-08,64529407,3.9623223e+11,1.2806934e+10,-6.2163758e+11,-1.0753595e+11,-2.3145689e+08,-1.8274257e+11,11572844,9.1371287e+09,1.4134203e+11,1.4134203e+11,1.2654483e+11,7.9090519e+09,1.9579476e+08
36000,180,0,1.3054053e+09,9.3203117e+17,1.3454817e+18,1.4093122e+21,0,5.8511444e+19,9.8470411e+18,4.32e+12,7.4035498e+16,2.1513699e+16,1.7980002e+19,5.6854726e+20,0,2.0086413e+08,0,2.0086413e+08,0,1.35e+21,13914.157,-1.8650098e-08,13914.157,0,0,60380610,3.7738451e+11,1.1863811e+10,-5.8513205e+11,-9.8474741e+10,-2.1514485e+08,-1.798016e+11,10757242,8.9900802e+09,1.3331475e+11,1.3331475e+11,1.2353143e+11,7.7207146e+09,2.0217671e+08
38000,190,0,1.2866839e+09,9.8581614e+17,1.4344848e+18,1.4129947e+21,0,5.5111556e+19,9.0186443e+18,4.32e+12,7.0403795e+16,2.0000122e+16,1.7642572e+19,5.692934e+20,0,2.235912e+08,0,2.235912e+08,0,1.35e+21,15365.838,-4.2389729e-08,15365.838,0,0,56499381,3.5924886e+11,1.1008312e+10,-5.5113196e+11,-9.0190403e+10,-2.0000851e+08,-1.764275e+11,10000425,8.8213748e+09,1.2580442e+11,1.2580442e+11,1.2069455e+11,7.5434097e+09,2.0806097e+08
40000,200,0,1.2666411e+09,1.0388525e+18,1.5215352e+18,1.4164995e+21,0,5.1944565e+19,8.2613285e+18,4.32e+12,6.6993671e+16,1.8595413e+16,1.7270294e+19,5.6995044e+20,0,2.4717245e+08,0,2.4717245e+08,0,1.35e+21,16876.144,0,16876.144,0,9.765625e-08,52868464,3.4184684e+11,1.0231605e+10,-5.1946093e+11,-8.2616904e+10,-1.8596089e+08,-1.7270488e+11,9298044.7,8.6352438e+09,1.1877786e+11,1.1877786e+11,1.1802503e+11,7.3765644e+09,2.1346693e+08
42000,210,0,1.2455574e+09,1.0910927e+18,1.6064647e+18,1.419834e+21,0,4.8994122e+19,7.56904e+18,4.32e+12,6.3792523e+16,1.7291539e+16,1.687058e+19,5.7052624e+20,0,2.715409e+08,0,2.715409e+08,0,1.35e+21,18442.796,0,18442.796,0,9.765625e-08,49471716,3.2518295e+11,9.5257972e+09,-4.8995546e+11,-7.5693709e+10,-1.7292167e+08,-1.6870785e+11,8646083.3,8.4353927e+09,1.1220403e+11,1.1220403e+11,1.1551394e+11,7.2196211e+09,2.1841669e+08
