iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2000000,83.8,1.12,2.06e+21,0,1.42e+12,1.78e+14,2.47e+16,7.85e+12,10.3,1.55,8.62e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6820111e-310,4.6820111e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3622160.2,3.3686626e+14,1.1442464e+14,1.8932114e+21,0,3.1772137e+17,9.7280752e+15,4.32e+12,6.3822406e+15,2.4170647e+16,6.5663428e+16,1.7501132e+20,0,4276.0156,0,4276.0156,0,1.35e+21,1.2596788,1.4040432e-08,1.2596788,0,0,1.8712053e+08,-1.3638052e+13,1.8316395e+09,-3.1744478e+09,-97194030,-2.4170929e+08,-6.5602912e+08,12085465,32801456,6.4146427e+08,6.4146427e+08,6.8105231e+10,4.2565769e+09,140624.04
4000,20,0,9623736.2,1.0881876e+15,8.1552379e+14,1.7796886e+21,0,1.0245936e+18,3.2112836e+16,4.32e+12,1.0753469e+16,2.3574009e+16,2.2567943e+17,2.8764144e+20,0,35861.502,0,35861.502,0,1.35e+21,4.7863135,-9.2330907e-09,4.7863135,0,0,1.7506546e+08,-9.3671348e+12,2.9571401e+09,-1.0241792e+10,-3.2099655e+08,-2.3574323e+08,-2.2558319e+09,11787161,1.1279159e+08,2.0323737e+09,2.0323737e+09,1.0725466e+11,6.703416e+09,439322.78
6000,30,0,17867562,2.3211312e+15,2.4694297e+15,1.7011084e+21,0,1.9255779e+18,6.0804912e+16,4.32e+12,1.382707e+16,2.2921655e+16,4.4024425e+17,3.650738e+20,0,124859.42,0,124859.42,0,1.35e+21,11.737589,0,11.737589,0,9.765625e-08,1.6378786e+08,-6.5402232e+12,3.6465706e+09,-1.9251009e+10,-6.0789718e+08,-2.2921993e+08,-4.40128e+09,11460997,2.20064e+08,3.8159116e+09,3.8159116e+09,1.3054961e+11,8.1593507e+09,937628.65
8000,40,0,28016705,4.0912668e+15,5.2823453e+15,1.6458319e+21,0,2.9025344e+18,9.1900527e+16,4.32e+12,1.6041791e+16,2.2226319e+16,6.840431e+17,4.1909386e+20,0,301868.28,0,301868.28,0,1.35e+21,23.381943,-4.7894272e-08,23.381943,0,0,1.5323758e+08,-4.6388246e+12,4.0613945e+09,-2.9020402e+10,-9.1884815e+08,-2.2226675e+08,-6.8391689e+09,11113338,3.4195845e+08,5.7605089e+09,5.7605089e+09,1.4387117e+11,8.9919481e+09,1661481.7
10000,50,0,39726940,6.4434959e+15,9.358133e+15,1.6063434e+21,0,3.8844663e+18,1.2306999e+17,4.32e+12,1.7672248e+16,2.1499032e+16,9.4080105e+17,4.5730667e+20,0,596390.76,0,596390.76,0,1.35e+21,41.066092,5.5129618e-08,41.066092,0,0,1.4336773e+08,-3.3401964e+12,4.2996822e+09,-3.883982e+10,-1.2305465e+09,-2.1499402e+08,-9.4067137e+09,10749701,4.7033569e+08,7.7260245e+09,7.7260245e+09,1.5086624e+11,9.42914e+09,2627139.3
12000,60,0,52674439,9.4129407e+15,1.4734518e+16,1.5777127e+21,0,4.8295947e+18,1.5294342e+17,4.32e+12,1.8893918e+16,2.0749319e+16,1.1999826e+18,4.8469574e+20,0,1036012.4,0,1036012.4,0,1.35e+21,66.186179,-4.4346905e-08,66.186179,0,0,1.3413441e+08,-2.4401639e+12,4.4223466e+09,-4.8291358e+10,-1.5292896e+09,-2.0749698e+08,-1.1998536e+10,10374849,5.9992682e+08,9.6290833e+09,9.6290833e+09,1.5382953e+11,9.6143457e+09,3842947.2
14000,70,0,66567529,1.3025856e+16,2.1406259e+16,1.5566575e+21,0,5.7143904e+18,1.8074461e+17,4.32e+12,1.9821366e+16,1.9985369e+16,1.4547596e+18,5.0457447e+20,0,1646007,0,1646007,0,1.35e+21,100.16261,0,100.16261,0,1.953125e-07,1.2549658e+08,-1.8075602e+12,4.4680808e+09,-5.7139654e+10,-1.807313e+09,-1.9985753e+08,-1.4546341e+10,9992876.5,7.2731705e+08,1.1421873e+10,1.1421873e+10,1.542241e+11,9.6390065e+09,5310974
16000,80,0,81150297,1.7300571e+16,2.9340227e+16,1.540961e+21,0,6.5267695e+18,2.0606863e+17,4.32e+12,2.0531094e+16,1.9214191e+16,1.7007384e+18,5.1917636e+20,0,2449182.6,0,2449182.6,0,1.35e+21,144.41873,0,144.41873,0,9.765625e-08,1.1741582e+08,-1.356879e+12,4.4620201e+09,-6.5263824e+10,-2.0605663e+09,-1.9214577e+08,-1.7006182e+10,9607288.5,8.5030908e+08,1.3078988e+10,1.3078988e+10,1.5299373e+11,9.5621082e+09,7028420.7
18000,90,0,96202117,2.2248442e+16,3.848539e+16,1.5291058e+21,0,7.2618186e+18,2.2874437e+17,4.32e+12,2.1075419e+16,1.8441754e+16,1.9351489e+18,5.3002661e+20,0,3465862,0,3465862,0,1.35e+21,200.36335,-2.6639896e-08,200.36335,0,0,1.0985622e+08,-1.0315991e+12,4.4208563e+09,-7.2614706e+10,-2.2873371e+09,-1.844214e+08,-1.9350349e+10,9221070,9.6751745e+08,1.4589151e+10,1.4589151e+10,1.5075332e+11,9.4220825e+09,8988797.4
