iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.18e+09,25.2,1.49,2.06e+21,0,6.77e+10,4.55e+10,4.67e+13,8.93e+13,21.2,28.6,1.08e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6771204e-310,4.6771204e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3618722.1,2.2157423e+14,1.176954e+14,1.8936749e+21,0,3.2376062e+17,9.7484512e+15,4.32e+12,6.4402259e+15,1.8623594e+15,6.6898891e+16,1.7671815e+20,0,4398.3035,0,4398.3035,0,1.35e+21,0.82841934,6.4945219e-09,0.82841934,0,0,1.8712053e+08,-1.3600277e+13,1.8482891e+09,-3.2348157e+09,-97396967,-18615260,-6.6837857e+08,930763,33418928,6.3174056e+08,6.3174056e+08,6.8769774e+10,4.2981109e+09,140490.56
4000,20,0,9643222.7,8.6937879e+14,8.2731134e+14,1.7804654e+21,0,1.0347437e+18,3.2272961e+16,4.32e+12,1.0802245e+16,3.3886862e+15,2.278055e+17,2.8902774e+20,0,36379.969,0,36379.969,0,1.35e+21,3.8236802,-1.5054631e-08,3.8236802,0,0,1.7506546e+08,-9.3413834e+12,2.9705563e+09,-1.0343276e+10,-3.2259721e+08,-33879903,-2.2770888e+09,1693995.1,1.1385444e+08,2.0327405e+09,2.0327405e+09,1.0777171e+11,6.7357317e+09,440212.34
6000,30,0,17910191,2.0096469e+15,2.4935914e+15,1.7021003e+21,0,1.9385453e+18,6.1066493e+16,4.32e+12,1.3869858e+16,4.6572651e+15,4.4303446e+17,3.6623956e+20,0,126081.27,0,126081.27,0,1.35e+21,10.162177,5.0670241e-09,10.162177,0,0,1.6378786e+08,-6.5224095e+12,3.6578567e+09,-1.9380672e+10,-6.1051257e+08,-46566897,-4.4291792e+09,2328344.9,2.2145896e+08,3.8236973e+09,3.8236973e+09,1.3096655e+11,8.1854096e+09,939865.66
8000,40,0,28082228,3.6970287e+15,5.3217947e+15,1.6469737e+21,0,2.917436e+18,9.2237156e+16,4.32e+12,1.6080612e+16,5.7000567e+15,6.8734129e+17,4.2010565e+20,0,304122.94,0,304122.94,0,1.35e+21,21.128495,3.8485915e-08,21.128495,0,0,1.5323758e+08,-4.6263321e+12,4.0712242e+09,-2.916941e+10,-9.2221411e+08,-56995868,-6.8721485e+09,2849793.4,3.4360743e+08,5.7738449e+09,5.7738449e+09,1.4421855e+11,9.0136594e+09,1665367.5
10000,50,0,39814861,5.9755793e+15,9.4151244e+15,1.6075908e+21,0,3.9006887e+18,1.2346285e+17,4.32e+12,1.7708383e+16,6.5454894e+15,9.4449668e+17,4.582095e+20,0,600023.14,0,600023.14,0,1.35e+21,38.083543,6.5229884e-08,38.083543,0,0,1.4336773e+08,-3.3313228e+12,4.3084747e+09,-3.9002038e+10,-1.2344748e+09,-65451116,-9.4436682e+09,3272555.8,4.7218341e+08,7.7435736e+09,7.7435736e+09,1.5116411e+11,9.4477568e+09,2632953.6
12000,60,0,52784126,8.8796426e+15,1.4810833e+16,1.5790357e+21,0,4.8467047e+18,1.5337867e+17,4.32e+12,1.8928187e+16,7.2188278e+15,1.2039952e+18,4.8552044e+20,0,1041378.6,0,1041378.6,0,1.35e+21,62.435906,3.2184012e-08,62.435906,0,0,1.3413441e+08,-2.4337849e+12,4.430368e+09,-4.8462454e+10,-1.5336418e+09,-72185303,-1.2038661e+10,3609265.1,6.0193305e+08,9.6498668e+09,9.6498668e+09,1.5409129e+11,9.6307054e+09,3850949.7
14000,70,0,66698278,1.2434759e+16,2.1503328e+16,1.558035e+21,0,5.7320774e+18,1.8121176e+17,4.32e+12,1.9854296e+16,7.7425043e+15,1.4590289e+18,5.0534249e+20,0,1653471.5,0,1653471.5,0,1.35e+21,95.616877,0,95.616877,0,9.765625e-08,1.2549658e+08,-1.8029228e+12,4.475504e+09,-5.7316523e+10,-1.8119844e+09,-77422764,-1.4589034e+10,3871138.2,7.2945168e+08,1.144516e+10,1.144516e+10,1.5445886e+11,9.6536789e+09,5321405.6
16000,80,0,81301361,1.6658605e+16,2.9459217e+16,1.5423783e+21,0,6.5448081e+18,2.0655956e+17,4.32e+12,2.0563027e+16,8.1364164e+15,1.7052182e+18,5.1990279e+20,0,2459115.8,0,2459115.8,0,1.35e+21,139.05932,0,139.05932,0,9.765625e-08,1.1741582e+08,-1.3534722e+12,4.4689603e+09,-6.5444209e+10,-2.0654754e+09,-81362488,-1.7050978e+10,4068124.4,8.5254891e+08,1.3104219e+10,1.3104219e+10,1.5320781e+11,9.575488e+09,7041504.4
18000,90,0,96372733,2.1561936e+16,3.8627258e+16,1.5305527e+21,0,7.2800429e+18,2.2925262e+17,4.32e+12,2.1106577e+16,8.4181948e+15,1.9398024e+18,5.3072221e+20,0,3478638.7,0,3478638.7,0,1.35e+21,194.18032,4.5249294e-08,194.18032,0,0,1.0985622e+08,-1.0290716e+12,4.4273923e+09,-7.2796949e+10,-2.2924194e+09,-84180793,-1.9396883e+10,4209039.6,9.6984414e+08,1.4615894e+10,1.4615894e+10,1.5095117e+11,9.4344482e+09,9004739.2
20000,100,0,1.1172469e+08,2.7149507e+16,4.8945045e+16,1.5215086e+21,0,7.9373673e+18,2.4926832e+17,4.32e+12,2.152155e+16,8.6034436e+15,2.1611157e+18,5.3885212e+20,0,4729939.9,0,4729939.9,0,1.35e+21,262.36725,0,262.36725,0,9.765625e-08,1.0278416e+08,-7.9196745e+11,4.3620986e+09,-7.9370578e+10,-2.4925897e+09,-86033727,-2.1610085e+10,4301686.4,1.0805042e+09,1.597787e+10,1.597787e+10,1.4809156e+11,9.2557223e+09,11201880
22000,110,0,1.2719931e+08,3.3420936e+16,6.0343566e+16,1.5145096e+21,0,8.5190729e+18,2.6667573e+17,4.32e+12,2.1834289e+16,8.7059561e+15,2.3682417e+18,5.4502784e+20,0,6228593.8,0,6228593.8,0,1.35e+21,344.96701,-4.620307e-08,344.96701,0,0,96168198,-6.1654883e+11,4.2808974e+09,-8.5188004e+10,-2.6666766e+09,-87059234,-2.3681418e+10,4352961.7,1.1840709e+09,1.7193301e+10,1.7193301e+10,1.4489485e+11,9.0559283e+09,13621764
