iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.29e+12,3.99,27,1.77e+21,0,4.98e+12,2.67e+20,1.13e+15,5.35e+17,1.83,5.11,3.05e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6448166e-310,4.6448166e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.028913e+09,3.8996162e+16,1.1186196e+16,1.6335331e+21,0,4.4951947e+18,2.4217663e+20,4.32e+12,1.9196358e+17,2.842617e+15,3.9864711e+18,1.8360167e+20,0,418247.2,0,418247.2,0,1.35e+21,145.86001,5.8502394e-09,145.86001,0,0,1.8712053e+08,-1.0962271e+13,5.51153e+10,-4.4930206e+10,-2.4218846e+12,-28418326,-3.9847507e+10,1420916.3,1.9923753e+09,4.2314673e+11,4.2314673e+11,7.1451433e+10,4.4657146e+09,39945749
4000,20,0,1.1306075e+09,8.2644612e+16,3.9756931e+16,1.5440094e+21,0,8.6523626e+18,2.1963246e+20,4.32e+12,1.8396924e+17,4.2756601e+15,7.1845314e+18,2.882505e+20,0,1748667.6,0,1748667.6,0,1.35e+21,363.56974,-2.2834627e-08,363.56974,0,0,1.7506546e+08,-7.2108556e+12,5.0600132e+10,-8.6503865e+10,-2.1964319e+12,-42750085,-7.1830509e+10,2137504.2,3.5915254e+09,3.9492704e+11,3.9492704e+11,1.0748292e+11,6.7176826e+09,51612142
6000,30,0,1.2159178e+09,1.302223e+17,8.324977e+16,1.485068e+21,0,1.2381397e+19,1.9919166e+20,4.32e+12,1.7552283e+17,5.459835e+15,9.9209966e+18,3.6108505e+20,0,4209892.4,0,4209892.4,0,1.35e+21,658.60045,0,658.60045,0,9.765625e-08,1.6378786e+08,-4.7479744e+12,4.6295554e+10,-1.2379646e+11,-1.9920139e+12,-54592997,-9.9197373e+10,2729649.9,4.9598686e+09,3.691167e+11,3.691167e+11,1.2912372e+11,8.0702323e+09,63807214
8000,40,0,1.2866427e+09,1.8108526e+17,1.3944497e+17,1.4463305e+21,0,1.5651883e+19,1.8065651e+20,4.32e+12,1.6698203e+17,6.426258e+15,1.2234944e+19,4.1267543e+20,0,7969633.6,0,7969633.6,0,1.35e+21,1035.0283,-1.2449163e-08,1035.0283,0,0,1.5323758e+08,-3.1096538e+12,4.2279386e+10,-1.5650363e+11,-1.8066533e+12,-64258245,-1.2233886e+11,3212912.2,6.1169429e+09,3.4536497e+11,3.4536497e+11,1.4166794e+11,8.8542464e+09,76302100
10000,50,0,1.3443718e+09,2.3465976e+17,2.0631978e+17,1.4211071e+21,0,1.8467268e+19,1.6384855e+20,4.32e+12,1.5855844e+17,7.2025936e+15,1.4167009e+19,4.4984797e+20,0,13149730,0,13149730,0,1.35e+21,1495.682,1.2420401e-07,1495.682,0,0,1.4336773e+08,-2.0071703e+12,3.8580032e+10,-1.846597e+11,-1.6385655e+12,-72022487,-1.4166131e+11,3601124.4,7.0830657e+09,3.2341295e+11,3.2341295e+11,1.484056e+11,9.2753501e+09,88903198
12000,60,0,1.3905276e+09,2.9043541e+17,2.8205066e+17,1.4050212e+21,0,2.0849672e+19,1.4860646e+20,4.32e+12,1.5037588e+17,7.8134152e+15,1.5757067e+19,4.7708095e+20,0,19832783,0,19832783,0,1.35e+21,2042.3256,-4.5295565e-08,2042.3256,0,0,1.3413441e+08,-1.2579478e+12,3.5199195e+10,-2.0848584e+11,-1.4861372e+12,-78131474,-1.5756351e+11,3906573.7,7.8781757e+09,3.0306187e+11,3.0306187e+11,1.5141272e+11,9.4632949e+09,1.0144815e+08
14000,70,0,1.4263932e+09,3.4795894e+17,3.6500665e+17,1.3951689e+21,0,2.2830854e+19,1.3478421e+20,4.32e+12,1.4250467e+17,8.2805295e+15,1.7043e+19,4.9735659e+20,0,28068204,0,28068204,0,1.35e+21,2675.8188,0,2675.8188,0,1.953125e-07,1.2549658e+08,-7.4476475e+11,3.2124556e+10,-2.2829958e+11,-1.3479079e+12,-82803285,-1.7042427e+11,4140164.3,8.5212136e+09,2.8415344e+11,2.8415344e+11,1.5201782e+11,9.5011135e+09,1.1380229e+08
16000,80,0,1.4531305e+09,4.0682861e+17,4.5373829e+17,1.3895986e+21,0,2.4446819e+19,1.2224949e+20,4.32e+12,1.3498216e+17,8.6232683e+15,1.8060077e+19,5.126894e+20,0,37877626,0,37877626,0,1.35e+21,3396.2584,3.014884e-08,3396.2584,0,0,1.1741582e+08,-3.912706e+11,2.9336897e+10,-2.4446096e+11,-1.2225546e+12,-86231251,-1.805963e+11,4311562.5,9.0298149e+09,2.6655748e+11,2.6655748e+11,1.5108197e+11,9.4426231e+09,1.2585551e+08
18000,90,0,1.4717931e+09,4.6668926e+17,5.4696427e+17,1.3869826e+21,0,2.5734617e+19,1.1088241e+20,4.32e+12,1.2782518e+17,8.8587501e+15,1.8840708e+19,5.2445904e+20,0,49259670,0,49259670,0,1.35e+21,4203.1033,-3.3327524e-08,4203.1033,0,0,1.0985622e+08,-1.4705485e+11,2.6814107e+10,-2.5734049e+11,-1.1088782e+12,-88586566,-1.8840371e+11,4429328.3,9.4201856e+09,2.5016395e+11,2.5016395e+11,1.4916961e+11,9.3231004e+09,1.3751932e+08
20000,100,0,1.4833376e+09,5.2722781e+17,6.4355742e+17,1.3864078e+21,0,2.6730488e+19,1.0057426e+20,4.32e+12,1.2103776e+17,9.0021156e+15,1.9414406e+19,5.3362294e+20,0,62194126,0,62194126,0,1.35e+21,5095.2839,-3.0178853e-08,5095.2839,0,0,1.0278416e+08,2.1595899e+10,2.4533431e+10,-2.6730057e+11,-1.0057917e+12,-90020646,-1.9414166e+11,4501032.3,9.7070832e+09,2.3487769e+11,2.3487769e+11,1.4665428e+11,9.1658924e+09,1.4872425e+08
22000,110,0,1.4886319e+09,5.881692e+17,7.425307e+17,1.3872402e+21,0,2.7468813e+19,9.1226458e+19,4.32e+12,1.1461588e+17,9.0667388e+15,1.980787e+19,5.4085405e+20,0,76645582,0,76645582,0,1.35e+21,6071.2994,-4.2112333e-08,6071.2994,0,0,96168198,1.3750282e+11,2.247269e+10,-2.7468503e+11,-9.1230907e+11,-90667241,-1.9807714e+11,4533362.1,9.903857e+09,2.2061494e+11,2.2061494e+11,1.4378511e+11,8.9865695e+09,1.5941747e+08
24000,120,0,1.4884628e+09,6.4927275e+17,8.4302381e+17,1.3890352e+21,0,2.7981571e+19,8.2749607e+19,4.32e+12,1.0855057e+17,9.0644166e+15,2.0045127e+19,5.4663129e+20,0,92566557,0,92566557,0,1.35e+21,7129.3021,-7.8534867e-09,7129.3021,0,0,89978920,2.1629077e+11,2.0610924e+10,-2.7981366e+11,-8.2753641e+11,-90644327,-2.0045044e+11,4532216.4,1.0022522e+10,2.0730092e+11,2.0730092e+11,1.4072913e+11,8.7955703e+09,1.695606e+08
26000,130,0,1.483543e+09,7.1032881e+17,9.4429045e+17,1.391479e+21,0,2.8298104e+19,7.506262e+19,4.32e+12,1.0282982e+17,9.0055392e+15,2.0147718e+19,5.5129967e+20,0,1.099002e+08,0,1.099002e+08,0,1.35e+21,8267.1723,1.0904478e-07,8267.1723,0,0,84188806,2.6877232e+11,1.8928693e+10,-2.829799e+11,-7.5066278e+11,-90055812,-2.0147697e+11,4502790.6,1.0073849e+10,1.9486813e+11,1.9486813e+11,1.3759855e+11,8.5999094e+09,1.7912781e+08
28000,140,0,1.4745169e+09,7.7115577e+17,1.0456867e+18,1.3943486e+21,0,2.844507e+19,6.8091951e+19,4.32e+12,9.7439877e+16,8.8992425e+15,2.0134885e+19,5.551107e+20,0,1.2858258e+08,0,1.2858258e+08,0,1.35e+21,9482.5827,0,9482.5827,0,9.765625e-08,78772115,3.0250485e+11,1.7408176e+10,-2.8445034e+11,-6.8095269e+11,-88993061,-2.0134917e+11,4449653.1,1.0067459e+10,1.8325514e+11,1.8325514e+11,1.3446867e+11,8.4042918e+09,1.8810401e+08
30000,150,0,1.4619667e+09,8.3159726e+17,1.1466599e+18,1.3974846e+21,0,2.8446504e+19,6.1770892e+19,4.32e+12,9.2366032e+16,8.7535449e+15,2.0023767e+19,5.5824993e+20,0,1.4854469e+08,0,1.4854469e+08,0,1.35e+21,10773.055,0,10773.055,0,9.765625e-08,73704762,3.2281966e+11,1.603317e+10,-2.8446536e+11,-6.17739e+11,-87536264,-2.0023845e+11,4376813.2,1.0011922e+10,1.7240571e+11,1.7240571e+11,1.3138963e+11,8.2118516e+09,1.9648334e+08
32000,160,0,1.4464173e+09,8.9151965e+17,1.2467391e+18,1.4007731e+21,0,2.8323952e+19,5.6038934e+19,4.32e+12,8.7593199e+16,8.5754703e+15,1.9829588e+19,5.6085585e+20,0,1.6971404e+08,0,1.6971404e+08,0,1.35e+21,12136.01,-1.3740646e-08,12136.01,0,0,68964219,3.3350996e+11,1.4789018e+10,-2.8324041e+11,-5.6041662e+11,-85755664,-1.9829704e+11,4287783.2,9.9148518e+09,1.6226806e+11,1.6226806e+11,1.2839431e+11,8.0246445e+09,2.0426776e+08
34000,170,0,1.428341e+09,9.5080981e+17,1.3455257e+18,1.4041319e+21,0,2.809663e+19,5.0841196e+19,4.32e+12,8.3106256e+16,8.371158e+15,1.9565836e+19,5.6303307e+20,0,1.9201612e+08,0,1.9201612e+08,0,1.35e+21,13568.808,0,13568.808,0,9.765625e-08,64529407,3.3729571e+11,1.3662511e+10,-2.8096767e+11,-5.084367e+11,-83712658,-1.9565983e+11,4185632.9,9.7829914e+09,1.5279438e+11,1.5279438e+11,1.2550371e+11,7.8439816e+09,2.1146577e+08
36000,180,0,1.4081622e+09,1.009373e+18,1.4426856e+18,1.4075026e+21,0,2.7781603e+19,4.6127901e+19,4.32e+12,7.8890291e+16,8.1459608e+15,1.9244427e+19,5.6486151e+20,0,2.1537551e+08,0,2.1537551e+08,0,1.35e+21,15068.785,-2.3732355e-08,15068.785,0,0,60380610,3.3614106e+11,1.2641775e+10,-2.778178e+11,-4.6130144e+11,-81460778,-1.92446e+11,4073038.9,9.6223001e+09,1.4394038e+11,1.4394038e+11,1.2273051e+11,7.6706571e+09,2.1809136e+08
