iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.18e+10,4.25,3.5,2.05e+21,0,8.63e+14,4.48e+16,1.87e+14,6.86e+17,91.1,29,2.29e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6729549e-310,4.6729549e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,5681585.3,3.0903528e+14,2.8709841e+15,1.8870726e+21,0,3.6490457e+17,1.3337822e+17,4.32e+12,7.113386e+15,1.9893142e+15,6.2218903e+17,1.8542847e+20,0,107384.26,0,107384.26,0,1.35e+21,1.1555511,-3.050596e-08,1.1555512,0,0,1.8712053e+08,-1.3322427e+13,2.0415747e+09,-3.6460916e+09,-1.3337468e+09,-19884871,-6.2214903e+09,994243.53,3.1107451e+08,1.4395032e+09,1.4395032e+09,7.2161226e+10,4.5100766e+09,220577.62
4000,20,0,12002542,1.0573139e+15,6.2529237e+15,1.7761763e+21,0,1.1025747e+18,1.458011e+17,4.32e+12,1.1379779e+16,3.5035593e+15,7.4208951e+17,2.9544664e+20,0,275072.72,0,275072.72,0,1.35e+21,4.6504405,-4.0275612e-08,4.6504405,0,0,1.7506546e+08,-9.1504728e+12,3.1294128e+09,-1.1021479e+10,-1.4579274e+09,-35028691,-7.4201283e+09,1751434.6,3.7100641e+08,2.8297391e+09,2.8297391e+09,1.101659e+11,6.8853686e+09,547915.06
6000,30,0,20519181,2.3070031e+15,1.0391044e+16,1.6994132e+21,0,2.0237653e+18,1.6517535e+17,4.32e+12,1.4377134e+16,4.7612063e+15,9.1865747e+17,3.7108463e+20,0,525511.18,0,525511.18,0,1.35e+21,11.666057,-3.2504309e-08,11.666057,0,0,1.6378786e+08,-6.38902e+12,3.7916597e+09,-2.0232802e+10,-1.6516465e+09,-47606361,-9.1855964e+09,2380318.1,4.5927982e+08,4.5975106e+09,4.5975106e+09,1.3269953e+11,8.2937205e+09,1076776.5
8000,40,0,30897393,4.1113161e+15,1.5502606e+16,1.6454145e+21,0,3.0137246e+18,1.8761622e+17,4.32e+12,1.6534213e+16,5.7941064e+15,1.1268164e+18,4.2385425e+20,0,886048.54,0,886048.54,0,1.35e+21,23.496435,-4.7830252e-08,23.496435,0,0,1.5323758e+08,-4.5316119e+12,4.1860778e+09,-3.0132253e+10,-1.8760467e+09,-57936412,-1.1267074e+10,2896820.6,5.6335371e+08,6.5172869e+09,6.5172869e+09,1.4550564e+11,9.0941024e+09,1832315.9
10000,50,0,42796804,6.5129796e+15,2.1703278e+16,1.6068386e+21,0,4.0036865e+18,2.1078369e+17,4.32e+12,1.8119439e+16,6.6305889e+15,1.3503567e+18,4.6118393e+20,0,1383276.4,0,1383276.4,0,1.35e+21,41.508841,6.9159469e-08,41.508841,0,0,1.4336773e+08,-3.2629967e+12,4.4084937e+09,-4.0031991e+10,-2.1077219e+09,-66302154,-1.350243e+10,3315107.7,6.7512152e+08,8.4527808e+09,8.4527808e+09,1.5214552e+11,9.5090951e+09,2830149.2
12000,60,0,55897707,9.5451216e+15,2.9042664e+16,1.5788698e+21,0,4.9533669e+18,2.3328167e+17,4.32e+12,1.9304381e+16,7.2958289e+15,1.578708e+18,4.879414e+20,0,2042185.1,0,2042185.1,0,1.35e+21,67.115517,-2.4104025e-08,67.115517,0,0,1.3413441e+08,-2.3837382e+12,4.518427e+09,-4.9529064e+10,-2.3327074e+09,-72955352,-1.5785938e+10,3647767.6,7.8929692e+08,1.0323096e+10,1.0323096e+10,1.5485973e+11,9.678733e+09,4078105.9
14000,70,0,69912465,1.3232181e+16,3.7527091e+16,1.5583017e+21,0,5.8402561e+18,2.5429959e+17,4.32e+12,2.0201098e+16,7.8121776e+15,1.8049508e+18,5.073631e+20,0,2885742.5,0,2885742.5,0,1.35e+21,101.74909,0,101.74909,0,9.765625e-08,1.2549658e+08,-1.7657132e+12,4.5536839e+09,-5.8398306e+10,-2.5428954e+09,-78119532,-1.804839e+10,3905976.6,9.0241949e+08,1.2082023e+10,1.2082023e+10,1.5507653e+11,9.692283e+09,5577843.9
16000,80,0,84588933,1.7590845e+16,4.7134478e+16,1.5429689e+21,0,6.6529769e+18,2.7339465e+17,4.32e+12,2.0884455e+16,8.1994593e+15,2.0245702e+18,5.2163063e+20,0,3934711.2,0,3934711.2,0,1.35e+21,146.84179,2.9791124e-08,146.84179,0,0,1.1741582e+08,-1.3253994e+12,4.5388198e+09,-6.6525901e+10,-2.7338563e+09,-81992949,-2.0244626e+10,4099647.4,1.0122313e+09,1.3705187e+10,1.3705187e+10,1.5371702e+11,9.6073136e+09,7326240.7
18000,90,0,99709933,2.2630988e+16,5.7824209e+16,1.5313892e+21,0,7.3871139e+18,2.9035689e+17,4.32e+12,2.1405679e+16,8.4752383e+15,2.2346609e+18,5.3223372e+20,0,5207603.1,0,5207603.1,0,1.35e+21,203.80844,-4.6165695e-08,203.80844,0,0,1.0985622e+08,-1.0075864e+12,4.4901359e+09,-7.3867666e+10,-2.9034896e+09,-84751256,-2.2345585e+10,4237562.8,1.1172793e+09,1.5181979e+10,1.5181979e+10,1.5138111e+11,9.4613196e+09,9316555.8
