iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.49e+12,23.5,1.06,2.03e+21,0,2.04e+17,1.18e+16,6.39e+15,4.3e+17,35.9,11.7,4.05e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6742803e-310,4.6742803e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,6110584.6,3.7204556e+14,1.8832697e+15,1.8724525e+21,0,5.9672504e+17,7.4784018e+16,4.32e+12,7.610926e+15,7.6022873e+15,4.3046889e+17,1.9758213e+20,0,70438.381,0,70438.381,0,1.35e+21,1.3912413,-3.7168958e-08,1.3912413,0,0,1.8712053e+08,-1.2883431e+13,2.1844436e+09,-5.9642054e+09,-7.4776835e+08,-76017409,-4.3041433e+09,3800870.4,2.1520716e+08,1.5571508e+09,1.5571508e+09,7.6893492e+10,4.8058433e+09,237232.77
4000,20,0,12605454,1.1830812e+15,4.3756359e+15,1.7652027e+21,0,1.3450568e+18,9.3936671e+16,4.32e+12,1.1754547e+16,8.5823747e+15,5.7682004e+17,3.0391156e+20,0,192482.48,0,192482.48,0,1.35e+21,5.20373,-5.776295e-09,5.20373,0,0,1.7506546e+08,-8.8503805e+12,3.2325032e+09,-1.3446279e+10,-9.3925205e+08,-85819385,-5.7673134e+09,4290969.2,2.8836567e+08,3.0015879e+09,3.0015879e+09,1.1332334e+11,7.0827086e+09,575437.95
6000,30,0,21267214,2.4959733e+15,7.7454102e+15,1.6909504e+21,0,2.2659177e+18,1.19092e+17,4.32e+12,1.4668174e+16,9.356697e+15,7.7539031e+17,3.7701258e+20,0,391700.77,0,391700.77,0,1.35e+21,12.621796,-2.8707245e-08,12.621796,0,0,1.6378786e+08,-6.1807125e+12,3.8684309e+09,-2.2654347e+10,-1.1907861e+09,-93563567,-7.7528241e+09,4678178.3,3.876412e+08,4.7990795e+09,4.7990795e+09,1.3481991e+11,8.4262443e+09,1116030.8
8000,40,0,31762255,4.3636412e+15,1.2190376e+16,1.6387066e+21,0,3.2489058e+18,1.4655693e+17,4.32e+12,1.6766549e+16,9.952268e+15,1.0021233e+18,4.2801176e+20,0,696721.93,0,696721.93,0,1.35e+21,24.938675,-3.5394255e-08,24.938675,0,0,1.5323758e+08,-4.3849039e+12,4.2449094e+09,-3.2484111e+10,-1.4654304e+09,-99520107,-1.0020057e+10,4976005.4,5.0100287e+08,6.732782e+09,6.732782e+09,1.469332e+11,9.1833253e+09,1883605.1
10000,50,0,43752425,6.8284845e+15,1.7810978e+16,1.6013748e+21,0,4.2280179e+18,1.7412732e+17,4.32e+12,1.8309422e+16,1.039304e+16,1.2415216e+18,4.6408891e+20,0,1135176,0,1135176,0,1.35e+21,43.51985,5.6991198e-08,43.51985,0,0,1.4336773e+08,-3.158242e+12,4.4547232e+09,-4.2275366e+10,-1.7411376e+09,-1.0392854e+08,-1.2414006e+10,5196427.2,6.2070029e+08,8.6720094e+09,8.6720094e+09,1.5310409e+11,9.5690055e+09,2893344.3
12000,60,0,56920883,9.9232978e+15,2.4644614e+16,1.5742998e+21,0,5.1647356e+18,2.0050727e+17,4.32e+12,1.9462904e+16,1.0700227e+16,1.4835278e+18,4.8994879e+20,0,1732903.1,0,1732903.1,0,1.35e+21,69.774872,4.3360444e-09,69.774872,0,0,1.3413441e+08,-2.3079569e+12,4.5555356e+09,-5.1642819e+10,-2.0049452e+09,-1.0700103e+08,-1.4834073e+10,5350051.6,7.4170367e+08,1.0539522e+10,1.0539522e+10,1.5549695e+11,9.7185597e+09,4152753.3
14000,70,0,70982965,1.3672198e+16,3.2687607e+16,1.5543821e+21,0,6.0376798e+18,2.2496292e+17,4.32e+12,2.0335566e+16,1.0892596e+16,1.7216033e+18,5.0871941e+20,0,2513568.9,0,2513568.9,0,1.35e+21,105.13288,0,105.13288,0,9.765625e-08,1.2549658e+08,-1.7102068e+12,4.5839984e+09,-6.0372613e+10,-2.2495124e+09,-1.0892526e+08,-1.721486e+10,5446263,8.60743e+08,1.2291521e+10,1.2291521e+10,1.5549118e+11,9.7181986e+09,5663251.8
16000,80,0,85689352,1.8091575e+16,4.1909529e+16,1.5395285e+21,0,6.8361953e+18,2.4711207e+17,4.32e+12,2.100001e+16,1.0986731e+16,1.9515241e+18,5.2250927e+20,0,3498508.9,0,3498508.9,0,1.35e+21,151.022,-2.18526e-09,151.022,0,0,1.1741582e+08,-1.2842595e+12,4.5639355e+09,-6.8358155e+10,-2.4710161e+09,-1.0986706e+08,-1.9514117e+10,5493352.8,9.7570585e+08,1.3905238e+10,1.3905238e+10,1.53976e+11,9.6235003e+09,7421547.9
18000,90,0,1.0082544e+08,2.3191034e+16,5.22627e+16,1.5283059e+21,0,7.5563222e+18,2.6679403e+17,4.32e+12,2.150597e+16,1.0997259e+16,2.1706131e+18,5.3275814e+20,0,4706703.5,0,4706703.5,0,1.35e+21,208.85239,3.7038802e-08,208.85239,0,0,1.0985622e+08,-9.7674808e+11,4.511175e+09,-7.5559818e+10,-2.6678481e+09,-1.0997273e+08,-2.1705065e+10,5498636.4,1.0852533e+09,1.5371132e+10,1.5371132e+10,1.5153032e+11,9.4706449e+09,9420784.9
