iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.74e+11,6.68,63.5,7.25e+20,0,1.34e+21,5.44e+11,2.04e+14,5.21e+14,5.2,2.4,1.7e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6622789e-310,4.6622789e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,5.1406377e+09,1.9437795e+17,4.4807995e+16,6.7568225e+20,0,1.2334205e+21,2.5699892e+18,4.32e+12,9.3337828e+17,2.0047004e+15,1.7532213e+19,1.3632317e+20,0,1675198.7,0,1675198.7,0,1.35e+21,727.04658,2.3372763e-08,727.04658,0,0,1.8712053e+08,-3.0434624e+12,2.6798837e+11,-1.2334714e+13,-2.5687777e+10,-20038740,-1.7523755e+11,1001937,8.7618776e+09,2.1179178e+12,2.1179178e+12,5.3048452e+10,3.3155283e+09,1.9957628e+08
4000,20,0,5.6251618e+09,4.1033685e+17,1.746648e+17,6.5903905e+20,0,1.1358469e+21,4.743306e+18,4.32e+12,8.7654e+17,3.5174931e+15,3.3074983e+19,2.3253522e+20,0,7682278.1,0,7682278.1,0,1.35e+21,1805.1553,1.1787051e-08,1805.1553,0,0,1.7506546e+08,-4.8696727e+11,2.4109164e+11,-1.1358935e+13,-4.7423376e+10,-35168036,-3.3067871e+11,1758401.8,1.6533935e+10,1.9704988e+12,1.9704988e+12,8.6705575e+10,5.4190984e+09,2.5678819e+08
6000,30,0,6.0187257e+09,6.439989e+17,3.7626894e+17,6.6275647e+20,0,1.046411e+21,6.4671711e+18,4.32e+12,8.2239385e+17,4.7738379e+15,4.6082549e+19,3.0314155e+20,0,19027537,0,19027537,0,1.35e+21,3257.0367,-2.9631792e-08,3257.0367,0,0,1.6378786e+08,1.1032457e+12,2.1691466e+11,-1.0464538e+13,-6.4664098e+10,-47732684,-4.6076629e+11,2386634.2,2.3038315e+10,1.8337417e+12,1.8337417e+12,1.0840143e+11,6.7750892e+09,3.1584218e+08
8000,40,0,6.3316989e+09,8.9191957e+17,6.3764478e+17,6.7908244e+20,0,9.6436053e+20,7.8091616e+18,4.32e+12,7.7106179e+17,5.8055753e+15,5.6848813e+19,3.5630036e+20,0,36442880,0,36442880,0,1.35e+21,5097.9514,2.4205292e-08,5097.9514,0,0,1.5323758e+08,2.0807576e+12,1.9523205e+11,-9.6439983e+12,-7.8085758e+10,-58051107,-5.6843944e+11,2902555.4,2.8421972e+10,1.7067615e+12,1.7067615e+12,1.2231335e+11,7.6445842e+09,3.7549034e+08
10000,50,0,6.5734183e+09,1.1510491e+18,9.4820148e+17,7.0307415e+20,0,8.8903344e+20,8.8282325e+18,4.32e+12,7.2255803e+17,6.6410251e+15,6.5640893e+19,3.9730406e+20,0,60433247,0,60433247,0,1.35e+21,7336.6094,8.7932676e-08,7336.6094,0,0,1.4336773e+08,2.6652332e+12,1.7581207e+11,-8.8906953e+12,-8.8277949e+10,-66406521,-6.5636949e+11,3320326.1,3.2818474e+10,1.5887869e+12,1.5887869e+12,1.3106991e+11,8.1918695e+09,4.3469963e+08
12000,60,0,6.7522992e+09,1.4186941e+18,1.2986053e+18,7.3154657e+20,0,8.198405e+20,9.575553e+18,4.32e+12,6.7683391e+17,7.3053537e+15,7.2700097e+19,4.2964645e+20,0,91313197,0,91313197,0,1.35e+21,9976.1991,-2.7033821e-08,9976.1991,0,0,1.3413441e+08,2.9952458e+12,1.5843067e+11,-8.1987365e+12,-9.5752396e+10,-73050605,-7.2696963e+11,3652530.2,3.6348482e+10,1.4791322e+12,1.4791322e+12,1.3635703e+11,8.5223147e+09,4.926247e+08
14000,70,0,6.8759263e+09,1.6924828e+18,1.6806578e+18,7.6243101e+20,0,7.5625311e+20,1.0095356e+19,4.32e+12,6.3380447e+17,7.8209045e+15,7.824346e+19,4.556742e+20,0,1.2923891e+08,0,1.2923891e+08,0,1.35e+21,13015.292,0,13015.292,0,9.765625e-08,1.2549658e+08,3.1594607e+12,1.4287817e+11,-7.5628359e+12,-1.0095147e+11,-78206805,-7.8241034e+11,3910340.3,3.9120517e+10,1.3771803e+12,1.3771803e+12,1.392764e+11,8.7047751e+09,5.4858377e+08
16000,80,0,6.9511339e+09,1.970333e+18,2.0871817e+18,7.9437739e+20,0,6.9779442e+20,1.0425753e+19,4.32e+12,5.9336436e+17,8.2074947e+15,8.246553e+19,4.7699095e+20,0,1.7423599e+08,0,1.7423599e+08,0,1.35e+21,16448.633,4.5853085e-08,16448.633,0,0,1.1741582e+08,3.2153495e+12,1.2896201e+11,-6.9782244e+12,-1.0425629e+11,-82073307,-8.2463719e+11,4103665.3,4.123186e+10,1.2823701e+12,1.2823701e+12,1.4056114e+11,8.7850714e+09,6.0203715e+08
18000,90,0,6.984075e+09,2.2504236e+18,2.5119157e+18,8.2650403e+20,0,6.4403247e+20,1.0599479e+19,4.32e+12,5.5539755e+17,8.4826821e+15,8.5540218e+19,4.9471184e+20,0,2.2622365e+08,0,2.2622365e+08,0,1.35e+21,20267.84,-2.2162567e-08,20267.84,0,0,1.0985622e+08,3.2006031e+12,1.1650737e+11,-6.4405824e+12,-1.0599427e+11,-84825697,-8.5538941e+11,4241284.9,4.276947e+10,1.1941881e+12,1.1941881e+12,1.4070782e+11,8.7942388e+09,6.5256813e+08
20000,100,0,6.980284e+09,2.5311681e+18,2.9494179e+18,8.5823796e+20,0,5.9457485e+20,1.0644579e+19,4.32e+12,5.197833e+17,8.6620047e+15,8.7622626e+19,5.0962628e+20,0,2.8503544e+08,0,2.8503544e+08,0,1.35e+21,24462.004,-1.5552359e-08,24462.004,0,0,1.0278416e+08,3.1401951e+12,1.0535673e+11,-5.9459856e+12,-1.0644584e+11,-86619367,-8.7621809e+11,4330968.3,4.3810905e+10,1.1121623e+12,1.1121623e+12,1.4005851e+11,8.7536571e+09,6.9986598e+08
22000,110,0,6.9447333e+09,2.8111911e+18,3.394978e+18,8.8921159e+20,0,5.490643e+20,1.0585004e+19,4.32e+12,4.8639992e+17,8.7591959e+15,8.8850783e+19,5.2230332e+20,0,3.5043721e+08,0,3.5043721e+08,0,1.35e+21,29018.216,-3.4859113e-08,29018.216,0,0,96168198,3.0508182e+12,9.536881e+10,-5.4908612e+12,-1.0585057e+11,-87591658,-8.8850361e+11,4379582.9,4.4425181e+10,1.0358572e+12,1.0358572e+12,1.388527e+11,8.6782938e+09,7.4371093e+08
24000,120,0,6.8818844e+09,3.0893066e+18,3.8445373e+18,9.1919511e+20,0,5.0717502e+20,1.044116e+19,4.32e+12,4.5512712e+17,8.7863778e+15,8.9347276e+19,5.3316092e+20,0,4.2214235e+08,0,4.2214235e+08,0,1.35e+21,33922.03,0,33922.03,0,9.765625e-08,89978920,2.9437069e+12,8.6417306e+10,-5.0719511e+12,-1.044125e+11,-87863799,-8.9347192e+11,4393190,4.4673596e+10,9.6487e+11,9.6487e+11,1.3726056e+11,8.578785e+09,7.8396078e+08
26000,130,0,6.7957347e+09,3.3644983e+18,4.2946166e+18,9.4805165e+20,0,4.6860956e+20,1.0230373e+19,4.32e+12,4.2584742e+17,8.7542346e+15,8.9220764e+19,5.4251206e+20,0,4.9982489e+08,0,4.9982489e+08,0,1.35e+21,39157.852,6.9085218e-08,39157.852,0,0,84188806,2.826459e+12,7.8389568e+10,-4.6862806e+12,-1.0230493e+11,-87542639,-8.9220966e+11,4377131.9,4.4610483e+10,8.9882777e+11,8.9882777e+11,1.3540469e+11,8.462793e+09,8.2053911e+08
28000,140,0,6.6898602e+09,3.6359021e+18,4.7422513e+18,9.7570725e+20,0,4.3309604e+20,9.9673106e+18,4.32e+12,3.9844718e+17,8.672168e+15,8.8567363e+19,5.505957e+20,0,5.8313052e+08,0,5.8313052e+08,0,1.35e+21,44709.283,4.7839421e-08,44709.283,0,0,78772115,2.7042236e+12,7.118526e+10,-4.3311308e+12,-9.9674531e+10,-86722200,-8.8567807e+11,4336110,4.4283904e+10,8.3738455e+11,8.3738455e+11,1.3337447e+11,8.3359044e+09,8.5342493e+08
30000,150,0,6.5674543e+09,3.9027895e+18,5.1849322e+18,1.0021306e+21,0,4.0038578e+20,9.6643423e+18,4.32e+12,3.7281702e+17,8.548437e+15,8.7471923e+19,5.5759794e+20,0,6.716859e+08,0,6.716859e+08,0,1.35e+21,50559.408,0,50559.408,0,9.765625e-08,73704762,2.5804862e+12,6.4715111e+10,-4.0040147e+12,-9.664502e+10,-85485080,-8.7472568e+11,4274254,4.3736284e+10,7.8021921e+11,7.8021921e+11,1.3123574e+11,8.202234e+09,8.8264345e+08
32000,160,0,6.4313638e+09,4.1645534e+18,5.6205527e+18,1.0273193e+21,0,3.7025116e+20,9.3318613e+18,4.32e+12,3.4885224e+17,8.3902831e+15,8.6009178e+19,5.636666e+20,0,7.6510649e+08,0,7.6510649e+08,0,1.35e+21,56691.044,-2.4330802e-08,56691.044,0,0,68964219,2.4575927e+12,5.8899744e+10,-3.7026562e+12,-9.3320334e+10,-83903696,-8.600999e+11,4195184.8,4.3004995e+10,7.2703348e+11,7.2703348e+11,1.2903739e+11,8.0648369e+09,9.0825812e+08
34000,170,0,6.2841208e+09,4.4206944e+18,6.0473618e+18,1.0512899e+21,0,3.4248375e+20,8.9785592e+18,4.32e+12,3.2645291e+17,8.2040419e+15,8.4244808e+19,5.689213e+20,0,8.6300299e+08,0,8.6300299e+08,0,1.35e+21,63086.954,0,63086.954,0,9.765625e-08,64529407,2.3371034e+12,5.3668613e+10,-3.4249707e+12,-8.9787398e+10,-82041411,-8.4245756e+11,4102070.6,4.2122878e+10,6.7755015e+11,6.7755015e+11,1.2681591e+11,7.9259944e+09,9.3036359e+08
36000,180,0,6.1279729e+09,4.6708093e+18,6.463921e+18,1.0740722e+21,0,3.1689255e+20,8.6116681e+18,4.32e+12,3.0552392e+17,7.9952443e+15,8.2236384e+19,5.7346068e+20,0,9.6498669e+08,0,9.6498669e+08,0,1.35e+21,69730.013,8.0181053e-09,69730.013,0,0,60380610,2.2200334e+12,4.8959034e+10,-3.1690483e+12,-8.6118539e+10,-79953535,-8.223744e+11,3997676.8,4.111872e+10,6.3151152e+11,6.3151152e+11,1.2459863e+11,7.7874144e+09,9.4907953e+08
38000,190,0,5.9649101e+09,4.9145797e+18,6.8690666e+18,1.0957036e+21,0,2.9330249e+20,8.2371699e+18,4.32e+12,2.85975e+17,7.7687058e+15,8.0034235e+19,5.7736742e+20,0,1.0706738e+09,0,1.0706738e+09,0,1.35e+21,76603.363,4.67262e-08,76603.363,0,0,56499381,2.1070188e+12,4.4715308e+10,-2.9331381e+12,-8.2373582e+10,-77688228,-8.0035377e+11,3884411.4,4.0017689e+10,5.8867798e+11,5.8867798e+11,1.22406e+11,7.650375e+09,9.6454538e+08
40000,200,0,5.7966897e+09,5.1517625e+18,7.2618752e+18,1.1162268e+21,0,2.7155304e+20,7.8599774e+18,4.32e+12,2.6772056e+17,7.5286074e+15,7.768223e+19,5.8071192e+20,0,1.1796891e+09,0,1.1796891e+09,0,1.35e+21,83690.529,4.2156898e-08,83690.529,0,0,52868464,1.998431e+12,4.0887947e+10,-2.7156348e+12,-7.860166e+10,-75287302,-7.7683436e+11,3764365.1,3.8841718e+10,5.4882662e+11,5.4882662e+11,1.2025326e+11,7.5158286e+09,9.7691565e+08
42000,210,0,5.6248586e+09,5.3821809e+18,7.6416334e+18,1.1356871e+21,0,2.5149695e+20,7.4840926e+18,4.32e+12,2.5067963e+17,7.2785674e+15,7.5218476e+19,5.8355499e+20,0,1.2916683e+09,0,1.2916683e+09,0,1.35e+21,90975.517,0,90975.517,0,9.765625e-08,49471716,1.8944574e+12,3.7432971e+10,-2.5150658e+12,-7.4842796e+10,-72786943,-7.521973e+11,3639347.2,3.7609865e+10,5.1175012e+11,5.1175012e+11,1.1815165e+11,7.384478e+09,9.86356e+08
44000,220,0,5.4507742e+09,5.6057163e+18,8.0078105e+18,1.154131e+21,0,2.3299909e+20,7.1127418e+18,4.32e+12,2.347757e+17,7.021706e+15,7.2675959e+19,5.8594971e+20,0,1.4062606e+09,0,1.4062606e+09,0,1.35e+21,98442.892,0,98442.892,0,9.765625e-08,46294034,1.7951573e+12,3.4311284e+10,-2.3300797e+12,-7.1129259e+10,-70218357,-7.2677245e+11,3510917.8,3.6338622e+10,4.7725557e+11,4.7725557e+11,1.1610933e+11,7.2568333e+09,9.9303978e+08
