iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,6.81e+08,28.6,5.34,1.19e+21,0,1.12e+18,2.65e+20,4.6e+13,1.11e+15,2.53,32.4,6.17e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6797727e-310,4.6797727e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.03675e+09,3.9836251e+16,9.9190244e+15,1.2257475e+21,0,7.0911903e+18,2.403524e+20,4.32e+12,2.07611e+17,1.8617267e+15,3.8959106e+18,5.9577685e+20,0,370833.55,0,370833.55,0,1.35e+21,149.00225,3.8691127e-08,149.00225,0,0,1.8712053e+08,3.0904744e+12,5.9608462e+10,-7.0884583e+10,-2.4036412e+12,-18608932,-3.8940291e+10,930446.61,1.9470145e+09,4.2437048e+11,4.2437048e+11,2.3193829e+11,1.4496143e+10,40250009
4000,20,0,1.1438746e+09,8.4429688e+16,3.8752043e+16,1.2529521e+21,0,1.2097665e+19,2.1801817e+20,4.32e+12,1.9579249e+17,3.3881161e+15,7.3609828e+18,5.8237358e+20,0,1704428.8,0,1704428.8,0,1.35e+21,371.42262,-3.5029586e-08,371.42262,0,0,1.7506546e+08,2.3960712e+12,5.3852432e+10,-1.2095379e+11,-2.180288e+12,-33874201,-7.3593928e+10,1693710.1,3.6796964e+09,3.9820574e+11,3.9820574e+11,2.1719019e+11,1.3574387e+10,52217786
6000,30,0,1.233871e+09,1.3305061e+17,8.36181e+16,1.2743923e+21,0,1.6275829e+19,1.9775774e+20,4.32e+12,1.8476237e+17,4.6567541e+15,1.0279154e+19,5.7401548e+20,0,4228478.7,0,4228478.7,0,1.35e+21,672.90459,2.3588541e-08,672.90459,0,0,1.6378786e+08,1.9211465e+12,4.8732779e+10,-1.6273927e+11,-1.9776738e+12,-46561787,-1.027782e+11,2328089.3,5.1389102e+09,3.7363858e+11,3.7363858e+11,2.0528591e+11,1.283037e+10,64749339
8000,40,0,1.3085269e+09,1.8504405e+17,1.4194302e+17,1.2918416e+21,0,1.9739011e+19,1.7937941e+20,4.32e+12,1.744304e+17,5.6996023e+15,1.2716554e+19,5.6894448e+20,0,8112366.1,0,8112366.1,0,1.35e+21,1057.6554,-3.0230694e-08,1057.6554,0,0,1.5323758e+08,1.5877372e+12,4.4165436e+10,-1.9737442e+11,-1.7938815e+12,-56991325,-1.2715445e+11,2849566.2,6.3577225e+09,3.505986e+11,3.505986e+11,1.9532472e+11,1.2207795e+10,77599901
10000,50,0,1.3694786e+09,2.3982398e+17,2.1145967e+17,1.3064535e+21,0,2.258319e+19,1.6270897e+20,4.32e+12,1.6473117e+17,6.5450903e+15,1.4731559e+19,5.6602987e+20,0,13477286,0,13477286,0,1.35e+21,1528.5978,1.2546843e-07,1528.5978,0,0,1.4336773e+08,1.3472724e+12,4.0082055e+10,-2.2581908e+11,-1.627169e+12,-65447125,-1.4730648e+11,3272356.3,7.3653238e+09,3.2900831e+11,3.2900831e+11,1.8674112e+11,1.167132e+10,90563513
12000,60,0,1.4182196e+09,2.968673e+17,2.9017293e+17,1.3189921e+21,0,2.4890725e+19,1.4758822e+20,4.32e+12,1.5561438e+17,7.2184834e+15,1.6375904e+19,5.6453424e+20,0,20403883,0,20403883,0,1.35e+21,2087.5542,3.2240678e-08,2087.5542,0,0,1.3413441e+08,1.1689855e+12,3.6425455e+10,-2.4889693e+11,-1.4759542e+12,-72181859,-1.6375167e+11,3609092.9,8.1875833e+09,3.0878795e+11,3.0878795e+11,1.7917259e+11,1.1198287e+10,1.0346846e+08
14000,70,0,1.4561092e+09,3.5570825e+17,3.7632939e+17,1.3299729e+21,0,2.6732948e+19,1.338735e+20,4.32e+12,1.4703929e+17,7.7422148e+15,1.7695543e+19,5.6397059e+20,0,28938875,0,28938875,0,1.35e+21,2735.4111,0,2735.4111,0,1.953125e-07,1.2549658e+08,1.0330738e+12,3.3146827e+10,-2.6732132e+11,-1.3388003e+12,-77419869,-1.7694958e+11,3870993.5,8.8474788e+09,2.8985824e+11,2.8985824e+11,1.7238156e+11,1.0773848e+10,1.1617313e+08
16000,80,0,1.4843837e+09,4.1593323e+17,4.6839083e+17,1.3397506e+21,0,2.8172031e+19,1.214344e+20,4.32e+12,1.3897131e+17,8.1361829e+15,1.8731345e+19,5.6401377e+20,0,39100788,0,39100788,0,1.35e+21,3472.2648,-3.0033334e-08,3472.2648,0,0,1.1741582e+08,9.2659271e+11,3.0203924e+10,-2.8171403e+11,-1.2144032e+12,-81360153,-1.8730892e+11,4068007.7,9.3654459e+09,2.72142e+11,2.72142e+11,1.6620863e+11,1.0388039e+10,1.2856235e+08
18000,90,0,1.5041648e+09,4.7717612e+17,5.6501079e+17,1.3485735e+21,0,2.9262396e+19,1.1015253e+20,4.32e+12,1.3138003e+17,8.4180189e+15,1.9519673e+19,5.6444463e+20,0,50884929,0,50884929,0,1.35e+21,4297.55,-9.2477421e-09,4297.55,0,0,1.0985622e+08,8.4095259e+11,2.7559834e+10,-2.9261929e+11,-1.101579e+12,-84179033,-1.9519335e+11,4208951.7,9.7596674e+09,2.5556507e+11,2.5556507e+11,1.6054403e+11,1.0034002e+10,1.4054402e+08
20000,100,0,1.5164699e+09,5.3911389e+17,6.6501377e+17,1.3566192e+21,0,3.0051805e+19,9.9920445e+19,4.32e+12,1.2423797e+17,8.6033275e+15,2.009288e+19,5.6511442e+20,0,64267685,0,64267685,0,1.35e+21,5210.1544,0,5210.1544,0,9.765625e-08,1.0278416e+08,7.7036858e+11,2.5182103e+10,-3.0051479e+11,-9.9925315e+11,-86032566,-2.0092643e+11,4301628.3,1.0046321e+10,2.4005673e+11,2.4005673e+11,1.5531008e+11,9.70688e+09,1.520462e+08
22000,110,0,1.5222202e+09,6.0146259e+17,7.6737657e+17,1.3640174e+21,0,3.0582251e+19,9.0640641e+19,4.32e+12,1.1751982e+17,8.7059025e+15,2.0479742e+19,5.6592165e+20,0,79210224,0,79210224,0,1.35e+21,6208.5185,-3.5450284e-08,6208.5185,0,0,96168198,7.1088738e+11,2.3042074e+10,-3.0582044e+11,-9.0645058e+11,-87058698,-2.0479591e+11,4352934.9,1.0239795e+10,2.2554996e+11,2.2554996e+11,1.5045007e+11,9.4031294e+09,1.6301444e+08
24000,120,0,1.5222491e+09,6.6397366e+17,8.7121174e+17,1.3708645e+21,0,3.0890675e+19,8.2224629e+19,4.32e+12,1.1120199e+17,8.7379207e+15,2.070583e+19,5.6679693e+20,0,95661681,0,95661681,0,1.35e+21,7290.7246,-9.6897566e-09,7290.7246,0,0,89978920,6.5976762e+11,2.1114368e+10,-3.0890571e+11,-8.2228635e+11,-87379205,-2.0705753e+11,4368960.3,1.0352876e+10,2.1198142e+11,2.1198142e+11,1.459213e+11,9.1200816e+09,1.7340942e+08
26000,130,0,1.5173095e+09,7.264306e+17,9.7575259e+17,1.3772339e+21,0,3.1009588e+19,7.4592116e+19,4.32e+12,1.0526231e+17,8.7101159e+15,2.0793845e+19,5.6769295e+20,0,1.1356189e+08,0,1.1356189e+08,0,1.35e+21,8454.5731,5.8067599e-08,8454.5731,0,0,84188806,6.1508003e+11,1.9376466e+10,-3.1009571e+11,-7.4595749e+11,-87101432,-2.0793832e+11,4355071.6,1.0396916e+10,1.9929146e+11,1.9929146e+11,1.4169057e+11,8.8556605e+09,1.8320488e+08
28000,140,0,1.5080807e+09,7.8864585e+17,1.0803398e+18,1.3831827e+21,0,3.0967585e+19,6.7670248e+19,4.32e+12,9.9679808e+16,8.631935e+15,2.0763922e+19,5.6857763e+20,0,1.3284371e+08,0,1.3284371e+08,0,1.35e+21,9697.6509,2.5143891e-08,9697.6509,0,0,78772115,5.7544641e+11,1.7808357e+10,-3.0967642e+11,-6.7673543e+11,-86319852,-2.0763963e+11,4315992.6,1.0381981e+10,1.8742398e+11,1.8742398e+11,1.3773119e+11,8.6081993e+09,1.9238574e+08
30000,150,0,1.495175e+09,8.5045794e+17,1.1844096e+18,1.3887561e+21,0,3.0789804e+19,6.1392925e+19,4.32e+12,9.4434614e+16,8.5116779e+15,2.0633887e+19,5.6942958e+20,0,1.5343502e+08,0,1.5343502e+08,0,1.35e+21,11017.389,0,11017.389,0,9.765625e-08,73704762,5.39867e+11,1.6392245e+10,-3.0789923e+11,-6.1395912e+11,-85117473,-2.0633974e+11,4255873.6,1.0316987e+10,1.7632628e+11,1.7632628e+11,1.3402111e+11,8.3763194e+09,2.0094642e+08
32000,160,0,1.4791432e+09,9.1172895e+17,1.2874827e+18,1.3939909e+21,0,3.049832e+19,5.5700176e+19,4.32e+12,8.9507848e+16,8.356623e+15,2.0419503e+19,5.7023487e+20,0,1.7526034e+08,0,1.7526034e+08,0,1.35e+21,12411.114,0,12411.114,0,9.765625e-08,68964219,5.0760507e+11,1.5112286e+10,-3.0498491e+11,-5.5702886e+11,-83567081,-2.0419629e+11,4178354.1,1.0209815e+10,1.6594893e+11,1.6594893e+11,1.305416e+11,8.1588499e+09,2.0888941e+08
34000,170,0,1.4604801e+09,9.7234212e+17,1.3891546e+18,1.3989173e+21,0,3.0112488e+19,5.0537597e+19,4.32e+12,8.4881565e+16,8.17314e+15,2.0134684e+19,5.7098491e+20,0,1.9824229e+08,0,1.9824229e+08,0,1.35e+21,13876.091,0,13876.091,0,9.765625e-08,64529407,4.7810893e+11,1.3954371e+10,-3.0112702e+11,-5.0540055e+11,-81732379,-2.0134842e+11,4086619,1.0067421e+10,1.5624555e+11,1.5624555e+11,1.2727637e+11,7.9547729e+09,2.1622396e+08
36000,180,0,1.4396296e+09,1.0321997e+18,1.4890874e+18,1.4035607e+21,0,2.9649254e+19,4.5855835e+19,4.32e+12,8.0538707e+16,7.9667903e+15,1.9791685e+19,5.7167483e+20,0,2.2230275e+08,0,2.2230275e+08,0,1.35e+21,15409.563,-2.7597707e-08,15409.563,0,0,60380610,4.5095854e+11,1.2905928e+10,-2.9649502e+11,-4.5858063e+11,-79668983,-1.9791869e+11,3983449.2,9.8959347e+09,1.4717271e+11,1.4717271e+11,1.2421099e+11,7.7631871e+09,2.2296492e+08
