iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.52e+13,38.4,25.7,1.48e+21,0,2.7e+14,3.01e+13,6.54e+14,5.8e+18,59,18.9,5.83e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6751592e-310,4.6751592e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,28504376,1.6938377e+15,2.7659953e+16,1.4829049e+21,0,1.9355395e+18,2.1903165e+17,4.32e+12,2.4798788e+16,2.4118933e+15,5.5478547e+18,5.7813905e+20,0,1034615.2,0,1034615.2,0,1.35e+21,6.3352229,-1.1208311e-08,6.3352229,0,0,1.8712053e+08,2.1506574e+11,7.119858e+09,-1.9346359e+10,-2.19007e+09,-24110874,-5.5478841e+10,1205543.7,2.7739421e+09,8.9339734e+09,8.9339734e+09,2.2506943e+11,1.406684e+10,1106632.6
4000,20,0,41413385,3.991798e+15,5.5261727e+16,1.4845052e+21,0,3.6243327e+18,2.6504818e+17,4.32e+12,2.5209664e+16,3.8859239e+15,5.4959619e+18,5.7482586e+20,0,2431139.2,0,2431139.2,0,1.35e+21,17.559806,3.7378868e-08,17.559806,0,0,1.7506546e+08,1.13058e+11,6.9336264e+09,-3.6235449e+10,-2.6502676e+09,-38852528,-5.4959846e+10,1942626.4,2.7479923e+09,1.1835448e+10,1.1835448e+10,2.1437392e+11,1.339837e+10,1890517.7
6000,30,0,55518472,6.93355e+15,8.2628702e+16,1.4852931e+21,0,5.0956845e+18,3.0487716e+17,4.32e+12,2.555458e+16,5.1071834e+15,5.4561975e+18,5.7253635e+20,0,4179055.7,0,4179055.7,0,1.35e+21,35.064849,-6.4596506e-09,35.064849,0,0,1.6378786e+08,4.958218e+10,6.7400206e+09,-5.0949988e+10,-3.048587e+09,-51066305,-5.4562147e+10,2553315.3,2.7281074e+09,1.4368013e+10,1.4368013e+10,2.0475612e+11,1.2797257e+10,2913419.9
8000,40,0,70508488,1.0551152e+16,1.0981426e+17,1.485577e+21,0,6.374761e+18,3.3904211e+17,4.32e+12,2.5831376e+16,6.1071589e+15,5.426123e+18,5.7093878e+20,0,6276781,0,6276781,0,1.35e+21,60.304558,-3.7292082e-08,60.304558,0,0,1.5323758e+08,1.0410785e+10,6.5402353e+09,-6.3741657e+10,-3.3902636e+09,-61067094,-5.426136e+10,3053354.7,2.713068e+09,1.6573057e+10,1.6573057e+10,1.9600895e+11,1.2250559e+10,4181382.7
10000,50,0,86118598,1.4866195e+16,1.368602e+17,1.4855524e+21,0,7.4833232e+18,3.6803236e+17,4.32e+12,2.6041739e+16,6.9138502e+15,5.4035317e+18,5.6981751e+20,0,8723397.5,0,8723397.5,0,1.35e+21,94.750814,8.9732822e-08,94.750814,0,0,1.4336773e+08,-1.3276302e+10,6.336221e+09,-7.4828082e+10,-3.6801908e+09,-69134909,-5.4035415e+10,3456745.4,2.7017707e+09,1.8486339e+10,1.8486339e+10,1.8799052e+11,1.1749407e+10,5695016
12000,60,0,1.0212417e+08,1.9891407e+16,1.6379792e+17,1.4853443e+21,0,8.4404194e+18,3.9231042e+17,4.32e+12,2.6189432e+16,7.5521343e+15,5.386481e+18,5.6902995e+20,0,11518358,0,11518358,0,1.35e+21,139.87,-3.8852534e-08,139.87,0,0,1.3413441e+08,-2.7027082e+10,6.1301066e+09,-8.4399758e+10,-3.9229939e+09,-75518534,-5.3864885e+10,3775926.7,2.6932442e+09,2.0139206e+10,2.0139206e+10,1.8059939e+11,1.1287462e+10,7450630.6
14000,70,0,1.1833564e+08,2.5632061e+16,1.9064974e+17,1.485033e+21,0,9.2628659e+18,4.1231469e+17,4.32e+12,2.6279259e+16,8.0440925e+15,5.3732964e+18,5.6848008e+20,0,14661241,0,14661241,0,1.35e+21,197.10467,0,197.10467,0,9.765625e-08,1.2549658e+08,-3.4377611e+10,5.923916e+09,-9.2624858e+10,-4.1230569e+09,-80438798,-5.3733022e+10,4021939.9,2.6866511e+09,2.1559424e+10,2.1559424e+10,1.7375996e+11,1.0859997e+10,9441202.1
16000,80,0,1.3459413e+08,3.2087213e+16,2.1743017e+17,1.4846704e+21,0,9.9655969e+18,4.2846003e+17,4.32e+12,2.6316465e+16,8.4093051e+15,5.3625588e+18,5.6810218e+20,0,18151564,0,18151564,0,1.35e+21,267.85938,1.4481088e-08,267.85938,0,0,1.1741582e+08,-3.7608147e+10,5.7194391e+09,-9.9652731e+10,-4.2845286e+09,-84091512,-5.3625637e+10,4204575.6,2.6812819e+09,2.2771758e+10,2.2771758e+10,1.6741352e+11,1.0463345e+10,11657187
18000,90,0,1.5076761e+08,3.9250783e+16,2.4414711e+17,1.4842896e+21,0,1.0561928e+19,4.4113752e+17,4.32e+12,2.6306382e+16,8.6651155e+15,5.3530854e+18,5.6785044e+20,0,21988628,0,21988628,0,1.35e+21,353.48993,4.8043432e-08,353.48993,0,0,1.0985622e+08,-3.8204051e+10,5.5181875e+09,-1.0561655e+11,-4.4113199e+09,-86650123,-5.35309e+10,4332506.2,2.676545e+09,2.3798405e+10,2.3798405e+10,1.6151285e+11,1.0094553e+10,14087211
20000,100,0,1.6674753e+08,4.7112503e+16,2.7080301e+17,1.4839118e+21,0,1.1063766e+19,4.5071406e+17,4.32e+12,2.6254219e+16,8.8268678e+15,5.3439067e+18,5.6769244e+20,0,26171418,0,26171418,0,1.35e+21,455.29562,3.9834845e-08,455.29562,0,0,1.0278416e+08,-3.7140916e+10,5.3213921e+09,-1.1063537e+11,-4.5070999e+09,-88268081,-5.3439114e+10,4413404.1,2.6719557e+09,2.465932e+10,2.465932e+10,1.5601871e+11,9.7511696e+09,16718650
22000,110,0,1.8244582e+08,5.5658734e+16,2.973958e+17,1.4835501e+21,0,1.1481773e+19,4.5753203e+17,4.32e+12,2.6164948e+16,8.9081202e+15,5.3342422e+18,5.676048e+20,0,30698514,0,30698514,0,1.35e+21,574.51396,-3.349146e-08,574.51396,0,0,96168198,-3.5063482e+10,5.1300217e+09,-1.1481583e+11,-4.5752925e+09,-89080976,-5.3342472e+10,4454048.8,2.6671236e+09,2.5372489e+10,2.5372489e+10,1.5089766e+11,9.4311035e+09,19538108
24000,120,0,1.9779224e+08,6.4873186e+16,3.2391984e+17,1.4832125e+21,0,1.1825513e+19,4.6190931e+17,4.32e+12,2.6043242e+16,8.9208362e+15,5.3234774e+18,5.6757041e+20,0,35568051,0,35568051,0,1.35e+21,712.31743,-4.4451667e-08,712.31743,0,0,89978920,-3.2399387e+10,4.9448118e+09,-1.1825358e+11,-4.6190768e+09,-89208452,-5.3234832e+10,4460422.6,2.6617416e+09,2.5954135e+10,2.5954135e+10,1.4612055e+11,9.1325344e+09,22531817
26000,130,0,2.1273208e+08,7.4737533e+16,3.5036664e+17,1.4829031e+21,0,1.2103563e+19,4.6413953e+17,4.32e+12,2.5893441e+16,8.8755569e+15,5.3111424e+18,5.6757653e+20,0,40777687,0,40777687,0,1.35e+21,869.81195,1.4057946e-07,869.81195,0,0,84188806,-2.9432415e+10,4.7662952e+09,-1.2103439e+11,-4.6413891e+09,-88755924,-5.311149e+10,4437796.2,2.6555745e+09,2.6418906e+10,2.6418906e+10,1.4166162e+11,8.8538511e+09,25685963
28000,140,0,2.2722398e+08,8.523195e+16,3.7672561e+17,1.4826242e+21,0,1.2323625e+19,4.6449258e+17,4.32e+12,2.5719546e+16,8.7815545e+15,5.296891e+18,5.6761354e+20,0,46324590,0,46324590,0,1.35e+21,1048.0367,1.3880481e-08,1048.0367,0,0,78772115,-2.6350206e+10,4.5948331e+09,-1.2323528e+11,-4.6449283e+09,-87816123,-5.2968986e+10,4390806.1,2.6484493e+09,2.6780032e+10,2.6780032e+10,1.3749775e+11,8.5936092e+09,28986945
30000,150,0,2.4123817e+08,9.6335566e+16,4.0298456e+17,1.4823761e+21,0,1.2492608e+19,4.6321538e+17,4.32e+12,2.552522e+16,8.6469712e+15,5.280483e+18,5.6767404e+20,0,52205451,0,52205451,0,1.35e+21,1247.9653,0,1247.9653,0,9.765625e-08,73704762,-2.3275696e+10,4.430643e+09,-1.2492535e+11,-4.6321639e+09,-86470474,-5.2804917e+10,4323523.7,2.6402459e+09,2.7049459e+10,2.7049459e+10,1.3360802e+11,8.3505011e+09,32421586
