iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,10600000,56.4,45.8,2.06e+21,0,1.89e+17,6.36e+14,1.09e+18,1.61e+16,7.71,47.9,3.86e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6369282e-310,4.6369282e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,6562015.6,5.5099006e+15,1.9731911e+14,1.8922092e+21,0,4.8747574e+17,1.3136215e+16,4.32e+12,6.7880243e+15,9.8813974e+17,8.5816621e+16,1.713614e+20,0,7376.3169,0,7376.3169,0,1.35e+21,20.609792,1.7656703e-08,20.609792,0,0,1.8712053e+08,-1.3718725e+13,1.9481443e+09,-4.8720759e+09,-1.3127131e+08,-9.8818822e+09,-8.5753055e+08,4.9409411e+08,42876527,1.8708132e+09,1.8708132e+09,6.6684145e+10,4.1677591e+09,254758.79
4000,20,0,12789931,1.0965444e+16,1.0149989e+15,1.7780259e+21,0,1.1792588e+18,3.6266469e+16,4.32e+12,1.1146986e+16,8.9580713e+17,2.5153096e+17,2.8474759e+20,0,44636.357,0,44636.357,0,1.35e+21,48.240445,-4.1600536e-08,48.240445,0,0,1.7506546e+08,-9.4205182e+12,3.0653753e+09,-1.1788512e+10,-3.6252955e+08,-8.9585106e+09,-2.5143208e+09,4.4792553e+08,1.2571604e+08,3.1555961e+09,3.1555961e+09,1.0617532e+11,6.6359573e+09,583859.31
6000,30,0,21207775,1.6474589e+16,2.8121389e+15,1.6990075e+21,0,2.0679101e+18,6.5549412e+16,4.32e+12,1.4202837e+16,8.1214885e+17,4.7095995e+17,3.6270357e+20,0,142191.32,0,142191.32,0,1.35e+21,83.322076,3.9639517e-08,83.322076,0,0,1.6378786e+08,-6.5757115e+12,3.7456825e+09,-2.0674388e+10,-6.553396e+08,-8.1218865e+09,-4.7084148e+09,4.0609433e+08,2.3542074e+08,4.8449323e+09,4.8449323e+09,1.2970187e+11,8.1063669e+09,1112911.6
8000,40,0,31485555,2.2132393e+16,5.7907266e+15,1.6434397e+21,0,3.0344132e+18,9.7092156e+16,4.32e+12,1.6397009e+16,7.3634683e+17,7.1879192e+17,4.1709211e+20,0,330924.99,0,330924.99,0,1.35e+21,126.50384,-2.338075e-08,126.50384,0,0,1.5323758e+08,-4.6624248e+12,4.1513352e+09,-3.0339239e+10,-9.7076253e+08,-7.3638289e+09,-7.1866389e+09,3.6819145e+08,3.5933195e+08,6.7049947e+09,6.7049947e+09,1.431839e+11,8.9489936e+09,1867195.8
10000,50,0,43284924,2.8019558e+16,1.0050526e+16,1.6037577e+21,0,4.0072106e+18,1.285805e+17,4.32e+12,1.8005733e+16,6.6766038e+17,9.7879465e+17,4.5556819e+20,0,640521.74,0,640521.74,0,1.35e+21,178.5936,1.3921641e-07,178.5936,0,0,1.4336773e+08,-3.3558079e+12,4.3808255e+09,-4.0067306e+10,-1.2856502e+09,-6.6769306e+09,-9.7866354e+09,3.3384653e+08,4.8933177e+08,8.5940412e+09,8.5940412e+09,1.5029266e+11,9.393291e+09,2862428.5
12000,60,0,56287145,3.4203662e+16,1.5625426e+16,1.5749998e+21,0,4.9441597e+18,1.5866144e+17,4.32e+12,1.9205462e+16,6.0541882e+17,1.2404953e+18,4.8314808e+20,0,1098659.4,0,1098659.4,0,1.35e+21,240.5194,0,240.5194,0,9.765625e-08,1.3413441e+08,-2.4503543e+12,4.4952717e+09,-4.9437047e+10,-1.586469e+09,-6.0544844e+09,-1.2403653e+10,3.0272422e+08,6.2018265e+08,1.0427521e+10,1.0427521e+10,1.5333831e+11,9.5836443e+09,4106517.9
14000,70,0,70205030,4.0740386e+16,2.2506684e+16,1.5538623e+21,0,5.8214933e+18,1.8657536e+17,4.32e+12,2.0111346e+16,5.4901489e+17,1.4971371e+18,5.0316702e+20,0,1730629,0,1730629,0,1.35e+21,313.29563,0,313.29563,0,9.765625e-08,1.2549658e+08,-1.814042e+12,4.5334511e+09,-5.8210719e+10,-1.8656202e+09,-5.4904173e+09,-1.4970108e+10,2.7452086e+08,7.4850541e+08,1.2156728e+10,1.2156728e+10,1.5379389e+11,9.612118e+09,5601185.7
16000,80,0,84786644,4.7674742e+16,3.0658032e+16,1.5381146e+21,0,6.6269699e+18,2.1193279e+17,4.32e+12,2.0800234e+16,4.978987e+17,1.7443994e+18,5.1787325e+20,0,2559193.4,0,2559193.4,0,1.35e+21,397.99422,0,397.99422,0,9.765625e-08,1.1741582e+08,-1.3608087e+12,4.5205154e+09,-6.6265862e+10,-2.1192078e+09,-4.9792303e+09,-1.7442786e+10,2.4896151e+08,8.7213932e+08,1.3755553e+10,1.3755553e+10,1.526097e+11,9.5381065e+09,7343364.4
18000,90,0,99814911,5.5042277e+16,4.0025653e+16,1.5262295e+21,0,7.3555706e+18,2.3457654e+17,4.32e+12,2.1324637e+16,4.5157233e+17,1.9795832e+18,5.2880207e+20,0,3604580.3,0,3604580.3,0,1.35e+21,495.72032,3.7616132e-09,495.72032,0,0,1.0985622e+08,-1.0337661e+12,4.4731358e+09,-7.3552257e+10,-2.3456591e+09,-4.5159438e+09,-1.9794689e+10,2.2579719e+08,9.8973447e+08,1.5212156e+10,1.5212156e+10,1.5040502e+11,9.4003136e+09,9326364.5
