iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,5.33e+15,1.37,5.74,1.93e+21,0,2.17e+16,1.52e+17,1.71e+16,5.13e+17,29.3,2.66,1.37e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6880027e-310,4.6880027e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,8227505.6,5.9256986e+14,2.422623e+15,1.8011641e+21,0,6.9483467e+17,2.2047861e+17,4.32e+12,1.0323386e+16,1.7293556e+16,5.5743642e+17,2.6504359e+20,0,90611.021,0,90611.021,0,1.35e+21,2.216094,2.4935729e-08,2.2160939,0,0,1.8712053e+08,-1.0540267e+13,2.9633246e+09,-6.944208e+09,-2.2047482e+09,-1.7293495e+08,-5.5736107e+09,8646747.3,2.7868054e+08,2.1012444e+09,2.1012444e+09,1.0316074e+11,6.4475466e+09,319418.53
4000,20,0,15681322,1.6397171e+15,5.6394432e+15,1.7133801e+21,0,1.6158246e+18,2.3208554e+17,4.32e+12,1.3818697e+16,1.7351376e+16,7.366533e+17,3.5170973e+20,0,248077.61,0,248077.61,0,1.35e+21,7.2125808,-9.2734052e-09,7.2125808,0,0,1.7506546e+08,-7.2480464e+12,3.8003006e+09,-1.6153293e+10,-2.3207814e+09,-1.7351378e+08,-7.3655195e+09,8675689,3.6827598e+08,3.8568009e+09,3.8568009e+09,1.3115203e+11,8.1970016e+09,715851.06
6000,30,0,25159813,3.2022241e+15,9.8626407e+15,1.6525369e+21,0,2.6395881e+18,2.4877785e+17,4.32e+12,1.6291493e+16,1.7291197e+16,9.5477785e+17,4.1128788e+20,0,498777.46,0,498777.46,0,1.35e+21,16.193696,0,16.193696,0,9.765625e-08,1.6378786e+08,-5.0679572e+12,4.2966323e+09,-2.6390666e+10,-2.4876881e+09,-1.7291254e+08,-9.5466268e+09,8645626.9,4.7733134e+08,5.8326765e+09,5.8326765e+09,1.4707977e+11,9.1924853e+09,1320301.1
8000,40,0,36329963,5.3309408e+15,1.5235214e+16,1.60967e+21,0,3.6799761e+18,2.6748808e+17,4.32e+12,1.8081846e+16,1.7131683e+16,1.1921898e+18,4.5285073e+20,0,870753.53,0,870753.53,0,1.35e+21,30.467504,3.8244128e-08,30.467504,0,0,1.5323758e+08,-3.6007659e+12,4.5779632e+09,-3.6794612e+10,-2.6747857e+09,-1.7131785e+08,-1.1920686e+10,8565892.3,5.9603429e+08,7.858538e+09,7.858538e+09,1.5546201e+11,9.7163757e+09,2154485
10000,50,0,48863645,8.0660316e+15,2.1820823e+16,1.5789897e+21,0,4.6866764e+18,2.8637809e+17,4.32e+12,1.9403298e+16,1.6889227e+16,1.4362828e+18,4.8225246e+20,0,1390755.6,0,1390755.6,0,1.35e+21,51.407815,9.2151318e-08,51.407815,0,0,1.4336773e+08,-2.5979551e+12,4.7208983e+09,-4.6861868e+10,-2.8636881e+09,-1.6889366e+08,-1.4361606e+10,8444683.1,7.180803e+08,9.8337421e+09,9.8337421e+09,1.5909741e+11,9.943588e+09,3231348.9
12000,60,0,62457720,1.143803e+16,2.963191e+16,1.5566973e+21,0,5.6314542e+18,3.0436241e+17,4.32e+12,2.0392913e+16,1.6578205e+16,1.6789155e+18,5.033289e+20,0,2083606.8,0,2083606.8,0,1.35e+21,80.426442,5.5074736e-09,80.426442,0,0,1.3413441e+08,-1.9022991e+12,4.7732379e+09,-5.6310002e+10,-3.0435376e+09,-1.6578376e+08,-1.6787955e+10,8289187.8,8.3939775e+08,1.1700707e+10,1.1700707e+10,1.5974419e+11,9.9840119e+09,4556702
14000,70,0,76842011,1.5468868e+16,3.8647738e+16,1.5402633e+21,0,6.4997473e+18,3.2082335e+17,4.32e+12,2.1140711e+16,1.6211198e+16,1.9148395e+18,5.1863014e+20,0,2971906.7,0,2971906.7,0,1.35e+21,118.94942,0,118.94942,0,9.765625e-08,1.2549658e+08,-1.4127855e+12,4.7655081e+09,-6.4993336e+10,-3.2081556e+09,-1.6211394e+08,-1.9147238e+10,8105696.9,9.5736191e+08,1.3428642e+10,1.3428642e+10,1.5852091e+11,9.907557e+09,6130705.6
16000,80,0,91781091,2.017289e+16,4.8826183e+16,1.5279785e+21,0,7.2854618e+18,3.3543728e+17,4.32e+12,2.1707267e+16,1.5799189e+16,2.1407132e+18,5.2987489e+20,0,4075922.9,0,4075922.9,0,1.35e+21,168.39717,4.7313534e-08,168.39717,0,0,1.1741582e+08,-1.0635595e+12,4.7176555e+09,-7.2850899e+10,-3.3543047e+09,-1.5799404e+08,-2.1406032e+10,7899702.1,1.0703016e+09,1.5003467e+10,1.5003467e+10,1.5614689e+11,9.7591807e+09,7949152.9
18000,90,0,1.0707306e+08,2.5557833e+16,6.011156e+16,1.5186727e+21,0,7.9877132e+18,3.4806679e+17,4.32e+12,2.2134406e+16,1.5351741e+16,2.3544715e+18,5.3823659e+20,0,5413592.9,0,5413592.9,0,1.35e+21,230.16838,4.4522437e-08,230.16838,0,0,1.0985622e+08,-8.110845e+11,4.6430068e+09,-7.9873826e+10,-3.4806098e+09,-1.5351972e+08,-2.3543679e+10,7675986,1.177184e+09,1.6421488e+10,1.6421488e+10,1.5308878e+11,9.5680485e+09,10004541
20000,100,0,1.2254693e+08,3.1625763e+16,7.2439907e+16,1.5115337e+21,0,8.6087651e+18,3.5869239e+17,4.32e+12,2.2451786e+16,1.487716e+16,2.5549162e+18,5.4452629e+20,0,7000588.4,0,7000588.4,0,1.35e+21,305.62729,-2.7061219e-08,305.62729,0,0,1.0278416e+08,-6.2619313e+11,4.5506544e+09,-8.6084742e+10,-3.5868757e+09,-1.4877403e+08,-2.5548194e+10,7438701.5,1.2774097e+09,1.7685387e+10,1.7685387e+10,1.496512e+11,9.3532003e+09,12286954
22000,110,0,1.3805953e+08,3.8373936e+16,8.5742594e+16,1.505991e+21,0,9.1527179e+18,3.6736868e+17,4.32e+12,2.2681031e+16,1.4382636e+16,2.7414446e+18,5.4931104e+20,0,8850415.7,0,8850415.7,0,1.35e+21,396.09391,1.5464479e-08,396.09391,0,0,96168198,-4.8909504e+11,4.4469209e+09,-9.1524643e+10,-3.6736482e+09,-1.4382887e+08,-2.7413549e+10,7191443.5,1.3706774e+09,1.880166e+10,1.880166e+10,1.460337e+11,9.1271063e+09,14784784
24000,120,0,1.5349232e+08,4.5795591e+16,9.994883e+16,1.5016388e+21,0,9.6246698e+18,3.741957e+17,4.32e+12,2.2838343e+16,1.3874369e+16,2.9138673e+18,5.5299165e+20,0,10974537,0,10974537,0,1.35e+21,502.83695,-8.9128775e-09,502.83695,0,0,89978920,-3.8619812e+11,4.3362766e+09,-9.6244509e+10,-3.7419273e+09,-1.3874625e+08,-2.9137846e+10,6937312.6,1.4568923e+09,1.977897e+10,1.977897e+10,1.4236684e+11,8.8979277e+09,17485321
26000,130,0,1.6874835e+08,5.3880666e+16,1.149874e+17,1.4981852e+21,0,1.0030182e+19,3.7929999e+17,4.32e+12,2.2936193e+16,1.3357685e+16,3.0722832e+18,5.5585435e+20,0,13382502,0,13382502,0,1.35e+21,627.06888,9.1123411e-08,627.06888,0,0,84188806,-3.0805801e+11,4.2219246e+09,-1.0029994e+11,-3.7929784e+09,-1.3357945e+08,-3.0722074e+10,6678972.3,1.5361037e+09,2.0627084e+10,2.0627084e+10,1.3873556e+11,8.6709727e+09,20375224
28000,140,0,1.8374947e+08,6.2616434e+16,1.307879e+17,1.4954178e+21,0,1.0374936e+19,3.8282202e+17,4.32e+12,2.2984423e+16,1.2837139e+16,3.216992e+18,5.5810555e+20,0,16082085,0,16082085,0,1.35e+21,769.94292,9.064081e-08,769.94292,0,0,78772115,-2.4803862e+11,4.1061824e+09,-1.0374778e+11,-3.8282063e+09,-1.28374e+08,-3.216923e+10,6418699.8,1.6084615e+09,2.135619e+10,2.135619e+10,1.3519431e+11,8.4496446e+09,23440905
30000,150,0,1.9843385e+08,7.1988066e+16,1.4728158e+17,1.4931802e+21,0,1.0664526e+19,3.8490771e+17,4.32e+12,2.2990976e+16,1.2316604e+16,3.3484331e+18,5.5989546e+20,0,19079422,0,19079422,0,1.35e+21,932.55156,0,932.55156,0,9.765625e-08,73704762,-2.0142672e+11,3.9907366e+09,-1.0664394e+11,-3.84907e+09,-1.2316864e+08,-3.3483706e+10,6158431.8,1.6741853e+09,2.1976464e+10,2.1976464e+10,1.3177707e+11,8.2360667e+09,26668832
