iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971189,9.6553144e+15,7.8792307e+15,1.844626e+21,0,5.293198e+18,3.4903417e+18,4.32e+12,3.0370615e+16,1.3591407e+18,1.8424933e+18,6.2354281e+20,0,7769302.7,9520432.2,17289735,0,1.35e+21,952.13843,4.2750116e-08,952.13843,0,0,1.8712053e+08,-2.0950113e+12,8.7194772e+09,-5.2923426e+10,-3.4904726e+10,-1.3592077e+10,-1.8422817e+10,6.7960387e+08,9.2114086e+08,1.7972201e+10,1.7972201e+10,2.4274053e+11,1.5171283e+10,1978867.4
4000,20,0,67221921,1.9301722e+16,1.8017505e+16,1.8270175e+21,0,6.9176259e+18,3.2407016e+18,4.32e+12,3.1304758e+16,1.2315019e+18,2.2547328e+18,6.3947309e+20,0,20895828,22384251,43280078,0,1.35e+21,2238.6489,-2.1438609e-08,2238.6489,0,0,1.7506546e+08,-1.469853e+12,8.6099685e+09,-6.9168572e+10,-3.2408206e+10,-1.2315626e+10,-2.2545324e+10,6.1578129e+08,1.1272662e+09,2.0579843e+10,2.0579843e+10,2.3848027e+11,1.4905017e+10,3068675.3
6000,30,0,84705229,2.9002694e+16,3.000945e+16,1.8145451e+21,0,8.3684579e+18,3.0134159e+18,4.32e+12,3.1968169e+16,1.1158973e+18,2.6427622e+18,6.504288e+20,0,40011903,38667504,78679407,0,1.35e+21,3867.1371,-1.0778422e-08,3867.1371,0,0,1.6378786e+08,-1.0521467e+12,8.4315828e+09,-8.3677754e+10,-3.0135244e+10,-1.1159523e+10,-2.6425746e+10,5.5797613e+08,1.3212873e+09,2.291881e+10,2.291881e+10,2.3261077e+11,1.4538173e+10,4445041.3
8000,40,0,1.030882e+08,3.8810274e+16,4.3667545e+16,1.8055348e+21,0,9.6501383e+18,2.8058446e+18,4.32e+12,3.2433376e+16,1.0111891e+18,3.0044824e+18,6.5808568e+20,0,65799743,58477013,1.2427676e+08,0,1.35e+21,5848.2862,2.2591848e-09,5848.2862,0,0,1.5323758e+08,-7.6779648e+11,8.211783e+09,-9.6495383e+10,-2.8059438e+10,-1.0112389e+10,-3.0043083e+10,5.0561947e+08,1.5021542e+09,2.498909e+10,2.498909e+10,2.2592598e+11,1.4120374e+10,6113465.4
10000,50,0,1.2208013e+08,4.8758919e+16,5.8791308e+16,1.7989016e+21,0,1.0771768e+19,2.6158084e+18,4.32e+12,3.2748739e+16,9.1634742e+17,3.3391221e+18,6.6352359e+20,0,98789649,81926162,1.8071581e+08,0,1.35e+21,8193.4356,9.3274139e-08,8193.4356,0,0,1.4336773e+08,-5.7064308e+11,7.9680989e+09,-1.0771246e+11,-2.6158994e+10,-9.1639253e+09,-3.3389615e+10,4.5819627e+08,1.6694808e+09,2.6800733e+10,2.6800733e+10,2.1890448e+11,1.368153e+10,8073149
12000,60,0,1.4143138e+08,5.8867667e+16,7.5174072e+16,1.7939307e+21,0,1.1744743e+19,2.4414706e+18,4.32e+12,3.2947737e+16,8.3043969e+17,3.6467483e+18,6.6744883e+20,0,1.3936133e+08,1.0912366e+08,2.4848499e+08,0,1.35e+21,10913.458,-2.2504537e-08,10913.458,0,0,1.3413441e+08,-4.3145239e+11,7.7120091e+09,-1.1744292e+11,-2.4415541e+10,-8.3048055e+09,-3.6466012e+10,4.1524028e+08,1.8233006e+09,2.8369166e+10,2.8369166e+10,2.1183504e+11,1.323969e+10,10318351
14000,70,0,1.6093044e+08,6.9142175e+16,9.26078e+16,1.7901433e+21,0,1.2581365e+19,2.2812587e+18,4.32e+12,3.3054449e+16,7.526218e+17,3.9279619e+18,6.7032987e+20,0,1.8774829e+08,1.4016431e+08,3.2791261e+08,0,1.35e+21,14017.833,0,14017.833,0,9.765625e-08,1.2549658e+08,-3.3141478e+11,7.4511925e+09,-1.2580978e+11,-2.2813355e+10,-7.5265881e+09,-3.9278278e+10,3.7632941e+08,1.9639139e+09,2.9712396e+10,2.9712396e+10,2.048906e+11,1.2805663e+10,12839554
16000,80,0,1.8040035e+08,7.9576635e+16,1.1088663e+17,1.7872137e+21,0,1.3294027e+19,2.1338103e+18,4.32e+12,3.3086844e+16,6.8212954e+17,4.1837015e+18,6.7248148e+20,0,2.4404447e+08,1.7512161e+08,4.1916607e+08,0,1.35e+21,17513.912,-4.7493813e-08,17513.912,0,0,1.1741582e+08,-2.5824304e+11,7.1908682e+09,-1.32937e+11,-2.133881e+10,-6.8216307e+09,-4.1835798e+10,3.4108153e+08,2.0917899e+09,3.0849343e+10,3.0849343e+10,1.9817264e+11,1.238579e+10,15624460
18000,90,0,1.9969492e+08,9.0155566e+16,1.2980955e+17,1.7849167e+21,0,1.3894756e+19,1.9979338e+18,4.32e+12,3.3058784e+16,6.1827105e+17,4.4151161e+18,6.7411778e+20,0,3.0821244e+08,2.1404204e+08,5.2225447e+08,0,1.35e+21,21406.344,-1.1277734e-09,21406.344,0,0,1.0985622e+08,-2.0379265e+11,6.9346142e+09,-1.3894482e+11,-1.997999e+10,-6.1830143e+09,-4.4150063e+10,3.0915071e+08,2.2075031e+09,3.1798859e+10,3.1798859e+10,1.9173808e+11,1.198363e+10,18658812
