iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971015,9.6993041e+15,7.912548e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363564e+16,1.3591407e+18,1.8424335e+18,6.235428e+20,0,145281.17,178084.23,323365.4,0,1.35e+21,17.810204,-1.7041305e-08,17.810204,0,0,1.8712053e+08,-2.0950113e+12,8.7174539e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.842222e+10,6.7960387e+08,9.2111101e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220926,1.9499512e+16,1.8186122e+16,1.8270175e+21,0,6.9176239e+18,3.2406607e+18,4.32e+12,3.1286515e+16,1.2315018e+18,2.2544427e+18,6.3947308e+20,0,392734.98,421080.04,813815.02,0,1.35e+21,42.112215,1.6538117e-08,42.112215,0,0,1.7506546e+08,-1.4698533e+12,8.6049526e+09,-6.9168552e+10,-3.2407797e+10,-1.2315626e+10,-2.2542425e+10,6.1578128e+08,1.1271213e+09,2.0579494e+10,2.0579494e+10,2.3848026e+11,1.4905016e+10,3068629.9
6000,30,0,84702270,2.9497137e+16,3.0469215e+16,1.8145451e+21,0,8.3684503e+18,3.0133131e+18,4.32e+12,3.1934446e+16,1.1158972e+18,2.6420099e+18,6.5042875e+20,0,756461.49,732287.91,1488749.4,0,1.35e+21,73.236114,-2.461141e-08,73.236114,0,0,1.6378786e+08,-1.0521478e+12,8.4226908e+09,-8.3677678e+10,-3.0134216e+10,-1.1159522e+10,-2.6418227e+10,5.5797611e+08,1.3209113e+09,2.2917908e+10,2.2917908e+10,2.3261075e+11,1.4538172e+10,4444886
8000,40,0,1.030815e+08,3.9778184e+16,4.4635179e+16,1.8055347e+21,0,9.6501187e+18,2.8056446e+18,4.32e+12,3.237946e+16,1.011189e+18,3.0029724e+18,6.5808556e+20,0,1252382.3,1116033.9,2368416.2,0,1.35e+21,111.61456,-3.2003157e-08,111.61456,0,0,1.5323758e+08,-7.6779903e+11,8.1981349e+09,-9.6495187e+10,-2.8057439e+10,-1.0112388e+10,-3.0027988e+10,5.0561942e+08,1.5013994e+09,2.4987282e+10,2.4987282e+10,2.2592594e+11,1.4120371e+10,6113068
10000,50,0,1.2206714e+08,5.0412107e+16,6.0549993e+16,1.7989015e+21,0,1.0771727e+19,2.6154711e+18,4.32e+12,3.2669551e+16,9.1634727e+17,3.3364935e+18,6.6352333e+20,0,1894551.6,1577237.7,3471789.3,0,1.35e+21,157.73955,3.0379539e-08,157.73955,0,0,1.4336773e+08,-5.7064809e+11,7.9488352e+09,-1.0771205e+11,-2.6155621e+10,-9.1639239e+09,-3.3363336e+10,4.5819619e+08,1.6681668e+09,2.6797593e+10,2.6797593e+10,2.189044e+11,1.3681525e+10,8072290.5
12000,60,0,1.4140868e+08,6.1453975e+16,7.8077537e+16,1.7939305e+21,0,1.1744668e+19,2.4409515e+18,4.32e+12,3.2837905e+16,8.3043947e+17,3.6425752e+18,6.6744835e+20,0,2695219.5,2121219.7,4816439.3,0,1.35e+21,212.14319,-1.0807582e-08,212.14319,0,0,1.3413441e+08,-4.3146109e+11,7.6863049e+09,-1.1744216e+11,-2.4410351e+10,-8.3048033e+09,-3.6424289e+10,4.1524017e+08,1.8212144e+09,2.8364191e+10,2.8364191e+10,2.1183489e+11,1.323968e+10,10316695
14000,70,0,1.608936e+08,7.2946409e+16,9.7082948e+16,1.7901431e+21,0,1.2581237e+19,2.2805101e+18,4.32e+12,3.2908381e+16,7.5262148e+17,3.921754e+18,6.7032906e+20,0,3664924.5,2753542,6418466.5,0,1.35e+21,275.38174,0,275.38174,0,9.765625e-08,1.2549658e+08,-3.3142865e+11,7.4182698e+09,-1.2580851e+11,-2.280587e+10,-7.526585e+09,-3.921621e+10,3.7632925e+08,1.9608105e+09,2.970501e+10,2.970501e+10,2.0489035e+11,1.2805647e+10,12836615
16000,80,0,1.803438e+08,8.4921313e+16,1.1743475e+17,1.7872133e+21,0,1.3293826e+19,2.1327817e+18,4.32e+12,3.2898801e+16,6.821291e+17,4.1749075e+18,6.7248022e+20,0,4812601.1,3479878.2,8292479.3,0,1.35e+21,348.02262,-2.5639338e-08,348.02262,0,0,1.1741582e+08,-2.5826379e+11,7.1500051e+09,-1.3293499e+11,-2.1328526e+10,-6.8216264e+09,-4.1747873e+10,3.4108132e+08,2.0873936e+09,3.08389e+10,3.08389e+10,1.9817226e+11,1.2385766e+10,15619562
18000,90,0,1.996119e+08,9.7401416e+16,1.3900622e+17,1.784916e+21,0,1.3894456e+19,1.9965731e+18,4.32e+12,3.2822964e+16,6.1827048e+17,4.4031272e+18,6.7411589e+20,0,6145694.9,4305908.6,10451603,0,1.35e+21,430.63392,-2.8623106e-08,430.63392,0,0,1.0985622e+08,-2.0382224e+11,6.8851524e+09,-1.3894182e+11,-1.9966385e+10,-6.1830085e+09,-4.4030191e+10,3.0915043e+08,2.2015096e+09,3.1784649e+10,3.1784649e+10,1.9173754e+11,1.1983596e+10,18651054
