iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971021,9.6976687e+15,7.9113095e+15,1.844626e+21,0,5.2931978e+18,3.4903333e+18,4.32e+12,3.0363826e+16,1.3591407e+18,1.8424358e+18,6.235428e+20,0,429050.39,525919.42,954969.81,0,1.35e+21,52.597202,8.4664435e-09,52.597202,0,0,1.8712053e+08,-2.0950113e+12,8.7175292e+09,-5.2923424e+10,-3.4904643e+10,-1.3592077e+10,-1.8422242e+10,6.7960387e+08,9.2111212e+08,1.7972132e+10,1.7972132e+10,2.4274053e+11,1.5171283e+10,1978860.8
4000,20,0,67220963,1.9492133e+16,1.8179833e+16,1.8270175e+21,0,6.917624e+18,3.2406622e+18,4.32e+12,3.1287197e+16,1.2315018e+18,2.2544535e+18,6.3947308e+20,0,1159621.8,1243275.2,2402896.9,0,1.35e+21,124.33995,-4.534337e-08,124.33995,0,0,1.7506546e+08,-1.4698533e+12,8.6051403e+09,-6.9168553e+10,-3.2407812e+10,-1.2315626e+10,-2.2542533e+10,6.1578128e+08,1.1271267e+09,2.0579507e+10,2.0579507e+10,2.3848026e+11,1.4905016e+10,3068631.6
6000,30,0,84702381,2.9478615e+16,3.0452002e+16,1.8145451e+21,0,8.3684506e+18,3.0133169e+18,4.32e+12,3.1935715e+16,1.1158972e+18,2.6420381e+18,6.5042875e+20,0,2233101.2,2161603.6,4394704.7,0,1.35e+21,216.18198,1.984381e-08,216.18198,0,0,1.6378786e+08,-1.0521477e+12,8.4230254e+09,-8.3677681e+10,-3.0134255e+10,-1.1159522e+10,-2.6418508e+10,5.5797611e+08,1.3209254e+09,2.2917942e+10,2.2917942e+10,2.3261075e+11,1.4538172e+10,4444891.8
8000,40,0,1.0308175e+08,3.9741753e+16,4.4598796e+16,1.8055347e+21,0,9.6501194e+18,2.8056522e+18,4.32e+12,3.2381503e+16,1.011189e+18,3.0030293e+18,6.5808556e+20,0,3696151.4,3293415,6989566.4,0,1.35e+21,329.37444,-1.2262717e-08,329.37444,0,0,1.5323758e+08,-7.6779893e+11,8.198652e+09,-9.6495195e+10,-2.8057514e+10,-1.0112389e+10,-3.0028556e+10,5.0561943e+08,1.5014278e+09,2.498735e+10,2.498735e+10,2.2592594e+11,1.4120371e+10,6113082.9
10000,50,0,1.2206764e+08,5.0349549e+16,6.0483543e+16,1.7989015e+21,0,1.0771729e+19,2.6154838e+18,4.32e+12,3.2672575e+16,9.1634728e+17,3.3365929e+18,6.6352334e+20,0,5589803.7,4652912.6,10242716,0,1.35e+21,465.3378,9.2144205e-08,465.3378,0,0,1.4336773e+08,-5.706479e+11,7.9495707e+09,-1.0771206e+11,-2.6155749e+10,-9.1639239e+09,-3.336433e+10,4.581962e+08,1.6682165e+09,2.6797712e+10,2.6797712e+10,2.189044e+11,1.3681525e+10,8072322.9
12000,60,0,1.4140955e+08,6.1355526e+16,7.7967239e+16,1.7939305e+21,0,1.174467e+19,2.4409713e+18,4.32e+12,3.2842134e+16,8.3043948e+17,3.642734e+18,6.6744837e+20,0,7949635.1,6255418.5,14205054,0,1.35e+21,625.60442,-2.7881924e-08,625.60442,0,0,1.3413441e+08,-4.3146076e+11,7.6872947e+09,-1.1744219e+11,-2.4410549e+10,-8.3048034e+09,-3.6425877e+10,4.1524017e+08,1.8212938e+09,2.836438e+10,2.836438e+10,2.1183489e+11,1.3239681e+10,10316758
14000,70,0,1.6089501e+08,7.2800656e+16,9.6911931e+16,1.7901431e+21,0,1.2581242e+19,2.2805387e+18,4.32e+12,3.2914058e+16,7.5262149e+17,3.9219918e+18,6.7032909e+20,0,10806034,8116898.2,18922932,0,1.35e+21,811.771,0,811.771,0,9.765625e-08,1.2549658e+08,-3.3142812e+11,7.4195493e+09,-1.2580856e+11,-2.2806157e+10,-7.5265851e+09,-3.9218588e+10,3.7632926e+08,1.9609294e+09,2.9705292e+10,2.9705292e+10,2.0489036e+11,1.2805648e+10,12836727
16000,80,0,1.8034598e+08,8.4715091e+16,1.1718289e+17,1.7872133e+21,0,1.3293834e+19,2.1328213e+18,4.32e+12,3.2906183e+16,6.8212912e+17,4.1752468e+18,6.7248026e+20,0,14184514,10253571,24438085,0,1.35e+21,1025.4597,0,1025.4597,0,9.765625e-08,1.1741582e+08,-2.58263e+11,7.1516093e+09,-1.3293507e+11,-2.1328922e+10,-6.8216266e+09,-4.1751265e+10,3.4108133e+08,2.0875632e+09,3.0839303e+10,3.0839303e+10,1.9817228e+11,1.2385767e+10,15619750
18000,90,0,1.9961512e+08,9.7119708e+16,1.3865e+17,1.784916e+21,0,1.3894468e+19,1.9966259e+18,4.32e+12,3.2832324e+16,6.182705e+17,4.4035934e+18,6.7411596e+20,0,18106048,12681596,30787644,0,1.35e+21,1268.2865,0,1268.2865,0,9.765625e-08,1.0985622e+08,-2.038211e+11,6.8871155e+09,-1.3894193e+11,-1.9966913e+10,-6.1830088e+09,-4.4034852e+10,3.0915044e+08,2.2017426e+09,3.1785201e+10,3.1785201e+10,1.9173756e+11,1.1983597e+10,18651356
20000,100,0,2.1858222e+08,1.1002748e+17,1.6118862e+17,1.7830931e+21,0,1.4394537e+19,1.8709017e+18,4.32e+12,3.2703516e+16,5.6041926e+17,4.6082565e+18,6.7538342e+20,0,22587411,15416823,38004234,0,1.35e+21,1541.8365,-4.8311449e-08,1541.8365,0,0,1.0278416e+08,-1.6262736e+11,6.628588e+09,-1.439431e+11,-1.8709621e+10,-5.6044678e+09,-4.6081599e+10,2.8022339e+08,2.3040799e+09,3.2561139e+10,3.2561139e+10,1.8561522e+11,1.1600951e+10,21915765
22000,110,0,2.3715079e+08,1.2344471e+17,1.8468014e+17,1.7816321e+21,0,1.4804679e+19,1.7547178e+18,4.32e+12,3.2528817e+16,5.0800832e+17,4.7905345e+18,6.7638495e+20,0,27641523,18474595,46116119,0,1.35e+21,1847.6443,-2.4374458e-09,1847.6443,0,0,96168198,-1.3095033e+11,6.3777576e+09,-1.4804495e+11,-1.7547737e+10,-5.0803325e+09,-4.7904487e+10,2.5401663e+08,2.3952244e+09,3.3184315e+10,3.3184315e+10,1.7981672e+11,1.1238545e+10,25396459
24000,120,0,2.5524501e+08,1.373721e+17,2.0901226e+17,1.7804512e+21,0,1.5134726e+19,1.6472457e+18,4.32e+12,3.2315821e+16,4.6052426e+17,4.9517595e+18,6.7719233e+20,0,33277781,21869607,55147388,0,1.35e+21,2187.1794,-4.7401045e-08,2187.1794,0,0,89978920,-1.0621273e+11,6.1357876e+09,-1.513458e+11,-1.6472974e+10,-4.6054685e+09,-4.951684e+10,2.3027342e+08,2.475842e+09,3.367081e+10,3.367081e+10,1.7434253e+11,1.0896408e+10,29076640
26000,130,0,2.7280699e+08,1.5180569e+17,2.3407911e+17,1.7794908e+21,0,1.5393696e+19,1.5477445e+18,4.32e+12,3.2070999e+16,4.1750222e+17,5.0932704e+18,6.7785638e+20,0,39502383,25615794,65118177,0,1.35e+21,2561.8355,9.1180027e-08,2561.8355,0,0,84188806,-8.6610954e+10,5.903425e+09,-1.5393583e+11,-1.5477924e+10,-4.1752269e+09,-5.0932044e+10,2.0876134e+08,2.5466022e+09,3.4035528e+10,3.4035528e+10,1.6918633e+11,1.0574146e+10,32939603
28000,140,0,2.8979426e+08,1.6673772e+17,2.597813e+17,1.7787063e+21,0,1.5589816e+19,1.4555494e+18,4.32e+12,3.1799936e+16,3.7852134e+17,5.2163928e+18,6.7841332e+20,0,46318637,29726259,76044896,0,1.35e+21,2972.9232,0,2972.9232,0,9.765625e-08,78772115,-7.0866519e+10,5.6811081e+09,-1.5589732e+11,-1.4555938e+10,-3.7853989e+09,-5.2163356e+10,1.8926994e+08,2.6081678e+09,3.4292186e+10,3.4292186e+10,1.6433765e+11,1.0271103e+10,36969031
30000,150,0,3.0617761e+08,1.8215732e+17,2.8602579e+17,1.7780638e+21,0,1.5730562e+19,1.3700619e+18,4.32e+12,3.150749e+16,3.4320055e+17,5.3224251e+18,6.7888921e+20,0,53727255,34213231,87940486,0,1.35e+21,3421.6653,6.3905645e-09,3421.6653,0,0,73704762,-5.8061549e+10,5.469044e+09,-1.5730504e+11,-1.3701031e+10,-3.4321736e+09,-5.3223761e+10,1.7160868e+08,2.6611881e+09,3.4453346e+10,3.4453346e+10,1.5978363e+11,9.9864767e+09,41149226
32000,160,0,3.219391e+08,1.9805119e+17,3.1272583e+17,1.7775376e+21,0,1.5822702e+19,1.2907416e+18,4.32e+12,3.1197915e+16,3.111948e+17,5.4126287e+18,6.7930288e+20,0,61726636,39088038,1.0081467e+08,0,1.35e+21,3909.1947,0,3909.1947,0,9.765625e-08,68964219,-4.7528728e+10,5.2672659e+09,-1.5822667e+11,-1.2907798e+10,-3.1121003e+09,-5.4125874e+10,1.5560502e+08,2.7062937e+09,3.4530468e+10,3.4530468e+10,1.5551016e+11,9.7193853e+09,45465287
34000,170,0,3.3707036e+08,2.144041e+17,3.3980073e+17,1.7771074e+21,0,1.5872349e+19,1.2170989e+18,4.32e+12,3.0874948e+16,2.8219169e+17,5.488221e+18,6.7966804e+20,0,70313125,44361107,1.1467423e+08,0,1.35e+21,4436.5543,0,4436.5543,0,9.765625e-08,64529407,-3.8776799e+10,5.075677e+09,-1.5872334e+11,-1.2171344e+10,-2.8220549e+09,-5.4881867e+10,1.4110274e+08,2.7440933e+09,3.4533969e+10,3.4533969e+10,1.5150262e+11,9.4689139e+09,49903240
36000,180,0,3.5157107e+08,2.3119942e+17,3.6717567e+17,1.7767574e+21,0,1.5885009e+19,1.1486898e+18,4.32e+12,3.0541877e+16,2.5590831e+17,5.5503699e+18,6.7999473e+20,0,79481257,50041973,1.2952323e+08,0,1.35e+21,5004.6978,4.7353751e-08,5004.6978,0,0,60380610,-3.1439595e+10,4.8940834e+09,-1.5885011e+11,-1.1487227e+10,-2.5592082e+09,-5.550342e+10,1.2796041e+08,2.775171e+09,3.4473297e+10,3.4473297e+10,1.4774632e+11,9.2341448e+09,54450127
