iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971018,9.6984515e+15,7.9119023e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.03637e+16,1.3591407e+18,1.8424347e+18,6.235428e+20,0,293228.81,359434.74,652663.55,0,1.35e+21,35.947069,1.3893334e-08,35.947069,0,0,1.8712053e+08,-2.0950113e+12,8.7174932e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.8422232e+10,6.7960387e+08,9.2111159e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220946,1.9495665e+16,1.8182843e+16,1.8270175e+21,0,6.917624e+18,3.2406615e+18,4.32e+12,3.1286871e+16,1.2315018e+18,2.2544483e+18,6.3947308e+20,0,792599.96,849790.22,1642390.2,0,1.35e+21,84.98752,3.5140346e-08,84.98752,0,0,1.7506546e+08,-1.4698533e+12,8.6050505e+09,-6.9168552e+10,-3.2407805e+10,-1.2315626e+10,-2.2542482e+10,6.1578128e+08,1.1271241e+09,2.0579501e+10,2.0579501e+10,2.3848026e+11,1.4905016e+10,3068630.8
6000,30,0,84702328,2.9487479e+16,3.046024e+16,1.8145451e+21,0,8.3684505e+18,3.0133151e+18,4.32e+12,3.1935108e+16,1.1158972e+18,2.6420246e+18,6.5042875e+20,0,1526481.9,1477652.8,3004134.7,0,1.35e+21,147.78006,-3.3342985e-08,147.78006,0,0,1.6378786e+08,-1.0521478e+12,8.4228653e+09,-8.3677679e+10,-3.0134236e+10,-1.1159522e+10,-2.6418373e+10,5.5797611e+08,1.3209187e+09,2.2917926e+10,2.2917926e+10,2.3261075e+11,1.4538172e+10,4444889
8000,40,0,1.0308163e+08,3.9759186e+16,4.4616206e+16,1.8055347e+21,0,9.6501191e+18,2.8056486e+18,4.32e+12,3.2380526e+16,1.011189e+18,3.0030021e+18,6.5808556e+20,0,2526882.5,2251659.5,4778541.9,0,1.35e+21,225.18847,2.3321547e-08,225.18847,0,0,1.5323758e+08,-7.6779898e+11,8.1984046e+09,-9.6495191e+10,-2.8057478e+10,-1.0112389e+10,-3.0028284e+10,5.0561943e+08,1.5014142e+09,2.4987318e+10,2.4987318e+10,2.2592594e+11,1.4120371e+10,6113075.8
10000,50,0,1.220674e+08,5.0379481e+16,6.0515338e+16,1.7989015e+21,0,1.0771728e+19,2.6154777e+18,4.32e+12,3.2671128e+16,9.1634728e+17,3.3365454e+18,6.6352334e+20,0,3821999.1,3181623.5,7003622.6,0,1.35e+21,318.19417,6.3809921e-08,318.19417,0,0,1.4336773e+08,-5.7064799e+11,7.9492188e+09,-1.0771205e+11,-2.6155688e+10,-9.1639239e+09,-3.3363855e+10,4.581962e+08,1.6681927e+09,2.6797655e+10,2.6797655e+10,2.189044e+11,1.3681525e+10,8072307.4
12000,60,0,1.4140913e+08,6.1402626e+16,7.802001e+16,1.7939305e+21,0,1.1744669e+19,2.4409618e+18,4.32e+12,3.2840112e+16,8.3043947e+17,3.642658e+18,6.6744836e+20,0,5436342.5,4278144,9714486.6,0,1.35e+21,427.85719,4.6938339e-08,427.85719,0,0,1.3413441e+08,-4.3146092e+11,7.6868213e+09,-1.1744218e+11,-2.4410454e+10,-8.3048034e+09,-3.6425117e+10,4.1524017e+08,1.8212559e+09,2.836429e+10,2.836429e+10,2.1183489e+11,1.3239681e+10,10316728
14000,70,0,1.6089433e+08,7.2870378e+16,9.6993742e+16,1.7901431e+21,0,1.2581239e+19,2.280525e+18,4.32e+12,3.2911343e+16,7.5262149e+17,3.9218781e+18,6.7032907e+20,0,7390921.1,5552283,12943204,0,1.35e+21,555.28383,0,555.28383,0,9.765625e-08,1.2549658e+08,-3.3142837e+11,7.4189374e+09,-1.2580853e+11,-2.2806019e+10,-7.5265851e+09,-3.9217451e+10,3.7632925e+08,1.9608725e+09,2.9705157e+10,2.9705157e+10,2.0489036e+11,1.2805647e+10,12836673
16000,80,0,1.8034493e+08,8.4813724e+16,1.1730336e+17,1.7872133e+21,0,1.329383e+19,2.1328024e+18,4.32e+12,3.2902654e+16,6.8212911e+17,4.1750845e+18,6.7248024e+20,0,9703456.5,7015300.3,16718757,0,1.35e+21,701.60019,0,701.60019,0,9.765625e-08,1.1741582e+08,-2.5826338e+11,7.1508423e+09,-1.3293503e+11,-2.1328733e+10,-6.8216265e+09,-4.1749642e+10,3.4108132e+08,2.0874821e+09,3.083911e+10,3.083911e+10,1.9817227e+11,1.2385767e+10,15619660
18000,90,0,1.9961358e+08,9.7254424e+16,1.3882036e+17,1.784916e+21,0,1.3894462e+19,1.9966006e+18,4.32e+12,3.282785e+16,6.1827049e+17,4.4033704e+18,6.7411593e+20,0,12388614,8678440.4,21067054,0,1.35e+21,867.93084,0,867.93084,0,9.765625e-08,1.0985622e+08,-2.0382164e+11,6.8861771e+09,-1.3894188e+11,-1.996666e+10,-6.1830087e+09,-4.4032623e+10,3.0915043e+08,2.2016312e+09,3.1784937e+10,3.1784937e+10,1.9173755e+11,1.1983597e+10,18651212
20000,100,0,2.1858002e+08,1.1020638e+17,1.6142177e+17,1.7830931e+21,0,1.4394529e+19,1.870869e+18,4.32e+12,3.2697962e+16,5.6041925e+17,4.6079594e+18,6.7538337e+20,0,15458237,10552764,26011001,0,1.35e+21,1055.3819,-1.8275159e-08,1055.3819,0,0,1.0278416e+08,-1.6262811e+11,6.6274624e+09,-1.4394302e+11,-1.8709294e+10,-5.6044677e+09,-4.6078628e+10,2.8022338e+08,2.3039314e+09,3.2560788e+10,3.2560788e+10,1.856152e+11,1.160095e+10,21915544
22000,110,0,2.3714773e+08,1.2367688e+17,1.8499069e+17,1.781632e+21,0,1.4804668e+19,1.7546766e+18,4.32e+12,3.2522043e+16,5.080083e+17,4.7901484e+18,6.7638488e+20,0,18921580,12649015,31570595,0,1.35e+21,1265.028,0,1265.028,0,9.765625e-08,96168198,-1.3095134e+11,6.3764295e+09,-1.4804484e+11,-1.7547324e+10,-5.0803323e+09,-4.7900627e+10,2.5401662e+08,2.3950313e+09,3.3183859e+10,3.3183859e+10,1.798167e+11,1.1238544e+10,25396132
24000,120,0,2.5524088e+08,1.3766763e+17,2.0941653e+17,1.7804512e+21,0,1.5134711e+19,1.6471947e+18,4.32e+12,3.2307681e+16,4.6052423e+17,4.9512683e+18,6.7719224e+20,0,22785540,14977524,37763064,0,1.35e+21,1497.9022,0,1497.9022,0,9.765625e-08,89978920,-1.0621404e+11,6.1342422e+09,-1.5134565e+11,-1.6472464e+10,-4.6054682e+09,-4.9511927e+10,2.3027341e+08,2.4755964e+09,3.3670232e+10,3.3670232e+10,1.7434251e+11,1.0896407e+10,29076170
26000,130,0,2.7280154e+08,1.5217575e+17,2.3459518e+17,1.7794908e+21,0,1.5393676e+19,1.5476825e+18,4.32e+12,3.2061345e+16,4.1750219e+17,5.0926566e+18,6.7785625e+20,0,27054871,17548135,44603005,0,1.35e+21,1754.989,1.2286682e-07,1754.989,0,0,84188806,-8.6612638e+10,5.9016481e+09,-1.5393563e+11,-1.5477304e+10,-4.1752266e+09,-5.0925906e+10,2.0876133e+08,2.5462953e+09,3.4034806e+10,3.4034806e+10,1.691863e+11,1.0574144e+10,32938945
28000,140,0,2.8978719e+08,1.6719456e+17,2.6042896e+17,1.7787062e+21,0,1.558979e+19,1.4554753e+18,4.32e+12,3.1788615e+16,3.7852131e+17,5.2156377e+18,6.7841316e+20,0,31732399,20370153,52102552,0,1.35e+21,2037.219,9.3538347e-08,2037.219,0,0,78772115,-7.0868634e+10,5.6790858e+09,-1.5589707e+11,-1.4555197e+10,-3.7853986e+09,-5.2155806e+10,1.8926993e+08,2.6077903e+09,3.4291299e+10,3.4291299e+10,1.6433761e+11,1.02711e+10,36968128
30000,150,0,3.0616858e+08,1.8271434e+17,2.868266e+17,1.7780637e+21,0,1.5730529e+19,1.3699744e+18,4.32e+12,3.1494348e+16,3.4320051e+17,5.321509e+18,6.78889e+20,0,36819223,23452322,60271545,0,1.35e+21,2345.4667,3.7067821e-08,2345.4667,0,0,73704762,-5.8064164e+10,5.466763e+09,-1.5730472e+11,-1.3700155e+10,-3.4321732e+09,-5.3214602e+10,1.7160866e+08,2.6607301e+09,3.4452272e+10,3.4452272e+10,1.5978358e+11,9.9864736e+09,41148012
32000,160,0,3.2192774e+08,1.9872295e+17,3.1370305e+17,1.7775374e+21,0,1.5822662e+19,1.2906393e+18,4.32e+12,3.1182795e+16,3.1119476e+17,5.4115309e+18,6.7930262e+20,0,42314902,26802801,69117703,0,1.35e+21,2680.5481,0,2680.5481,0,9.765625e-08,68964219,-4.7531917e+10,5.2647134e+09,-1.5822627e+11,-1.2906775e+10,-3.1120999e+09,-5.4114896e+10,1.5560499e+08,2.7057448e+09,3.4529182e+10,3.4529182e+10,1.555101e+11,9.7193814e+09,45463683
34000,170,0,3.3705626e+08,2.1520635e+17,3.4097933e+17,1.7771072e+21,0,1.5872299e+19,1.2169807e+18,4.32e+12,3.0857693e+16,2.8219163e+17,5.4869195e+18,6.7966771e+20,0,48217633,30429170,78646803,0,1.35e+21,3043.2213,-3.3776814e-08,3043.2213,0,0,64529407,-3.8780639e+10,5.0728407e+09,-1.5872284e+11,-1.2170162e+10,-2.8220543e+09,-5.4868852e+10,1.4110272e+08,2.7434426e+09,3.4532446e+10,3.4532446e+10,1.5150255e+11,9.4689093e+09,49901152
36000,180,0,3.5155377e+08,2.3214913e+17,3.6858231e+17,1.7767572e+21,0,1.5884948e+19,1.1485544e+18,4.32e+12,3.0522329e+16,2.5590825e+17,5.5488419e+18,6.7999432e+20,0,54524419,34338434,88862853,0,1.35e+21,3434.1868,-6.9621819e-09,3434.1868,0,0,60380610,-3.1444171e+10,4.8909512e+09,-1.588495e+11,-1.1485874e+10,-2.5592075e+09,-5.5488142e+10,1.2796038e+08,2.7744071e+09,3.4471511e+10,3.4471511e+10,1.4774623e+11,9.2341392e+09,54447448
38000,190,0,3.6542663e+08,2.4953485e+17,3.9644447e+17,1.7764746e+21,0,1.5865556e+19,1.0849562e+18,4.32e+12,3.0179599e+16,2.3208845e+17,5.5984131e+18,6.8028982e+20,0,61231224,38537040,99768264,0,1.35e+21,3854.0894,1.3747922e-08,3854.0894,0,0,56499381,-2.5246203e+10,4.7187804e+09,-1.5865573e+11,-1.0849868e+10,-2.3209978e+09,-5.5983912e+10,1.1604989e+08,2.7991956e+09,3.4354918e+10,3.4354918e+10,1.442267e+11,9.0141689e+09,59090675
40000,200,0,3.7868673e+08,2.6734642e+17,4.2450367e+17,1.7762492e+21,0,1.5818564e+19,1.0258176e+18,4.32e+12,2.9832049e+16,2.1050027e+17,5.6366932e+18,6.8055968e+20,0,68333112,43030903,1.1136402e+08,0,1.35e+21,4303.5207,1.5296791e-08,4303.5207,0,0,52868464,-1.9975663e+10,4.5560125e+09,-1.5818594e+11,-1.0258461e+10,-2.1051054e+09,-5.6366767e+10,1.0525527e+08,2.8183383e+09,3.4190376e+10,3.4190376e+10,1.4092998e+11,8.8081238e+09,63820045
42000,210,0,3.9135049e+08,2.8556639e+17,4.5270286e+17,1.7760725e+21,0,1.5747946e+19,9.7080204e+17,4.32e+12,2.9481916e+16,1.9093367e+17,5.6646872e+18,6.8080796e+20,0,75824387,47825429,1.2364982e+08,0,1.35e+21,4783.0212,0,4783.0212,0,9.765625e-08,49471716,-1.5469351e+10,4.4022965e+09,-1.5747987e+11,-9.7082857e+09,-1.9094299e+09,-5.6646756e+10,95471493,2.8323378e+09,3.3984824e+10,3.3984824e+10,1.3784262e+11,8.6151638e+09,68625886
44000,220,0,4.0343795e+08,3.0417718e+17,4.8098989e+17,1.7759377e+21,0,1.5657255e+19,9.196015e+17,4.32e+12,2.913116e+16,1.7319845e+17,5.6833441e+18,6.8103771e+20,0,83698707,52925548,1.3662426e+08,0,1.35e+21,5293.0842,3.9009137e-08,5293.0842,0,0,46294034,-1.1599566e+10,4.2572585e+09,-1.5657305e+11,-9.196262e+09,-1.7320689e+09,-5.683337e+10,86603445,2.8416685e+09,3.3744499e+10,3.3744499e+10,1.349518e+11,8.4344876e+09,73499638
46000,230,0,4.14972e+08,3.2316131e+17,5.0931715e+17,1.7758388e+21,0,1.5549658e+19,8.7193364e+17,4.32e+12,2.8781492e+16,1.5712234e+17,5.6935577e+18,6.8125123e+20,0,91949200,58335749,1.5028495e+08,0,1.35e+21,5834.1583,-2.928482e-08,5834.1583,0,0,43321291,-8.265212e+09,4.1205115e+09,-1.5549716e+11,-8.7195664e+09,-1.5712999e+09,-5.6935545e+10,78564996,2.8467773e+09,3.3474994e+10,3.3474994e+10,1.3224535e+11,8.2653345e+09,78433824
48000,240,0,4.259777e+08,3.4250153e+17,5.376414e+17,1.7757709e+21,0,1.5427977e+19,8.2753927e+17,4.32e+12,2.8434396e+16,1.4254936e+17,5.6961667e+18,6.8145027e+20,0,1.0056856e+08,64060110,1.6462867e+08,0,1.35e+21,6406.6517,0,6406.6517,0,9.765625e-08,40540269,-5.3853348e+09,3.9916632e+09,-1.5428041e+11,-8.2756069e+09,-1.4255629e+09,-5.6961672e+10,71278146,2.8480836e+09,3.3181309e+10,3.3181309e+10,1.2971175e+11,8.1069846e+09,83422019
