iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971211,9.6497687e+15,7.8750298e+15,1.844626e+21,0,5.293198e+18,3.4903428e+18,4.32e+12,3.0371503e+16,1.3591407e+18,1.8425008e+18,6.2354281e+20,0,8729113.8,10696135,19425249,0,1.35e+21,1069.7205,1.0351096e-07,1069.7205,0,0,1.8712053e+08,-2.0950112e+12,8.719732e+09,-5.2923426e+10,-3.4904737e+10,-1.3592077e+10,-1.8422893e+10,6.7960387e+08,9.2114463e+08,1.797221e+10,1.797221e+10,2.4274053e+11,1.5171283e+10,1978868.2
4000,20,0,67222045,1.927689e+16,1.7996327e+16,1.8270175e+21,0,6.9176262e+18,3.2407067e+18,4.32e+12,3.1307042e+16,1.2315019e+18,2.2547692e+18,6.3947309e+20,0,23462190,25130621,48592811,0,1.35e+21,2513.3135,-1.5063961e-08,2513.3135,0,0,1.7506546e+08,-1.4698529e+12,8.6105962e+09,-6.9168575e+10,-3.2408257e+10,-1.2315626e+10,-2.2545689e+10,6.1578129e+08,1.1272844e+09,2.0579886e+10,2.0579886e+10,2.3848027e+11,1.4905017e+10,3068681
6000,30,0,84705599,2.8940917e+16,2.9951962e+16,1.8145451e+21,0,8.3684589e+18,3.0134287e+18,4.32e+12,3.1972359e+16,1.1158973e+18,2.6428562e+18,6.5042881e+20,0,44892750,43375039,88267790,0,1.35e+21,4337.9377,0,4337.9377,0,9.765625e-08,1.6378786e+08,-1.0521466e+12,8.4326878e+09,-8.3677763e+10,-3.0135372e+10,-1.1159523e+10,-2.6426686e+10,5.5797613e+08,1.3213343e+09,2.2918923e+10,2.2918923e+10,2.3261077e+11,1.4538173e+10,4445060.7
8000,40,0,1.0308903e+08,3.8690013e+16,4.3547171e+16,1.8055348e+21,0,9.6501407e+18,2.8058695e+18,4.32e+12,3.2440022e+16,1.0111891e+18,3.0046701e+18,6.580857e+20,0,73764119,65532567,1.3929669e+08,0,1.35e+21,6553.912,1.0715667e-08,6553.912,0,0,1.5323758e+08,-7.6779616e+11,8.2134654e+09,-9.6495407e+10,-2.8059687e+10,-1.0112389e+10,-3.004496e+10,5.0561947e+08,1.502248e+09,2.4989314e+10,2.4989314e+10,2.2592599e+11,1.4120374e+10,6113514.8
10000,50,0,1.2208173e+08,4.8554804e+16,5.8573779e+16,1.7989016e+21,0,1.0771773e+19,2.6158501e+18,4.32e+12,3.2758412e+16,9.1634743e+17,3.3394467e+18,6.6352363e+20,0,1.1064235e+08,91710825,2.0235317e+08,0,1.35e+21,9171.9997,9.8616511e-08,9171.9997,0,0,1.4336773e+08,-5.7064246e+11,7.970452e+09,-1.0771251e+11,-2.615941e+10,-9.1639255e+09,-3.3392861e+10,4.5819627e+08,1.6696431e+09,2.6801121e+10,2.6801121e+10,2.1890449e+11,1.3681531e+10,8073255
12000,60,0,1.4143416e+08,5.8550572e+16,7.4817233e+16,1.7939307e+21,0,1.1744753e+19,2.4415343e+18,4.32e+12,3.2961018e+16,8.3043971e+17,3.6472602e+18,6.6744889e+20,0,1.5591779e+08,1.2200936e+08,2.7792715e+08,0,1.35e+21,12202.156,-7.0940587e-11,12202.156,0,0,1.3413441e+08,-4.3145132e+11,7.7151173e+09,-1.1744301e+11,-2.4416178e+10,-8.3048058e+09,-3.6471129e+10,4.1524029e+08,1.8235565e+09,2.8369777e+10,2.8369777e+10,2.1183506e+11,1.3239691e+10,10318554
14000,70,0,1.6093493e+08,6.8679339e+16,9.2061657e+16,1.7901433e+21,0,1.258138e+19,2.2813499e+18,4.32e+12,3.3071916e+16,7.5262184e+17,3.9287174e+18,6.7032997e+20,0,2.0981043e+08,1.565094e+08,3.6631983e+08,0,1.35e+21,15652.505,0,15652.505,0,9.765625e-08,1.2549658e+08,-3.3141308e+11,7.4551293e+09,-1.2580994e+11,-2.2814267e+10,-7.5265885e+09,-3.9285831e+10,3.7632943e+08,1.9642916e+09,2.9713295e+10,2.9713295e+10,2.0489063e+11,1.2805665e+10,12839912
16000,80,0,1.8040718e+08,7.8931824e+16,1.1009363e+17,1.7872137e+21,0,1.3294052e+19,2.1339345e+18,4.32e+12,3.3109056e+16,6.8212959e+17,4.1847625e+18,6.7248164e+20,0,2.7237789e+08,1.9526581e+08,4.6764371e+08,0,1.35e+21,19528.534,-4.6842615e-08,19528.534,0,0,1.1741582e+08,-2.5824051e+11,7.195695e+09,-1.3293724e+11,-2.1340052e+10,-6.8216312e+09,-4.1846407e+10,3.4108156e+08,2.0923203e+09,3.0850604e+10,3.0850604e+10,1.9817268e+11,1.2385793e+10,15625051
18000,90,0,1.9970486e+08,8.9289291e+16,1.2870507e+17,1.7849167e+21,0,1.3894792e+19,1.9980966e+18,4.32e+12,3.3086271e+16,6.1827112e+17,4.4165491e+18,6.7411801e+20,0,3.4352559e+08,2.3830099e+08,5.8182658e+08,0,1.35e+21,23832.482,-1.895387e-08,23832.482,0,0,1.0985622e+08,-2.0378907e+11,6.9403793e+09,-1.3894518e+11,-1.9981618e+10,-6.1830149e+09,-4.4164391e+10,3.0915075e+08,2.2082196e+09,3.1800559e+10,3.1800559e+10,1.9173814e+11,1.1983634e+10,18659740
